,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,SACRAMENTO_ACTION,OKLAHOMA CITY_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,V. Oladipo makes 2-pt layup from 2 ft (assist by D. Sabonis),,2,0
1,1,11:19.0,,D. Cousins misses 2-pt jump shot from 19 ft,2,0
2,1,11:17.0,Defensive rebound by S. Adams,,2,0
3,1,11:03.0,D. Sabonis misses 2-pt jump shot from 18 ft,,2,0
4,1,11:02.0,,Defensive rebound by R. Gay,2,0
5,1,11:02.0,,Personal foul by D. Sabonis (drawn by D. Cousins),2,0
6,1,10:42.0,,D. Cousins makes 2-pt jump shot from 20 ft (assist by D. Collison),2,2
7,1,10:25.0,S. Adams misses 2-pt jump shot from 4 ft,,2,2
8,1,10:25.0,,Defensive rebound by D. Cousins,2,2
9,1,10:13.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by D. Collison),2,5
10,1,9:52.0,Shooting foul by R. Gay (drawn by R. Westbrook),,2,5
11,1,9:52.0,R. Westbrook makes free throw 1 of 2,,3,5
12,1,9:52.0,R. Westbrook makes free throw 2 of 2,,4,5
13,1,9:38.0,,A. Afflalo makes 2-pt jump shot from 17 ft,4,7
14,1,9:38.0,,Shooting foul by V. Oladipo (drawn by A. Afflalo),4,7
15,1,9:38.0,,A. Afflalo makes free throw 1 of 1,4,8
16,1,9:17.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,6,8
17,1,8:59.0,,Shooting foul by A. Roberson (drawn by R. Gay),6,8
18,1,8:59.0,,R. Gay makes free throw 1 of 2,6,9
19,1,8:59.0,,R. Gay makes free throw 2 of 2,6,10
20,1,8:53.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,8,10
21,1,8:36.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by M. Barnes),8,13
22,1,8:30.0,Oklahoma City full timeout,,8,13
23,1,8:21.0,V. Oladipo misses 3-pt jump shot from 25 ft,,8,13
24,1,8:21.0,,Defensive rebound by R. Gay,8,13
25,1,8:04.0,,M. Barnes misses 2-pt jump shot from 21 ft,8,13
