,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,LA CLIPPERS_ACTION,GOLDEN STATE_SCORE,LA CLIPPERS_SCORE
0,1,11:39.0,,Turnover by J. Redick (lost ball; steal by S. Curry),0,0
1,1,11:33.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,2,0
2,1,11:18.0,,Turnover by B. Griffin (lost ball; steal by S. Curry),2,0
3,1,11:13.0,S. Curry misses 3-pt jump shot from 28 ft,,2,0
4,1,11:12.0,Offensive rebound by J. McGee,,2,0
5,1,11:12.0,J. McGee makes 2-pt dunk at rim,,4,0
6,1,10:51.0,,Turnover by A. Rivers (lost ball; steal by P. McCaw),4,0
7,1,10:47.0,Shooting foul by B. Griffin (drawn by K. Durant),,4,0
8,1,10:47.0,K. Durant makes free throw 1 of 2,,5,0
9,1,10:47.0,K. Durant makes free throw 2 of 2,,6,0
10,1,10:38.0,,Personal block foul by J. McGee (drawn by D. Jordan),6,0
11,1,10:31.0,,Turnover by A. Rivers (lost ball; steal by J. McGee),6,0
12,1,10:27.0,Turnover by J. McGee (bad pass; steal by B. Griffin),,6,0
13,1,10:24.0,,B. Griffin makes 2-pt layup from 1 ft,6,2
14,1,10:08.0,K. Durant makes 2-pt dunk at rim (assist by S. Curry),,8,2
15,1,9:45.0,,Shooting foul by K. Thompson (drawn by B. Griffin),8,2
16,1,9:45.0,,B. Griffin makes free throw 1 of 2,8,3
17,1,9:45.0,,B. Griffin makes free throw 2 of 2,8,4
18,1,9:28.0,K. Durant misses 3-pt jump shot from 25 ft,,8,4
19,1,9:27.0,,Defensive rebound by R. Felton,8,4
20,1,9:18.0,,R. Felton misses 3-pt jump shot from 26 ft,8,4
21,1,9:16.0,Defensive rebound by J. McGee,,8,4
22,1,9:10.0,K. Thompson misses 2-pt jump shot from 14 ft,,8,4
23,1,9:08.0,Offensive rebound by Team,,8,4
24,1,8:57.0,P. McCaw makes 3-pt jump shot from 27 ft (assist by K. Thompson),,11,4
25,1,8:45.0,,Personal foul by K. Thompson (drawn by J. Redick),11,4
26,1,8:45.0,I. Clark enters the game for K. Thompson,,11,4
27,1,8:38.0,,R. Felton makes 2-pt layup from 1 ft,11,6
28,1,8:23.0,P. McCaw makes 3-pt jump shot from 22 ft (assist by K. Durant),,14,6
29,1,8:14.0,,D. Jordan makes 2-pt dunk at rim (assist by A. Rivers),14,8
30,1,7:53.0,I. Clark misses 3-pt jump shot from 24 ft,,14,8
31,1,7:53.0,,Defensive rebound by Team,14,8
32,1,7:41.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by R. Felton),14,11
33,1,7:19.0,S. Curry makes 2-pt layup from 2 ft (assist by K. Durant),,16,11
34,1,7:05.0,,Shooting foul by J. McGee (drawn by B. Griffin),16,11
35,1,7:05.0,,B. Griffin makes free throw 1 of 2,16,12
36,1,7:05.0,,B. Griffin makes free throw 2 of 2,16,13
37,1,6:45.0,K. Durant makes 2-pt jump shot from 17 ft (assist by S. Curry),,18,13
38,1,6:33.0,,B. Griffin makes 2-pt hook shot from 4 ft,18,15
39,1,6:23.0,J. McGee makes 2-pt dunk at rim,,20,15
40,1,6:12.0,,B. Griffin misses 2-pt jump shot from 18 ft,20,15
41,1,6:11.0,Defensive rebound by J. McGee,,20,15
42,1,6:01.0,P. McCaw misses 3-pt jump shot from 26 ft,,20,15
43,1,5:59.0,,Defensive rebound by J. Redick,20,15
44,1,5:50.0,,J. Redick misses 3-pt jump shot from 25 ft,20,15
45,1,5:48.0,Defensive rebound by J. McGee,,20,15
46,1,5:40.0,S. Curry misses 3-pt jump shot from 25 ft,,20,15
47,1,5:38.0,Offensive rebound by J. McGee,,20,15
48,1,5:37.0,Golden State full timeout,,20,15
49,1,5:18.0,K. Durant misses 2-pt jump shot from 7 ft,,20,15
50,1,5:14.0,Offensive rebound by J. McGee,,20,15
51,1,5:14.0,J. McGee makes 2-pt dunk at rim,,22,15
52,1,4:58.0,,Offensive foul by D. Jordan (drawn by J. McGee),22,15
53,1,4:58.0,,Turnover by D. Jordan (offensive foul),22,15
54,1,4:45.0,P. McCaw misses 2-pt layup from 4 ft (block by D. Jordan),,22,15
55,1,4:45.0,Offensive rebound by Team,,22,15
56,1,4:45.0,,J. Crawford enters the game for J. Redick,22,15
57,1,4:41.0,Turnover by S. Curry (lost ball),,22,15
58,1,4:28.0,,B. Griffin makes 2-pt dunk at rim (assist by R. Felton),22,17
59,1,4:07.0,S. Curry makes 2-pt jump shot from 6 ft (assist by K. Durant),,24,17
60,1,3:52.0,,Turnover by B. Griffin (bad pass; steal by P. McCaw),24,17
61,1,3:46.0,I. Clark makes 2-pt jump shot from 8 ft (assist by P. McCaw),,26,17
62,1,3:27.0,,Def 3 sec tech foul by J. McGee,26,17
63,1,3:27.0,,J. Crawford misses technical free throw,26,17
64,1,3:27.0,,Offensive rebound by Team,26,17
65,1,3:27.0,A. Varejão enters the game for J. McGee,,26,17
66,1,3:27.0,A. Iguodala enters the game for P. McCaw,,26,17
67,1,3:14.0,,B. Griffin misses 2-pt jump shot from 18 ft,26,17
68,1,3:13.0,Defensive rebound by S. Curry,,26,17
69,1,3:07.0,K. Durant misses 3-pt jump shot from 26 ft,,26,17
70,1,3:04.0,,Defensive rebound by J. Crawford,26,17
71,1,2:48.0,,A. Rivers misses 2-pt jump shot from 7 ft,26,17
72,1,2:46.0,Defensive rebound by I. Clark,,26,17
73,1,2:40.0,I. Clark misses 2-pt jump shot from 8 ft (block by A. Rivers),,26,17
74,1,2:37.0,,Defensive rebound by A. Rivers,26,17
75,1,2:37.0,,LA Clippers full timeout,26,17
76,1,2:37.0,,Technical foul by D. Jordan,26,17
77,1,2:37.0,,J. Redick enters the game for A. Rivers,26,17
