,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
0,1,12:00.0,Violation by Team (jump ball),,0,0
1,1,11:42.0,,S. Hill makes 3-pt jump shot from 26 ft (assist by A. Davis),0,3
2,1,11:13.0,D. Lee misses 2-pt jump shot from 18 ft,,0,3
3,1,11:13.0,Offensive rebound by L. Aldridge,,0,3
4,1,11:13.0,Shooting foul by B. Hield (drawn by L. Aldridge),,0,3
5,1,11:13.0,L. Aldridge misses free throw 1 of 2,,0,3
6,1,11:13.0,Offensive rebound by Team,,0,3
7,1,11:13.0,L. Aldridge makes free throw 2 of 2,,1,3
8,1,10:59.0,,Shooting foul by K. Leonard (drawn by A. Davis),1,3
9,1,10:59.0,,A. Davis misses free throw 1 of 2,1,3
10,1,10:59.0,,Offensive rebound by Team,1,3
11,1,10:59.0,,A. Davis makes free throw 2 of 2,1,4
12,1,10:37.0,L. Aldridge misses 2-pt jump shot from 8 ft,,1,4
13,1,10:36.0,,Defensive rebound by A. Davis,1,4
14,1,10:27.0,,Turnover by A. Davis (bad pass; steal by D. Green),1,4
15,1,10:12.0,T. Parker makes 2-pt jump shot from 6 ft,,3,4
16,1,9:56.0,,S. Hill misses 2-pt layup from 2 ft,3,4
17,1,9:55.0,Defensive rebound by L. Aldridge,,3,4
18,1,9:40.0,K. Leonard misses 3-pt jump shot from 25 ft,,3,4
19,1,9:39.0,,Defensive rebound by B. Hield,3,4
20,1,9:30.0,,B. Hield misses 2-pt jump shot from 14 ft,3,4
21,1,9:29.0,Defensive rebound by T. Parker,,3,4
22,1,9:19.0,T. Parker makes 2-pt layup from 2 ft,,5,4
23,1,9:08.0,,Turnover by J. Holiday (lost ball; steal by D. Green),5,4
24,1,8:57.0,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),,8,4
25,1,8:57.0,,New Orleans full timeout,8,4
26,1,8:44.0,,A. Davis misses 2-pt jump shot from 6 ft,8,4
27,1,8:44.0,,Offensive rebound by A. Davis,8,4
28,1,8:44.0,,Turnover by A. Davis (offensive goaltending),8,4
29,1,8:22.0,K. Leonard misses 2-pt jump shot from 21 ft,,8,4
30,1,8:21.0,,Defensive rebound by A. Davis,8,4
31,1,8:08.0,,S. Hill misses 3-pt jump shot from 26 ft,8,4
32,1,8:07.0,Defensive rebound by D. Lee,,8,4
33,1,7:55.0,Turnover by D. Lee (lost ball; steal by J. Holiday),,8,4
34,1,7:48.0,,S. Hill misses 2-pt jump shot from 3 ft,8,4
35,1,7:46.0,,Offensive rebound by B. Hield,8,4
