,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Plumlee),0,2
1,1,11:24.0,Shooting foul by T. Snell (drawn by B. Bogdanović),,0,2
2,1,11:24.0,B. Bogdanović makes free throw 1 of 2,,1,2
3,1,11:24.0,B. Bogdanović makes free throw 2 of 2,,2,2
4,1,11:06.0,,M. Dellavedova makes 2-pt jump shot from 10 ft,2,4
5,1,10:52.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,2,4
6,1,10:51.0,,Defensive rebound by M. Dellavedova,2,4
7,1,10:41.0,,J. Parker misses 2-pt jump shot from 7 ft,2,4
8,1,10:40.0,Defensive rebound by B. Bogdanović,,2,4
9,1,10:33.0,T. Booker misses 3-pt jump shot from 26 ft,,2,4
10,1,10:32.0,,Defensive rebound by G. Antetokounmpo,2,4
11,1,10:18.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,2,4
12,1,10:16.0,Defensive rebound by T. Booker,,2,4
13,1,10:04.0,J. Lin misses 3-pt jump shot from 26 ft,,2,4
14,1,10:03.0,,Defensive rebound by J. Parker,2,4
15,1,9:41.0,,M. Plumlee misses 2-pt jump shot from 10 ft,2,4
16,1,9:40.0,Defensive rebound by B. Bogdanović,,2,4
17,1,9:33.0,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft (block by G. Antetokounmpo),,2,4
18,1,9:31.0,,Defensive rebound by J. Parker,2,4
19,1,9:20.0,,J. Parker misses 2-pt layup from 1 ft,2,4
20,1,9:18.0,Defensive rebound by T. Booker,,2,4
21,1,9:14.0,T. Booker makes 2-pt layup at rim,,4,4
22,1,9:02.0,,Personal foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo),4,4
23,1,9:02.0,,G. Monroe enters the game for M. Plumlee,4,4
24,1,8:54.0,,G. Antetokounmpo misses 2-pt layup at rim,4,4
25,1,8:52.0,Defensive rebound by T. Booker,,4,4
26,1,8:50.0,Personal foul by J. Parker (drawn by T. Booker),,4,4
27,1,8:42.0,J. Lin misses 2-pt jump shot from 17 ft,,4,4
28,1,8:41.0,,Defensive rebound by J. Parker,4,4
29,1,8:34.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Parker),4,6
30,1,8:20.0,B. Bogdanović makes 2-pt dunk at rim (assist by J. Lin),,6,6
31,1,8:04.0,,R. Vaughn enters the game for T. Snell,6,6
32,1,7:53.0,,G. Monroe makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),6,8
33,1,7:33.0,B. Bogdanović makes 2-pt jump shot from 21 ft,,8,8
34,1,7:07.0,,J. Parker misses 3-pt jump shot from 24 ft,8,8
35,1,7:05.0,Defensive rebound by R. Hollis-Jefferson,,8,8
36,1,6:58.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,8,8
37,1,6:56.0,,Defensive rebound by G. Antetokounmpo,8,8
38,1,6:53.0,,Shooting foul by T. Booker (drawn by J. Parker),8,8
39,1,6:53.0,,J. Parker makes free throw 1 of 2,8,9
40,1,6:53.0,A. Bennett enters the game for T. Booker,,8,9
41,1,6:53.0,,J. Parker makes free throw 2 of 2,8,10
42,1,6:40.0,Turnover by J. Lin (lost ball; steal by G. Monroe),,8,10
43,1,6:10.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by G. Monroe),8,12
44,1,6:08.0,Turnover by R. Hollis-Jefferson (lost ball; steal by M. Dellavedova),,8,12
45,1,6:08.0,,Turnover by G. Monroe (lost ball; steal by J. Hamilton),8,12
46,1,5:59.0,,Milwaukee full timeout,8,12
47,1,5:59.0,J. Harris enters the game for B. Bogdanović,,8,12
48,1,5:59.0,G. Vásquez enters the game for J. Lin,,8,12
49,1,5:43.0,A. Bennett misses 3-pt jump shot from 23 ft,,8,12
50,1,5:42.0,,Defensive rebound by Team,8,12
51,1,5:25.0,,R. Vaughn makes 3-pt jump shot from 25 ft (assist by G. Monroe),8,15
52,1,5:08.0,A. Bennett misses 2-pt jump shot from 9 ft,,8,15
53,1,5:07.0,,Defensive rebound by J. Parker,8,15
54,1,4:48.0,,G. Monroe misses 2-pt hook shot from 6 ft,8,15
55,1,4:45.0,,Offensive rebound by G. Monroe,8,15
56,1,4:45.0,,G. Monroe misses 2-pt layup from 1 ft,8,15
57,1,4:43.0,,Offensive rebound by J. Parker,8,15
58,1,4:42.0,,J. Parker makes 2-pt layup from 1 ft,8,17
59,1,4:20.0,G. Vásquez misses 2-pt jump shot from 8 ft,,8,17
60,1,4:17.0,,Defensive rebound by M. Dellavedova,8,17
61,1,4:10.0,,R. Vaughn misses 2-pt jump shot from 18 ft,8,17
62,1,4:07.0,Defensive rebound by G. Vásquez,,8,17
63,1,3:57.0,J. Harris misses 3-pt jump shot from 24 ft,,8,17
64,1,3:55.0,,Defensive rebound by R. Vaughn,8,17
65,1,3:47.0,,J. Parker misses 2-pt jump shot from 4 ft (block by J. Hamilton),8,17
66,1,3:43.0,Defensive rebound by R. Hollis-Jefferson,,8,17
67,1,3:41.0,G. Vásquez makes 2-pt jump shot from 15 ft,,10,17
68,1,3:41.0,,Milwaukee full timeout,10,17
69,1,3:41.0,L. Scola enters the game for R. Hollis-Jefferson,,10,17
70,1,3:41.0,S. Kilpatrick enters the game for J. Hamilton,,10,17
71,1,3:41.0,,M. Teletović enters the game for J. Parker,10,17
72,1,3:41.0,,M. Brogdon enters the game for M. Dellavedova,10,17
73,1,3:26.0,,M. Brogdon misses 2-pt layup at rim,10,17
74,1,3:24.0,Defensive rebound by J. Harris,,10,17
75,1,3:14.0,A. Bennett misses 3-pt jump shot from 27 ft,,10,17
76,1,3:13.0,,Defensive rebound by G. Monroe,10,17
77,1,2:53.0,,M. Teletović makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),10,20
78,1,2:36.0,,M. Beasley enters the game for G. Antetokounmpo,10,20
79,1,2:36.0,J. Lin enters the game for A. Bennett,,10,20
80,1,2:36.0,T. Booker enters the game for G. Vásquez,,10,20
81,1,2:26.0,J. Lin misses 2-pt jump shot from 18 ft,,10,20
82,1,2:24.0,Offensive rebound by L. Scola,,10,20
83,1,2:20.0,J. Lin makes 3-pt jump shot from 27 ft (assist by S. Kilpatrick),,13,20
84,1,2:06.0,,Shooting foul by L. Scola (drawn by G. Monroe),13,20
85,1,2:06.0,,G. Monroe makes free throw 1 of 2,13,21
86,1,2:06.0,,G. Monroe makes free throw 2 of 2,13,22
87,1,1:54.0,S. Kilpatrick misses 3-pt jump shot from 25 ft,,13,22
88,1,1:51.0,Offensive rebound by L. Scola,,13,22
89,1,1:43.0,Turnover by J. Lin (bad pass; steal by M. Brogdon),,13,22
90,1,1:34.0,,G. Monroe misses 2-pt layup from 1 ft (block by T. Booker),13,22
91,1,1:30.0,Defensive rebound by Team,,13,22
92,1,1:29.0,Personal foul by M. Brogdon (drawn by J. Lin),,13,22
93,1,1:22.0,L. Scola makes 2-pt layup at rim,,15,22
94,1,1:02.0,,R. Vaughn makes 2-pt jump shot from 16 ft,15,24
95,1,0:48.0,Turnover by J. Harris (offensive foul),,15,24
96,1,0:48.0,,Offensive charge foul by J. Harris (drawn by G. Monroe),15,24
97,1,0:34.0,,M. Brogdon misses 3-pt jump shot from 24 ft,15,24
98,1,0:33.0,Defensive rebound by T. Booker,,15,24
99,1,0:29.0,S. Kilpatrick makes 2-pt layup from 2 ft,,17,24
100,1,0:29.0,Shooting foul by M. Beasley (drawn by S. Kilpatrick),,17,24
101,1,0:29.0,S. Kilpatrick makes free throw 1 of 1,,18,24
102,1,0:13.0,,M. Brogdon misses 2-pt jump shot from 8 ft (block by S. Kilpatrick),18,24
103,1,0:13.0,,Offensive rebound by Team,18,24
104,1,0:10.0,,R. Vaughn misses 3-pt jump shot from 25 ft,18,24
105,1,0:09.0,Defensive rebound by J. Lin,,18,24
106,1,0:03.0,J. Lin misses 2-pt layup from 2 ft (block by R. Vaughn),,18,24
107,1,0:02.0,,Defensive rebound by R. Vaughn,18,24
108,1,0:00.0,,R. Vaughn misses 3-pt jump shot from 35 ft,18,24
109,1,0:00.0,,Offensive rebound by Team,18,24
110,2,11:33.0,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by J. Lin),,20,24
111,2,11:15.0,,T. Snell misses 3-pt jump shot from 23 ft,20,24
112,2,11:13.0,Defensive rebound by T. Booker,,20,24
113,2,11:04.0,J. Lin misses 3-pt jump shot from 26 ft,,20,24
114,2,11:03.0,Offensive rebound by L. Scola,,20,24
115,2,10:52.0,T. Booker misses 2-pt hook shot from 6 ft,,20,24
116,2,10:51.0,,Defensive rebound by M. Teletović,20,24
117,2,10:40.0,,Shooting foul by S. Kilpatrick (drawn by M. Plumlee),20,24
118,2,10:40.0,,M. Plumlee misses free throw 1 of 2,20,24
119,2,10:40.0,,Offensive rebound by Team,20,24
120,2,10:40.0,,M. Plumlee makes free throw 2 of 2,20,25
121,2,10:31.0,Def 3 sec tech foul by M. Brogdon,,20,25
122,2,10:31.0,B. Bogdanović makes technical free throw,,21,25
123,2,10:25.0,S. Kilpatrick misses 2-pt jump shot from 7 ft,,21,25
124,2,10:25.0,Offensive rebound by Team,,21,25
125,2,10:21.0,Turnover by L. Scola (bad pass),,21,25
126,2,10:12.0,,M. Brogdon misses 2-pt jump shot from 14 ft,21,25
127,2,10:11.0,Defensive rebound by T. Booker,,21,25
128,2,10:04.0,Shooting foul by M. Plumlee (drawn by T. Booker),,21,25
129,2,10:04.0,T. Booker makes free throw 1 of 2,,22,25
130,2,10:04.0,T. Booker makes free throw 2 of 2,,23,25
131,2,9:50.0,,M. Beasley makes 2-pt jump shot from 20 ft (assist by M. Teletović),23,27
132,2,9:37.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by L. Scola),,26,27
133,2,9:17.0,,Turnover by M. Brogdon (lost ball; steal by L. Scola),26,27
134,2,9:00.0,J. Lin misses 2-pt layup from 2 ft,,26,27
135,2,8:57.0,Offensive rebound by J. Lin,,26,27
136,2,8:56.0,J. Lin makes 2-pt layup from 1 ft,,28,27
137,2,8:56.0,,Milwaukee full timeout,28,27
138,2,8:56.0,A. Bennett enters the game for T. Booker,,28,27
139,2,8:56.0,G. Vásquez enters the game for J. Lin,,28,27
140,2,8:56.0,,J. Henson enters the game for M. Plumlee,28,27
141,2,8:56.0,,M. Dellavedova enters the game for M. Brogdon,28,27
142,2,8:56.0,,J. Parker enters the game for M. Beasley,28,27
143,2,8:39.0,,T. Snell makes 2-pt jump shot from 10 ft (assist by M. Dellavedova),28,29
144,2,8:27.0,,Offensive charge foul by B. Bogdanović (drawn by M. Teletović),28,29
145,2,8:27.0,Turnover by B. Bogdanović (offensive foul),,28,29
146,2,8:17.0,,Turnover by J. Parker (bad pass; steal by S. Kilpatrick),28,29
147,2,8:13.0,Turnover by S. Kilpatrick (bad pass; steal by J. Henson),,28,29
148,2,8:08.0,,J. Parker makes 2-pt layup from 1 ft (assist by M. Dellavedova),28,31
149,2,7:43.0,L. Scola makes 3-pt jump shot (assist by S. Kilpatrick),,31,31
150,2,7:43.0,,Personal foul by S. Kilpatrick (drawn by J. Henson),31,31
