,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,HOUSTON_ACTION,BROOKLYN_SCORE,HOUSTON_SCORE
0,1,11:40.0,B. Bogdanović makes 2-pt layup from 2 ft,,2,0
1,1,11:20.0,,J. Harden makes 2-pt layup from 2 ft,2,2
2,1,11:05.0,Shooting foul by R. Anderson (drawn by B. Lopez),,2,2
3,1,11:05.0,B. Lopez makes free throw 1 of 2,,3,2
4,1,11:05.0,B. Lopez makes free throw 2 of 2,,4,2
5,1,10:54.0,,J. Harden misses 3-pt jump shot from 29 ft,4,2
6,1,10:52.0,,Offensive rebound by P. Beverley,4,2
7,1,10:45.0,,R. Anderson misses 3-pt jump shot from 26 ft,4,2
8,1,10:43.0,Defensive rebound by Team,,4,2
9,1,10:22.0,S. Kilpatrick makes 2-pt jump shot from 2 ft (assist by B. Lopez),,6,2
10,1,10:10.0,,Turnover by P. Beverley (bad pass; steal by B. Lopez),6,2
11,1,9:56.0,T. Booker misses 2-pt jump shot from 20 ft,,6,2
12,1,9:54.0,,Defensive rebound by J. Harden,6,2
13,1,9:46.0,,C. Capela makes 2-pt layup from 3 ft (assist by J. Harden),6,4
14,1,9:31.0,B. Bogdanović misses 2-pt jump shot from 6 ft,,6,4
15,1,9:29.0,,Defensive rebound by J. Harden,6,4
16,1,9:25.0,,Turnover by J. Harden (bad pass; steal by T. Booker),6,4
17,1,9:19.0,T. Booker misses 2-pt layup from 1 ft,,6,4
18,1,9:18.0,,Defensive rebound by C. Capela,6,4
19,1,9:10.0,,T. Ariza misses 3-pt jump shot from 25 ft,6,4
20,1,9:08.0,Defensive rebound by T. Booker,,6,4
21,1,8:49.0,B. Lopez misses 2-pt jump shot from 9 ft,,6,4
22,1,8:47.0,Offensive rebound by Team,,6,4
23,1,8:36.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by I. Whitehead),,9,4
24,1,8:24.0,,R. Anderson misses 3-pt jump shot from 27 ft,9,4
25,1,8:23.0,Defensive rebound by B. Bogdanović,,9,4
26,1,8:12.0,I. Whitehead misses 3-pt jump shot from 24 ft,,9,4
27,1,8:10.0,,Defensive rebound by R. Anderson,9,4
28,1,8:00.0,,C. Capela makes 2-pt layup from 2 ft (assist by R. Anderson),9,6
29,1,7:49.0,Turnover by S. Kilpatrick (bad pass; steal by T. Ariza),,9,6
30,1,7:46.0,,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),9,8
31,1,7:46.0,Brooklyn full timeout,,9,8
32,1,7:35.0,I. Whitehead makes 2-pt layup from 2 ft,,11,8
33,1,7:16.0,,R. Anderson makes 3-pt jump shot from 25 ft (assist by J. Harden),11,11
34,1,7:03.0,Turnover by S. Kilpatrick (traveling),,11,11
35,1,7:03.0,A. Bennett enters the game for B. Lopez,,11,11
36,1,6:44.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by J. Harden),11,14
37,1,6:31.0,Turnover by S. Kilpatrick (bad pass),,11,14
38,1,6:15.0,,R. Anderson makes 2-pt jump shot from 7 ft,11,16
39,1,6:15.0,,Shooting foul by T. Booker (drawn by R. Anderson),11,16
40,1,6:15.0,,R. Anderson misses free throw 1 of 1,11,16
41,1,6:15.0,J. Harris enters the game for S. Kilpatrick,,11,16
42,1,6:15.0,,E. Gordon enters the game for P. Beverley,11,16
43,1,6:14.0,Defensive rebound by J. Harris,,11,16
44,1,5:58.0,I. Whitehead makes 2-pt jump shot from 7 ft (assist by J. Harris),,13,16
45,1,5:51.0,,Personal foul by T. Booker (drawn by R. Anderson),13,16
46,1,5:51.0,,R. Anderson makes free throw 1 of 2,13,17
47,1,5:51.0,,N. Hilário enters the game for C. Capela,13,17
48,1,5:51.0,R. Hollis-Jefferson enters the game for T. Booker,,13,17
49,1,5:51.0,,R. Anderson makes free throw 2 of 2,13,18
50,1,5:42.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,13,18
51,1,5:42.0,,Defensive rebound by Team,13,18
52,1,5:42.0,Loose ball foul by B. Bogdanović (drawn by R. Anderson),,13,18
53,1,5:34.0,,N. Hilário makes 2-pt dunk at rim (assist by J. Harden),13,20
54,1,5:21.0,Shooting foul by N. Hilário (drawn by J. Harris),,13,20
55,1,5:21.0,J. Harris makes free throw 1 of 2,,14,20
56,1,5:21.0,J. Harris makes free throw 2 of 2,,15,20
57,1,5:04.0,,J. Harden makes 2-pt jump shot from 12 ft,15,22
58,1,4:53.0,Turnover by I. Whitehead (lost ball; steal by J. Harden),,15,22
59,1,4:48.0,,J. Harden makes 3-pt jump shot from 25 ft,15,25
60,1,4:26.0,B. Bogdanović misses 2-pt jump shot from 6 ft (block by T. Ariza),,15,25
61,1,4:24.0,,Defensive rebound by T. Ariza,15,25
62,1,4:14.0,,Shooting foul by J. Harris (drawn by J. Harden),15,25
63,1,4:14.0,,J. Harden misses free throw 1 of 2,15,25
64,1,4:14.0,,Offensive rebound by Team,15,25
65,1,4:14.0,,S. Dekker enters the game for R. Anderson,15,25
66,1,4:14.0,J. Lin enters the game for I. Whitehead,,15,25
67,1,4:14.0,,J. Harden makes free throw 2 of 2,15,26
68,1,4:01.0,J. Harris misses 3-pt jump shot from 25 ft,,15,26
69,1,4:00.0,,Defensive rebound by J. Harden,15,26
70,1,3:51.0,,T. Ariza misses 3-pt jump shot from 25 ft,15,26
71,1,3:50.0,,Offensive rebound by J. Harden,15,26
72,1,3:36.0,,Turnover by E. Gordon (lost ball; steal by R. Hollis-Jefferson),15,26
73,1,3:33.0,Shooting foul by T. Ariza (drawn by R. Hollis-Jefferson),,15,26
74,1,3:33.0,R. Hollis-Jefferson makes free throw 1 of 2,,16,26
75,1,3:33.0,S. Kilpatrick enters the game for B. Bogdanović,,16,26
76,1,3:33.0,R. Hollis-Jefferson makes free throw 2 of 2,,17,26
77,1,3:18.0,,Shooting foul by J. Harris (drawn by T. Ariza),17,26
78,1,3:18.0,,T. Ariza misses free throw 1 of 2,17,26
79,1,3:18.0,,Offensive rebound by Team,17,26
80,1,3:18.0,B. Lopez enters the game for A. Bennett,,17,26
81,1,3:18.0,,T. Ariza makes free throw 2 of 2,17,27
82,1,3:03.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by B. Lopez),,20,27
83,1,2:48.0,,E. Gordon misses 2-pt jump shot from 20 ft,20,27
84,1,2:47.0,Defensive rebound by J. Harris,,20,27
85,1,2:38.0,J. Lin misses 2-pt jump shot from 8 ft,,20,27
86,1,2:37.0,Offensive rebound by R. Hollis-Jefferson,,20,27
87,1,2:29.0,B. Lopez misses 2-pt layup from 1 ft,,20,27
88,1,2:28.0,,Defensive rebound by J. Harden,20,27
89,1,2:16.0,,S. Dekker misses 2-pt jump shot from 4 ft,20,27
90,1,2:15.0,,Offensive rebound by N. Hilário,20,27
91,1,2:11.0,,E. Gordon misses 3-pt jump shot from 27 ft,20,27
92,1,2:10.0,,Offensive rebound by N. Hilário,20,27
