,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,M. Gortat makes 2-pt hook shot from 7 ft (assist by B. Beal),0,2
1,1,11:14.0,P. Gasol makes 2-pt jump shot from 16 ft,,2,2
2,1,10:55.0,,M. Morris misses 2-pt jump shot from 12 ft,2,2
3,1,10:53.0,Defensive rebound by L. Aldridge,,2,2
4,1,10:43.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),,4,2
5,1,10:27.0,,J. Wall makes 2-pt jump shot from 16 ft,4,4
6,1,10:12.0,K. Leonard misses 3-pt jump shot from 27 ft,,4,4
7,1,10:11.0,,Defensive rebound by M. Gortat,4,4
8,1,10:04.0,,B. Beal makes 3-pt jump shot from 26 ft,4,7
9,1,9:35.0,L. Aldridge misses 2-pt jump shot from 19 ft,,4,7
10,1,9:34.0,,Defensive rebound by O. Porter,4,7
11,1,9:23.0,,M. Morris makes 2-pt jump shot from 14 ft,4,9
12,1,9:05.0,P. Gasol misses 2-pt jump shot from 16 ft,,4,9
13,1,9:04.0,,Defensive rebound by Team,4,9
14,1,8:58.0,Loose ball foul by L. Aldridge (drawn by M. Gortat),,4,9
15,1,8:49.0,,B. Beal misses 2-pt jump shot from 14 ft,4,9
16,1,8:49.0,Defensive rebound by Team,,4,9
17,1,8:39.0,T. Parker misses 2-pt jump shot from 18 ft,,4,9
18,1,8:37.0,,Defensive rebound by Team,4,9
19,1,8:22.0,,M. Gortat misses 2-pt hook shot from 7 ft,4,9
20,1,8:21.0,Defensive rebound by L. Aldridge,,4,9
21,1,8:02.0,L. Aldridge makes 2-pt hook shot from 6 ft,,6,9
22,1,7:46.0,,J. Wall misses 2-pt jump shot from 12 ft,6,9
23,1,7:44.0,Defensive rebound by P. Gasol,,6,9
24,1,7:32.0,K. Leonard makes 2-pt jump shot from 5 ft,,8,9
25,1,7:32.0,Shooting foul by M. Morris (drawn by K. Leonard),,8,9
26,1,7:32.0,K. Leonard makes free throw 1 of 1,,9,9
27,1,7:15.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),9,12
28,1,6:58.0,K. Leonard makes 3-pt jump shot from 27 ft,,12,12
29,1,6:33.0,,Turnover by M. Morris (bad pass; steal by L. Aldridge),12,12
30,1,6:17.0,Personal block foul by M. Morris (drawn by K. Leonard),,12,12
31,1,6:17.0,San Antonio full timeout,,12,12
32,1,6:17.0,,A. Nicholson enters the game for M. Morris,12,12
33,1,6:02.0,K. Leonard misses 3-pt jump shot from 25 ft,,12,12
34,1,6:00.0,,Defensive rebound by O. Porter,12,12
35,1,5:48.0,,J. Wall makes 2-pt jump shot from 11 ft,12,14
36,1,5:29.0,Turnover by T. Parker (bad pass; steal by J. Wall),,12,14
37,1,5:21.0,,B. Beal misses 2-pt jump shot from 18 ft,12,14
38,1,5:20.0,Defensive rebound by D. Green,,12,14
39,1,5:19.0,Turnover by D. Green (lost ball),,12,14
40,1,5:19.0,D. Lee enters the game for P. Gasol,,12,14
41,1,5:16.0,P. Mills enters the game for T. Parker,,12,14
42,1,5:06.0,,Turnover by J. Wall (lost ball; steal by K. Leonard),12,14
43,1,4:59.0,D. Green misses 3-pt jump shot from 27 ft,,12,14
44,1,4:58.0,,Defensive rebound by M. Gortat,12,14
45,1,4:47.0,,A. Nicholson misses 3-pt jump shot from 26 ft,12,14
46,1,4:45.0,Defensive rebound by D. Green,,12,14
47,1,4:34.0,Personal foul by A. Nicholson (drawn by K. Leonard),,12,14
48,1,4:34.0,J. Simmons enters the game for D. Green,,12,14
49,1,4:34.0,,I. Mahinmi enters the game for M. Gortat,12,14
50,1,4:30.0,P. Mills makes 3-pt jump shot from 25 ft (assist by J. Simmons),,15,14
51,1,4:16.0,,O. Porter misses 2-pt jump shot from 11 ft,15,14
52,1,4:14.0,Defensive rebound by D. Lee,,15,14
53,1,4:05.0,P. Mills makes 2-pt jump shot from 18 ft,,17,14
54,1,3:52.0,,J. Wall misses 2-pt jump shot from 12 ft,17,14
55,1,3:50.0,Defensive rebound by L. Aldridge,,17,14
56,1,3:46.0,P. Mills misses 3-pt jump shot from 26 ft,,17,14
57,1,3:44.0,,Defensive rebound by A. Nicholson,17,14
58,1,3:27.0,,B. Beal misses 2-pt jump shot from 13 ft,17,14
59,1,3:25.0,,Offensive rebound by O. Porter,17,14
60,1,3:24.0,,O. Porter makes 2-pt layup from 2 ft,17,16
61,1,3:24.0,,Shooting foul by K. Leonard (drawn by O. Porter),17,16
62,1,3:24.0,,O. Porter makes free throw 1 of 1,17,17
63,1,3:12.0,L. Aldridge misses 3-pt jump shot from 23 ft,,17,17
64,1,3:10.0,,Defensive rebound by B. Beal,17,17
