,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PORTLAND_ACTION,HOUSTON_SCORE,PORTLAND_SCORE
0,1,11:36.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,2,0
1,1,11:21.0,,Personal foul by J. Harden (drawn by M. Harkless),2,0
2,1,11:11.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by C. McCollum),2,3
3,1,10:54.0,T. Ariza misses 3-pt jump shot from 22 ft,,2,3
4,1,10:54.0,,Defensive rebound by M. Plumlee,2,3
5,1,10:40.0,,C. McCollum makes 2-pt jump shot from 14 ft,2,5
6,1,10:30.0,J. Harden misses 2-pt layup from 1 ft (block by M. Harkless),,2,5
7,1,10:30.0,,Defensive rebound by Team,2,5
8,1,10:09.0,,M. Harkless makes 2-pt jump shot from 20 ft (assist by M. Plumlee),2,7
9,1,9:56.0,J. Harden makes 2-pt layup from 2 ft,,4,7
10,1,9:47.0,,D. Lillard misses 3-pt jump shot from 27 ft,4,7
11,1,9:46.0,,Offensive rebound by D. Lillard,4,7
12,1,9:33.0,,Turnover by D. Lillard (bad pass; steal by J. Harden),4,7
13,1,9:30.0,T. Ariza makes 2-pt dunk at rim (assist by J. Harden),,6,7
14,1,9:20.0,,M. Harkless misses 2-pt jump shot from 22 ft,6,7
15,1,9:20.0,Defensive rebound by J. Harden,,6,7
16,1,9:10.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,8,7
17,1,8:52.0,,C. McCollum makes 3-pt jump shot from 24 ft (assist by D. Lillard),8,10
18,1,8:43.0,J. Harden makes 3-pt jump shot from 25 ft,,11,10
19,1,8:24.0,,E. Davis makes 2-pt layup from 1 ft,11,12
20,1,8:24.0,,D. Lillard misses 2-pt layup from 1 ft,11,12
21,1,8:24.0,,Offensive rebound by E. Davis,11,12
22,1,8:01.0,J. Harden misses 3-pt jump shot from 25 ft,,11,12
23,1,8:01.0,,Defensive rebound by Team,11,12
24,1,7:43.0,,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Plumlee),11,15
25,1,7:30.0,R. Anderson makes 2-pt layup from 2 ft,,13,15
26,1,7:20.0,,Offensive foul by M. Plumlee (drawn by P. Beverley),13,15
27,1,7:20.0,,Turnover by M. Plumlee (offensive foul),13,15
28,1,7:07.0,J. Harden makes 2-pt layup at rim,,15,15
29,1,6:49.0,,M. Plumlee makes 2-pt dunk at rim (assist by D. Lillard),15,17
30,1,6:30.0,R. Anderson misses 3-pt jump shot from 28 ft,,15,17
31,1,6:30.0,,Defensive rebound by E. Davis,15,17
32,1,6:22.0,,D. Lillard makes 2-pt layup from 1 ft,15,19
33,1,6:04.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by P. Beverley),,18,19
34,1,5:59.0,,Portland full timeout,18,19
35,1,5:48.0,,M. Harkless misses 2-pt layup from 2 ft (block by C. Capela),18,19
36,1,5:48.0,,Offensive rebound by M. Plumlee,18,19
37,1,5:43.0,,M. Plumlee makes 2-pt layup from 3 ft,18,21
38,1,5:32.0,P. Beverley misses 3-pt jump shot from 23 ft,,18,21
39,1,5:30.0,,Defensive rebound by C. McCollum,18,21
40,1,5:20.0,,Shooting foul by C. Capela (drawn by C. McCollum),18,21
41,1,5:20.0,,C. McCollum makes free throw 1 of 2,18,22
42,1,5:20.0,,C. McCollum makes free throw 2 of 2,18,23
43,1,5:04.0,J. Harden makes 3-pt jump shot from 25 ft (assist by R. Anderson),,21,23
44,1,4:50.0,,Personal foul by R. Anderson (drawn by D. Lillard),21,23
45,1,4:50.0,E. Gordon enters the game for P. Beverley,,21,23
46,1,4:36.0,,M. Plumlee misses 2-pt jump shot from 19 ft,21,23
47,1,4:35.0,Defensive rebound by R. Anderson,,21,23
48,1,4:22.0,R. Anderson makes 2-pt jump shot from 18 ft (assist by T. Ariza),,23,23
49,1,4:05.0,,E. Davis makes 2-pt layup from 1 ft (assist by D. Lillard),23,25
50,1,3:58.0,Personal foul by D. Lillard (drawn by T. Ariza),,23,25
51,1,3:58.0,,A. Crabbe enters the game for C. McCollum,23,25
52,1,3:58.0,,E. Turner enters the game for M. Harkless,23,25
53,1,3:49.0,S. Dekker enters the game for R. Anderson,,23,25
54,1,3:41.0,E. Gordon makes 2-pt layup at rim,,25,25
55,1,3:33.0,,Turnover by A. Crabbe (bad pass; steal by E. Gordon),25,25
56,1,3:27.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,27,25
57,1,3:08.0,,E. Turner makes 3-pt jump shot from 24 ft (assist by D. Lillard),27,28
58,1,2:44.0,S. Dekker misses 3-pt jump shot from 23 ft,,27,28
59,1,2:43.0,,Defensive rebound by A. Crabbe,27,28
60,1,2:34.0,,D. Lillard makes 2-pt layup from 1 ft,27,30
61,1,2:34.0,Houston full timeout,,27,30
62,1,2:34.0,N. Hilário enters the game for C. Capela,,27,30
63,1,2:34.0,,M. Leonard enters the game for E. Davis,27,30
64,1,2:34.0,,S. Napier enters the game for M. Plumlee,27,30
65,1,2:22.0,E. Gordon misses 3-pt jump shot from 25 ft,,27,30
66,1,2:21.0,,Defensive rebound by A. Crabbe,27,30
67,1,2:10.0,,M. Leonard makes 2-pt hook shot from 9 ft (assist by D. Lillard),27,32
