,QUARTER,TIME_REMAINING,DETROIT_ACTION,CHICAGO_ACTION,DETROIT_SCORE,CHICAGO_SCORE
0,1,11:45.0,,D. Wade makes 2-pt jump shot from 6 ft,0,2
1,1,11:33.0,Turnover by T. Harris (bad pass; steal by J. Butler),,0,2
2,1,11:20.0,,R. Lopez misses 2-pt jump shot from 6 ft,0,2
3,1,11:19.0,Defensive rebound by T. Harris,,0,2
4,1,10:58.0,A. Drummond misses 2-pt hook shot from 11 ft,,0,2
5,1,10:57.0,,Defensive rebound by T. Gibson,0,2
6,1,10:47.0,,T. Gibson makes 2-pt jump shot from 16 ft (assist by D. Wade),0,4
7,1,10:31.0,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,,0,4
8,1,10:30.0,,Defensive rebound by R. Rondo,0,4
9,1,10:15.0,,R. Lopez makes 2-pt jump shot from 15 ft (assist by J. Butler),0,6
10,1,9:51.0,T. Harris misses 3-pt jump shot from 24 ft,,0,6
11,1,9:51.0,,Defensive rebound by R. Rondo,0,6
12,1,9:42.0,,Personal foul by R. Jackson (drawn by R. Rondo),0,6
13,1,9:37.0,,J. Butler makes 2-pt jump shot from 21 ft (assist by R. Rondo),0,8
14,1,9:13.0,T. Harris misses 2-pt layup from 1 ft,,0,8
15,1,9:12.0,Offensive rebound by A. Drummond,,0,8
16,1,9:12.0,A. Drummond makes 2-pt layup from 2 ft,,2,8
17,1,8:51.0,,D. Wade makes 2-pt jump shot from 6 ft (assist by J. Butler),2,10
18,1,8:33.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,2,10
19,1,8:32.0,,Defensive rebound by R. Rondo,2,10
20,1,8:12.0,,R. Lopez makes 2-pt hook shot from 10 ft (assist by J. Butler),2,12
21,1,8:05.0,Detroit full timeout,,2,12
22,1,7:50.0,Turnover by M. Morris (bad pass; steal by R. Rondo),,2,12
23,1,7:46.0,,D. Wade makes 2-pt layup from 2 ft (assist by R. Rondo),2,14
24,1,7:32.0,T. Harris makes 2-pt jump shot from 9 ft (assist by R. Jackson),,4,14
25,1,7:17.0,,R. Rondo misses 2-pt jump shot from 9 ft,4,14
26,1,7:17.0,,Offensive rebound by R. Lopez,4,14
27,1,7:14.0,,R. Lopez makes 2-pt dunk at rim (assist by J. Butler),4,16
28,1,6:58.0,T. Harris makes 2-pt jump shot from 9 ft (assist by M. Morris),,6,16
29,1,6:38.0,,D. Wade misses 2-pt jump shot from 12 ft (block by K. Caldwell-Pope),6,16
30,1,6:36.0,,Offensive rebound by R. Lopez,6,16
31,1,6:33.0,,T. Gibson makes 2-pt jump shot from 7 ft (assist by R. Rondo),6,18
32,1,6:06.0,M. Morris misses 3-pt jump shot from 25 ft,,6,18
33,1,6:05.0,,Defensive rebound by R. Lopez,6,18
34,1,5:50.0,,J. Butler makes 3-pt jump shot from 23 ft (assist by R. Rondo),6,21
35,1,5:21.0,M. Morris makes 2-pt jump shot from 21 ft,,8,21
36,1,5:07.0,,R. Lopez makes 2-pt hook shot from 5 ft (assist by R. Rondo),8,23
37,1,4:46.0,M. Morris makes 2-pt layup from 1 ft,,10,23
38,1,4:25.0,Violation by A. Drummond (def goaltending),,10,23
39,1,4:25.0,,D. Wade makes 2-pt layup from 2 ft (assist by J. Butler),10,25
40,1,4:25.0,T. Harris misses 3-pt jump shot from 24 ft,,10,25
