,QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,R. Rondo misses 2-pt jump shot from 8 ft,,0,0
1,1,11:37.0,,Defensive rebound by L. Aldridge,0,0
2,1,11:18.0,,L. Aldridge makes 2-pt jump shot from 21 ft (assist by T. Parker),0,2
3,1,11:02.0,J. Butler misses 2-pt jump shot from 21 ft,,0,2
4,1,11:00.0,,Defensive rebound by L. Aldridge,0,2
5,1,10:51.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),0,4
6,1,10:35.0,R. Rondo misses 3-pt jump shot from 23 ft,,0,4
7,1,10:33.0,,Defensive rebound by D. Green,0,4
8,1,10:28.0,,Turnover by T. Parker (lost ball; steal by R. Rondo),0,4
9,1,10:18.0,T. Gibson misses 2-pt jump shot from 18 ft,,0,4
10,1,10:16.0,Offensive rebound by R. Rondo,,0,4
11,1,10:12.0,J. Butler misses 3-pt jump shot from 25 ft,,0,4
12,1,10:11.0,,Defensive rebound by P. Gasol,0,4
13,1,10:02.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by K. Leonard),0,6
14,1,9:36.0,R. Lopez misses 2-pt jump shot from 19 ft,,0,6
15,1,9:36.0,,Defensive rebound by L. Aldridge,0,6
16,1,9:25.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),0,8
17,1,9:25.0,Chicago full timeout,,0,8
18,1,9:10.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by D. Wade),,2,8
19,1,8:48.0,,K. Leonard makes 3-pt jump shot from 26 ft (assist by T. Parker),2,11
20,1,8:22.0,D. Wade misses 3-pt jump shot from 25 ft,,2,11
21,1,8:21.0,,Defensive rebound by D. Green,2,11
22,1,8:09.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Parker),2,14
23,1,7:53.0,T. Gibson misses 2-pt jump shot from 17 ft,,2,14
24,1,7:51.0,,Defensive rebound by K. Leonard,2,14
25,1,7:41.0,,Shooting foul by J. Butler (drawn by K. Leonard),2,14
26,1,7:41.0,,K. Leonard makes free throw 1 of 3,2,15
27,1,7:41.0,,K. Leonard makes free throw 2 of 3,2,16
28,1,7:41.0,,K. Leonard makes free throw 3 of 3,2,17
29,1,7:30.0,Turnover by R. Lopez (lost ball; steal by T. Parker),,2,17
30,1,7:19.0,,Turnover by T. Parker (bad pass; steal by D. Wade),2,17
31,1,7:13.0,D. Wade makes 2-pt layup from 2 ft,,4,17
32,1,7:04.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by K. Leonard),4,19
33,1,6:42.0,D. Wade makes 2-pt jump shot from 9 ft,,6,19
34,1,6:28.0,,T. Parker misses 2-pt jump shot from 14 ft,6,19
35,1,6:25.0,Defensive rebound by T. Gibson,,6,19
36,1,6:13.0,T. Gibson misses 2-pt jump shot from 18 ft,,6,19
37,1,6:13.0,,Defensive rebound by T. Parker,6,19
38,1,6:07.0,,L. Aldridge makes 2-pt dunk at rim (assist by D. Green),6,21
39,1,5:50.0,D. Wade makes 2-pt jump shot from 13 ft,,8,21
40,1,5:38.0,,K. Leonard makes 2-pt jump shot from 20 ft (assist by P. Gasol),8,23
41,1,5:24.0,J. Butler misses 2-pt jump shot from 16 ft,,8,23
42,1,5:23.0,,Defensive rebound by L. Aldridge,8,23
43,1,5:10.0,,P. Gasol makes 3-pt jump shot from 23 ft (assist by L. Aldridge),8,26
44,1,5:09.0,Chicago full timeout,,8,26
45,1,5:09.0,,D. Lee enters the game for P. Gasol,8,26
46,1,5:09.0,,P. Mills enters the game for T. Parker,8,26
47,1,5:09.0,N. Mirotić enters the game for T. Gibson,,8,26
48,1,5:09.0,D. McDermott enters the game for D. Wade,,8,26
49,1,4:59.0,J. Butler misses 2-pt jump shot from 18 ft,,8,26
50,1,4:58.0,Offensive rebound by R. Lopez,,8,26
51,1,4:55.0,Turnover by R. Lopez (lost ball; steal by K. Leonard),,8,26
52,1,4:38.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by P. Mills),8,28
53,1,4:15.0,R. Rondo misses 2-pt layup from 1 ft,,8,28
54,1,4:14.0,Offensive rebound by R. Lopez,,8,28
55,1,4:12.0,R. Lopez makes 2-pt layup from 1 ft,,10,28
56,1,3:58.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Green),10,30
57,1,3:34.0,N. Mirotić misses 2-pt jump shot from 21 ft,,10,30
58,1,3:34.0,Offensive rebound by Team,,10,30
59,1,3:34.0,,Loose ball foul by L. Aldridge (drawn by R. Lopez),10,30
60,1,3:34.0,,J. Simmons enters the game for D. Green,10,30
61,1,3:34.0,C. Felício enters the game for R. Lopez,,10,30
62,1,3:20.0,N. Mirotić makes 3-pt jump shot from 23 ft (assist by C. Felício),,13,30
63,1,3:09.0,,Turnover by K. Leonard (bad pass; steal by N. Mirotić),13,30
64,1,3:00.0,D. McDermott misses 2-pt jump shot from 18 ft,,13,30
65,1,2:58.0,Offensive rebound by R. Rondo,,13,30
66,1,2:55.0,Turnover by D. McDermott (lost ball; steal by P. Mills),,13,30
67,1,2:52.0,,Turnover by P. Mills (bad pass; steal by R. Rondo),13,30
68,1,2:48.0,J. Butler makes 2-pt dunk at rim (assist by N. Mirotić),,15,30
69,1,2:48.0,,San Antonio full timeout,15,30
70,1,2:48.0,J. Grant enters the game for R. Rondo,,15,30
71,1,2:28.0,,K. Leonard misses 2-pt jump shot from 14 ft,15,30
72,1,2:26.0,Defensive rebound by N. Mirotić,,15,30
73,1,2:04.0,N. Mirotić makes 3-pt jump shot from 27 ft (assist by D. McDermott),,18,30
74,1,1:50.0,,D. Lee makes 2-pt dunk at rim (assist by K. Leonard),18,32
75,1,1:33.0,D. McDermott makes 2-pt dunk at rim (assist by C. Felício),,20,32
76,1,1:08.0,,J. Simmons misses 3-pt jump shot from 25 ft,20,32
77,1,1:07.0,Defensive rebound by Team,,20,32
78,1,1:07.0,,M. Ginóbili enters the game for J. Simmons,20,32
79,1,1:07.0,D. Wade enters the game for J. Butler,,20,32
80,1,1:07.0,,D. Green enters the game for K. Leonard,20,32
