,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,ATLANTA_ACTION,CHARLOTTE_SCORE,ATLANTA_SCORE
0,1,11:42.0,,D. Schröder misses 2-pt layup from 3 ft,0,0
1,1,11:41.0,Defensive rebound by C. Zeller,,0,0
2,1,11:32.0,K. Walker misses 2-pt jump shot from 19 ft,,0,0
3,1,11:31.0,,Defensive rebound by D. Howard,0,0
4,1,11:16.0,,T. Sefolosha makes 3-pt jump shot from 24 ft (assist by D. Schröder),0,3
5,1,10:59.0,M. Williams misses 3-pt jump shot from 25 ft,,0,3
6,1,10:58.0,,Defensive rebound by T. Hardaway,0,3
7,1,10:46.0,,P. Millsap misses 2-pt jump shot from 15 ft,0,3
8,1,10:45.0,Defensive rebound by C. Zeller,,0,3
9,1,10:34.0,C. Zeller misses 2-pt jump shot from 6 ft (block by T. Hardaway),,0,3
10,1,10:32.0,,Defensive rebound by T. Hardaway,0,3
11,1,10:13.0,,T. Hardaway makes 2-pt layup from 3 ft (assist by D. Schröder),0,5
12,1,10:00.0,M. Williams makes 3-pt jump shot from 24 ft (assist by K. Walker),,3,5
13,1,9:46.0,,T. Hardaway misses 3-pt jump shot from 25 ft,3,5
14,1,9:44.0,Defensive rebound by M. Williams,,3,5
15,1,9:37.0,K. Walker makes 3-pt jump shot from 24 ft,,6,5
16,1,9:17.0,,T. Sefolosha misses 2-pt jump shot from 19 ft,6,5
17,1,9:16.0,Defensive rebound by M. Williams,,6,5
18,1,9:09.0,K. Walker misses 3-pt jump shot from 25 ft,,6,5
19,1,9:08.0,Offensive rebound by Team,,6,5
20,1,9:08.0,,Loose ball foul by T. Sefolosha (drawn by C. Zeller),6,5
21,1,8:56.0,N. Batum misses 2-pt jump shot from 12 ft,,6,5
22,1,8:56.0,Offensive rebound by Team,,6,5
23,1,8:51.0,C. Zeller makes 2-pt jump shot from 19 ft (assist by K. Walker),,8,5
24,1,8:39.0,,Personal foul by N. Batum (drawn by T. Sefolosha),8,5
25,1,8:29.0,,D. Schröder makes 2-pt jump shot from 18 ft,8,7
26,1,8:11.0,M. Williams misses 2-pt jump shot from 9 ft,,8,7
27,1,8:09.0,,Defensive rebound by D. Howard,8,7
28,1,7:56.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by P. Millsap),8,10
29,1,7:41.0,N. Batum misses 2-pt jump shot from 20 ft,,8,10
30,1,7:38.0,Offensive rebound by M. Kidd-Gilchrist,,8,10
31,1,7:32.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,8,10
32,1,7:31.0,,Defensive rebound by D. Howard,8,10
33,1,7:15.0,,Turnover by T. Sefolosha (bad pass; steal by N. Batum),8,10
34,1,7:07.0,N. Batum misses 2-pt jump shot from 16 ft,,8,10
35,1,7:06.0,,Defensive rebound by D. Howard,8,10
36,1,6:45.0,,T. Hardaway makes 3-pt jump shot from 24 ft,8,13
37,1,6:24.0,N. Batum misses 2-pt jump shot from 17 ft,,8,13
38,1,6:22.0,,Defensive rebound by D. Howard,8,13
39,1,6:09.0,,P. Millsap makes 2-pt jump shot from 7 ft,8,15
40,1,6:08.0,Charlotte full timeout,,8,15
41,1,6:08.0,,M. Muscala enters the game for D. Howard,8,15
42,1,5:50.0,K. Walker misses 2-pt jump shot from 19 ft,,8,15
43,1,5:47.0,,Defensive rebound by T. Sefolosha,8,15
44,1,5:35.0,,T. Hardaway misses 3-pt jump shot from 24 ft,8,15
45,1,5:34.0,Defensive rebound by M. Williams,,8,15
46,1,5:22.0,C. Zeller makes 2-pt layup from 1 ft,,10,15
47,1,5:00.0,Offensive charge foul by P. Millsap (drawn by C. Zeller),,10,15
48,1,5:00.0,,Turnover by P. Millsap (offensive foul),10,15
49,1,5:00.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,10,15
50,1,5:00.0,M. Belinelli enters the game for M. Williams,,10,15
51,1,5:00.0,,K. Bazemore enters the game for T. Sefolosha,10,15
52,1,4:53.0,N. Batum misses 2-pt jump shot from 19 ft,,10,15
53,1,4:50.0,,Defensive rebound by P. Millsap,10,15
54,1,4:40.0,,T. Hardaway misses 2-pt jump shot from 19 ft,10,15
55,1,4:37.0,Defensive rebound by K. Walker,,10,15
56,1,4:34.0,C. Zeller misses 2-pt layup from 2 ft (block by K. Bazemore),,10,15
57,1,4:27.0,,Defensive rebound by D. Schröder,10,15
58,1,4:20.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by M. Muscala),10,18
59,1,4:05.0,F. Kaminsky makes 2-pt jump shot from 9 ft (assist by K. Walker),,12,18
60,1,3:46.0,,Personal foul by F. Kaminsky (drawn by M. Muscala),12,18
61,1,3:46.0,,K. Korver enters the game for T. Hardaway,12,18
62,1,3:40.0,,P. Millsap misses 2-pt jump shot from 20 ft,12,18
63,1,3:39.0,Defensive rebound by N. Batum,,12,18
64,1,3:20.0,N. Batum makes 2-pt jump shot from 15 ft (assist by F. Kaminsky),,14,18
65,1,3:14.0,,Atlanta full timeout,14,18
66,1,3:14.0,R. Sessions enters the game for K. Walker,,14,18
67,1,3:14.0,,M. Delaney enters the game for D. Schröder,14,18
68,1,3:11.0,,Personal foul by F. Kaminsky (drawn by P. Millsap),14,18
69,1,3:02.0,Violation by F. Kaminsky (kicked ball),,14,18
70,1,2:56.0,,M. Muscala makes 2-pt layup from 1 ft (assist by K. Korver),14,20
71,1,2:41.0,R. Sessions misses 2-pt layup from 3 ft,,14,20
72,1,2:39.0,Offensive rebound by C. Zeller,,14,20
73,1,2:30.0,C. Zeller makes 2-pt layup from 3 ft (assist by N. Batum),,16,20
74,1,2:18.0,,K. Korver misses 3-pt jump shot from 25 ft,16,20
75,1,2:17.0,Defensive rebound by C. Zeller,,16,20
76,1,2:12.0,Personal foul by K. Bazemore (drawn by N. Batum),,16,20
77,1,2:12.0,,D. Howard enters the game for P. Millsap,16,20
78,1,2:12.0,R. Hibbert enters the game for C. Zeller,,16,20
79,1,2:05.0,R. Sessions misses 3-pt jump shot from 25 ft,,16,20
80,1,2:04.0,,Defensive rebound by D. Howard,16,20
81,1,1:50.0,,M. Delaney makes 2-pt jump shot from 16 ft,16,22
82,1,1:32.0,M. Belinelli makes 2-pt jump shot from 18 ft,,18,22
83,1,1:15.0,,M. Muscala misses 3-pt jump shot from 23 ft,18,22
84,1,1:13.0,Defensive rebound by R. Hibbert,,18,22
85,1,1:02.0,N. Batum makes 2-pt jump shot from 10 ft (assist by F. Kaminsky),,20,22
86,1,0:50.0,,Offensive foul by M. Muscala (drawn by M. Belinelli),20,22
87,1,0:50.0,,Turnover by M. Muscala (offensive foul),20,22
88,1,0:41.0,Charlotte full timeout,,20,22
89,1,0:41.0,Turnover by R. Hibbert (offensive foul),,20,22
90,1,0:41.0,Offensive foul by R. Hibbert (drawn by M. Delaney),,20,22
91,1,0:34.0,,M. Delaney misses 2-pt layup from 2 ft,20,22
92,1,0:32.0,Defensive rebound by R. Sessions,,20,22
93,1,0:32.0,Turnover by R. Sessions (step out of bounds),,20,22
94,1,0:26.0,,K. Bazemore misses 2-pt jump shot from 6 ft (block by R. Hibbert),20,22
95,1,0:24.0,,Offensive rebound by K. Bazemore,20,22
96,1,0:23.0,,K. Bazemore misses 2-pt layup from 2 ft,20,22
97,1,0:23.0,,Offensive rebound by M. Muscala,20,22
98,1,0:23.0,,M. Muscala misses 2-pt layup from 1 ft,20,22
99,1,0:21.0,Defensive rebound by F. Kaminsky,,20,22
100,1,0:06.0,Shooting foul by M. Delaney (drawn by R. Sessions),,20,22
101,1,0:06.0,R. Sessions makes free throw 1 of 2,,21,22
102,1,0:06.0,,T. Hardaway enters the game for M. Muscala,21,22
103,1,0:06.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,21,22
104,1,0:06.0,R. Sessions makes free throw 2 of 2,,22,22
105,1,0:00.0,,M. Delaney misses 3-pt jump shot from 26 ft,22,22
106,1,0:00.0,,Offensive rebound by Team,22,22
107,2,11:51.0,Personal foul by D. Howard (drawn by R. Hibbert),,22,22
108,2,11:35.0,R. Sessions makes 2-pt jump shot from 15 ft,,24,22
109,2,11:21.0,,Turnover by M. Delaney (bad pass; steal by R. Sessions),24,22
110,2,11:12.0,F. Kaminsky makes 2-pt hook shot from 7 ft (assist by R. Sessions),,26,22
111,2,10:53.0,,Shooting foul by R. Hibbert (drawn by D. Howard),26,22
112,2,10:53.0,,D. Howard makes free throw 1 of 2,26,23
113,2,10:53.0,,D. Howard misses free throw 2 of 2,26,23
114,2,10:50.0,Defensive rebound by M. Belinelli,,26,23
