,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHICAGO_ACTION,NEW YORK_SCORE,CHICAGO_SCORE
0,1,11:39.0,,J. Butler misses 2-pt jump shot from 18 ft,0,0
1,1,11:38.0,Defensive rebound by C. Lee,,0,0
2,1,11:34.0,C. Lee makes 2-pt layup from 1 ft,,2,0
3,1,11:15.0,,T. Gibson misses 2-pt jump shot from 8 ft,2,0
4,1,11:14.0,,Offensive rebound by R. Lopez,2,0
5,1,11:13.0,,Shooting foul by K. Porziņģis (drawn by R. Lopez),2,0
6,1,11:13.0,,R. Lopez makes free throw 1 of 2,2,1
7,1,11:13.0,,R. Lopez misses free throw 2 of 2,2,1
8,1,11:11.0,Defensive rebound by K. Porziņģis,,2,1
9,1,10:55.0,D. Rose misses 2-pt jump shot from 14 ft,,2,1
10,1,10:54.0,,Defensive rebound by R. Rondo,2,1
11,1,10:42.0,,D. Wade makes 2-pt jump shot from 20 ft (assist by R. Rondo),2,3
12,1,10:29.0,C. Anthony misses 2-pt jump shot from 20 ft,,2,3
13,1,10:28.0,,Defensive rebound by R. Rondo,2,3
14,1,10:20.0,,D. Wade misses 2-pt layup from 2 ft (block by C. Anthony),2,3
15,1,10:18.0,,Offensive rebound by D. Wade,2,3
16,1,10:08.0,,R. Lopez misses 2-pt hook shot from 8 ft,2,3
17,1,10:07.0,Defensive rebound by J. Noah,,2,3
18,1,9:50.0,J. Noah makes 2-pt layup from 1 ft (assist by C. Lee),,4,3
19,1,9:30.0,,Turnover by J. Butler (lost ball; steal by J. Noah),4,3
20,1,9:24.0,C. Lee makes 2-pt jump shot from 18 ft (assist by D. Rose),,6,3
21,1,9:03.0,,T. Gibson misses 2-pt jump shot from 20 ft,6,3
22,1,9:02.0,,Offensive rebound by R. Lopez,6,3
23,1,8:53.0,,J. Butler misses 3-pt jump shot from 26 ft,6,3
24,1,8:52.0,Defensive rebound by D. Rose,,6,3
25,1,8:42.0,C. Anthony misses 2-pt layup from 2 ft,,6,3
26,1,8:41.0,Offensive rebound by C. Anthony,,6,3
27,1,8:41.0,C. Anthony misses 2-pt layup from 1 ft,,6,3
28,1,8:40.0,Offensive rebound by C. Anthony,,6,3
29,1,8:39.0,C. Anthony misses 2-pt layup from 2 ft,,6,3
30,1,8:37.0,Offensive rebound by C. Anthony,,6,3
31,1,8:37.0,C. Anthony makes 2-pt layup from 1 ft,,8,3
32,1,8:29.0,,R. Rondo misses 2-pt layup from 2 ft,8,3
33,1,8:28.0,Defensive rebound by J. Noah,,8,3
34,1,8:23.0,D. Rose makes 2-pt layup from 2 ft (assist by J. Noah),,10,3
35,1,8:15.0,,R. Rondo misses 2-pt jump shot from 17 ft,10,3
36,1,8:14.0,Defensive rebound by C. Lee,,10,3
37,1,8:02.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by J. Noah),,13,3
38,1,8:01.0,,Chicago full timeout,13,3
39,1,7:48.0,,D. Wade makes 2-pt jump shot from 8 ft,13,5
40,1,7:48.0,,Shooting foul by C. Lee (drawn by D. Wade),13,5
41,1,7:48.0,,D. Wade makes free throw 1 of 1,13,6
42,1,7:36.0,K. Porziņģis makes 3-pt jump shot from 26 ft (assist by C. Anthony),,16,6
43,1,7:14.0,,D. Wade misses 2-pt jump shot from 23 ft,16,6
44,1,7:12.0,Defensive rebound by D. Rose,,16,6
45,1,7:09.0,C. Lee makes 2-pt jump shot from 6 ft (assist by D. Rose),,18,6
46,1,6:49.0,,J. Butler misses 3-pt jump shot from 25 ft,18,6
47,1,6:48.0,Defensive rebound by K. Porziņģis,,18,6
48,1,6:41.0,K. Porziņģis makes 2-pt layup from 1 ft (assist by J. Noah),,20,6
49,1,6:41.0,Shooting foul by T. Gibson (drawn by K. Porziņģis),,20,6
50,1,6:41.0,K. Porziņģis misses free throw 1 of 1,,20,6
51,1,6:38.0,Offensive rebound by K. Porziņģis,,20,6
52,1,6:32.0,D. Rose misses 2-pt jump shot from 19 ft,,20,6
53,1,6:32.0,Offensive rebound by Team,,20,6
54,1,6:32.0,,Loose ball foul by D. Wade (drawn by J. Noah),20,6
55,1,6:26.0,C. Lee makes 2-pt jump shot from 11 ft (assist by D. Rose),,22,6
56,1,6:09.0,,Def 3 sec tech foul by J. Noah,22,6
57,1,6:09.0,,J. Butler makes technical free throw,22,7
58,1,5:57.0,,Turnover by R. Rondo (traveling),22,7
59,1,5:40.0,C. Anthony misses 2-pt jump shot from 14 ft,,22,7
60,1,5:39.0,Offensive rebound by J. Noah,,22,7
61,1,5:39.0,J. Noah misses 2-pt layup from 2 ft,,22,7
62,1,5:38.0,,Defensive rebound by J. Butler,22,7
63,1,5:26.0,,T. Gibson misses 2-pt hook shot from 3 ft,22,7
64,1,5:25.0,,Offensive rebound by R. Lopez,22,7
65,1,5:25.0,,R. Lopez misses 2-pt layup from 2 ft,22,7
66,1,5:23.0,,Offensive rebound by D. Wade,22,7
67,1,5:22.0,,D. Wade makes 2-pt layup from 2 ft,22,9
68,1,5:10.0,Turnover by D. Rose (lost ball; steal by T. Gibson),,22,9
69,1,5:05.0,,J. Butler makes 2-pt layup from 2 ft (assist by D. Wade),22,11
70,1,4:48.0,K. Porziņģis misses 3-pt jump shot from 24 ft,,22,11
71,1,4:47.0,,Defensive rebound by R. Rondo,22,11
72,1,4:40.0,,R. Rondo misses 2-pt jump shot from 22 ft,22,11
73,1,4:39.0,,Offensive rebound by T. Gibson,22,11
74,1,4:37.0,,T. Gibson makes 2-pt layup from 1 ft,22,13
75,1,4:30.0,New York full timeout,,22,13
76,1,4:30.0,,D. McDermott enters the game for D. Wade,22,13
77,1,4:30.0,M. Ndour enters the game for K. Porziņģis,,22,13
78,1,4:20.0,M. Ndour misses 2-pt jump shot from 15 ft,,22,13
79,1,4:18.0,,Defensive rebound by R. Rondo,22,13
80,1,3:59.0,,J. Butler makes 2-pt jump shot from 5 ft,22,15
81,1,3:45.0,C. Anthony makes 2-pt jump shot from 13 ft,,24,15
82,1,3:24.0,,Shooting foul by M. Ndour (drawn by T. Gibson),24,15
83,1,3:24.0,,T. Gibson misses free throw 1 of 2,24,15
84,1,3:24.0,,Offensive rebound by Team,24,15
85,1,3:24.0,,T. Gibson misses free throw 2 of 2,24,15
86,1,3:23.0,,Offensive rebound by D. McDermott,24,15
87,1,3:17.0,,D. McDermott misses 3-pt jump shot from 26 ft,24,15
88,1,3:16.0,Defensive rebound by D. Rose,,24,15
89,1,3:08.0,D. Rose misses 2-pt jump shot from 6 ft (block by R. Lopez),,24,15
90,1,3:08.0,Offensive rebound by Team,,24,15
91,1,3:08.0,,N. Mirotić enters the game for T. Gibson,24,15
92,1,2:57.0,Shooting foul by R. Lopez (drawn by C. Anthony),,24,15
93,1,2:57.0,C. Anthony makes free throw 1 of 2,,25,15
94,1,2:57.0,C. Anthony makes free throw 2 of 2,,26,15
95,1,2:32.0,,R. Rondo misses 2-pt jump shot from 17 ft,26,15
96,1,2:31.0,Defensive rebound by D. Rose,,26,15
97,1,2:22.0,C. Anthony misses 2-pt jump shot from 14 ft,,26,15
98,1,2:21.0,,Defensive rebound by N. Mirotić,26,15
99,1,2:08.0,,R. Rondo makes 2-pt layup from 1 ft,26,17
100,1,1:45.0,D. Rose makes 2-pt layup from 3 ft (assist by C. Anthony),,28,17
101,1,1:33.0,,Personal foul by M. Ndour (drawn by N. Mirotić),28,17
102,1,1:33.0,K. O'Quinn enters the game for J. Noah,,28,17
103,1,1:33.0,B. Jennings enters the game for D. Rose,,28,17
104,1,1:22.0,,Shooting foul by M. Ndour (drawn by N. Mirotić),28,17
