,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,SACRAMENTO_ACTION,LA CLIPPERS_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,,D. Cousins misses 2-pt jump shot from 10 ft,0,0
1,1,11:40.0,Defensive rebound by A. Rivers,,0,0
2,1,11:22.0,J. Redick misses 3-pt jump shot from 24 ft,,0,0
3,1,11:21.0,,Defensive rebound by R. Gay,0,0
4,1,11:10.0,,R. Gay makes 2-pt jump shot from 16 ft,0,2
5,1,10:55.0,L. Mbah a Moute misses 2-pt layup at rim,,0,2
6,1,10:54.0,,Defensive rebound by D. Cousins,0,2
7,1,10:43.0,,R. Gay misses 3-pt jump shot from 24 ft,0,2
8,1,10:42.0,Defensive rebound by C. Paul,,0,2
9,1,10:34.0,A. Rivers misses 3-pt jump shot from 23 ft,,0,2
10,1,10:33.0,,Defensive rebound by R. Gay,0,2
11,1,10:19.0,,M. Barnes misses 2-pt jump shot from 20 ft,0,2
12,1,10:17.0,Defensive rebound by D. Jordan,,0,2
13,1,10:05.0,A. Rivers misses 3-pt jump shot from 26 ft,,0,2
14,1,10:04.0,,Defensive rebound by T. Lawson,0,2
15,1,9:56.0,,D. Collison makes 3-pt jump shot from 22 ft (assist by T. Lawson),0,5
16,1,9:42.0,J. Redick misses 2-pt jump shot from 22 ft,,0,5
17,1,9:41.0,,Defensive rebound by D. Cousins,0,5
18,1,9:34.0,,R. Gay misses 2-pt layup from 4 ft,0,5
19,1,9:33.0,Defensive rebound by L. Mbah a Moute,,0,5
20,1,9:32.0,LA Clippers full timeout,,0,5
21,1,9:16.0,J. Redick misses 2-pt layup from 3 ft,,0,5
22,1,9:15.0,Offensive rebound by L. Mbah a Moute,,0,5
23,1,9:13.0,L. Mbah a Moute makes 2-pt layup from 1 ft,,2,5
24,1,8:53.0,,T. Lawson makes 2-pt jump shot from 7 ft,2,7
25,1,8:42.0,L. Mbah a Moute misses 2-pt jump shot from 21 ft,,2,7
26,1,8:41.0,,Defensive rebound by D. Cousins,2,7
27,1,8:33.0,,D. Cousins misses 3-pt jump shot from 25 ft,2,7
28,1,8:33.0,Defensive rebound by J. Redick,,2,7
29,1,8:14.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by D. Cousins),,2,7
30,1,8:13.0,,Defensive rebound by D. Cousins,2,7
31,1,7:55.0,,M. Barnes misses 2-pt layup from 3 ft,2,7
32,1,7:53.0,,Offensive rebound by D. Cousins,2,7
33,1,7:52.0,,D. Cousins makes 2-pt layup from 2 ft,2,9
34,1,7:32.0,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),,4,9
35,1,7:24.0,,Shooting foul by A. Rivers (drawn by T. Lawson),4,9
36,1,7:24.0,,T. Lawson makes free throw 1 of 2,4,10
37,1,7:24.0,,T. Lawson makes free throw 2 of 2,4,11
38,1,7:15.0,Turnover by J. Redick (bad pass; steal by D. Cousins),,4,11
39,1,7:03.0,,D. Cousins makes 2-pt jump shot from 17 ft,4,13
40,1,7:02.0,Personal foul by D. Collison (drawn by C. Paul),,4,13
41,1,6:43.0,C. Paul misses 2-pt jump shot from 18 ft,,4,13
42,1,6:42.0,,Defensive rebound by D. Collison,4,13
43,1,6:28.0,,R. Gay makes 2-pt jump shot from 11 ft,4,15
44,1,6:17.0,Shooting foul by M. Barnes (drawn by A. Rivers),,4,15
45,1,6:17.0,A. Rivers makes free throw 1 of 2,,5,15
