,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:37.0,D. Green misses 2-pt jump shot from 13 ft,,0,0
1,1,11:35.0,Offensive rebound by D. Lee,,0,0
2,1,11:35.0,D. Lee makes 2-pt layup from 1 ft,,2,0
3,1,11:26.0,,Personal foul by D. Green (drawn by V. Carter),2,0
4,1,11:10.0,,M. Conley misses 2-pt jump shot from 21 ft,2,0
5,1,11:10.0,Defensive rebound by D. Lee,,2,0
6,1,10:58.0,D. Lee makes 2-pt layup from 1 ft (assist by T. Parker),,4,0
7,1,10:41.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by M. Conley),4,3
8,1,10:20.0,D. Green misses 3-pt jump shot from 25 ft,,4,3
9,1,10:19.0,,Defensive rebound by M. Gasol,4,3
10,1,10:17.0,,Turnover by Z. Randolph (lost ball),4,3
11,1,9:57.0,T. Parker misses 3-pt jump shot from 23 ft,,4,3
12,1,9:56.0,,Defensive rebound by J. Ennis,4,3
13,1,9:37.0,,M. Gasol misses 2-pt hook shot from 4 ft,4,3
14,1,9:36.0,Defensive rebound by K. Leonard,,4,3
15,1,9:36.0,Personal foul by Z. Randolph (drawn by K. Leonard),,4,3
16,1,9:21.0,L. Aldridge makes 2-pt jump shot from 16 ft,,6,3
17,1,9:00.0,,J. Ennis makes 2-pt layup from 1 ft,6,5
18,1,8:46.0,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Parker),,9,5
19,1,8:26.0,,J. Ennis misses 3-pt jump shot from 23 ft,9,5
20,1,8:25.0,Defensive rebound by L. Aldridge,,9,5
21,1,8:06.0,T. Parker makes 2-pt jump shot from 21 ft,,11,5
22,1,7:46.0,,M. Conley makes 2-pt jump shot from 11 ft,11,7
23,1,7:30.0,L. Aldridge misses 2-pt jump shot from 19 ft,,11,7
24,1,7:29.0,,Defensive rebound by J. Ennis,11,7
