,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:47.0,,D. Šarić misses 2-pt jump shot from 14 ft,0,0
1,1,11:46.0,Defensive rebound by K. Middleton,,0,0
2,1,11:25.0,G. Antetokounmpo makes 2-pt jump shot from 14 ft,,2,0
3,1,11:01.0,,R. Holmes misses 2-pt dunk at rim,2,0
4,1,10:59.0,Defensive rebound by M. Brogdon,,2,0
5,1,10:47.0,T. Snell makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,5,0
6,1,10:30.0,,G. Henderson misses 2-pt jump shot from 6 ft (block by T. Maker),5,0
7,1,10:28.0,,Offensive rebound by D. Šarić,5,0
8,1,10:25.0,,Shooting foul by T. Maker (drawn by D. Šarić),5,0
9,1,10:25.0,,D. Šarić makes free throw 1 of 2,5,1
10,1,10:25.0,,D. Šarić makes free throw 2 of 2,5,2
11,1,10:10.0,M. Brogdon makes 2-pt jump shot from 12 ft (assist by T. Snell),,7,2
12,1,9:50.0,Offensive charge foul by R. Covington (drawn by T. Maker),,7,2
13,1,9:50.0,,Turnover by R. Covington (offensive foul),7,2
14,1,9:40.0,T. Maker misses 3-pt jump shot from 28 ft,,7,2
15,1,9:39.0,,Defensive rebound by T. McConnell,7,2
16,1,9:26.0,,R. Holmes misses 2-pt layup from 1 ft,7,2
17,1,9:24.0,Defensive rebound by M. Brogdon,,7,2
18,1,9:17.0,M. Brogdon misses 2-pt layup from 1 ft,,7,2
19,1,9:16.0,Offensive rebound by M. Brogdon,,7,2
20,1,9:11.0,T. Snell makes 2-pt jump shot from 13 ft (assist by M. Brogdon),,9,2
21,1,8:59.0,,R. Covington misses 3-pt jump shot from 25 ft,9,2
22,1,8:57.0,Defensive rebound by T. Snell,,9,2
23,1,8:43.0,T. Maker makes 3-pt jump shot from 23 ft (assist by K. Middleton),,12,2
24,1,8:42.0,,Philadelphia full timeout,12,2
25,1,8:25.0,,R. Covington misses 2-pt layup from 1 ft,12,2
26,1,8:23.0,,Offensive rebound by R. Holmes,12,2
27,1,8:23.0,,R. Holmes misses 2-pt layup from 1 ft,12,2
28,1,8:20.0,,Offensive rebound by G. Henderson,12,2
29,1,8:06.0,,Shooting foul by T. Maker (drawn by R. Covington),12,2
30,1,8:06.0,,R. Covington makes free throw 1 of 2,12,3
31,1,8:06.0,G. Monroe enters the game for T. Maker,,12,3
32,1,8:06.0,,R. Covington makes free throw 2 of 2,12,4
33,1,7:53.0,Turnover by G. Monroe (bad pass),,12,4
34,1,7:41.0,,D. Šarić misses 3-pt jump shot from 26 ft,12,4
35,1,7:40.0,Defensive rebound by K. Middleton,,12,4
36,1,7:35.0,Turnover by K. Middleton (lost ball),,12,4
37,1,7:35.0,,J. Anderson enters the game for D. Šarić,12,4
38,1,7:18.0,,J. Anderson misses 3-pt jump shot from 27 ft,12,4
39,1,7:16.0,Defensive rebound by G. Antetokounmpo,,12,4
40,1,7:08.0,T. Snell misses 3-pt jump shot from 26 ft,,12,4
41,1,7:07.0,,Defensive rebound by R. Holmes,12,4
42,1,6:59.0,,J. Anderson makes 2-pt dunk at rim (assist by T. McConnell),12,6
43,1,6:35.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,12,6
