,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DENVER_ACTION,MILWAUKEE_SCORE,DENVER_SCORE
0,1,11:44.0,J. Henson makes 2-pt hook shot from 4 ft (assist by G. Antetokounmpo),,2,0
1,1,11:26.0,,Turnover by K. Faried (bad pass; steal by T. Snell),2,0
2,1,11:20.0,G. Antetokounmpo misses 2-pt layup from 3 ft (block by W. Chandler),,2,0
3,1,11:19.0,,Defensive rebound by J. Nelson,2,0
4,1,10:54.0,,G. Harris misses 3-pt jump shot from 24 ft,2,0
5,1,10:53.0,Defensive rebound by J. Henson,,2,0
6,1,10:42.0,J. Henson makes 2-pt hook shot from 4 ft (assist by M. Dellavedova),,4,0
7,1,10:27.0,,J. Nelson makes 2-pt layup from 2 ft (assist by G. Harris),4,2
8,1,10:12.0,G. Antetokounmpo makes 2-pt jump shot from 5 ft,,6,2
9,1,9:48.0,,N. Jokić makes 2-pt jump shot from 16 ft (assist by J. Nelson),6,4
10,1,9:32.0,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),,8,4
11,1,9:19.0,,Turnover by G. Harris (bad pass; steal by J. Parker),8,4
12,1,9:11.0,T. Snell misses 3-pt jump shot from 26 ft,,8,4
13,1,9:08.0,,Defensive rebound by W. Chandler,8,4
14,1,8:58.0,,K. Faried misses 2-pt jump shot from 6 ft,8,4
15,1,8:56.0,,Offensive rebound by N. Jokić,8,4
16,1,8:56.0,,N. Jokić makes 2-pt layup from 1 ft,8,6
17,1,8:51.0,,Offensive charge foul by J. Parker (drawn by K. Faried),8,6
18,1,8:51.0,Turnover by J. Parker (offensive foul),,8,6
19,1,8:39.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Nelson),8,8
20,1,8:25.0,J. Parker makes 2-pt jump shot from 19 ft (assist by M. Dellavedova),,10,8
21,1,8:08.0,,J. Nelson misses 2-pt layup from 2 ft,10,8
22,1,8:08.0,,Offensive rebound by K. Faried,10,8
23,1,8:03.0,,W. Chandler misses 2-pt layup from 1 ft,10,8
24,1,8:03.0,Defensive rebound by G. Antetokounmpo,,10,8
25,1,7:55.0,Turnover by G. Antetokounmpo (lost ball; steal by G. Harris),,10,8
26,1,7:49.0,,W. Chandler makes 2-pt dunk at rim (assist by G. Harris),10,10
27,1,7:35.0,M. Dellavedova makes 2-pt jump shot from 11 ft,,12,10
28,1,7:17.0,,W. Chandler misses 3-pt jump shot from 26 ft,12,10
29,1,7:16.0,,Offensive rebound by K. Faried,12,10
30,1,7:13.0,,K. Faried makes 2-pt layup from 3 ft,12,12
31,1,7:00.0,J. Parker misses 3-pt jump shot from 25 ft,,12,12
32,1,6:59.0,,Defensive rebound by N. Jokić,12,12
33,1,6:57.0,,Turnover by N. Jokić (bad pass),12,12
34,1,6:57.0,M. Teletović enters the game for G. Antetokounmpo,,12,12
35,1,6:46.0,Turnover by M. Dellavedova (bad pass),,12,12
36,1,6:30.0,,J. Nelson misses 2-pt layup from 2 ft (block by J. Henson),12,12
37,1,6:28.0,Defensive rebound by J. Henson,,12,12
38,1,6:24.0,M. Teletović makes 3-pt jump shot from 26 ft,,15,12
39,1,6:12.0,G. Monroe enters the game for J. Henson,,15,12
40,1,6:12.0,J. Terry enters the game for T. Snell,,15,12
41,1,6:06.0,,W. Chandler misses 3-pt jump shot from 24 ft,15,12
42,1,6:05.0,Defensive rebound by G. Monroe,,15,12
43,1,5:53.0,M. Teletović makes 2-pt jump shot from 15 ft (assist by G. Monroe),,17,12
44,1,5:46.0,,Shooting foul by M. Teletović (drawn by W. Chandler),17,12
45,1,5:46.0,,Denver full timeout,17,12
46,1,5:46.0,,W. Chandler makes free throw 1 of 2,17,13
47,1,5:46.0,,W. Barton enters the game for K. Faried,17,12
48,1,5:46.0,,W. Chandler makes free throw 2 of 2,17,14
49,1,5:27.0,J. Parker misses 2-pt jump shot from 12 ft (block by W. Chandler),,17,14
50,1,5:25.0,,Defensive rebound by N. Jokić,17,14
51,1,5:15.0,,G. Harris misses 3-pt jump shot from 24 ft,17,14
52,1,5:14.0,,Offensive rebound by N. Jokić,17,14
53,1,5:10.0,,G. Harris makes 2-pt dunk at rim (assist by N. Jokić),17,16
54,1,4:49.0,G. Monroe misses 2-pt jump shot from 13 ft,,17,16
55,1,4:48.0,,Defensive rebound by W. Chandler,17,16
56,1,4:42.0,,W. Barton misses 3-pt jump shot from 26 ft,17,16
57,1,4:42.0,,Offensive rebound by N. Jokić,17,16
58,1,4:38.0,,N. Jokić misses 2-pt layup from 2 ft,17,16
59,1,4:37.0,Defensive rebound by J. Parker,,17,16
60,1,4:35.0,Turnover by J. Parker (lost ball; steal by G. Harris),,17,16
61,1,4:25.0,,W. Barton makes 3-pt jump shot from 23 ft (assist by N. Jokić),17,19
62,1,4:12.0,J. Parker misses 3-pt jump shot from 23 ft,,17,19
63,1,4:11.0,,Defensive rebound by W. Barton,17,19
64,1,4:05.0,,W. Barton misses 2-pt layup from 1 ft,17,19
65,1,4:02.0,,Offensive rebound by N. Jokić,17,19
66,1,4:02.0,,N. Jokić makes 2-pt layup from 1 ft,17,21
67,1,3:51.0,G. Monroe makes 2-pt dunk at rim (assist by M. Dellavedova),,19,21
68,1,3:50.0,Violation by Team (jump ball),,19,21
69,1,3:28.0,,J. Nelson misses 3-pt jump shot from 23 ft,19,21
70,1,3:27.0,,Offensive rebound by W. Chandler,19,21
71,1,3:21.0,,W. Chandler misses 2-pt hook shot from 4 ft,19,21
72,1,3:19.0,Defensive rebound by J. Parker,,19,21
73,1,3:11.0,G. Monroe misses 2-pt hook shot from 6 ft,,19,21
74,1,3:10.0,Offensive rebound by M. Teletović,,19,21
75,1,3:01.0,J. Terry makes 3-pt jump shot from 23 ft (assist by M. Dellavedova),,22,21
76,1,2:56.0,,Turnover by N. Jokić (lost ball; steal by J. Parker),22,21
77,1,2:56.0,Personal foul by J. Nelson (drawn by J. Parker),,22,21
78,1,2:56.0,Milwaukee full timeout,,22,21
79,1,2:56.0,,E. Mudiay enters the game for N. Jokić,22,21
80,1,2:56.0,,J. Murray enters the game for G. Harris,22,21
81,1,2:56.0,,D. Arthur enters the game for J. Nelson,22,21
82,1,2:56.0,M. Brogdon enters the game for J. Parker,,22,21
83,1,2:56.0,G. Antetokounmpo enters the game for M. Dellavedova,,22,21
84,1,2:43.0,J. Terry makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,25,21
85,1,2:27.0,,W. Chandler makes 2-pt layup from 2 ft (assist by E. Mudiay),25,23
86,1,2:12.0,G. Monroe makes 2-pt layup from 2 ft,,27,23
87,1,2:07.0,,Shooting foul by J. Terry (drawn by W. Barton),27,23
88,1,2:07.0,,W. Barton misses free throw 1 of 2,27,23
89,1,2:07.0,,Offensive rebound by Team,27,23
90,1,2:07.0,,W. Barton misses free throw 2 of 2,27,23
91,1,2:05.0,Defensive rebound by G. Antetokounmpo,,27,23
92,1,1:52.0,G. Monroe makes 2-pt layup from 1 ft (assist by J. Terry),,29,23
93,1,1:37.0,,J. Murray makes 2-pt jump shot from 9 ft (assist by D. Arthur),29,25
94,1,1:20.0,M. Teletović misses 3-pt jump shot from 26 ft,,29,25
95,1,1:19.0,,Defensive rebound by J. Murray,29,25
96,1,1:13.0,,Turnover by J. Murray (lost ball; steal by M. Brogdon),29,25
97,1,1:07.0,M. Teletović misses 3-pt jump shot from 24 ft,,29,25
98,1,1:05.0,,Defensive rebound by W. Chandler,29,25
99,1,0:54.0,,J. Murray makes 2-pt layup from 2 ft (assist by W. Chandler),29,27
100,1,0:34.0,Turnover by M. Brogdon (bad pass; steal by W. Chandler),,29,27
101,1,0:27.0,,Turnover by W. Barton (lost ball; steal by M. Brogdon),29,27
102,1,0:23.0,G. Monroe misses 2-pt layup from 2 ft (block by W. Chandler),,29,27
103,1,0:23.0,Offensive rebound by Team,,29,27
104,1,0:23.0,,J. Hernangómez enters the game for W. Chandler,29,27
105,1,0:18.0,M. Brogdon makes 2-pt dunk at rim,,31,27
106,1,0:18.0,Technical foul by Team,,31,27
107,1,0:18.0,,J. Murray makes technical free throw,31,28
108,1,0:01.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by W. Barton),31,31
109,2,11:44.0,,D. Arthur misses 3-pt jump shot from 25 ft,31,31
110,2,11:43.0,Defensive rebound by Team,,31,31
111,2,11:25.0,M. Brogdon misses 2-pt jump shot from 9 ft,,31,31
112,2,11:25.0,,Defensive rebound by J. Hernangómez,31,31
113,2,11:08.0,,E. Mudiay misses 2-pt jump shot from 16 ft,31,31
114,2,11:08.0,Defensive rebound by M. Teletović,,31,31
115,2,11:02.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by M. Teletović),,33,31
116,2,10:45.0,,Turnover by D. Arthur (bad pass; steal by G. Antetokounmpo),33,31
117,2,10:44.0,Turnover by M. Teletović (bad pass),,33,31
118,2,10:31.0,,Shooting foul by M. Brogdon (drawn by J. Murray),33,31
119,2,10:31.0,,J. Murray makes free throw 1 of 2,33,32
120,2,10:31.0,,J. Murray makes free throw 2 of 2,33,33
121,2,10:17.0,Turnover by G. Antetokounmpo (lost ball; steal by W. Barton),,33,33
