,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW ORLEANS_ACTION,ORLANDO_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,A. Davis misses 2-pt layup from 2 ft (block by S. Ibaka),0,0
1,1,11:42.0,Defensive rebound by S. Ibaka,,0,0
2,1,11:26.0,S. Ibaka misses 2-pt jump shot from 9 ft,,0,0
3,1,11:25.0,,Defensive rebound by A. Davis,0,0
4,1,11:17.0,,B. Hield misses 3-pt jump shot from 26 ft,0,0
5,1,11:17.0,Defensive rebound by N. Vučević,,0,0
6,1,11:07.0,S. Ibaka makes 3-pt jump shot from 25 ft (assist by N. Vučević),,3,0
7,1,10:53.0,,D. Cunningham makes 2-pt layup from 2 ft,3,2
8,1,10:33.0,A. Gordon misses 3-pt jump shot from 23 ft,,3,2
9,1,10:32.0,,Defensive rebound by J. Holiday,3,2
10,1,10:23.0,,B. Hield misses 2-pt layup from 2 ft,3,2
11,1,10:19.0,,Offensive rebound by A. Davis,3,2
12,1,10:19.0,,A. Davis makes 2-pt dunk at rim,3,4
13,1,10:04.0,Shooting foul by J. Holiday (drawn by A. Gordon),,3,4
14,1,10:04.0,A. Gordon makes free throw 1 of 2,,4,4
15,1,10:04.0,A. Gordon misses free throw 2 of 2,,4,4
16,1,9:55.0,,Defensive rebound by A. Davis,4,4
17,1,9:55.0,,Personal foul by E. Payton (drawn by A. Davis),4,4
18,1,9:47.0,,B. Hield makes 2-pt layup from 1 ft (assist by S. Hill),4,6
19,1,9:41.0,,Violation by B. Hield (kicked ball),4,6
20,1,9:30.0,N. Vučević makes 2-pt hook shot from 10 ft (assist by A. Gordon),,6,6
21,1,9:21.0,,J. Holiday makes 2-pt dunk at rim,6,8
22,1,9:13.0,Shooting foul by B. Hield (drawn by E. Payton),,6,8
23,1,9:13.0,E. Payton makes free throw 1 of 2,,7,8
24,1,9:13.0,E. Payton makes free throw 2 of 2,,8,8
25,1,9:03.0,,A. Davis misses 2-pt jump shot from 20 ft,8,8
26,1,9:02.0,Defensive rebound by A. Gordon,,8,8
27,1,8:57.0,E. Payton makes 2-pt layup from 2 ft,,10,8
28,1,8:49.0,,J. Holiday makes 3-pt jump shot from 26 ft,10,11
29,1,8:37.0,E. Payton misses 2-pt layup from 2 ft,,10,11
30,1,8:37.0,,Defensive rebound by A. Davis,10,11
