,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
0,1,11:39.0,,A. Drummond misses 2-pt hook shot from 8 ft,0,0
1,1,11:37.0,Defensive rebound by D. Lillard,,0,0
2,1,11:18.0,M. Harkless misses 2-pt layup at rim,,0,0
3,1,11:18.0,,Defensive rebound by M. Morris,0,0
4,1,11:10.0,,J. Leuer misses 2-pt jump shot from 7 ft,0,0
5,1,11:09.0,Defensive rebound by J. Nurkić,,0,0
6,1,11:01.0,Turnover by C. McCollum (lost ball),,0,0
7,1,10:41.0,,M. Morris makes 2-pt jump shot from 13 ft,0,2
8,1,10:22.0,N. Vonleh makes 2-pt hook shot from 5 ft,,2,2
9,1,10:04.0,,M. Morris misses 3-pt jump shot from 26 ft,2,2
10,1,10:04.0,Defensive rebound by N. Vonleh,,2,2
11,1,9:54.0,Offensive foul by J. Nurkić (drawn by R. Jackson),,2,2
12,1,9:54.0,Turnover by J. Nurkić (offensive foul),,2,2
13,1,9:44.0,,R. Jackson misses 3-pt jump shot from 26 ft,2,2
14,1,9:43.0,Defensive rebound by M. Harkless,,2,2
15,1,9:31.0,Shooting foul by J. Leuer (drawn by N. Vonleh),,2,2
16,1,9:31.0,N. Vonleh makes free throw 1 of 2,,3,2
17,1,9:31.0,N. Vonleh misses free throw 2 of 2,,3,2
18,1,9:30.0,Offensive rebound by J. Nurkić,,3,2
19,1,9:23.0,D. Lillard misses 3-pt jump shot from 26 ft,,3,2
20,1,9:23.0,,Defensive rebound by M. Morris,3,2
21,1,9:20.0,,Offensive foul by A. Drummond (drawn by J. Nurkić),3,2
22,1,9:20.0,,Turnover by A. Drummond (offensive foul),3,2
23,1,9:08.0,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),,5,2
24,1,8:47.0,,A. Drummond misses 2-pt dunk at rim,5,2
25,1,8:45.0,Defensive rebound by M. Harkless,,5,2
26,1,8:41.0,M. Harkless makes 2-pt layup from 1 ft,,7,2
27,1,8:26.0,,A. Drummond misses 2-pt layup from 3 ft (block by J. Nurkić),7,2
28,1,8:24.0,Defensive rebound by D. Lillard,,7,2
29,1,8:12.0,M. Harkless misses 3-pt jump shot from 26 ft,,7,2
30,1,8:12.0,Offensive rebound by N. Vonleh,,7,2
31,1,8:05.0,J. Nurkić makes 2-pt jump shot from 21 ft (assist by N. Vonleh),,9,2
32,1,7:47.0,,A. Drummond misses 2-pt hook shot from 9 ft,9,2
33,1,7:46.0,Defensive rebound by C. McCollum,,9,2
34,1,7:30.0,J. Nurkić misses 2-pt jump shot from 17 ft,,9,2
35,1,7:30.0,,Defensive rebound by J. Leuer,9,2
36,1,7:16.0,,R. Jackson misses 2-pt dunk at rim,9,2
37,1,7:14.0,Defensive rebound by M. Harkless,,9,2
38,1,7:06.0,J. Nurkić misses 2-pt layup from 1 ft,,9,2
39,1,7:06.0,,Defensive rebound by A. Drummond,9,2
40,1,6:52.0,,M. Morris misses 2-pt jump shot from 17 ft,9,2
41,1,6:51.0,,Offensive rebound by A. Drummond,9,2
42,1,6:48.0,,A. Drummond makes 2-pt hook shot from 5 ft,9,4
43,1,6:30.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by D. Lillard),,12,4
44,1,6:11.0,,A. Drummond misses 2-pt hook shot from 7 ft,12,4
45,1,6:09.0,Defensive rebound by D. Lillard,,12,4
46,1,5:58.0,D. Lillard makes 2-pt jump shot from 14 ft,,14,4
