,QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
0,1,11:41.0,J. Johnson misses 3-pt jump shot from 24 ft,,0,0
1,1,11:39.0,,Defensive rebound by Team,0,0
2,1,11:27.0,,Turnover by D. DeRozan (lost ball; steal by J. Johnson),0,0
3,1,11:13.0,G. Dragić makes 2-pt layup from 1 ft,,2,0
4,1,10:59.0,,Turnover by D. DeRozan (bad pass; steal by J. Richardson),2,0
5,1,10:54.0,G. Dragić makes 2-pt layup from 2 ft (assist by J. Richardson),,4,0
6,1,10:36.0,,D. Carroll misses 2-pt jump shot from 20 ft,4,0
7,1,10:36.0,,Offensive rebound by Team,4,0
8,1,10:36.0,Loose ball foul by H. Whiteside (drawn by J. Valančiūnas),,4,0
9,1,10:29.0,,J. Valančiūnas misses 2-pt hook shot from 4 ft,4,0
10,1,10:29.0,,Offensive rebound by J. Valančiūnas,4,0
11,1,10:19.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by D. DeRozan),4,3
12,1,10:01.0,R. McGruder misses 2-pt hook shot from 4 ft,,4,3
13,1,10:00.0,,Defensive rebound by S. Ibaka,4,3
14,1,9:43.0,,S. Ibaka misses 2-pt jump shot from 15 ft,4,3
15,1,9:42.0,Defensive rebound by H. Whiteside,,4,3
16,1,9:33.0,G. Dragić misses 2-pt jump shot from 15 ft,,4,3
17,1,9:31.0,,Defensive rebound by Team,4,3
18,1,9:07.0,,D. DeRozan misses 2-pt layup from 2 ft,4,3
19,1,9:07.0,Defensive rebound by H. Whiteside,,4,3
20,1,8:57.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by R. McGruder),,7,3
21,1,8:43.0,,Personal foul by H. Whiteside (drawn by J. Valančiūnas),7,3
22,1,8:43.0,W. Reed enters the game for H. Whiteside,,7,3
23,1,8:28.0,,D. DeRozan misses 2-pt jump shot from 17 ft,7,3
24,1,8:28.0,,Offensive rebound by Team,7,3
25,1,8:28.0,,Turnover by Team (shot clock),7,3
26,1,8:17.0,,Violation by D. Carroll (kicked ball),7,3
27,1,8:09.0,J. Richardson misses 2-pt layup from 4 ft,,7,3
28,1,8:08.0,,Defensive rebound by S. Ibaka,7,3
29,1,8:01.0,,K. Lowry misses 3-pt jump shot from 25 ft,7,3
30,1,8:00.0,Defensive rebound by W. Reed,,7,3
31,1,7:49.0,Shooting foul by S. Ibaka (drawn by J. Johnson),,7,3
32,1,7:49.0,J. Johnson makes free throw 1 of 2,,8,3
33,1,7:49.0,J. Johnson makes free throw 2 of 2,,9,3
34,1,7:34.0,,S. Ibaka misses 3-pt jump shot from 26 ft,9,3
35,1,7:34.0,Defensive rebound by W. Reed,,9,3
36,1,7:23.0,G. Dragić misses 2-pt jump shot from 9 ft,,9,3
37,1,7:22.0,,Defensive rebound by D. DeRozan,9,3
38,1,7:14.0,,Turnover by K. Lowry (bad pass; steal by J. Richardson),9,3
39,1,7:11.0,Shooting foul by K. Lowry (drawn by G. Dragić),,9,3
40,1,7:11.0,G. Dragić makes free throw 1 of 2,,10,3
41,1,7:11.0,G. Dragić misses free throw 2 of 2,,10,3
42,1,7:09.0,,Defensive rebound by J. Valančiūnas,10,3
43,1,7:04.0,,Toronto full timeout,10,3
44,1,6:57.0,,Personal block foul by W. Reed (drawn by K. Lowry),10,3
45,1,6:49.0,,J. Valančiūnas misses 2-pt hook shot from 11 ft,10,3
46,1,6:48.0,Defensive rebound by J. Johnson,,10,3
47,1,6:33.0,Turnover by R. McGruder (lost ball; steal by K. Lowry),,10,3
48,1,6:24.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Lowry),10,6
49,1,6:07.0,J. Johnson misses 2-pt jump shot from 5 ft,,10,6
50,1,6:06.0,Offensive rebound by J. Johnson,,10,6
51,1,6:04.0,J. Johnson misses 2-pt layup from 2 ft,,10,6
52,1,6:04.0,Offensive rebound by Team,,10,6
53,1,6:00.0,J. Johnson misses 3-pt jump shot from 23 ft,,10,6
54,1,6:00.0,,Defensive rebound by J. Valančiūnas,10,6
55,1,5:48.0,,D. DeRozan makes 2-pt layup at rim,10,8
56,1,5:42.0,Shooting foul by D. Carroll (drawn by G. Dragić),,10,8
57,1,5:42.0,G. Dragić makes free throw 1 of 2,,11,8
58,1,5:42.0,G. Dragić makes free throw 2 of 2,,12,8
59,1,5:27.0,,J. Valančiūnas misses 2-pt jump shot from 20 ft,12,8
60,1,5:26.0,,Offensive rebound by S. Ibaka,12,8
61,1,5:17.0,,D. DeRozan makes 2-pt layup from 3 ft,12,10
62,1,5:03.0,Turnover by W. Reed (offensive goaltending),,12,10
63,1,5:03.0,T. Johnson enters the game for G. Dragić,,12,10
64,1,4:52.0,,K. Lowry makes 2-pt layup from 3 ft,12,12
65,1,4:52.0,,Shooting foul by R. McGruder (drawn by K. Lowry),12,12
66,1,4:52.0,,K. Lowry misses free throw 1 of 1,12,12
67,1,4:50.0,Defensive rebound by J. Johnson,,12,12
68,1,4:35.0,J. Johnson misses 3-pt jump shot from 24 ft,,12,12
69,1,4:35.0,Offensive rebound by R. McGruder,,12,12
70,1,4:35.0,R. McGruder makes 2-pt layup from 1 ft,,14,12
71,1,4:35.0,Shooting foul by K. Lowry (drawn by R. McGruder),,14,12
72,1,4:35.0,,C. Joseph enters the game for K. Lowry,14,12
