,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:49.0,,Turnover by E. Fournier (bad pass),0,0
1,1,11:39.0,,Violation by C. Watson (kicked ball),0,0
2,1,11:24.0,T. McConnell misses 2-pt jump shot from 10 ft,,0,0
3,1,11:24.0,,Defensive rebound by E. Fournier,0,0
4,1,11:16.0,,S. Ibaka misses 3-pt jump shot from 25 ft,0,0
5,1,11:15.0,,Offensive rebound by M. Hezonja,0,0
6,1,11:08.0,,M. Hezonja misses 2-pt layup at rim,0,0
7,1,11:08.0,Defensive rebound by T. McConnell,,0,0
8,1,10:58.0,J. Okafor makes 2-pt layup from 1 ft,,2,0
9,1,10:38.0,,N. Vučević makes 2-pt hook shot from 6 ft,2,2
10,1,10:24.0,R. Covington misses 3-pt jump shot from 26 ft,,2,2
11,1,10:24.0,,Defensive rebound by M. Hezonja,2,2
12,1,10:19.0,Violation by R. Covington (kicked ball),,2,2
13,1,10:13.0,,M. Hezonja misses 2-pt layup from 2 ft,2,2
14,1,10:13.0,Defensive rebound by R. Covington,,2,2
15,1,10:06.0,E. İlyasova misses 2-pt jump shot from 18 ft,,2,2
16,1,10:06.0,,Defensive rebound by C. Watson,2,2
17,1,9:58.0,,N. Vučević makes 2-pt layup from 2 ft (assist by C. Watson),2,4
18,1,9:43.0,R. Covington misses 2-pt layup at rim (block by S. Ibaka),,2,4
19,1,9:42.0,Offensive rebound by E. İlyasova,,2,4
20,1,9:42.0,Turnover by E. İlyasova (traveling),,2,4
21,1,9:29.0,,N. Vučević makes 2-pt hook shot from 9 ft,2,6
22,1,9:13.0,E. İlyasova misses 3-pt jump shot from 24 ft,,2,6
23,1,9:11.0,,Defensive rebound by N. Vučević,2,6
24,1,9:04.0,,S. Ibaka makes 2-pt hook shot from 2 ft (assist by C. Watson),2,8
25,1,8:42.0,J. Okafor misses 2-pt jump shot from 9 ft,,2,8
26,1,8:41.0,,Defensive rebound by C. Watson,2,8
27,1,8:29.0,,Shooting foul by J. Okafor (drawn by E. Fournier),2,8
28,1,8:29.0,,E. Fournier makes free throw 1 of 2,2,9
29,1,8:29.0,,E. Fournier makes free throw 2 of 2,2,10
30,1,8:04.0,T. McConnell makes 2-pt layup from 2 ft,,4,10
31,1,8:00.0,,Turnover by C. Watson (lost ball; steal by T. McConnell),4,10
32,1,7:51.0,J. Okafor misses 2-pt layup from 2 ft (block by S. Ibaka),,4,10
33,1,7:50.0,,Defensive rebound by N. Vučević,4,10
34,1,7:44.0,,E. Fournier makes 2-pt layup from 3 ft,4,12
35,1,7:44.0,Philadelphia full timeout,,4,12
36,1,7:44.0,Violation by Team (jump ball),,4,12
37,1,7:24.0,J. Okafor makes 2-pt jump shot from 4 ft,,6,12
38,1,7:03.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by M. Hezonja),6,15
