,QUARTER,TIME_REMAINING,BOSTON_ACTION,PHOENIX_ACTION,BOSTON_SCORE,PHOENIX_SCORE
0,1,11:36.0,,E. Bledsoe misses 2-pt jump shot from 10 ft,0,0
1,1,11:32.0,Defensive rebound by J. Crowder,,0,0
2,1,11:22.0,Personal foul by T. Warren,,0,0
3,1,11:15.0,I. Thomas misses 3-pt jump shot from 24 ft,,0,0
4,1,11:13.0,,Defensive rebound by A. Len,0,0
5,1,11:01.0,,D. Booker misses 3-pt jump shot from 26 ft,0,0
6,1,11:00.0,,Offensive rebound by Team,0,0
7,1,11:00.0,Loose ball foul by J. Crowder (drawn by A. Len),,0,0
8,1,10:52.0,,Turnover by E. Bledsoe (bad pass; steal by J. Brown),0,0
9,1,10:49.0,I. Thomas makes 2-pt layup from 1 ft (assist by J. Brown),,2,0
10,1,10:33.0,,M. Chriss misses 2-pt layup from 3 ft (block by A. Johnson),2,0
11,1,10:30.0,Defensive rebound by A. Johnson,,2,0
12,1,10:15.0,J. Jerebko misses 3-pt jump shot from 24 ft,,2,0
13,1,10:14.0,,Defensive rebound by T. Warren,2,0
14,1,10:10.0,,Personal foul by J. Jerebko (drawn by A. Len),2,0
15,1,9:59.0,,D. Booker makes 2-pt jump shot from 17 ft,2,2
16,1,9:47.0,I. Thomas makes 3-pt jump shot from 26 ft (assist by A. Johnson),,5,2
17,1,9:35.0,,Turnover by D. Booker (bad pass),5,2
18,1,9:25.0,J. Crowder misses 3-pt jump shot from 25 ft,,5,2
19,1,9:24.0,,Defensive rebound by M. Chriss,5,2
20,1,9:07.0,,Turnover by M. Chriss (bad pass),5,2
21,1,8:53.0,J. Crowder makes 2-pt jump shot from 22 ft (assist by A. Johnson),,7,2
22,1,8:37.0,,M. Chriss makes 2-pt dunk at rim (assist by T. Warren),7,4
23,1,8:22.0,A. Johnson makes 3-pt jump shot from 26 ft (assist by I. Thomas),,10,4
24,1,8:08.0,,E. Bledsoe makes 2-pt layup at rim (assist by A. Len),10,6
25,1,7:45.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by A. Johnson),,13,6
26,1,7:44.0,,Phoenix full timeout,13,6
27,1,7:31.0,,A. Len misses 2-pt jump shot from 8 ft,13,6
28,1,7:28.0,Defensive rebound by J. Jerebko,,13,6
29,1,7:16.0,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Jerebko),,16,6
30,1,6:58.0,,E. Bledsoe misses 2-pt jump shot from 6 ft,16,6
