,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:44.0,,Def 3 sec tech foul by K. Towns,0,0
1,1,11:44.0,,J. Leuer misses technical free throw,0,0
2,1,11:44.0,,Offensive rebound by Team,0,0
3,1,11:35.0,,J. Leuer makes 3-pt jump shot from 26 ft (assist by R. Jackson),0,3
4,1,11:22.0,K. Towns misses 2-pt layup from 3 ft (block by A. Drummond),,0,3
5,1,11:20.0,,Defensive rebound by R. Jackson,0,3
6,1,11:17.0,,M. Morris misses 3-pt jump shot from 25 ft,0,3
7,1,11:15.0,,Offensive rebound by A. Drummond,0,3
8,1,11:14.0,,A. Drummond misses 2-pt layup from 3 ft (block by G. Dieng),0,3
9,1,11:13.0,,Offensive rebound by A. Drummond,0,3
10,1,11:12.0,,A. Drummond makes 2-pt layup from 1 ft,0,5
11,1,11:02.0,Minnesota full timeout,,0,5
12,1,10:57.0,Personal foul by A. Drummond (drawn by K. Towns),,0,5
13,1,10:48.0,Def 3 sec tech foul by A. Drummond,,0,5
14,1,10:48.0,R. Rubio makes technical free throw,,1,5
15,1,10:37.0,,Violation by A. Drummond (def goaltending),1,5
16,1,10:37.0,K. Towns makes 2-pt layup from 1 ft,,3,5
17,1,10:25.0,,J. Leuer misses 3-pt jump shot from 26 ft,3,5
18,1,10:24.0,Defensive rebound by A. Wiggins,,3,5
19,1,10:15.0,Shooting foul by J. Leuer (drawn by K. Towns),,3,5
20,1,10:15.0,K. Towns makes free throw 1 of 2,,4,5
21,1,10:15.0,K. Towns misses free throw 2 of 2,,4,5
22,1,10:14.0,,Defensive rebound by A. Drummond,4,5
23,1,10:00.0,,J. Leuer makes 2-pt jump shot from 18 ft (assist by K. Caldwell-Pope),4,7
24,1,9:43.0,K. Towns misses 2-pt hook shot from 7 ft,,4,7
25,1,9:42.0,,Defensive rebound by A. Drummond,4,7
26,1,9:30.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,4,7
27,1,9:29.0,,Offensive rebound by M. Morris,4,7
28,1,9:18.0,,J. Leuer misses 2-pt jump shot from 12 ft,4,7
29,1,9:16.0,Defensive rebound by G. Dieng,,4,7
30,1,9:04.0,Z. LaVine makes 2-pt jump shot from 19 ft (assist by K. Towns),,6,7
31,1,8:53.0,,Personal foul by A. Wiggins (drawn by M. Morris),6,7
32,1,8:53.0,,Turnover by M. Morris (bad pass; steal by R. Rubio),6,7
33,1,8:50.0,R. Rubio misses 2-pt layup at rim,,6,7
34,1,8:48.0,Offensive rebound by K. Towns,,6,7
35,1,8:46.0,R. Rubio misses 2-pt jump shot from 15 ft,,6,7
36,1,8:44.0,,Defensive rebound by J. Leuer,6,7
37,1,8:32.0,,R. Jackson makes 2-pt jump shot from 15 ft,6,9
38,1,8:15.0,R. Rubio misses 2-pt layup from 1 ft (block by A. Drummond),,6,9
39,1,8:14.0,,Defensive rebound by A. Drummond,6,9
40,1,8:07.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),6,12
41,1,7:46.0,G. Dieng makes 2-pt layup from 1 ft,,8,12
42,1,7:34.0,,R. Jackson misses 2-pt layup from 1 ft (block by K. Towns),8,12
43,1,7:32.0,Defensive rebound by G. Dieng,,8,12
44,1,7:25.0,A. Wiggins misses 2-pt jump shot from 7 ft,,8,12
45,1,7:24.0,,Defensive rebound by R. Jackson,8,12
46,1,7:16.0,,R. Jackson makes 2-pt jump shot from 5 ft,8,14
47,1,6:53.0,R. Rubio misses 3-pt jump shot from 26 ft,,8,14
48,1,6:53.0,Offensive rebound by Z. LaVine,,8,14
49,1,6:50.0,Z. LaVine makes 2-pt layup from 1 ft,,10,14
50,1,6:33.0,,J. Leuer makes 2-pt jump shot from 16 ft (assist by K. Caldwell-Pope),10,16
51,1,6:13.0,Z. LaVine misses 3-pt jump shot from 25 ft,,10,16
52,1,6:13.0,Offensive rebound by G. Dieng,,10,16
53,1,6:09.0,G. Dieng misses 2-pt jump shot from 18 ft,,10,16
54,1,6:08.0,,Defensive rebound by R. Jackson,10,16
55,1,6:04.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),10,18
56,1,5:42.0,A. Wiggins misses 2-pt jump shot from 19 ft,,10,18
57,1,5:42.0,,Defensive rebound by A. Drummond,10,18
58,1,5:35.0,,M. Morris misses 2-pt jump shot from 18 ft,10,18
59,1,5:35.0,Defensive rebound by G. Dieng,,10,18
60,1,5:31.0,Turnover by R. Rubio (bad pass),,10,18
61,1,5:31.0,,Detroit full timeout,10,18
62,1,5:31.0,,T. Harris enters the game for M. Morris,10,18
63,1,5:06.0,,R. Jackson misses 3-pt jump shot from 26 ft,10,18
64,1,5:06.0,Defensive rebound by Z. LaVine,,10,18
65,1,4:49.0,G. Dieng misses 2-pt jump shot from 20 ft,,10,18
66,1,4:49.0,,Defensive rebound by K. Caldwell-Pope,10,18
67,1,4:35.0,,A. Drummond misses 2-pt hook shot from 7 ft,10,18
68,1,4:34.0,Defensive rebound by K. Towns,,10,18
69,1,4:28.0,Turnover by G. Dieng (traveling),,10,18
70,1,4:11.0,,T. Harris makes 2-pt jump shot from 7 ft,10,20
71,1,3:55.0,A. Wiggins misses 2-pt jump shot from 6 ft,,10,20
72,1,3:53.0,Offensive rebound by K. Towns,,10,20
73,1,3:51.0,K. Towns makes 2-pt layup from 1 ft,,12,20
74,1,3:33.0,,A. Drummond misses 2-pt hook shot from 6 ft,12,20
75,1,3:32.0,Defensive rebound by G. Dieng,,12,20
76,1,3:18.0,A. Wiggins misses 3-pt jump shot from 23 ft,,12,20
77,1,3:18.0,,Defensive rebound by Team,12,20
78,1,3:18.0,S. Muhammad enters the game for Z. LaVine,,12,20
79,1,3:02.0,Offensive charge foul by A. Drummond (drawn by G. Dieng),,12,20
80,1,3:02.0,,Turnover by A. Drummond (offensive foul),12,20
81,1,3:02.0,,A. Baynes enters the game for A. Drummond,12,20
82,1,2:50.0,K. Towns misses 3-pt jump shot from 27 ft,,12,20
83,1,2:50.0,Offensive rebound by Team,,12,20
84,1,2:50.0,Shooting foul by K. Caldwell-Pope (drawn by A. Wiggins),,12,20
85,1,2:50.0,Minnesota full timeout,,12,20
86,1,2:50.0,A. Wiggins makes free throw 1 of 2,,13,20
87,1,2:50.0,,I. Smith enters the game for K. Caldwell-Pope,12,20
88,1,2:50.0,,S. Johnson enters the game for R. Jackson,12,20
89,1,2:50.0,A. Wiggins makes free throw 2 of 2,,14,20
90,1,2:36.0,,J. Leuer misses 2-pt jump shot from 17 ft,14,20
91,1,2:36.0,Defensive rebound by G. Dieng,,14,20
92,1,2:13.0,Turnover by R. Rubio (bad pass; steal by T. Harris),,14,20
93,1,2:08.0,,Turnover by S. Johnson (bad pass),14,20
94,1,2:08.0,N. Bjelica enters the game for G. Dieng,,14,20
95,1,1:58.0,Turnover by R. Rubio (bad pass; steal by I. Smith),,14,20
96,1,1:44.0,,Turnover by S. Johnson (traveling),14,20
97,1,1:44.0,,M. Morris enters the game for J. Leuer,14,20
98,1,1:44.0,T. Jones enters the game for R. Rubio,,14,20
99,1,1:26.0,A. Wiggins makes 2-pt jump shot from 4 ft,,16,20
100,1,1:08.0,,A. Baynes misses 2-pt hook shot from 7 ft,16,20
101,1,1:07.0,Defensive rebound by N. Bjelica,,16,20
102,1,1:00.0,S. Muhammad misses 2-pt jump shot from 15 ft,,16,20
103,1,1:00.0,,Defensive rebound by M. Morris,16,20
104,1,0:56.0,,Shooting foul by K. Towns (drawn by A. Baynes),16,20
105,1,0:56.0,,A. Baynes makes free throw 1 of 2,16,21
106,1,0:56.0,,A. Baynes makes free throw 2 of 2,16,22
107,1,0:43.0,S. Muhammad misses 2-pt jump shot from 12 ft,,16,22
108,1,0:43.0,Offensive rebound by K. Towns,,16,22
109,1,0:43.0,Personal foul by A. Baynes (drawn by K. Towns),,16,22
110,1,0:37.0,N. Bjelica misses 2-pt jump shot from 21 ft,,16,22
111,1,0:36.0,,Defensive rebound by S. Johnson,16,22
112,1,0:27.0,,S. Johnson misses 3-pt jump shot from 26 ft,16,22
113,1,0:27.0,,Offensive rebound by A. Baynes,16,22
114,1,0:05.0,,I. Smith makes 2-pt jump shot from 18 ft,16,24
115,1,0:01.0,T. Jones makes 2-pt jump shot from 6 ft,,18,24
116,1,0:00.0,,I. Smith misses 3-pt jump shot from 42 ft,18,24
117,1,0:00.0,,Offensive rebound by Team,18,24
118,2,11:46.0,Z. LaVine makes 2-pt jump shot from 18 ft (assist by C. Aldrich),,20,24
119,2,11:32.0,,M. Morris misses 2-pt jump shot from 18 ft,20,24
120,2,11:32.0,,Offensive rebound by Team,20,24
121,2,11:25.0,,M. Morris makes 2-pt layup from 1 ft (assist by I. Smith),20,26
122,2,11:25.0,,Shooting foul by C. Aldrich (drawn by M. Morris),20,26
123,2,11:25.0,,M. Morris makes free throw 1 of 1,20,27
124,2,11:18.0,N. Bjelica makes 2-pt jump shot from 5 ft (assist by T. Jones),,22,27
125,2,11:01.0,,I. Smith makes 2-pt jump shot from 16 ft,22,29
126,2,10:48.0,S. Muhammad makes 2-pt layup from 1 ft (assist by T. Jones),,24,29
127,2,10:30.0,,A. Baynes makes 2-pt jump shot from 18 ft (assist by T. Harris),24,31
128,2,10:04.0,S. Muhammad makes 2-pt jump shot from 6 ft (assist by Z. LaVine),,26,31
129,2,9:46.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by I. Smith),26,34
130,2,9:28.0,Turnover by T. Jones (bad pass; steal by M. Morris),,26,34
131,2,9:23.0,,T. Harris misses 2-pt jump shot from 4 ft (block by C. Aldrich),26,34
132,2,9:23.0,,Offensive rebound by Team,26,34
133,2,9:17.0,,T. Harris misses 3-pt jump shot from 24 ft,26,34
134,2,9:16.0,Defensive rebound by N. Bjelica,,26,34
135,2,9:11.0,S. Muhammad makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,29,34
136,2,8:53.0,,M. Morris misses 3-pt jump shot from 23 ft,29,34
137,2,8:53.0,,Offensive rebound by Team,29,34
138,2,8:53.0,Loose ball foul by C. Aldrich (drawn by A. Baynes),,29,34
139,2,8:53.0,Official timeout,,29,34
140,2,8:42.0,,Shooting foul by S. Muhammad (drawn by M. Morris),29,34
141,2,8:42.0,,M. Morris misses free throw 1 of 2,29,34
142,2,8:42.0,,Offensive rebound by Team,29,34
143,2,8:42.0,,M. Morris makes free throw 2 of 2,29,35
144,2,8:29.0,Z. LaVine makes 2-pt layup at rim (assist by C. Aldrich),,31,35
145,2,8:18.0,,Turnover by A. Baynes (traveling),31,35
146,2,8:18.0,,K. Caldwell-Pope enters the game for S. Johnson,31,35
147,2,7:58.0,Z. LaVine misses 2-pt layup at rim,,31,35
148,2,7:57.0,,Defensive rebound by K. Caldwell-Pope,31,35
149,2,7:50.0,,Turnover by T. Harris (bad pass; steal by S. Muhammad),31,35
150,2,7:48.0,S. Muhammad misses 2-pt layup from 2 ft,,31,35
151,2,7:47.0,Offensive rebound by N. Bjelica,,31,35
152,2,7:46.0,N. Bjelica makes 2-pt dunk at rim,,33,35
153,2,7:37.0,,Detroit full timeout,33,35
154,2,7:37.0,,A. Drummond enters the game for A. Baynes,33,35
155,2,7:37.0,,R. Jackson enters the game for I. Smith,33,35
156,2,7:28.0,,T. Harris misses 3-pt jump shot from 27 ft,33,35
157,2,7:28.0,Defensive rebound by Z. LaVine,,33,35
158,2,7:23.0,,Violation by T. Harris (kicked ball),33,35
159,2,7:10.0,S. Muhammad makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,36,35
160,2,6:55.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by K. Caldwell-Pope),36,37
161,2,6:38.0,Turnover by Z. LaVine (bad pass; steal by A. Drummond),,36,37
162,2,6:31.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,36,37
163,2,6:31.0,Defensive rebound by C. Aldrich,,36,37
164,2,6:17.0,S. Muhammad misses 2-pt jump shot from 5 ft,,36,37
165,2,6:16.0,,Defensive rebound by T. Harris,36,37
166,2,6:01.0,,T. Harris misses 2-pt jump shot from 4 ft,36,37
167,2,6:01.0,,Offensive rebound by M. Morris,36,37
168,2,6:00.0,,M. Morris makes 2-pt layup from 1 ft,36,39
169,2,5:52.0,Minnesota full timeout,,36,39
170,2,5:52.0,K. Towns enters the game for S. Muhammad,,36,39
171,2,5:52.0,G. Dieng enters the game for N. Bjelica,,36,39
172,2,5:52.0,A. Wiggins enters the game for C. Aldrich,,36,39
173,2,5:52.0,,J. Leuer enters the game for T. Harris,36,39
174,2,5:43.0,Z. LaVine makes 2-pt dunk at rim,,38,39
175,2,5:28.0,,M. Morris makes 2-pt jump shot from 18 ft (assist by R. Jackson),38,41
176,2,5:01.0,Z. LaVine misses 3-pt jump shot from 26 ft,,38,41
177,2,5:00.0,,Defensive rebound by K. Caldwell-Pope,38,41
178,2,4:57.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft,38,41
179,2,4:56.0,,Offensive rebound by J. Leuer,38,41
180,2,4:55.0,,J. Leuer misses 2-pt jump shot from 5 ft (block by G. Dieng),38,41
181,2,4:54.0,Defensive rebound by A. Wiggins,,38,41
182,2,4:49.0,Z. LaVine makes 2-pt dunk at rim (assist by A. Wiggins),,40,41
183,2,4:30.0,,Turnover by A. Drummond (lost ball; steal by T. Jones),40,41
184,2,4:20.0,Turnover by T. Jones (lost ball; steal by R. Jackson),,40,41
185,2,4:12.0,,Turnover by K. Caldwell-Pope (lost ball),40,41
186,2,4:12.0,R. Rubio enters the game for T. Jones,,40,41
187,2,3:52.0,Z. LaVine makes 2-pt jump shot from 18 ft,,42,41
188,2,3:37.0,,R. Jackson misses 2-pt layup at rim,42,41
189,2,3:35.0,,Offensive rebound by A. Drummond,42,41
190,2,3:32.0,,A. Drummond makes 2-pt layup from 1 ft,42,43
191,2,3:22.0,K. Towns makes 2-pt dunk at rim (assist by R. Rubio),,44,43
192,2,3:16.0,,Detroit full timeout,44,43
193,2,3:00.0,,K. Caldwell-Pope misses 2-pt jump shot from 5 ft,44,43
194,2,3:00.0,Defensive rebound by K. Towns,,44,43
195,2,2:44.0,K. Towns misses 2-pt layup from 2 ft,,44,43
196,2,2:44.0,,Defensive rebound by A. Drummond,44,43
197,2,2:33.0,,R. Jackson misses 2-pt jump shot from 19 ft,44,43
198,2,2:32.0,Defensive rebound by G. Dieng,,44,43
199,2,2:15.0,K. Towns makes 2-pt layup at rim,,46,43
200,2,1:58.0,,Shooting foul by K. Towns (drawn by R. Jackson),46,43
201,2,1:58.0,,R. Jackson makes free throw 1 of 2,46,44
202,2,1:58.0,,A. Baynes enters the game for A. Drummond,46,44
203,2,1:58.0,,R. Jackson makes free throw 2 of 2,46,45
204,2,1:54.0,Turnover by R. Rubio (bad pass),,46,45
205,2,1:42.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by R. Jackson),46,48
206,2,1:19.0,K. Towns makes 2-pt layup at rim (assist by Z. LaVine),,48,48
207,2,1:05.0,,J. Leuer misses 3-pt jump shot from 26 ft,48,48
208,2,1:04.0,,Offensive rebound by A. Baynes,48,48
209,2,1:00.0,,A. Baynes makes 2-pt layup at rim,48,50
210,2,0:52.0,Shooting foul by A. Baynes (drawn by Z. LaVine),,48,50
211,2,0:52.0,Z. LaVine makes free throw 1 of 2,,49,50
212,2,0:52.0,Z. LaVine makes free throw 2 of 2,,50,50
213,2,0:40.0,,R. Jackson misses 2-pt jump shot from 19 ft,50,50
214,2,0:39.0,,Offensive rebound by K. Caldwell-Pope,50,50
215,2,0:39.0,,K. Caldwell-Pope misses 2-pt layup from 2 ft,50,50
