,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DETROIT_ACTION,ORLANDO_SCORE,DETROIT_SCORE
0,1,11:39.0,,T. Harris misses 2-pt jump shot from 7 ft,0,0
1,1,11:37.0,,Offensive rebound by A. Drummond,0,0
2,1,11:27.0,,R. Jackson makes 3-pt jump shot from 25 ft,0,3
3,1,11:12.0,A. Gordon makes 2-pt layup at rim (assist by S. Ibaka),,2,3
4,1,11:12.0,Shooting foul by M. Morris (drawn by A. Gordon),,2,3
5,1,11:12.0,A. Gordon makes free throw 1 of 1,,3,3
6,1,10:59.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by A. Drummond),3,6
7,1,10:36.0,E. Fournier misses 2-pt jump shot from 7 ft (block by A. Drummond),,3,6
8,1,10:35.0,,Defensive rebound by M. Morris,3,6
9,1,10:22.0,,R. Jackson misses 2-pt layup at rim,3,6
10,1,10:21.0,Defensive rebound by A. Gordon,,3,6
11,1,10:16.0,A. Gordon misses 2-pt jump shot from 6 ft,,3,6
12,1,10:16.0,,Defensive rebound by T. Harris,3,6
13,1,10:01.0,,K. Caldwell-Pope misses 2-pt jump shot from 8 ft,3,6
14,1,9:59.0,Defensive rebound by B. Biyombo,,3,6
15,1,9:47.0,B. Biyombo misses 2-pt layup from 1 ft,,3,6
16,1,9:46.0,,Defensive rebound by A. Drummond,3,6
17,1,9:37.0,,A. Drummond misses 2-pt hook shot from 6 ft,3,6
18,1,9:36.0,Defensive rebound by S. Ibaka,,3,6
19,1,9:24.0,S. Ibaka makes 3-pt jump shot from 26 ft (assist by D. Augustin),,6,6
20,1,9:01.0,,A. Drummond misses 2-pt hook shot from 8 ft,6,6
21,1,8:59.0,Defensive rebound by S. Ibaka,,6,6
22,1,8:47.0,Turnover by D. Augustin (bad pass; steal by A. Drummond),,6,6
23,1,8:41.0,,R. Jackson misses 3-pt jump shot from 25 ft,6,6
24,1,8:41.0,Defensive rebound by S. Ibaka,,6,6
25,1,8:23.0,D. Augustin makes 2-pt layup from 1 ft,,8,6
26,1,7:59.0,,M. Morris makes 2-pt jump shot from 18 ft,8,8
27,1,7:38.0,A. Gordon makes 2-pt jump shot from 15 ft,,10,8
28,1,7:18.0,,R. Jackson misses 2-pt layup from 1 ft,10,8
29,1,7:16.0,,Offensive rebound by A. Drummond,10,8
30,1,7:14.0,,A. Drummond makes 2-pt layup at rim,10,10
31,1,7:00.0,E. Fournier misses 2-pt layup from 1 ft,,10,10
32,1,6:59.0,,Defensive rebound by A. Drummond,10,10
33,1,6:50.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by R. Jackson),10,13
34,1,6:31.0,A. Gordon misses 3-pt jump shot from 26 ft,,10,13
35,1,6:30.0,,Defensive rebound by K. Caldwell-Pope,10,13
36,1,6:20.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by T. Harris),10,16
37,1,6:10.0,Orlando full timeout,,10,16
38,1,6:10.0,,J. Leuer enters the game for T. Harris,10,16
39,1,6:10.0,,I. Smith enters the game for R. Jackson,10,16
40,1,5:46.0,S. Ibaka makes 2-pt hook shot from 6 ft,,12,16
41,1,5:28.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),12,19
42,1,5:07.0,S. Ibaka makes 2-pt hook shot from 10 ft (assist by E. Fournier),,14,19
43,1,4:49.0,,J. Leuer makes 2-pt jump shot from 10 ft (assist by K. Caldwell-Pope),14,21
44,1,4:27.0,D. Augustin misses 3-pt jump shot from 25 ft,,14,21
45,1,4:26.0,,Defensive rebound by K. Caldwell-Pope,14,21
46,1,4:16.0,,A. Drummond makes 2-pt dunk at rim (assist by I. Smith),14,23
47,1,4:10.0,Orlando full timeout,,14,23
48,1,4:10.0,N. Vučević enters the game for B. Biyombo,,14,23
49,1,4:10.0,E. Payton enters the game for D. Augustin,,14,23
50,1,4:02.0,Shooting foul by K. Caldwell-Pope (drawn by E. Fournier),,14,23
51,1,4:02.0,E. Fournier makes free throw 1 of 2,,15,23
52,1,4:02.0,E. Fournier makes free throw 2 of 2,,16,23
53,1,3:42.0,,A. Drummond misses 2-pt jump shot from 4 ft,16,23
54,1,3:42.0,,Offensive rebound by A. Drummond,16,23
55,1,3:38.0,,Turnover by A. Drummond (bad pass; steal by S. Ibaka),16,23
56,1,3:12.0,E. Fournier misses 3-pt jump shot from 26 ft,,16,23
57,1,3:12.0,,Defensive rebound by A. Drummond,16,23
58,1,3:05.0,,I. Smith makes 2-pt layup from 1 ft,16,25
59,1,2:51.0,E. Payton makes 2-pt layup at rim,,18,25
60,1,2:30.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by A. Drummond),18,27
61,1,2:14.0,Shooting foul by K. Caldwell-Pope (drawn by S. Ibaka),,18,27
62,1,2:14.0,,Detroit full timeout,18,27
63,1,2:14.0,S. Ibaka makes free throw 1 of 2,,19,27
64,1,2:14.0,J. Green enters the game for A. Gordon,,18,27
65,1,2:14.0,,A. Baynes enters the game for A. Drummond,18,27
66,1,2:14.0,,D. Hilliard enters the game for K. Caldwell-Pope,18,27
67,1,2:14.0,S. Ibaka misses free throw 2 of 2,,19,27
68,1,2:13.0,,Defensive rebound by A. Baynes,19,27
69,1,1:54.0,,Turnover by D. Hilliard (bad pass; steal by S. Ibaka),19,27
70,1,1:44.0,N. Vučević makes 2-pt layup from 1 ft (assist by S. Ibaka),,21,27
71,1,1:22.0,,D. Hilliard misses 2-pt jump shot from 20 ft,21,27
72,1,1:21.0,Defensive rebound by N. Vučević,,21,27
73,1,1:13.0,N. Vučević misses 3-pt jump shot from 27 ft,,21,27
74,1,1:13.0,Offensive rebound by E. Payton,,21,27
75,1,1:08.0,S. Ibaka misses 3-pt jump shot from 27 ft,,21,27
76,1,1:08.0,,Defensive rebound by Team,21,27
77,1,0:56.0,,M. Morris misses 3-pt jump shot from 26 ft,21,27
78,1,0:55.0,Defensive rebound by N. Vučević,,21,27
79,1,0:49.0,Shooting foul by I. Smith (drawn by E. Payton),,21,27
80,1,0:49.0,E. Payton misses free throw 1 of 2,,21,27
81,1,0:49.0,Offensive rebound by Team,,21,27
82,1,0:49.0,E. Payton misses free throw 2 of 2,,21,27
83,1,0:46.0,,Defensive rebound by M. Morris,21,27
84,1,0:38.0,,Personal foul by E. Fournier (drawn by J. Leuer),21,27
85,1,0:28.0,,M. Morris misses 2-pt layup from 1 ft,21,27
86,1,0:28.0,Defensive rebound by J. Green,,21,27
87,1,0:18.0,S. Ibaka makes 2-pt jump shot from 16 ft,,23,27
88,1,0:02.0,,A. Baynes misses 2-pt jump shot from 17 ft,23,27
89,1,0:01.0,Defensive rebound by E. Fournier,,23,27
90,2,11:45.0,N. Vučević misses 2-pt hook shot from 2 ft,,23,27
91,2,11:44.0,,Defensive rebound by A. Baynes,23,27
92,2,11:33.0,,D. Hilliard misses 2-pt jump shot from 12 ft,23,27
93,2,11:33.0,Defensive rebound by B. Biyombo,,23,27
94,2,11:18.0,J. Green makes 3-pt jump shot from 26 ft (assist by N. Vučević),,26,27
95,2,11:13.0,,Detroit full timeout,26,27
96,2,10:59.0,,A. Baynes makes 2-pt layup at rim (assist by R. Jackson),26,29
97,2,10:32.0,N. Vučević makes 2-pt jump shot from 14 ft,,28,29
98,2,10:12.0,,R. Jackson makes 2-pt layup from 1 ft,28,31
99,2,10:00.0,Personal foul by R. Jackson (drawn by E. Payton),,28,31
100,2,9:42.0,J. Meeks makes 2-pt jump shot from 17 ft (assist by B. Biyombo),,30,31
101,2,9:33.0,,J. Leuer misses 3-pt jump shot from 24 ft,30,31
102,2,9:32.0,Defensive rebound by J. Green,,30,31
103,2,9:26.0,J. Green makes 2-pt layup at rim,,32,31
104,2,9:00.0,,D. Hilliard makes 2-pt jump shot from 7 ft,32,33
105,2,8:50.0,Turnover by J. Green (bad pass),,32,33
106,2,8:38.0,,T. Harris makes 2-pt layup at rim,32,35
107,2,8:38.0,,Shooting foul by B. Biyombo (drawn by T. Harris),32,35
108,2,8:38.0,,T. Harris misses free throw 1 of 1,32,35
109,2,8:36.0,Defensive rebound by E. Payton,,32,35
110,2,8:25.0,E. Payton misses 2-pt jump shot from 5 ft,,32,35
111,2,8:25.0,,Defensive rebound by J. Leuer,32,35
112,2,8:15.0,,R. Jackson makes 2-pt jump shot from 19 ft,32,37
113,2,8:01.0,J. Meeks makes 2-pt jump shot from 19 ft (assist by B. Biyombo),,34,37
114,2,8:01.0,Shooting foul by D. Hilliard (drawn by J. Meeks),,34,37
115,2,8:01.0,,A. Drummond enters the game for A. Baynes,34,37
116,2,8:01.0,J. Meeks makes free throw 1 of 1,,35,37
117,2,7:46.0,,D. Hilliard misses 2-pt jump shot from 15 ft,35,37
118,2,7:45.0,Defensive rebound by J. Green,,35,37
119,2,7:30.0,Turnover by J. Green (lost ball; steal by J. Leuer),,35,37
120,2,7:19.0,,Turnover by R. Jackson (bad pass; steal by J. Meeks),35,37
121,2,7:13.0,B. Biyombo makes 2-pt dunk at rim (assist by E. Payton),,37,37
122,2,6:55.0,,Shooting foul by B. Biyombo (drawn by A. Drummond),37,37
123,2,6:55.0,,A. Drummond misses free throw 1 of 2,37,37
124,2,6:55.0,,Offensive rebound by Team,37,37
125,2,6:55.0,,A. Drummond misses free throw 2 of 2,37,37
126,2,6:55.0,,I. Smith enters the game for R. Jackson,37,37
127,2,6:55.0,,K. Caldwell-Pope enters the game for D. Hilliard,37,37
128,2,6:54.0,Defensive rebound by N. Vučević,,37,37
129,2,6:40.0,E. Payton makes 2-pt jump shot from 5 ft,,39,37
130,2,6:28.0,,T. Harris misses 3-pt jump shot from 25 ft,39,37
131,2,6:27.0,Defensive rebound by B. Biyombo,,39,37
