,QUARTER,TIME_REMAINING,DENVER_ACTION,GOLDEN STATE_ACTION,DENVER_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,,K. Durant misses 2-pt jump shot from 17 ft,0,0
1,1,11:43.0,Defensive rebound by W. Chandler,,0,0
2,1,11:25.0,D. Gallinari makes 2-pt jump shot from 22 ft,,2,0
3,1,11:14.0,,Turnover by S. Curry (traveling),2,0
4,1,11:00.0,G. Harris makes 2-pt jump shot from 6 ft (assist by N. Jokić),,4,0
5,1,10:50.0,,D. Green makes 2-pt dunk at rim (assist by Z. Pachulia),4,2
6,1,10:40.0,D. Gallinari makes 3-pt jump shot from 26 ft (assist by N. Jokić),,7,2
7,1,10:25.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),7,4
8,1,10:11.0,D. Gallinari misses 3-pt jump shot from 24 ft,,7,4
9,1,10:10.0,,Defensive rebound by Z. Pachulia,7,4
10,1,10:06.0,,Turnover by Z. Pachulia (bad pass; steal by N. Jokić),7,4
11,1,10:04.0,N. Jokić makes 2-pt dunk at rim,,9,4
12,1,9:51.0,,Z. Pachulia makes 2-pt layup from 2 ft (assist by S. Curry),9,6
13,1,9:51.0,,Shooting foul by N. Jokić (drawn by Z. Pachulia),9,6
14,1,9:51.0,,Z. Pachulia makes free throw 1 of 1,9,7
15,1,9:35.0,E. Mudiay makes 2-pt layup from 2 ft (assist by D. Gallinari),,11,7
16,1,9:24.0,,K. Thompson misses 3-pt jump shot from 26 ft,11,7
17,1,9:23.0,,Offensive rebound by Z. Pachulia,11,7
18,1,9:10.0,,K. Thompson misses 2-pt jump shot from 21 ft,11,7
19,1,9:10.0,Defensive rebound by G. Harris,,11,7
20,1,9:01.0,G. Harris misses 2-pt dunk at rim,,11,7
21,1,9:00.0,,Defensive rebound by K. Thompson,11,7
22,1,8:51.0,,Z. Pachulia makes 2-pt dunk at rim (assist by D. Green),11,9
23,1,8:32.0,W. Chandler misses 3-pt jump shot from 25 ft,,11,9
24,1,8:32.0,,Defensive rebound by S. Curry,11,9
25,1,8:28.0,,Personal foul by D. Gallinari (drawn by Z. Pachulia),11,9
26,1,8:17.0,,Z. Pachulia makes 2-pt hook shot from 6 ft (assist by K. Durant),11,11
27,1,8:04.0,Personal foul by K. Thompson (drawn by E. Mudiay),,11,11
28,1,8:00.0,Turnover by N. Jokić (bad pass; steal by K. Durant),,11,11
29,1,7:52.0,,K. Thompson makes 3-pt jump shot from 28 ft,11,14
30,1,7:29.0,G. Harris makes 2-pt layup from 2 ft,,13,14
31,1,7:19.0,,Z. Pachulia misses 2-pt jump shot from 18 ft,13,14
32,1,7:19.0,Defensive rebound by D. Gallinari,,13,14
33,1,7:09.0,Shooting foul by Z. Pachulia (drawn by N. Jokić),,13,14
34,1,7:09.0,N. Jokić makes free throw 1 of 2,,14,14
35,1,7:09.0,N. Jokić makes free throw 2 of 2,,15,14
36,1,6:52.0,,K. Thompson misses 2-pt jump shot from 18 ft,15,14
37,1,6:52.0,Defensive rebound by E. Mudiay,,15,14
38,1,6:43.0,D. Gallinari misses 2-pt jump shot from 4 ft,,15,14
39,1,6:42.0,,Defensive rebound by D. Green,15,14
40,1,6:35.0,,K. Durant makes 2-pt dunk at rim (assist by D. Green),15,16
41,1,6:26.0,Turnover by W. Chandler (step out of bounds),,15,16
42,1,6:21.0,,Golden State full timeout,15,16
43,1,6:14.0,,S. Curry makes 3-pt jump shot from 25 ft (assist by D. Green),15,19
44,1,5:55.0,W. Chandler misses 2-pt jump shot from 13 ft,,15,19
45,1,5:55.0,,Defensive rebound by Z. Pachulia,15,19
46,1,5:39.0,,K. Thompson makes 3-pt jump shot from 24 ft (assist by D. Green),15,22
47,1,5:37.0,Denver full timeout,,15,22
48,1,5:37.0,W. Barton enters the game for W. Chandler,,15,22
49,1,5:19.0,N. Jokić makes 2-pt hook shot from 4 ft (assist by G. Harris),,17,22
50,1,5:10.0,,Turnover by D. Green (bad pass; steal by D. Gallinari),17,22
51,1,5:04.0,Shooting foul by S. Curry (drawn by D. Gallinari),,17,22
52,1,5:04.0,D. Gallinari makes free throw 1 of 2,,18,22
53,1,5:04.0,D. Gallinari misses free throw 2 of 2,,18,22
54,1,5:04.0,,A. Iguodala enters the game for K. Durant,18,22
55,1,5:04.0,,J. McGee enters the game for Z. Pachulia,18,22
56,1,5:03.0,,Defensive rebound by J. McGee,18,22
57,1,4:43.0,,Turnover by D. Green (lost ball; steal by G. Harris),18,22
58,1,4:37.0,W. Barton misses 3-pt jump shot from 27 ft,,18,22
59,1,4:36.0,,Defensive rebound by S. Curry,18,22
60,1,4:27.0,,Turnover by A. Iguodala (bad pass; steal by G. Harris),18,22
61,1,4:19.0,W. Barton misses 3-pt jump shot from 26 ft,,18,22
62,1,4:18.0,Offensive rebound by N. Jokić,,18,22
63,1,4:11.0,N. Jokić makes 2-pt jump shot from 6 ft (assist by G. Harris),,20,22
64,1,4:07.0,,Golden State full timeout,20,22
65,1,3:58.0,,J. McGee makes 2-pt dunk at rim (assist by S. Curry),20,24
66,1,3:58.0,,Shooting foul by N. Jokić (drawn by J. McGee),20,24
67,1,3:58.0,,J. McGee misses free throw 1 of 1,20,24
68,1,3:58.0,J. Nurkić enters the game for N. Jokić,,20,24
69,1,3:56.0,Defensive rebound by J. Nurkić,,20,24
70,1,3:40.0,E. Mudiay makes 2-pt layup from 2 ft (assist by G. Harris),,22,24
71,1,3:24.0,,J. McGee makes 2-pt dunk at rim (assist by A. Iguodala),22,26
72,1,3:07.0,G. Harris misses 2-pt jump shot from 7 ft (block by K. Thompson),,22,26
73,1,3:06.0,,Defensive rebound by K. Thompson,22,26
74,1,2:59.0,,Personal foul by W. Barton (drawn by K. Thompson),22,26
