,QUARTER,TIME_REMAINING,UTAH_ACTION,ORLANDO_ACTION,UTAH_SCORE,ORLANDO_SCORE
0,1,11:38.0,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),,2,0
1,1,11:16.0,,Turnover by S. Ibaka (bad pass; steal by D. Favors),2,0
2,1,10:58.0,R. Hood misses 2-pt jump shot from 19 ft,,2,0
3,1,10:56.0,Offensive rebound by G. Hayward,,2,0
4,1,10:44.0,D. Exum makes 2-pt dunk at rim (assist by R. Hood),,4,0
5,1,10:31.0,,N. Vučević makes 2-pt hook shot from 13 ft (assist by J. Green),4,2
6,1,10:23.0,Personal foul by E. Fournier (drawn by R. Hood),,4,2
7,1,10:12.0,R. Hood misses 2-pt jump shot from 12 ft,,4,2
8,1,10:10.0,,Defensive rebound by S. Ibaka,4,2
9,1,10:05.0,,Turnover by E. Payton (lost ball; steal by D. Favors),4,2
10,1,10:01.0,G. Hayward makes 2-pt dunk from 1 ft (assist by R. Hood),,6,2
11,1,9:47.0,,E. Fournier makes 2-pt layup from 2 ft,6,4
12,1,9:30.0,D. Exum misses 2-pt layup from 2 ft,,6,4
13,1,9:29.0,,Defensive rebound by N. Vučević,6,4
14,1,9:15.0,,S. Ibaka makes 3-pt jump shot from 25 ft (assist by N. Vučević),6,7
15,1,8:53.0,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),,8,7
16,1,8:38.0,,S. Ibaka misses 3-pt jump shot from 25 ft,8,7
17,1,8:37.0,Defensive rebound by R. Gobert,,8,7
18,1,8:24.0,G. Hayward misses 3-pt jump shot from 26 ft,,8,7
19,1,8:22.0,,Defensive rebound by S. Ibaka,8,7
20,1,8:15.0,,Turnover by E. Fournier (lost ball; steal by D. Favors),8,7
21,1,7:55.0,D. Favors misses 2-pt jump shot from 16 ft,,8,7
22,1,7:53.0,,Defensive rebound by S. Ibaka,8,7
23,1,7:32.0,,E. Fournier misses 2-pt jump shot from 11 ft (block by R. Gobert),8,7
24,1,7:29.0,Defensive rebound by R. Gobert,,8,7
25,1,7:13.0,R. Hood misses 3-pt jump shot from 26 ft,,8,7
26,1,7:11.0,Offensive rebound by R. Gobert,,8,7
27,1,7:00.0,D. Favors makes 2-pt jump shot from 15 ft (assist by G. Hayward),,10,7
28,1,6:40.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),10,10
29,1,6:32.0,,Offensive charge foul by D. Exum (drawn by E. Fournier),10,10
30,1,6:32.0,Turnover by D. Exum (offensive foul),,10,10
31,1,6:23.0,,Orlando full timeout,10,10
32,1,6:11.0,,E. Fournier misses 3-pt jump shot from 23 ft,10,10
33,1,6:10.0,Defensive rebound by D. Favors,,10,10
34,1,5:59.0,Personal foul by E. Payton (drawn by D. Exum),,10,10
35,1,5:59.0,J. Ingles enters the game for R. Hood,,10,10
36,1,5:59.0,,A. Gordon enters the game for J. Green,10,10
37,1,5:59.0,,B. Biyombo enters the game for S. Ibaka,10,10
38,1,5:43.0,D. Favors makes 2-pt jump shot from 15 ft,,12,10
39,1,5:32.0,,N. Vučević misses 3-pt jump shot from 25 ft,12,10
40,1,5:31.0,Defensive rebound by J. Ingles,,12,10
41,1,5:23.0,G. Hayward misses 2-pt jump shot from 16 ft (block by A. Gordon),,12,10
42,1,5:21.0,,Defensive rebound by N. Vučević,12,10
43,1,5:02.0,,N. Vučević misses 2-pt layup from 3 ft,12,10
44,1,5:01.0,Defensive rebound by D. Favors,,12,10
45,1,4:48.0,R. Gobert misses 2-pt dunk at rim (block by A. Gordon),,12,10
46,1,4:48.0,Offensive rebound by R. Gobert,,12,10
47,1,4:48.0,Shooting foul by N. Vučević (drawn by R. Gobert),,12,10
48,1,4:48.0,R. Gobert makes free throw 1 of 2,,13,10
49,1,4:48.0,R. Gobert misses free throw 2 of 2,,13,10
50,1,4:48.0,S. Mack enters the game for D. Exum,,13,10
51,1,4:47.0,,Defensive rebound by N. Vučević,13,10
52,1,4:32.0,,A. Gordon misses 2-pt jump shot from 12 ft,13,10
53,1,4:31.0,Defensive rebound by G. Hayward,,13,10
54,1,4:16.0,R. Gobert makes 2-pt hook shot from 5 ft (assist by J. Ingles),,15,10
55,1,4:05.0,,Shooting foul by G. Hayward (drawn by A. Gordon),15,10
56,1,4:05.0,,A. Gordon misses free throw 1 of 2,15,10
57,1,4:05.0,,Offensive rebound by Team,15,10
58,1,4:05.0,T. Lyles enters the game for D. Favors,,15,10
