,QUARTER,TIME_REMAINING,TORONTO_ACTION,CHARLOTTE_ACTION,TORONTO_SCORE,CHARLOTTE_SCORE
0,1,11:40.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by K. Lowry),,2,0
1,1,11:23.0,,C. Zeller makes 2-pt dunk at rim (assist by K. Walker),2,2
2,1,11:00.0,D. Carroll misses 2-pt jump shot from 15 ft,,2,2
3,1,10:59.0,,Defensive rebound by M. Williams,2,2
4,1,10:51.0,,K. Walker makes 3-pt jump shot from 30 ft,2,5
5,1,10:25.0,Shooting foul by N. Batum (drawn by D. DeRozan),,2,5
6,1,10:25.0,D. DeRozan makes free throw 1 of 2,,3,5
7,1,10:25.0,D. DeRozan makes free throw 2 of 2,,4,5
8,1,10:05.0,,C. Zeller misses 2-pt jump shot from 18 ft,4,5
9,1,10:03.0,,Offensive rebound by M. Kidd-Gilchrist,4,5
10,1,9:58.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),4,8
11,1,9:43.0,D. Carroll misses 2-pt layup from 2 ft,,4,8
12,1,9:41.0,,Defensive rebound by M. Williams,4,8
13,1,9:30.0,,M. Williams makes 2-pt layup from 2 ft (assist by N. Batum),4,10
14,1,9:10.0,N. Powell misses 3-pt jump shot from 23 ft,,4,10
15,1,9:09.0,,Defensive rebound by M. Kidd-Gilchrist,4,10
16,1,8:54.0,,K. Walker misses 2-pt jump shot from 19 ft,4,10
17,1,8:52.0,Defensive rebound by J. Valančiūnas,,4,10
18,1,8:32.0,N. Powell misses 2-pt layup from 1 ft,,4,10
19,1,8:31.0,Offensive rebound by J. Valančiūnas,,4,10
20,1,8:31.0,J. Valančiūnas makes 2-pt layup at rim,,6,10
21,1,8:19.0,,Turnover by K. Walker (bad pass),6,10
22,1,8:04.0,Personal foul by C. Zeller (drawn by J. Valančiūnas),,6,10
23,1,8:00.0,J. Valančiūnas misses 2-pt jump shot from 15 ft,,6,10
24,1,7:58.0,,Defensive rebound by K. Walker,6,10
25,1,7:49.0,,C. Zeller makes 2-pt jump shot from 8 ft (assist by N. Batum),6,12
26,1,7:32.0,K. Lowry misses 2-pt jump shot from 14 ft,,6,12
27,1,7:31.0,,Defensive rebound by M. Williams,6,12
28,1,7:16.0,,N. Batum makes 2-pt jump shot from 18 ft (assist by C. Zeller),6,14
29,1,6:59.0,K. Lowry misses 3-pt jump shot from 25 ft,,6,14
30,1,6:58.0,Offensive rebound by Team,,6,14
31,1,6:52.0,D. DeRozan makes 2-pt jump shot from 10 ft,,8,14
32,1,6:35.0,,N. Batum misses 2-pt layup from 3 ft (block by J. Valančiūnas),8,14
33,1,6:33.0,Defensive rebound by J. Valančiūnas,,8,14
34,1,6:22.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by D. DeRozan),,10,14
35,1,6:08.0,,Shooting foul by J. Valančiūnas (drawn by K. Walker),10,14
36,1,6:08.0,,K. Walker misses free throw 1 of 2,10,14
37,1,6:08.0,,Offensive rebound by Team,10,14
38,1,6:08.0,,F. Kaminsky enters the game for N. Batum,10,14
39,1,6:08.0,,M. Belinelli enters the game for M. Williams,10,14
40,1,6:08.0,,K. Walker makes free throw 2 of 2,10,15
41,1,5:56.0,D. DeRozan misses 2-pt jump shot from 9 ft (block by M. Kidd-Gilchrist),,10,15
42,1,5:54.0,,Defensive rebound by F. Kaminsky,10,15
43,1,5:51.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by K. Walker),10,17
44,1,5:40.0,Turnover by D. DeRozan (lost ball; steal by M. Belinelli),,10,17
45,1,5:33.0,,Shooting foul by J. Valančiūnas (drawn by F. Kaminsky),10,17
46,1,5:33.0,,Charlotte full timeout,10,17
47,1,5:33.0,,F. Kaminsky makes free throw 1 of 2,10,18
48,1,5:33.0,J. Sullinger enters the game for D. Carroll,,10,17
49,1,5:33.0,P. Siakam enters the game for J. Valančiūnas,,10,17
50,1,5:33.0,,F. Kaminsky makes free throw 2 of 2,10,19
51,1,5:20.0,K. Lowry misses 2-pt jump shot from 17 ft,,10,19
52,1,5:18.0,,Defensive rebound by M. Kidd-Gilchrist,10,19
53,1,5:13.0,,Personal foul by J. Sullinger (drawn by K. Walker),10,19
54,1,5:05.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 20 ft,10,19
55,1,5:04.0,Defensive rebound by N. Powell,,10,19
56,1,4:51.0,P. Siakam makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,12,19
57,1,4:33.0,,Turnover by C. Zeller (traveling),12,19
58,1,4:17.0,N. Powell misses 2-pt layup from 1 ft (block by M. Belinelli),,12,19
59,1,4:17.0,,Defensive rebound by Team,12,19
60,1,3:54.0,,C. Zeller misses 2-pt jump shot from 11 ft (block by J. Sullinger),12,19
61,1,3:54.0,,Offensive rebound by Team,12,19
62,1,3:51.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,12,19
63,1,3:50.0,Defensive rebound by J. Sullinger,,12,19
64,1,3:32.0,D. DeRozan misses 2-pt jump shot from 17 ft,,12,19
65,1,3:31.0,,Defensive rebound by C. Zeller,12,19
66,1,3:25.0,,Turnover by M. Belinelli (bad pass; steal by P. Siakam),12,19
67,1,3:23.0,Shooting foul by M. Belinelli (drawn by K. Lowry),,12,19
68,1,3:23.0,K. Lowry makes free throw 1 of 2,,13,19
69,1,3:23.0,,R. Hibbert enters the game for C. Zeller,13,19
70,1,3:23.0,,R. Sessions enters the game for K. Walker,13,19
71,1,3:23.0,K. Lowry makes free throw 2 of 2,,14,19
72,1,3:08.0,,F. Kaminsky makes 2-pt jump shot from 19 ft (assist by R. Sessions),14,21
73,1,2:47.0,Turnover by D. DeRozan (bad pass; steal by F. Kaminsky),,14,21
74,1,2:30.0,,Turnover by R. Sessions (bad pass; steal by P. Siakam),14,21
75,1,2:25.0,N. Powell makes 2-pt layup from 2 ft (assist by P. Siakam),,16,21
76,1,2:09.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by R. Hibbert),16,24
77,1,2:05.0,Toronto full timeout,,16,24
78,1,2:05.0,T. Ross enters the game for N. Powell,,16,24
79,1,2:05.0,C. Joseph enters the game for K. Lowry,,16,24
80,1,1:57.0,D. DeRozan misses 2-pt jump shot from 17 ft,,16,24
81,1,1:56.0,,Defensive rebound by F. Kaminsky,16,24
82,1,1:43.0,,M. Belinelli misses 3-pt jump shot from 27 ft,16,24
83,1,1:41.0,,Offensive rebound by R. Hibbert,16,24
84,1,1:33.0,,R. Sessions misses 2-pt jump shot from 18 ft,16,24
85,1,1:32.0,,Offensive rebound by R. Hibbert,16,24
86,1,1:23.0,,M. Kidd-Gilchrist misses 2-pt layup at rim,16,24
87,1,1:21.0,Defensive rebound by J. Sullinger,,16,24
88,1,1:10.0,P. Siakam misses 2-pt layup from 2 ft (block by F. Kaminsky),,16,24
89,1,1:09.0,,Defensive rebound by F. Kaminsky,16,24
90,1,1:03.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,16,26
91,1,0:40.0,J. Sullinger misses 3-pt jump shot from 27 ft,,16,26
92,1,0:38.0,Offensive rebound by P. Siakam,,16,26
93,1,0:27.0,C. Joseph misses 2-pt jump shot from 17 ft,,16,26
94,1,0:26.0,Offensive rebound by Team,,16,26
95,1,0:26.0,,Loose ball foul by R. Sessions (drawn by C. Joseph),16,26
96,1,0:05.0,C. Joseph makes 2-pt jump shot from 17 ft,,18,26
97,1,0:00.0,,R. Hibbert misses 2-pt jump shot from 18 ft,18,26
98,1,0:00.0,,Offensive rebound by Team,18,26
99,2,11:47.0,,R. Sessions makes 2-pt jump shot from 8 ft,18,28
100,2,11:47.0,,Shooting foul by K. Lowry (drawn by R. Sessions),18,28
101,2,11:47.0,,R. Sessions makes free throw 1 of 1,18,29
102,2,11:34.0,K. Lowry misses 3-pt jump shot from 25 ft,,18,29
103,2,11:33.0,,Defensive rebound by M. Williams,18,29
104,2,11:26.0,,Personal foul by J. Sullinger (drawn by R. Hibbert),18,29
105,2,11:16.0,,N. Batum misses 2-pt jump shot from 10 ft,18,29
106,2,11:15.0,Defensive rebound by C. Joseph,,18,29
107,2,11:05.0,T. Ross makes 3-pt jump shot from 25 ft (assist by K. Lowry),,21,29
108,2,10:51.0,J. Valančiūnas enters the game for J. Sullinger,,21,29
109,2,10:46.0,,M. Belinelli misses 2-pt jump shot from 17 ft,21,29
110,2,10:44.0,Defensive rebound by P. Siakam,,21,29
111,2,10:35.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by K. Lowry),,23,29
112,2,10:27.0,,R. Sessions misses 2-pt jump shot from 8 ft (block by P. Siakam),23,29
113,2,10:25.0,Defensive rebound by K. Lowry,,23,29
114,2,10:18.0,T. Ross misses 3-pt jump shot from 26 ft,,23,29
115,2,10:17.0,,Defensive rebound by M. Williams,23,29
116,2,10:07.0,,Turnover by R. Hibbert (3 sec),23,29
117,2,9:57.0,C. Joseph misses 2-pt jump shot from 7 ft (block by R. Hibbert),,23,29
118,2,9:55.0,Offensive rebound by P. Siakam,,23,29
119,2,9:50.0,C. Joseph misses 3-pt jump shot from 24 ft,,23,29
120,2,9:49.0,Offensive rebound by J. Valančiūnas,,23,29
121,2,9:44.0,T. Ross misses 2-pt jump shot from 10 ft,,23,29
122,2,9:42.0,,Defensive rebound by M. Williams,23,29
123,2,9:23.0,,R. Hibbert makes 2-pt jump shot from 14 ft (assist by M. Williams),23,31
124,2,9:05.0,K. Lowry makes 2-pt layup from 2 ft,,25,31
125,2,8:49.0,,Turnover by N. Batum (traveling),25,31
126,2,8:49.0,Official timeout,,25,31
127,2,8:49.0,D. Carroll enters the game for P. Siakam,,25,31
128,2,8:31.0,K. Lowry misses 3-pt jump shot from 25 ft,,25,31
129,2,8:30.0,,Defensive rebound by M. Williams,25,31
130,2,8:13.0,,N. Batum misses 3-pt jump shot from 26 ft,25,31
131,2,8:13.0,Defensive rebound by Team,,25,31
132,2,8:13.0,,K. Walker enters the game for M. Belinelli,25,31
133,2,7:48.0,K. Lowry misses 2-pt jump shot from 12 ft,,25,31
134,2,7:46.0,Offensive rebound by J. Valančiūnas,,25,31
135,2,7:40.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,25,31
136,2,7:40.0,Offensive rebound by Team,,25,31
137,2,7:40.0,,Loose ball foul by M. Williams (drawn by C. Joseph),25,31
138,2,7:24.0,T. Ross misses 2-pt layup from 3 ft,,25,31
139,2,7:23.0,Offensive rebound by D. Carroll,,25,31
140,2,7:23.0,D. Carroll makes 2-pt layup from 1 ft,,27,31
141,2,7:13.0,,Personal foul by K. Lowry (drawn by M. Williams),27,31
142,2,7:02.0,,Turnover by N. Batum (bad pass; steal by T. Ross),27,31
143,2,6:58.0,Shooting foul by R. Hibbert (drawn by K. Lowry),,27,31
144,2,6:58.0,K. Lowry makes free throw 1 of 3,,28,31
145,2,6:58.0,K. Lowry makes free throw 2 of 3,,29,31
146,2,6:58.0,K. Lowry makes free throw 3 of 3,,30,31
147,2,6:48.0,,Shooting foul by T. Ross (drawn by N. Batum),30,31
148,2,6:48.0,,N. Batum misses free throw 1 of 2,30,31
149,2,6:48.0,,Offensive rebound by Team,30,31
150,2,6:48.0,,N. Batum makes free throw 2 of 2,30,32
151,2,6:34.0,T. Ross misses 2-pt jump shot from 9 ft,,30,32
152,2,6:33.0,,Defensive rebound by Team,30,32
153,2,6:33.0,Loose ball foul by C. Joseph (drawn by M. Williams),,30,32
154,2,6:33.0,,M. Williams makes free throw 1 of 2,30,33
155,2,6:33.0,,M. Kidd-Gilchrist enters the game for R. Hibbert,30,33
156,2,6:33.0,,C. Zeller enters the game for R. Sessions,30,33
157,2,6:33.0,D. DeRozan enters the game for C. Joseph,,30,33
158,2,6:33.0,,M. Williams makes free throw 2 of 2,30,34
159,2,6:14.0,D. Carroll misses 3-pt jump shot from 25 ft,,30,34
160,2,6:13.0,,Defensive rebound by K. Walker,30,34
161,2,6:05.0,,M. Williams misses 3-pt jump shot from 24 ft,30,34
162,2,6:04.0,,Offensive rebound by M. Kidd-Gilchrist,30,34
163,2,5:59.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by K. Walker),30,36
164,2,5:53.0,Toronto full timeout,,30,36
165,2,5:38.0,K. Lowry makes 2-pt layup from 2 ft,,32,36
166,2,5:23.0,,K. Walker makes 2-pt jump shot from 10 ft,32,38
167,2,5:10.0,D. DeRozan misses 2-pt layup from 2 ft,,32,38
168,2,5:09.0,,Defensive rebound by N. Batum,32,38
169,2,4:57.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,32,38
170,2,4:56.0,Defensive rebound by T. Ross,,32,38
171,2,4:50.0,K. Lowry makes 3-pt jump shot from 25 ft,,35,38
172,2,4:35.0,,K. Walker makes 3-pt jump shot from 24 ft,35,41
173,2,4:17.0,K. Lowry makes 2-pt layup at rim,,37,41
174,2,3:57.0,,M. Williams misses 3-pt jump shot from 25 ft,37,41
175,2,3:55.0,Defensive rebound by T. Ross,,37,41
176,2,3:48.0,K. Lowry misses 3-pt jump shot from 24 ft,,37,41
177,2,3:46.0,,Defensive rebound by M. Williams,37,41
178,2,3:31.0,,K. Walker misses 3-pt jump shot from 25 ft,37,41
179,2,3:30.0,Defensive rebound by T. Ross,,37,41
180,2,3:18.0,D. DeRozan makes 2-pt layup from 1 ft,,39,41
181,2,3:18.0,,Charlotte full timeout,39,41
182,2,3:18.0,C. Joseph enters the game for T. Ross,,39,41
183,2,3:18.0,,F. Kaminsky enters the game for M. Williams,39,41
184,2,3:01.0,,K. Walker misses 2-pt layup from 1 ft,39,41
185,2,3:00.0,,Offensive rebound by M. Kidd-Gilchrist,39,41
186,2,2:56.0,,F. Kaminsky misses 3-pt jump shot from 24 ft,39,41
187,2,2:55.0,,Offensive rebound by K. Walker,39,41
188,2,2:45.0,,C. Zeller makes 2-pt jump shot from 6 ft (assist by N. Batum),39,43
189,2,2:24.0,D. DeRozan makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),,42,43
190,2,2:07.0,,N. Batum makes 2-pt jump shot from 22 ft (assist by K. Walker),42,45
191,2,1:54.0,D. DeRozan makes 2-pt jump shot from 16 ft,,44,45
192,2,1:38.0,,Shooting foul by D. Carroll (drawn by C. Zeller),44,45
193,2,1:38.0,,C. Zeller makes free throw 1 of 2,44,46
194,2,1:38.0,N. Powell enters the game for K. Lowry,,44,46
195,2,1:38.0,,C. Zeller makes free throw 2 of 2,44,47
196,2,1:32.0,Technical foul by K. Lowry,,44,47
197,2,1:32.0,,N. Batum makes technical free throw,44,48
198,2,1:26.0,D. DeRozan makes 2-pt jump shot from 18 ft,,46,48
199,2,1:12.0,,K. Walker makes 2-pt layup from 2 ft,46,50
200,2,1:00.0,Turnover by J. Valančiūnas (bad pass; steal by N. Batum),,46,50
201,2,0:53.0,,F. Kaminsky misses 3-pt jump shot from 23 ft,46,50
202,2,0:51.0,Defensive rebound by C. Joseph,,46,50
203,2,0:42.0,D. DeRozan misses 3-pt jump shot from 25 ft,,46,50
204,2,0:42.0,Offensive rebound by Team,,46,50
205,2,0:42.0,,Loose ball foul by C. Zeller (drawn by J. Valančiūnas),46,50
206,2,0:42.0,Toronto full timeout,,46,50
207,2,0:42.0,,R. Hibbert enters the game for C. Zeller,46,50
208,2,0:38.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. DeRozan),,46,50
209,2,0:38.0,D. DeRozan makes free throw 1 of 2,,47,50
210,2,0:38.0,J. Poeltl enters the game for J. Valančiūnas,,47,50
211,2,0:38.0,D. DeRozan makes free throw 2 of 2,,48,50
212,2,0:26.0,,K. Walker makes 3-pt jump shot from 24 ft (assist by N. Batum),48,53
213,2,0:09.0,Offensive foul by C. Joseph (drawn by M. Kidd-Gilchrist),,48,53
214,2,0:09.0,Turnover by C. Joseph (offensive foul),,48,53
215,2,0:02.0,,K. Walker makes 2-pt layup from 1 ft,48,55
216,3,11:52.0,,Turnover by K. Walker (bad pass),48,55
217,3,11:32.0,D. Carroll misses 3-pt jump shot from 23 ft,,48,55
218,3,11:30.0,,Defensive rebound by M. Kidd-Gilchrist,48,55
219,3,11:18.0,,Turnover by N. Batum (bad pass; steal by D. Carroll),48,55
220,3,11:03.0,D. DeRozan misses 2-pt jump shot from 18 ft,,48,55
221,3,11:02.0,,Defensive rebound by N. Batum,48,55
222,3,10:52.0,,K. Walker makes 2-pt layup from 1 ft,48,57
223,3,10:29.0,D. DeRozan misses 2-pt jump shot from 19 ft,,48,57
224,3,10:28.0,,Defensive rebound by M. Kidd-Gilchrist,48,57
225,3,10:22.0,,N. Batum makes 2-pt layup from 1 ft,48,59
226,3,10:22.0,Toronto full timeout,,48,59
227,3,10:03.0,N. Powell makes 2-pt jump shot from 5 ft,,50,59
228,3,9:48.0,,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),50,61
229,3,9:48.0,Violation by J. Valančiūnas (def goaltending),,50,61
230,3,9:31.0,Turnover by D. DeRozan (bad pass; steal by M. Williams),,50,61
231,3,9:21.0,,M. Williams misses 2-pt jump shot from 15 ft,50,61
232,3,9:20.0,,Offensive rebound by C. Zeller,50,61
233,3,9:13.0,,M. Kidd-Gilchrist makes 2-pt dunk at rim (assist by M. Williams),50,63
234,3,8:58.0,K. Lowry misses 2-pt layup from 3 ft,,50,63
235,3,8:56.0,,Defensive rebound by M. Kidd-Gilchrist,50,63
236,3,8:38.0,,N. Batum misses 2-pt layup from 2 ft (block by D. Carroll),50,63
237,3,8:36.0,,Offensive rebound by C. Zeller,50,63
238,3,8:33.0,,K. Walker misses 3-pt jump shot from 29 ft,50,63
239,3,8:33.0,,Offensive rebound by Team,50,63
240,3,8:33.0,,Turnover by Team (shot clock),50,63
241,3,8:22.0,Turnover by K. Lowry (bad pass),,50,63
242,3,7:56.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),50,66
243,3,7:32.0,K. Lowry makes 2-pt jump shot from 23 ft,,52,66
244,3,7:15.0,,Turnover by N. Batum (lost ball; steal by J. Valančiūnas),52,66
245,3,7:13.0,J. Valančiūnas makes 2-pt layup from 1 ft,,54,66
246,3,7:13.0,Shooting foul by K. Walker (drawn by J. Valančiūnas),,54,66
247,3,7:13.0,T. Ross enters the game for D. Carroll,,54,66
248,3,7:13.0,J. Valančiūnas makes free throw 1 of 1,,55,66
249,3,6:59.0,P. Siakam enters the game for J. Valančiūnas,,55,66
250,3,6:51.0,,K. Walker makes 2-pt jump shot from 10 ft,55,68
251,3,6:45.0,Personal foul by K. Walker (drawn by K. Lowry),,55,68
252,3,6:38.0,D. DeRozan makes 2-pt jump shot from 16 ft,,57,68
253,3,6:17.0,,Shooting foul by P. Siakam (drawn by C. Zeller),57,68
254,3,6:17.0,,C. Zeller makes free throw 1 of 2,57,69
255,3,6:17.0,,C. Zeller misses free throw 2 of 2,57,69
256,3,6:15.0,Defensive rebound by N. Powell,,57,69
257,3,6:01.0,D. DeRozan makes 2-pt jump shot from 6 ft,,59,69
258,3,5:37.0,,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),59,72
259,3,5:26.0,N. Powell misses 3-pt jump shot from 24 ft,,59,72
260,3,5:25.0,,Defensive rebound by N. Batum,59,72
261,3,5:20.0,,Shooting foul by K. Lowry (drawn by K. Walker),59,72
262,3,5:20.0,,K. Walker makes free throw 1 of 2,59,73
263,3,5:20.0,,M. Belinelli enters the game for M. Williams,59,73
264,3,5:20.0,,F. Kaminsky enters the game for N. Batum,59,73
265,3,5:20.0,,K. Walker makes free throw 2 of 2,59,74
266,3,5:04.0,D. DeRozan misses 2-pt jump shot from 16 ft,,59,74
267,3,5:03.0,,Defensive rebound by F. Kaminsky,59,74
268,3,4:49.0,,M. Belinelli misses 3-pt jump shot from 26 ft,59,74
