,QUARTER,TIME_REMAINING,DALLAS_ACTION,PHILADELPHIA_ACTION,DALLAS_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,,D. Šarić misses 3-pt jump shot from 26 ft,0,0
1,1,11:45.0,Defensive rebound by Y. Ferrell,,0,0
2,1,11:38.0,Personal foul by T. Luwawu-Cabarrot (drawn by H. Barnes),,0,0
3,1,11:30.0,H. Barnes misses 2-pt jump shot from 16 ft,,0,0
4,1,11:29.0,,Defensive rebound by R. Covington,0,0
5,1,11:21.0,,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),0,2
6,1,11:03.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by W. Matthews),,2,2
7,1,10:42.0,,T. McConnell makes 2-pt jump shot from 10 ft (assist by D. Šarić),2,4
8,1,10:30.0,Turnover by Y. Ferrell (bad pass; steal by D. Šarić),,2,4
9,1,10:29.0,,Personal foul by D. Nowitzki (drawn by D. Šarić),2,4
10,1,10:06.0,,R. Holmes makes 2-pt dunk at rim (assist by T. McConnell),2,6
11,1,9:53.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,2,6
12,1,9:51.0,,Defensive rebound by D. Šarić,2,6
13,1,9:41.0,,R. Holmes makes 2-pt jump shot from 6 ft (assist by T. Luwawu-Cabarrot),2,8
14,1,9:18.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by S. Curry),,4,8
15,1,9:05.0,,T. McConnell misses 2-pt layup at rim,4,8
16,1,9:04.0,Defensive rebound by H. Barnes,,4,8
17,1,8:57.0,S. Curry makes 3-pt jump shot from 25 ft (assist by H. Barnes),,7,8
18,1,8:48.0,,T. Luwawu-Cabarrot misses 2-pt jump shot from 6 ft,7,8
19,1,8:45.0,Defensive rebound by W. Matthews,,7,8
20,1,8:37.0,Personal foul by R. Covington (drawn by D. Nowitzki),,7,8
21,1,8:23.0,Y. Ferrell makes 2-pt jump shot from 14 ft,,9,8
22,1,8:10.0,,D. Šarić misses 2-pt jump shot from 17 ft,9,8
