,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,K. Irving makes 2-pt jump shot from 13 ft,0,2
1,1,11:22.0,H. Whiteside misses 2-pt jump shot from 4 ft (block by T. Thompson),,0,2
2,1,11:22.0,Offensive rebound by Team,,0,2
3,1,11:17.0,L. Babbitt misses 2-pt jump shot from 11 ft,,0,2
4,1,11:15.0,,Defensive rebound by L. James,0,2
5,1,11:11.0,,L. James misses 2-pt layup from 1 ft,0,2
6,1,11:11.0,Defensive rebound by L. Babbitt,,0,2
7,1,11:04.0,D. Waiters makes 2-pt jump shot from 17 ft,,2,2
8,1,10:48.0,,K. Irving misses 3-pt jump shot from 25 ft,2,2
9,1,10:47.0,Defensive rebound by L. Babbitt,,2,2
10,1,10:33.0,G. Dragić misses 3-pt jump shot from 25 ft,,2,2
11,1,10:33.0,,Defensive rebound by T. Thompson,2,2
12,1,10:20.0,,I. Shumpert makes 2-pt jump shot from 13 ft,2,4
13,1,10:01.0,H. Whiteside misses 2-pt jump shot from 13 ft,,2,4
14,1,10:00.0,,Defensive rebound by L. James,2,4
15,1,9:49.0,,Shooting foul by R. McGruder (drawn by L. James),2,4
16,1,9:49.0,,L. James makes free throw 1 of 2,2,5
17,1,9:49.0,,L. James misses free throw 2 of 2,2,5
18,1,9:48.0,Defensive rebound by H. Whiteside,,2,5
19,1,9:38.0,Personal block foul by I. Shumpert (drawn by D. Waiters),,2,5
20,1,9:26.0,D. Waiters misses 2-pt layup from 3 ft,,2,5
21,1,9:25.0,,Defensive rebound by L. James,2,5
22,1,9:19.0,,R. Jefferson misses 3-pt jump shot from 24 ft,2,5
23,1,9:18.0,Defensive rebound by R. McGruder,,2,5
24,1,9:11.0,Turnover by G. Dragić (lost ball; steal by R. Jefferson),,2,5
25,1,9:03.0,,Turnover by L. James (lost ball; steal by R. McGruder),2,5
26,1,9:00.0,R. McGruder misses 2-pt layup from 1 ft (block by K. Irving),,2,5
27,1,9:00.0,Offensive rebound by Team,,2,5
28,1,9:00.0,Turnover by Team (5 sec inbounds),,2,5
29,1,8:54.0,,I. Shumpert misses 2-pt jump shot from 12 ft,2,5
30,1,8:53.0,Defensive rebound by H. Whiteside,,2,5
31,1,8:42.0,G. Dragić makes 2-pt layup from 1 ft,,4,5
32,1,8:18.0,,L. James makes 2-pt jump shot from 12 ft,4,7
33,1,8:01.0,L. Babbitt makes 3-pt jump shot from 25 ft (assist by D. Waiters),,7,7
34,1,7:41.0,,I. Shumpert misses 2-pt layup from 1 ft (block by D. Waiters),7,7
35,1,7:41.0,,Offensive rebound by Team,7,7
36,1,7:40.0,,Turnover by R. Jefferson (bad pass),7,7
37,1,7:21.0,G. Dragić makes 2-pt layup from 2 ft,,9,7
38,1,6:59.0,,I. Shumpert misses 2-pt layup from 2 ft (block by H. Whiteside),9,7
39,1,6:59.0,,Offensive rebound by K. Irving,9,7
40,1,6:58.0,,K. Irving misses 2-pt jump shot from 13 ft (block by H. Whiteside),9,7
41,1,6:56.0,Defensive rebound by G. Dragić,,9,7
42,1,6:54.0,Personal foul by R. Jefferson (drawn by R. McGruder),,9,7
43,1,6:54.0,,C. Frye enters the game for R. Jefferson,9,7
44,1,6:40.0,D. Waiters makes 2-pt layup from 2 ft,,11,7
45,1,6:26.0,,Offensive foul by C. Frye (drawn by R. McGruder),11,7
46,1,6:26.0,,Turnover by C. Frye (offensive foul),11,7
47,1,6:05.0,L. Babbitt misses 2-pt jump shot from 12 ft,,11,7
48,1,6:03.0,,Defensive rebound by L. James,11,7
49,1,5:56.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by L. James),11,10
50,1,5:43.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by G. Dragić),,14,10
51,1,5:28.0,,K. Irving makes 2-pt jump shot from 3 ft,14,12
52,1,5:13.0,G. Dragić misses 2-pt jump shot from 8 ft,,14,12
53,1,5:09.0,,Defensive rebound by L. James,14,12
54,1,5:00.0,,K. Irving misses 2-pt jump shot from 10 ft (block by L. Babbitt),14,12
55,1,4:58.0,Defensive rebound by D. Waiters,,14,12
56,1,4:50.0,D. Waiters makes 2-pt layup from 1 ft,,16,12
57,1,4:43.0,,Cleveland full timeout,16,12
58,1,4:43.0,J. Richardson enters the game for G. Dragić,,16,12
59,1,4:43.0,,K. Korver enters the game for I. Shumpert,16,12
60,1,4:26.0,,L. James makes 2-pt layup from 1 ft,16,14
61,1,4:10.0,L. Babbitt misses 3-pt jump shot from 26 ft,,16,14
62,1,4:10.0,,Defensive rebound by C. Frye,16,14
63,1,3:59.0,,K. Irving makes 2-pt layup from 2 ft,16,16
64,1,3:48.0,D. Waiters makes 2-pt jump shot from 17 ft,,18,16
65,1,3:21.0,,L. James misses 2-pt jump shot from 13 ft,18,16
66,1,3:19.0,Defensive rebound by H. Whiteside,,18,16
67,1,3:10.0,R. McGruder misses 3-pt jump shot from 22 ft,,18,16
68,1,3:10.0,,Defensive rebound by L. James,18,16
69,1,3:06.0,,T. Thompson makes 2-pt dunk at rim (assist by L. James),18,18
70,1,3:06.0,Miami full timeout,,18,18
71,1,3:06.0,,D. Williams enters the game for L. James,18,18
72,1,3:06.0,W. Ellington enters the game for R. McGruder,,18,18
73,1,3:06.0,O. White enters the game for L. Babbitt,,18,18
74,1,2:45.0,O. White misses 2-pt jump shot from 18 ft,,18,18
75,1,2:45.0,,Defensive rebound by D. Williams,18,18
76,1,2:36.0,,K. Irving misses 2-pt layup from 2 ft,18,18
77,1,2:34.0,Defensive rebound by O. White,,18,18
78,1,2:22.0,D. Waiters makes 3-pt jump shot from 26 ft (assist by W. Ellington),,21,18
79,1,2:03.0,,Turnover by K. Irving (bad pass; steal by H. Whiteside),21,18
80,1,1:55.0,O. White misses 3-pt jump shot from 24 ft,,21,18
81,1,1:54.0,,Defensive rebound by K. Korver,21,18
82,1,1:46.0,,K. Irving makes 2-pt jump shot from 15 ft,21,20
83,1,1:33.0,W. Ellington makes 3-pt jump shot from 24 ft (assist by D. Waiters),,24,20
84,1,1:07.0,,K. Korver misses 3-pt jump shot from 24 ft,24,20
85,1,1:07.0,Defensive rebound by O. White,,24,20
86,1,0:50.0,J. Richardson misses 2-pt jump shot from 12 ft,,24,20
87,1,0:49.0,Offensive rebound by H. Whiteside,,24,20
88,1,0:48.0,H. Whiteside makes 2-pt layup from 2 ft,,26,20
89,1,0:36.0,,K. Irving misses 2-pt jump shot from 7 ft,26,20
90,1,0:36.0,,Offensive rebound by T. Thompson,26,20
91,1,0:36.0,,T. Thompson makes 2-pt layup at rim,26,22
92,1,0:36.0,,Technical foul by K. Irving,26,22
93,1,0:36.0,W. Ellington makes technical free throw,,27,22
94,1,0:36.0,G. Dragić enters the game for D. Waiters,,27,22
95,1,0:36.0,W. Reed enters the game for H. Whiteside,,27,22
96,1,0:36.0,,A. Bogut enters the game for T. Thompson,27,22
97,1,0:26.0,Personal foul by A. Bogut (drawn by W. Ellington),,27,22
98,1,0:17.0,W. Ellington misses 2-pt jump shot from 16 ft,,27,22
99,1,0:17.0,Offensive rebound by W. Reed,,27,22
100,1,0:17.0,W. Reed makes 2-pt dunk at rim,,29,22
101,1,0:02.0,,Turnover by K. Irving (bad pass; steal by J. Richardson),29,22
102,2,11:43.0,W. Ellington misses 3-pt jump shot from 26 ft,,29,22
103,2,11:42.0,Offensive rebound by O. White,,29,22
104,2,11:38.0,Personal foul by A. Bogut (drawn by O. White),,29,22
105,2,11:38.0,,Cleveland full timeout,29,22
106,2,11:38.0,,C. Frye enters the game for A. Bogut,29,22
107,2,11:23.0,W. Reed misses 2-pt hook shot from 8 ft,,29,22
108,2,11:21.0,,Defensive rebound by D. Williams,29,22
109,2,11:11.0,,Turnover by D. Williams (bad pass; steal by J. Richardson),29,22
110,2,11:08.0,Shooting foul by D. Williams (drawn by J. Richardson),,29,22
111,2,11:08.0,J. Richardson makes free throw 1 of 2,,30,22
112,2,11:08.0,J. Richardson misses free throw 2 of 2,,30,22
113,2,11:07.0,,Defensive rebound by D. Williams,30,22
114,2,10:55.0,,Shooting foul by O. White (drawn by D. Williams),30,22
115,2,10:55.0,,D. Williams makes free throw 1 of 2,30,23
116,2,10:55.0,,D. Williams makes free throw 2 of 2,30,24
117,2,10:43.0,W. Reed makes 2-pt layup from 2 ft (assist by G. Dragić),,32,24
118,2,10:23.0,,C. Frye misses 2-pt jump shot from 12 ft,32,24
119,2,10:23.0,,Offensive rebound by Team,32,24
120,2,10:21.0,,Shooting foul by J. Richardson (drawn by C. Frye),32,24
121,2,10:21.0,,C. Frye misses free throw 1 of 2,32,24
122,2,10:21.0,,Offensive rebound by Team,32,24
123,2,10:21.0,,C. Frye makes free throw 2 of 2,32,25
124,2,10:12.0,G. Dragić makes 2-pt layup from 1 ft,,34,25
125,2,9:58.0,,Shooting foul by J. Richardson (drawn by C. Frye),34,25
126,2,9:58.0,,C. Frye makes free throw 1 of 2,34,26
127,2,9:58.0,,C. Frye misses free throw 2 of 2,34,26
128,2,9:56.0,Defensive rebound by W. Reed,,34,26
