,QUARTER,TIME_REMAINING,MIAMI_ACTION,BROOKLYN_ACTION,MIAMI_SCORE,BROOKLYN_SCORE
0,1,11:38.0,,S. Dinwiddie misses 2-pt layup from 2 ft (block by H. Whiteside),0,0
1,1,11:37.0,Defensive rebound by Team,,0,0
2,1,11:19.0,D. Waiters makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,0
3,1,11:00.0,,B. Lopez makes 2-pt jump shot from 6 ft,2,2
4,1,10:51.0,Shooting foul by B. Bogdanović (drawn by G. Dragić),,2,2
5,1,10:51.0,G. Dragić makes free throw 1 of 2,,3,2
6,1,10:51.0,G. Dragić misses free throw 2 of 2,,3,2
7,1,10:50.0,,Defensive rebound by T. Booker,3,2
8,1,10:29.0,,B. Lopez makes 2-pt hook shot from 5 ft (assist by R. Foye),3,4
9,1,10:15.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by D. Waiters),,6,4
10,1,9:57.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),6,7
11,1,9:43.0,H. Whiteside makes 2-pt jump shot from 8 ft (assist by G. Dragić),,8,7
12,1,9:23.0,,B. Lopez makes 3-pt jump shot from 26 ft,8,10
13,1,8:59.0,R. McGruder makes 2-pt layup from 3 ft (assist by L. Babbitt),,10,10
14,1,8:49.0,,Personal foul by H. Whiteside (drawn by B. Lopez),10,10
15,1,8:49.0,,C. LeVert enters the game for B. Bogdanović,10,10
16,1,8:41.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,10,10
17,1,8:39.0,Defensive rebound by R. McGruder,,10,10
18,1,8:33.0,Shooting foul by S. Dinwiddie (drawn by G. Dragić),,10,10
19,1,8:33.0,G. Dragić makes free throw 1 of 2,,11,10
20,1,8:33.0,,B. Bogdanović enters the game for C. LeVert,11,10
21,1,8:33.0,G. Dragić makes free throw 2 of 2,,12,10
22,1,8:24.0,,B. Lopez misses 3-pt jump shot from 24 ft,12,10
23,1,8:23.0,Defensive rebound by G. Dragić,,12,10
