,QUARTER,TIME_REMAINING,INDIANA_ACTION,BROOKLYN_ACTION,INDIANA_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Young),0,0
1,1,11:31.0,C. Miles makes 3-pt jump shot from 24 ft (assist by J. Teague),,3,0
2,1,11:17.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,3,2
3,1,10:58.0,Shooting foul by I. Whitehead (drawn by J. Teague),,3,2
4,1,10:58.0,J. Teague makes free throw 1 of 3,,4,2
5,1,10:58.0,J. Teague makes free throw 2 of 3,,5,2
6,1,10:58.0,J. Teague makes free throw 3 of 3,,6,2
7,1,10:43.0,,R. Foye misses 3-pt jump shot from 25 ft,6,2
8,1,10:42.0,Defensive rebound by P. George,,6,2
9,1,10:32.0,Turnover by T. Young (lost ball),,6,2
10,1,10:24.0,,Turnover by I. Whitehead (bad pass; steal by P. George),6,2
11,1,10:21.0,P. George misses 2-pt layup from 2 ft,,6,2
12,1,10:20.0,Offensive rebound by P. George,,6,2
13,1,10:19.0,P. George misses 2-pt layup from 2 ft,,6,2
14,1,10:18.0,,Defensive rebound by C. LeVert,6,2
15,1,10:12.0,,C. LeVert misses 3-pt jump shot from 24 ft,6,2
16,1,10:11.0,Defensive rebound by M. Turner,,6,2
17,1,9:59.0,P. George misses 2-pt jump shot from 11 ft,,6,2
18,1,9:58.0,,Defensive rebound by R. Hollis-Jefferson,6,2
19,1,9:54.0,,Personal block foul by P. George (drawn by R. Hollis-Jefferson),6,2
20,1,9:43.0,,Personal foul by M. Turner (drawn by B. Lopez),6,2
21,1,9:43.0,,Shooting foul by T. Young (drawn by R. Hollis-Jefferson),6,2
22,1,9:43.0,,R. Hollis-Jefferson makes free throw 1 of 2,6,3
23,1,9:43.0,,R. Hollis-Jefferson makes free throw 2 of 2,6,4
24,1,9:35.0,C. Miles misses 3-pt jump shot from 25 ft,,6,4
25,1,9:33.0,Offensive rebound by T. Young,,6,4
26,1,9:22.0,J. Teague misses 2-pt jump shot from 12 ft,,6,4
27,1,9:20.0,Offensive rebound by J. Teague,,6,4
28,1,9:19.0,J. Teague makes 2-pt layup from 2 ft,,8,4
29,1,9:19.0,Shooting foul by R. Hollis-Jefferson (drawn by J. Teague),,8,4
30,1,9:19.0,J. Teague makes free throw 1 of 1,,9,4
31,1,9:03.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,9,4
32,1,9:01.0,Defensive rebound by C. Miles,,9,4
33,1,8:55.0,C. Miles misses 3-pt jump shot from 26 ft,,9,4
34,1,8:54.0,,Defensive rebound by R. Foye,9,4
35,1,8:33.0,,Turnover by I. Whitehead (lost ball; steal by J. Teague),9,4
36,1,8:25.0,J. Teague makes 3-pt jump shot from 25 ft (assist by P. George),,12,4
37,1,8:11.0,,I. Whitehead misses 3-pt jump shot from 24 ft,12,4
38,1,8:09.0,Defensive rebound by T. Young,,12,4
39,1,8:01.0,P. George makes 2-pt jump shot from 6 ft,,14,4
40,1,8:00.0,,Brooklyn full timeout,14,4
41,1,7:36.0,,C. LeVert misses 2-pt jump shot from 8 ft,14,4
42,1,7:35.0,,Offensive rebound by B. Lopez,14,4
43,1,7:33.0,,B. Lopez makes 2-pt dunk at rim,14,6
44,1,7:09.0,Turnover by Team (shot clock),,14,6
45,1,6:55.0,,B. Lopez misses 2-pt hook shot from 8 ft,14,6
46,1,6:53.0,Defensive rebound by C. Miles,,14,6
47,1,6:50.0,Shooting foul by C. LeVert (drawn by P. George),,14,6
48,1,6:50.0,P. George makes free throw 1 of 2,,15,6
49,1,6:50.0,P. George makes free throw 2 of 2,,16,6
50,1,6:41.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by P. George),16,6
51,1,6:33.0,M. Turner misses 3-pt jump shot from 25 ft,,16,6
52,1,6:31.0,,Defensive rebound by B. Lopez,16,6
53,1,6:17.0,,R. Foye misses 2-pt layup from 1 ft (block by C. Miles),16,6
54,1,6:16.0,,Offensive rebound by B. Lopez,16,6
55,1,6:15.0,,B. Lopez makes 2-pt dunk at rim,16,8
56,1,6:00.0,M. Turner misses 2-pt hook shot from 9 ft,,16,8
57,1,5:59.0,,Defensive rebound by R. Hollis-Jefferson,16,8
58,1,5:42.0,,I. Whitehead misses 2-pt layup from 1 ft,16,8
59,1,5:41.0,Defensive rebound by P. George,,16,8
60,1,5:34.0,P. George misses 2-pt jump shot from 19 ft,,16,8
61,1,5:32.0,,Defensive rebound by B. Lopez,16,8
62,1,5:20.0,,B. Lopez misses 3-pt jump shot from 25 ft,16,8
63,1,5:18.0,Defensive rebound by C. Miles,,16,8
64,1,5:02.0,C. Miles misses 3-pt jump shot from 23 ft,,16,8
65,1,5:01.0,Offensive rebound by T. Young,,16,8
66,1,4:56.0,T. Young makes 2-pt layup from 2 ft,,18,8
67,1,4:35.0,,R. Foye misses 2-pt jump shot from 6 ft,18,8
68,1,4:34.0,Defensive rebound by P. George,,18,8
69,1,4:31.0,Turnover by P. George (bad pass),,18,8
70,1,4:31.0,,S. Dinwiddie enters the game for C. LeVert,18,8
71,1,4:31.0,,T. Booker enters the game for I. Whitehead,18,8
72,1,4:31.0,,J. Harris enters the game for R. Hollis-Jefferson,18,8
73,1,4:15.0,,S. Dinwiddie misses 2-pt jump shot from 9 ft,18,8
74,1,4:14.0,Defensive rebound by M. Turner,,18,8
