,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:41.0,,T. Booker makes 2-pt jump shot from 7 ft,0,2
1,1,11:29.0,K. Walker makes 2-pt layup from 3 ft,,2,2
2,1,11:12.0,,Turnover by B. Lopez (lost ball; steal by C. Zeller),2,2
3,1,11:00.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,2,2
4,1,10:58.0,,Defensive rebound by T. Booker,2,2
5,1,10:46.0,,J. Lin misses 2-pt jump shot from 8 ft,2,2
6,1,10:45.0,Defensive rebound by M. Kidd-Gilchrist,,2,2
7,1,10:35.0,K. Walker misses 2-pt layup from 1 ft (block by B. Lopez),,2,2
8,1,10:33.0,,Defensive rebound by T. Booker,2,2
9,1,10:24.0,,S. Kilpatrick misses 3-pt jump shot from 24 ft,2,2
10,1,10:23.0,Defensive rebound by N. Batum,,2,2
11,1,10:15.0,Shooting foul by T. Booker (drawn by N. Batum),,2,2
12,1,10:15.0,N. Batum makes free throw 1 of 2,,3,2
13,1,10:15.0,N. Batum makes free throw 2 of 2,,4,2
14,1,10:06.0,,J. Harris misses 3-pt jump shot from 26 ft,4,2
15,1,10:05.0,Defensive rebound by K. Walker,,4,2
16,1,9:55.0,M. Kidd-Gilchrist misses 2-pt layup from 3 ft,,4,2
17,1,9:53.0,,Defensive rebound by T. Booker,4,2
18,1,9:49.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by T. Booker),4,5
19,1,9:28.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by N. Batum),,6,5
20,1,9:11.0,,Turnover by T. Booker (bad pass; steal by N. Batum),6,5
21,1,9:09.0,Shooting foul by S. Kilpatrick (drawn by N. Batum),,6,5
22,1,9:09.0,N. Batum makes free throw 1 of 2,,7,5
23,1,9:09.0,N. Batum makes free throw 2 of 2,,8,5
24,1,8:54.0,,S. Kilpatrick makes 2-pt jump shot from 17 ft,8,7
25,1,8:49.0,Turnover by M. Williams (bad pass; steal by J. Lin),,8,7
26,1,8:43.0,,S. Kilpatrick makes 2-pt jump shot from 5 ft (assist by J. Lin),8,9
27,1,8:27.0,M. Williams makes 2-pt jump shot from 18 ft (assist by N. Batum),,10,9
28,1,8:03.0,,B. Lopez makes 3-pt jump shot from 24 ft (assist by J. Lin),10,12
29,1,7:56.0,Charlotte full timeout,,10,12
30,1,7:46.0,Shooting foul by J. Harris (drawn by N. Batum),,10,12
31,1,7:46.0,N. Batum makes free throw 1 of 2,,11,12
32,1,7:46.0,N. Batum makes free throw 2 of 2,,12,12
33,1,7:31.0,,Turnover by S. Kilpatrick (lost ball),12,12
34,1,7:16.0,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,,12,12
35,1,7:15.0,Offensive rebound by M. Williams,,12,12
36,1,7:11.0,M. Williams makes 2-pt layup from 2 ft,,14,12
37,1,7:08.0,,S. Kilpatrick misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),14,12
38,1,7:07.0,Defensive rebound by Team,,14,12
39,1,6:55.0,,Violation by B. Lopez (kicked ball),14,12
40,1,6:55.0,,J. Hamilton enters the game for B. Lopez,14,12
41,1,6:48.0,C. Zeller makes 2-pt jump shot from 11 ft (assist by N. Batum),,16,12
42,1,6:40.0,,J. Lin makes 2-pt layup from 2 ft,16,14
43,1,6:24.0,N. Batum makes 2-pt jump shot from 6 ft,,18,14
44,1,6:11.0,,Turnover by J. Hamilton (bad pass; steal by N. Batum),18,14
45,1,5:58.0,Shooting block foul by J. Lin (drawn by K. Walker),,18,14
46,1,5:58.0,K. Walker makes free throw 1 of 2,,19,14
47,1,5:58.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19,14
