,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHARLOTTE_ACTION,ORLANDO_SCORE,CHARLOTTE_SCORE
0,1,11:33.0,D. Augustin misses 2-pt jump shot from 21 ft,,0,0
1,1,11:32.0,,Defensive rebound by M. Williams,0,0
2,1,11:14.0,,K. Walker makes 2-pt jump shot from 16 ft,0,2
3,1,10:54.0,A. Gordon misses 3-pt jump shot from 25 ft,,0,2
4,1,10:53.0,,Defensive rebound by Team,0,2
5,1,10:46.0,Violation by B. Biyombo (kicked ball),,0,2
6,1,10:42.0,,Turnover by M. Williams (bad pass; steal by A. Gordon),0,2
7,1,10:36.0,Turnover by A. Gordon (bad pass; steal by C. Zeller),,0,2
8,1,10:27.0,,K. Walker misses 2-pt layup from 1 ft,0,2
9,1,10:25.0,,Offensive rebound by C. Zeller,0,2
10,1,10:20.0,,M. Williams misses 3-pt jump shot from 25 ft,0,2
11,1,10:19.0,Defensive rebound by D. Augustin,,0,2
12,1,10:03.0,D. Augustin misses 3-pt jump shot from 23 ft,,0,2
13,1,10:02.0,,Defensive rebound by N. Batum,0,2
14,1,9:53.0,,N. Batum misses 2-pt layup at rim,0,2
15,1,9:52.0,Defensive rebound by E. Fournier,,0,2
16,1,9:45.0,Shooting foul by M. Kidd-Gilchrist (drawn by S. Ibaka),,0,2
17,1,9:45.0,S. Ibaka makes free throw 1 of 2,,1,2
18,1,9:45.0,S. Ibaka makes free throw 2 of 2,,2,2
19,1,9:33.0,,M. Williams misses 3-pt jump shot from 23 ft,2,2
20,1,9:32.0,,Offensive rebound by C. Zeller,2,2
21,1,9:31.0,,Shooting foul by B. Biyombo (drawn by M. Williams),2,2
22,1,9:31.0,,M. Williams makes free throw 1 of 2,2,3
23,1,9:31.0,,M. Williams makes free throw 2 of 2,2,4
24,1,9:23.0,E. Fournier misses 3-pt jump shot from 26 ft,,2,4
25,1,9:22.0,,Defensive rebound by M. Williams,2,4
26,1,9:14.0,,Shooting foul by E. Fournier (drawn by M. Kidd-Gilchrist),2,4
27,1,9:14.0,,M. Kidd-Gilchrist makes free throw 1 of 2,2,5
28,1,9:14.0,,M. Kidd-Gilchrist makes free throw 2 of 2,2,6
29,1,8:55.0,A. Gordon misses 2-pt jump shot from 10 ft,,2,6
30,1,8:53.0,,Defensive rebound by C. Zeller,2,6
31,1,8:47.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft,2,8
