,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW YORK_ACTION,OKLAHOMA CITY_SCORE,NEW YORK_SCORE
0,1,11:42.0,S. Adams misses 2-pt hook shot from 7 ft,,0,0
1,1,11:41.0,,Defensive rebound by C. Anthony,0,0
2,1,11:25.0,,C. Anthony misses 2-pt jump shot from 9 ft,0,0
3,1,11:23.0,Defensive rebound by R. Westbrook,,0,0
4,1,11:15.0,Turnover by R. Westbrook (bad pass; steal by C. Lee),,0,0
5,1,11:03.0,,K. Porziņģis misses 2-pt jump shot from 7 ft,0,0
6,1,11:02.0,Defensive rebound by S. Adams,,0,0
7,1,10:50.0,D. Sabonis misses 2-pt jump shot from 6 ft,,0,0
8,1,10:49.0,,Defensive rebound by K. Porziņģis,0,0
9,1,10:27.0,,Shooting foul by V. Oladipo (drawn by C. Anthony),0,0
10,1,10:27.0,,C. Anthony makes free throw 1 of 2,0,1
11,1,10:27.0,,C. Anthony makes free throw 2 of 2,0,2
12,1,10:14.0,D. Sabonis makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,2
13,1,9:57.0,,Turnover by C. Anthony (bad pass; steal by V. Oladipo),3,2
14,1,9:51.0,R. Westbrook makes 2-pt layup at rim (assist by V. Oladipo),,5,2
15,1,9:32.0,,D. Rose makes 2-pt layup from 2 ft,5,4
16,1,9:16.0,V. Oladipo misses 3-pt jump shot from 23 ft,,5,4
17,1,9:16.0,,Defensive rebound by K. Porziņģis,5,4
18,1,8:58.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by D. Rose),5,7
19,1,8:44.0,Offensive foul by D. Sabonis (drawn by D. Rose),,5,7
20,1,8:44.0,Turnover by D. Sabonis (offensive foul),,5,7
21,1,8:32.0,,D. Rose misses 3-pt jump shot from 23 ft,5,7
22,1,8:31.0,,Offensive rebound by J. Noah,5,7
23,1,8:20.0,,K. Porziņģis misses 3-pt jump shot from 26 ft,5,7
24,1,8:20.0,Defensive rebound by R. Westbrook,,5,7
25,1,8:13.0,D. Sabonis misses 2-pt layup from 3 ft (block by J. Noah),,5,7
26,1,8:11.0,Offensive rebound by S. Adams,,5,7
27,1,8:11.0,S. Adams makes 2-pt dunk at rim,,7,7
28,1,7:56.0,,C. Lee makes 3-pt jump shot from 24 ft (assist by K. Porziņģis),7,10
29,1,7:40.0,R. Westbrook makes 2-pt layup from 1 ft,,9,10
30,1,7:27.0,,C. Anthony makes 2-pt jump shot from 20 ft (assist by D. Rose),9,12
31,1,7:07.0,V. Oladipo misses 3-pt jump shot from 25 ft,,9,12
32,1,7:07.0,,Defensive rebound by D. Rose,9,12
33,1,6:55.0,,K. Porziņģis makes 2-pt layup from 1 ft (assist by D. Rose),9,14
34,1,6:40.0,D. Sabonis misses 2-pt jump shot from 17 ft,,9,14
35,1,6:40.0,,Defensive rebound by C. Anthony,9,14
36,1,6:26.0,,D. Rose misses 2-pt jump shot from 4 ft,9,14
37,1,6:25.0,Defensive rebound by Team,,9,14
38,1,6:25.0,J. Lauvergne enters the game for D. Sabonis,,9,14
39,1,6:11.0,S. Adams misses 2-pt jump shot from 10 ft,,9,14
40,1,6:11.0,,Defensive rebound by K. Porziņģis,9,14
41,1,5:53.0,,K. Porziņģis misses 2-pt jump shot from 4 ft,9,14
42,1,5:52.0,,Offensive rebound by J. Noah,9,14
43,1,5:52.0,,J. Noah makes 2-pt layup at rim,9,16
44,1,5:41.0,R. Westbrook makes 3-pt jump shot from 25 ft,,12,16
45,1,5:34.0,,Shooting foul by S. Adams (drawn by D. Rose),12,16
46,1,5:34.0,,New York full timeout,12,16
47,1,5:34.0,,D. Rose makes free throw 1 of 2,12,17
48,1,5:34.0,A. Morrow enters the game for V. Oladipo,,12,16
49,1,5:34.0,,W. Hernangómez enters the game for K. Porziņģis,12,16
50,1,5:34.0,,D. Rose makes free throw 2 of 2,12,18
51,1,5:19.0,S. Adams misses 2-pt dunk at rim (block by J. Noah),,12,18
52,1,5:18.0,,Defensive rebound by W. Hernangómez,12,18
53,1,4:59.0,,C. Lee makes 2-pt layup from 1 ft (assist by J. Noah),12,20
54,1,4:44.0,A. Roberson makes 2-pt layup from 2 ft (assist by R. Westbrook),,14,20
55,1,4:28.0,,Shooting foul by R. Westbrook (drawn by D. Rose),14,20
56,1,4:28.0,,D. Rose makes free throw 1 of 2,14,21
57,1,4:28.0,E. Freedom enters the game for S. Adams,,14,21
58,1,4:28.0,,K. O'Quinn enters the game for J. Noah,14,21
59,1,4:28.0,,D. Rose makes free throw 2 of 2,14,22
60,1,4:16.0,Offensive foul by R. Westbrook (drawn by D. Rose),,14,22
61,1,4:16.0,Turnover by R. Westbrook (offensive foul),,14,22
62,1,4:04.0,,D. Rose makes 2-pt layup from 1 ft (assist by W. Hernangómez),14,24
63,1,4:04.0,Oklahoma City full timeout,,14,24
64,1,4:04.0,Technical foul by Team,,14,24
65,1,4:04.0,,C. Anthony makes technical free throw,14,25
66,1,3:45.0,A. Roberson misses 3-pt jump shot from 25 ft,,14,25
67,1,3:44.0,,Defensive rebound by C. Anthony,14,25
68,1,3:24.0,,Offensive foul by K. O'Quinn (drawn by A. Roberson),14,25
69,1,3:24.0,,Turnover by K. O'Quinn (offensive foul),14,25
70,1,3:24.0,,J. Holiday enters the game for C. Lee,14,25
