,QUARTER,TIME_REMAINING,DALLAS_ACTION,PORTLAND_ACTION,DALLAS_SCORE,PORTLAND_SCORE
0,1,11:38.0,,M. Plumlee misses 2-pt hook shot from 7 ft,0,0
1,1,11:37.0,Defensive rebound by D. Nowitzki,,0,0
2,1,11:15.0,W. Matthews makes 2-pt jump shot from 11 ft,,2,0
3,1,10:50.0,,C. McCollum misses 3-pt jump shot from 24 ft,2,0
4,1,10:50.0,Defensive rebound by W. Matthews,,2,0
5,1,10:42.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by W. Matthews),,5,0
6,1,10:25.0,,C. McCollum makes 2-pt jump shot from 9 ft (assist by E. Turner),5,2
7,1,10:04.0,Y. Ferrell makes 2-pt jump shot from 22 ft (assist by S. Curry),,7,2
8,1,9:46.0,,N. Vonleh makes 2-pt jump shot from 19 ft (assist by E. Turner),7,4
9,1,9:28.0,H. Barnes makes 2-pt jump shot from 12 ft (assist by Y. Ferrell),,9,4
10,1,9:14.0,,C. McCollum misses 3-pt jump shot from 25 ft,9,4
11,1,9:13.0,Defensive rebound by H. Barnes,,9,4
12,1,9:01.0,H. Barnes makes 3-pt jump shot from 24 ft,,12,4
13,1,8:47.0,,E. Turner misses 3-pt jump shot from 23 ft,12,4
14,1,8:46.0,Defensive rebound by H. Barnes,,12,4
15,1,8:32.0,W. Matthews makes 2-pt jump shot from 10 ft,,14,4
16,1,8:17.0,,Turnover by E. Turner (lost ball),14,4
17,1,8:06.0,Y. Ferrell makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,17,4
18,1,8:06.0,,Portland full timeout,17,4
19,1,7:53.0,,D. Lillard misses 2-pt jump shot from 15 ft,17,4
20,1,7:52.0,Defensive rebound by D. Nowitzki,,17,4
21,1,7:45.0,Turnover by W. Matthews (lost ball; steal by M. Plumlee),,17,4
22,1,7:30.0,,Turnover by M. Plumlee (3 sec),17,4
23,1,7:16.0,H. Barnes misses 2-pt jump shot from 16 ft,,17,4
24,1,7:15.0,,Defensive rebound by D. Lillard,17,4
25,1,7:06.0,,E. Turner makes 2-pt jump shot from 7 ft (assist by D. Lillard),17,6
26,1,6:46.0,W. Matthews makes 3-pt jump shot from 24 ft,,20,6
27,1,6:28.0,,D. Lillard misses 3-pt jump shot from 24 ft,20,6
28,1,6:26.0,,Offensive rebound by C. McCollum,20,6
29,1,6:15.0,,E. Turner makes 2-pt jump shot from 5 ft (assist by C. McCollum),20,8
30,1,5:58.0,S. Curry makes 2-pt jump shot from 17 ft,,22,8
31,1,5:42.0,,C. McCollum misses 3-pt jump shot from 23 ft,22,8
32,1,5:41.0,,Offensive rebound by N. Vonleh,22,8
33,1,5:40.0,,N. Vonleh misses 2-pt layup from 1 ft,22,8
34,1,5:40.0,,Offensive rebound by N. Vonleh,22,8
35,1,5:40.0,,Shooting foul by S. Curry (drawn by N. Vonleh),22,8
36,1,5:40.0,,N. Vonleh misses free throw 1 of 2,22,8
37,1,5:40.0,,Offensive rebound by Team,22,8
38,1,5:40.0,,N. Vonleh misses free throw 2 of 2,22,8
39,1,5:40.0,D. Finney-Smith enters the game for S. Curry,,22,8
