,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BOSTON_ACTION,CHARLOTTE_SCORE,BOSTON_SCORE
0,1,11:42.0,,A. Horford misses 3-pt jump shot from 25 ft,0,0
1,1,11:41.0,Defensive rebound by N. Batum,,0,0
2,1,11:28.0,N. Batum misses 2-pt layup from 3 ft (block by J. Crowder),,0,0
3,1,11:27.0,,Defensive rebound by J. Crowder,0,0
4,1,11:17.0,,Turnover by A. Bradley (lost ball; steal by N. Batum),0,0
5,1,11:13.0,M. Williams makes 2-pt dunk at rim (assist by N. Batum),,2,0
6,1,10:57.0,,A. Horford makes 2-pt hook shot from 4 ft (assist by I. Thomas),2,2
7,1,10:39.0,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft,,2,2
8,1,10:38.0,,Defensive rebound by A. Johnson,2,2
9,1,10:29.0,,J. Crowder makes 3-pt jump shot from 22 ft (assist by I. Thomas),2,5
10,1,10:16.0,M. Williams misses 3-pt jump shot from 26 ft,,2,5
11,1,10:15.0,,Defensive rebound by J. Crowder,2,5
12,1,10:07.0,,I. Thomas makes 2-pt layup from 1 ft,2,7
13,1,9:53.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by A. Johnson),,2,7
14,1,9:51.0,,Defensive rebound by J. Crowder,2,7
15,1,9:41.0,,A. Johnson misses 2-pt dunk at rim (block by N. Batum),2,7
16,1,9:40.0,,Offensive rebound by A. Johnson,2,7
17,1,9:32.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by J. Crowder),2,10
18,1,9:23.0,Charlotte full timeout,,2,10
19,1,9:12.0,Turnover by N. Batum (lost ball; steal by J. Crowder),,2,10
20,1,9:00.0,,Turnover by A. Bradley (bad pass),2,10
21,1,8:40.0,M. Williams misses 2-pt hook shot from 6 ft,,2,10
22,1,8:38.0,,Defensive rebound by A. Johnson,2,10
23,1,8:28.0,,A. Bradley misses 2-pt layup from 1 ft,2,10
24,1,8:27.0,Defensive rebound by M. Kidd-Gilchrist,,2,10
25,1,8:17.0,K. Walker makes 2-pt jump shot from 18 ft,,4,10
26,1,7:56.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by A. Johnson),4,13
27,1,7:42.0,K. Walker misses 2-pt layup from 1 ft,,4,13
28,1,7:41.0,Offensive rebound by C. Zeller,,4,13
29,1,7:37.0,M. Williams misses 3-pt jump shot from 26 ft,,4,13
30,1,7:36.0,,Defensive rebound by A. Bradley,4,13
31,1,7:14.0,,J. Crowder misses 3-pt jump shot from 27 ft,4,13
32,1,7:13.0,Defensive rebound by M. Williams,,4,13
33,1,7:07.0,C. Zeller makes 2-pt jump shot from 8 ft,,6,13
34,1,7:07.0,Shooting block foul by A. Johnson (drawn by C. Zeller),,6,13
35,1,7:07.0,C. Zeller makes free throw 1 of 1,,7,13
36,1,6:44.0,,A. Horford misses 3-pt jump shot from 26 ft,7,13
37,1,6:43.0,Defensive rebound by C. Zeller,,7,13
38,1,6:31.0,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,,7,13
39,1,6:30.0,Offensive rebound by C. Zeller,,7,13
40,1,6:27.0,M. Williams makes 2-pt dunk at rim (assist by C. Zeller),,9,13
41,1,6:11.0,,A. Johnson makes 2-pt layup from 2 ft (assist by I. Thomas),9,15
42,1,5:56.0,N. Batum misses 2-pt jump shot from 20 ft,,9,15
43,1,5:55.0,Offensive rebound by M. Kidd-Gilchrist,,9,15
44,1,5:52.0,M. Kidd-Gilchrist makes 2-pt layup at rim,,11,15
45,1,5:30.0,,I. Thomas makes 2-pt jump shot from 15 ft,11,17
46,1,5:16.0,K. Walker makes 3-pt jump shot from 25 ft,,14,17
47,1,5:04.0,,Turnover by I. Thomas (bad pass),14,17
48,1,5:04.0,M. Belinelli enters the game for N. Batum,,14,17
49,1,5:04.0,F. Kaminsky enters the game for M. Williams,,14,17
50,1,5:04.0,,K. Olynyk enters the game for A. Johnson,14,17
51,1,5:04.0,,M. Smart enters the game for A. Bradley,14,17
52,1,4:51.0,K. Walker makes 2-pt jump shot from 14 ft,,16,17
53,1,4:28.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by K. Olynyk),16,19
54,1,4:11.0,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by K. Walker),,18,19
55,1,3:54.0,,I. Thomas misses 3-pt jump shot from 25 ft,18,19
56,1,3:52.0,Defensive rebound by M. Belinelli,,18,19
57,1,3:39.0,Shooting foul by I. Thomas (drawn by K. Walker),,18,19
58,1,3:39.0,K. Walker makes free throw 1 of 3,,19,19
59,1,3:39.0,K. Walker makes free throw 2 of 3,,20,19
60,1,3:39.0,K. Walker makes free throw 3 of 3,,21,19
61,1,3:20.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by K. Olynyk),21,22
62,1,3:07.0,K. Walker makes 3-pt jump shot from 26 ft,,24,22
63,1,2:54.0,,I. Thomas misses 2-pt jump shot from 5 ft,24,22
64,1,2:53.0,Defensive rebound by K. Walker,,24,22
65,1,2:45.0,K. Walker misses 2-pt jump shot from 21 ft,,24,22
66,1,2:44.0,,Defensive rebound by K. Olynyk,24,22
67,1,2:31.0,,A. Horford makes 2-pt layup from 1 ft,24,24
68,1,2:31.0,,Shooting foul by F. Kaminsky (drawn by A. Horford),24,24
69,1,2:31.0,,Boston full timeout,24,24
70,1,2:31.0,,J. Brown enters the game for J. Crowder,24,24
71,1,2:31.0,,G. Green enters the game for I. Thomas,24,24
72,1,2:31.0,R. Sessions enters the game for C. Zeller,,24,24
73,1,2:31.0,S. Hawes enters the game for K. Walker,,24,24
74,1,2:31.0,,A. Horford makes free throw 1 of 1,24,25
75,1,2:21.0,M. Belinelli misses 2-pt jump shot from 21 ft,,24,25
76,1,2:20.0,,Defensive rebound by K. Olynyk,24,25
77,1,2:07.0,,M. Smart makes 2-pt jump shot from 4 ft (assist by K. Olynyk),24,27
78,1,1:45.0,F. Kaminsky makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,27,27
79,1,1:26.0,,K. Olynyk misses 2-pt jump shot from 3 ft (block by M. Kidd-Gilchrist),27,27
80,1,1:25.0,,Offensive rebound by K. Olynyk,27,27
81,1,1:22.0,,A. Horford misses 3-pt jump shot from 25 ft,27,27
82,1,1:21.0,Defensive rebound by S. Hawes,,27,27
83,1,1:07.0,M. Belinelli makes 3-pt jump shot from 26 ft,,30,27
84,1,0:48.0,,A. Horford makes 2-pt jump shot from 16 ft (assist by G. Green),30,29
85,1,0:37.0,S. Hawes misses 2-pt jump shot from 20 ft,,30,29
86,1,0:36.0,,Defensive rebound by J. Brown,30,29
87,1,0:27.0,,J. Brown makes 2-pt layup from 2 ft (assist by M. Smart),30,31
88,1,0:27.0,,Shooting foul by S. Hawes (drawn by J. Brown),30,31
89,1,0:27.0,,J. Jerebko enters the game for A. Horford,30,31
90,1,0:27.0,,J. Brown makes free throw 1 of 1,30,32
91,1,0:08.0,R. Sessions misses 2-pt jump shot from 4 ft,,30,32
92,1,0:07.0,,Defensive rebound by J. Brown,30,32
93,1,0:02.0,,J. Brown makes 2-pt layup from 1 ft,30,34
94,1,0:00.0,M. Kidd-Gilchrist misses 2-pt jump shot from 22 ft,,30,34
95,1,0:00.0,Offensive rebound by Team,,30,34
96,2,11:48.0,M. Williams makes 3-pt jump shot from 26 ft (assist by N. Batum),,33,34
97,2,11:30.0,,Personal foul by R. Sessions,33,34
98,2,11:20.0,,Turnover by K. Olynyk (traveling),33,34
99,2,11:01.0,Shooting foul by K. Olynyk (drawn by N. Batum),,33,34
100,2,11:01.0,N. Batum makes free throw 1 of 2,,34,34
101,2,11:01.0,,A. Bradley enters the game for G. Green,34,34
102,2,11:01.0,N. Batum makes free throw 2 of 2,,35,34
103,2,10:46.0,,Turnover by J. Jerebko (step out of bounds),35,34
104,2,10:32.0,Turnover by N. Batum (lost ball; steal by M. Smart),,35,34
105,2,10:26.0,,A. Bradley misses 3-pt jump shot from 23 ft,35,34
106,2,10:25.0,,Offensive rebound by K. Olynyk,35,34
107,2,10:22.0,,K. Olynyk makes 2-pt layup from 1 ft,35,36
108,2,10:08.0,M. Williams makes 3-pt jump shot from 26 ft (assist by R. Sessions),,38,36
109,2,9:52.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by M. Smart),38,39
110,2,9:38.0,R. Sessions makes 2-pt jump shot from 8 ft (assist by S. Hawes),,40,39
111,2,9:16.0,,K. Olynyk misses 2-pt layup from 2 ft,40,39
112,2,9:15.0,Defensive rebound by M. Williams,,40,39
113,2,9:03.0,N. Batum misses 3-pt jump shot from 26 ft,,40,39
114,2,9:02.0,,Defensive rebound by M. Smart,40,39
115,2,8:47.0,,J. Brown misses 2-pt jump shot from 20 ft,40,39
116,2,8:46.0,,Offensive rebound by K. Olynyk,40,39
117,2,8:42.0,,K. Olynyk makes 2-pt dunk at rim,40,41
118,2,8:30.0,Turnover by S. Hawes (offensive foul),,40,41
119,2,8:30.0,Offensive foul by S. Hawes (drawn by M. Smart),,40,41
120,2,8:30.0,Official timeout,,40,41
121,2,8:30.0,K. Walker enters the game for M. Belinelli,,40,41
122,2,8:13.0,,J. Brown misses 2-pt jump shot from 20 ft,40,41
123,2,8:12.0,Defensive rebound by S. Hawes,,40,41
124,2,8:08.0,Turnover by K. Walker (bad pass),,40,41
125,2,7:50.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by J. Brown),40,43
126,2,7:38.0,Turnover by N. Batum (lost ball; steal by K. Olynyk),,40,43
127,2,7:31.0,,J. Brown makes 2-pt layup from 2 ft (assist by J. Jerebko),40,45
128,2,7:24.0,Charlotte full timeout,,40,45
129,2,7:08.0,N. Batum makes 2-pt jump shot from 13 ft,,42,45
130,2,6:54.0,,J. Jerebko makes 3-pt jump shot from 26 ft (assist by A. Bradley),42,48
131,2,6:34.0,M. Williams makes 2-pt jump shot from 4 ft (assist by N. Batum),,44,48
132,2,6:24.0,,A. Bradley misses 3-pt jump shot from 27 ft,44,48
