,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
0,1,11:43.0,J. Lin misses 3-pt jump shot from 24 ft,,0,0
1,1,11:42.0,,Defensive rebound by B. Wright,0,0
2,1,11:24.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Conley),0,3
3,1,11:13.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,3
4,1,11:11.0,,Defensive rebound by B. Wright,0,3
5,1,10:58.0,,M. Conley misses 2-pt layup from 2 ft,0,3
6,1,10:57.0,Defensive rebound by R. Hollis-Jefferson,,0,3
7,1,10:50.0,R. Hollis-Jefferson makes 2-pt jump shot from 11 ft,,2,3
8,1,10:34.0,,M. Gasol misses 2-pt jump shot from 19 ft,2,3
9,1,10:33.0,Defensive rebound by R. Foye,,2,3
10,1,10:21.0,R. Hollis-Jefferson misses 3-pt jump shot from 22 ft,,2,3
11,1,10:20.0,,Defensive rebound by M. Gasol,2,3
12,1,10:09.0,,Turnover by M. Conley (bad pass; steal by R. Hollis-Jefferson),2,3
13,1,10:04.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft,,4,3
14,1,9:47.0,,Turnover by C. Parsons (lost ball; steal by R. Hollis-Jefferson),4,3
15,1,9:40.0,R. Foye makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),,7,3
16,1,9:17.0,,B. Wright misses 2-pt jump shot from 7 ft,7,3
17,1,9:16.0,Defensive rebound by R. Hollis-Jefferson,,7,3
18,1,9:00.0,Shooting foul by B. Wright (drawn by C. LeVert),,7,3
19,1,9:00.0,C. LeVert makes free throw 1 of 2,,8,3
20,1,9:00.0,C. LeVert makes free throw 2 of 2,,9,3
21,1,8:42.0,,M. Conley misses 2-pt jump shot from 19 ft,9,3
22,1,8:41.0,Defensive rebound by C. LeVert,,9,3
23,1,8:34.0,Turnover by C. LeVert (bad pass; steal by A. Harrison),,9,3
24,1,8:26.0,,Turnover by M. Gasol (traveling),9,3
25,1,8:12.0,Shooting foul by B. Wright (drawn by R. Hollis-Jefferson),,9,3
26,1,8:12.0,R. Hollis-Jefferson misses free throw 1 of 2,,9,3
27,1,8:12.0,Offensive rebound by Team,,9,3
28,1,8:12.0,,J. Green enters the game for B. Wright,9,3
29,1,8:12.0,R. Hollis-Jefferson makes free throw 2 of 2,,10,3
30,1,8:02.0,,C. Parsons makes 2-pt layup from 2 ft (assist by M. Conley),10,5
31,1,7:51.0,C. LeVert makes 3-pt jump shot from 25 ft (assist by B. Lopez),,13,5
32,1,7:29.0,,M. Conley makes 3-pt jump shot from 23 ft (assist by C. Parsons),13,8
33,1,7:13.0,R. Hollis-Jefferson misses 2-pt layup at rim,,13,8
34,1,7:12.0,,Defensive rebound by J. Green,13,8
35,1,7:00.0,,Turnover by A. Harrison (bad pass),13,8
