,QUARTER,TIME_REMAINING,TORONTO_ACTION,UTAH_ACTION,TORONTO_SCORE,UTAH_SCORE
0,1,11:45.0,J. Valančiūnas makes 2-pt jump shot from 11 ft (assist by K. Lowry),,2,0
1,1,11:28.0,,Personal foul by P. Siakam (drawn by R. Gobert),2,0
2,1,11:23.0,,G. Hayward misses 2-pt jump shot from 22 ft,2,0
3,1,11:22.0,Defensive rebound by P. Siakam,,2,0
4,1,11:15.0,K. Lowry misses 3-pt jump shot from 25 ft,,2,0
5,1,11:12.0,,Defensive rebound by B. Diaw,2,0
6,1,10:54.0,,Turnover by B. Diaw (bad pass; steal by D. DeRozan),2,0
7,1,10:34.0,P. Siakam misses 2-pt jump shot from 11 ft,,2,0
8,1,10:33.0,,Defensive rebound by B. Diaw,2,0
9,1,10:11.0,,R. Hood misses 3-pt jump shot from 25 ft,2,0
10,1,10:11.0,Defensive rebound by P. Siakam,,2,0
11,1,10:04.0,Turnover by D. Carroll (lost ball),,2,0
12,1,9:40.0,,R. Hood misses 3-pt jump shot from 26 ft,2,0
13,1,9:39.0,Defensive rebound by J. Valančiūnas,,2,0
14,1,9:27.0,J. Valančiūnas makes 2-pt hook shot from 4 ft,,4,0
15,1,9:23.0,,Utah full timeout,4,0
16,1,9:12.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),4,2
17,1,8:59.0,Shooting foul by S. Mack (drawn by D. DeRozan),,4,2
18,1,8:59.0,D. DeRozan makes free throw 1 of 2,,5,2
19,1,8:59.0,D. DeRozan makes free throw 2 of 2,,6,2
20,1,8:49.0,,S. Mack makes 2-pt jump shot from 14 ft,6,4
21,1,8:32.0,D. DeRozan misses 2-pt jump shot from 6 ft,,6,4
22,1,8:31.0,,Defensive rebound by R. Gobert,6,4
23,1,8:13.0,,Turnover by B. Diaw (bad pass; steal by J. Valančiūnas),6,4
24,1,8:09.0,D. DeRozan makes 2-pt layup from 3 ft,,8,4
25,1,7:48.0,,G. Hayward misses 2-pt jump shot from 7 ft,8,4
26,1,7:48.0,Defensive rebound by J. Valančiūnas,,8,4
27,1,7:36.0,Turnover by K. Lowry (lost ball; steal by G. Hayward),,8,4
28,1,7:29.0,,R. Hood makes 2-pt layup from 2 ft (assist by S. Mack),8,6
29,1,7:07.0,D. DeRozan makes 2-pt jump shot from 21 ft,,10,6
30,1,6:49.0,,S. Mack makes 3-pt jump shot from 24 ft (assist by B. Diaw),10,9
31,1,6:31.0,D. DeRozan misses 2-pt jump shot from 15 ft,,10,9
32,1,6:31.0,,Defensive rebound by R. Gobert,10,9
33,1,6:30.0,Loose ball foul by J. Valančiūnas (drawn by R. Gobert),,10,9
34,1,6:30.0,,J. Ingles enters the game for R. Hood,10,9
35,1,6:30.0,,D. Favors enters the game for B. Diaw,10,9
36,1,6:30.0,P. Patterson enters the game for P. Siakam,,10,9
37,1,6:30.0,L. Nogueira enters the game for J. Valančiūnas,,10,9
38,1,6:17.0,,G. Hayward misses 3-pt jump shot from 25 ft,10,9
39,1,6:16.0,Defensive rebound by D. DeRozan,,10,9
40,1,6:06.0,D. DeRozan makes 2-pt jump shot from 7 ft,,12,9
41,1,5:40.0,,D. Favors misses 2-pt jump shot from 8 ft,12,9
42,1,5:39.0,Defensive rebound by L. Nogueira,,12,9
43,1,5:27.0,D. Carroll misses 3-pt jump shot from 24 ft,,12,9
44,1,5:27.0,,Defensive rebound by R. Gobert,12,9
45,1,5:12.0,,S. Mack makes 2-pt jump shot from 12 ft,12,11
46,1,4:47.0,L. Nogueira misses 2-pt jump shot from 14 ft,,12,11
47,1,4:46.0,,Defensive rebound by R. Gobert,12,11
48,1,4:29.0,,Turnover by D. Favors (bad pass; steal by D. Carroll),12,11
49,1,4:19.0,D. DeRozan misses 2-pt jump shot from 17 ft,,12,11
50,1,4:18.0,,Defensive rebound by D. Favors,12,11
