,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,L. Aldridge makes 2-pt jump shot from 18 ft,,2,0
1,1,11:15.0,,E. İlyasova misses 2-pt jump shot from 19 ft,2,0
2,1,11:14.0,Defensive rebound by L. Aldridge,,2,0
3,1,10:54.0,D. Dedmon makes 2-pt dunk at rim (assist by T. Parker),,4,0
4,1,10:38.0,,Turnover by Team (back court),4,0
5,1,10:29.0,Turnover by D. Green (bad pass; steal by E. İlyasova),,4,0
6,1,10:18.0,,J. Okafor makes 2-pt jump shot from 4 ft (assist by R. Covington),4,2
7,1,9:55.0,Shooting foul by J. Okafor (drawn by D. Dedmon),,4,2
8,1,9:55.0,D. Dedmon makes free throw 1 of 2,,5,2
9,1,9:55.0,D. Dedmon makes free throw 2 of 2,,6,2
10,1,9:37.0,,T. McConnell misses 2-pt jump shot from 10 ft,6,2
11,1,9:35.0,,Offensive rebound by J. Okafor,6,2
12,1,9:35.0,,J. Okafor misses 2-pt layup from 1 ft,6,2
13,1,9:34.0,Defensive rebound by D. Dedmon,,6,2
14,1,9:20.0,K. Leonard misses 3-pt jump shot from 26 ft,,6,2
15,1,9:18.0,,Defensive rebound by G. Henderson,6,2
16,1,9:12.0,,Turnover by G. Henderson (lost ball; steal by D. Green),6,2
17,1,9:05.0,D. Green misses 3-pt jump shot from 24 ft,,6,2
18,1,9:01.0,,Defensive rebound by R. Covington,6,2
19,1,8:58.0,,G. Henderson misses 3-pt jump shot from 24 ft,6,2
20,1,8:55.0,Defensive rebound by D. Dedmon,,6,2
21,1,8:42.0,Turnover by L. Aldridge (lost ball; steal by T. McConnell),,6,2
22,1,8:26.0,,J. Okafor misses 2-pt hook shot from 5 ft,6,2
23,1,8:26.0,,Offensive rebound by Team,6,2
24,1,8:11.0,,T. McConnell makes 2-pt jump shot from 15 ft,6,4
25,1,8:10.0,San Antonio full timeout,,6,4
26,1,7:53.0,T. Parker makes 2-pt jump shot from 8 ft,,8,4
27,1,7:39.0,,E. İlyasova misses 3-pt jump shot from 26 ft,8,4
28,1,7:37.0,Defensive rebound by L. Aldridge,,8,4
29,1,7:28.0,L. Aldridge misses 3-pt jump shot from 25 ft,,8,4
30,1,7:27.0,,Defensive rebound by E. İlyasova,8,4
31,1,7:16.0,,R. Covington misses 3-pt jump shot from 29 ft,8,4
32,1,7:15.0,Defensive rebound by L. Aldridge,,8,4
33,1,7:00.0,T. Parker makes 2-pt jump shot from 14 ft,,10,4
34,1,6:45.0,,Shooting foul by D. Dedmon (drawn by J. Okafor),10,4
35,1,6:45.0,,J. Okafor makes free throw 1 of 2,10,5
36,1,6:45.0,,N. Stauskas enters the game for G. Henderson,10,5
37,1,6:45.0,,J. Okafor makes free throw 2 of 2,10,6
38,1,6:28.0,D. Green makes 2-pt jump shot from 8 ft,,12,6
39,1,6:10.0,,R. Covington makes 2-pt layup from 2 ft (assist by T. McConnell),12,8
40,1,5:56.0,T. Parker makes 2-pt jump shot from 18 ft,,14,8
41,1,5:37.0,,Shooting foul by D. Dedmon (drawn by J. Okafor),14,8
42,1,5:37.0,,J. Okafor makes free throw 1 of 2,14,9
43,1,5:37.0,,J. Okafor misses free throw 2 of 2,14,9
44,1,5:37.0,Defensive rebound by Team,,14,9
45,1,5:37.0,,Loose ball foul by D. Šarić (drawn by D. Lee),14,9
46,1,5:37.0,P. Mills enters the game for D. Dedmon,,14,9
47,1,5:37.0,D. Lee enters the game for D. Green,,14,9
48,1,5:37.0,M. Ginóbili enters the game for T. Parker,,14,9
49,1,5:37.0,,D. Šarić enters the game for E. İlyasova,14,9
50,1,5:37.0,,N. Noel enters the game for J. Okafor,14,9
51,1,5:15.0,Shooting block foul by D. Šarić (drawn by L. Aldridge),,14,9
52,1,5:15.0,L. Aldridge misses free throw 1 of 2,,14,9
53,1,5:15.0,Offensive rebound by Team,,14,9
54,1,5:15.0,L. Aldridge makes free throw 2 of 2,,15,9
55,1,4:55.0,,N. Noel misses 2-pt hook shot from 5 ft,15,9
56,1,4:54.0,Defensive rebound by L. Aldridge,,15,9
57,1,4:32.0,L. Aldridge makes 2-pt jump shot from 6 ft,,17,9
