,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA CLIPPERS_ACTION,CHICAGO_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,D. Wade makes 2-pt jump shot from 16 ft,,2,0
1,1,11:18.0,,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),2,2
2,1,11:00.0,Turnover by T. Gibson (bad pass),,2,2
3,1,10:44.0,,J. Redick makes 2-pt jump shot from 22 ft,2,4
4,1,10:28.0,,Violation by D. Jordan (def goaltending),2,4
5,1,10:28.0,T. Gibson makes 2-pt hook shot from 7 ft (assist by D. Wade),,4,4
6,1,10:09.0,,D. Jordan misses 2-pt hook shot from 8 ft,4,4
7,1,10:07.0,Defensive rebound by D. Wade,,4,4
8,1,10:01.0,R. Rondo makes 2-pt jump shot from 8 ft,,6,4
9,1,9:51.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),6,6
10,1,9:32.0,Turnover by D. Wade (bad pass),,6,6
11,1,9:20.0,,J. Redick misses 2-pt jump shot from 22 ft,6,6
12,1,9:18.0,Defensive rebound by R. Rondo,,6,6
13,1,9:14.0,T. Gibson makes 2-pt layup from 1 ft (assist by R. Rondo),,8,6
14,1,9:02.0,,J. Redick misses 3-pt jump shot from 23 ft,8,6
15,1,9:01.0,Defensive rebound by D. Wade,,8,6
16,1,8:50.0,T. Gibson makes 2-pt hook shot from 5 ft (assist by D. Wade),,10,6
17,1,8:37.0,,Def 3 sec tech foul by R. Lopez,10,6
18,1,8:37.0,,C. Paul makes technical free throw,10,7
19,1,8:26.0,,B. Griffin misses 2-pt jump shot from 21 ft,10,7
20,1,8:25.0,,Offensive rebound by Team,10,7
21,1,8:10.0,,B. Griffin makes 2-pt layup from 2 ft,10,9
22,1,7:47.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by J. Butler),,13,9
23,1,7:40.0,,Turnover by C. Paul (lost ball),13,9
24,1,7:40.0,,Loose ball foul by C. Paul (drawn by T. Gibson),13,9
25,1,7:25.0,J. Butler misses 3-pt jump shot from 24 ft,,13,9
26,1,7:25.0,,Defensive rebound by Team,13,9
27,1,7:13.0,,C. Paul misses 2-pt jump shot from 21 ft,13,9
28,1,7:13.0,Defensive rebound by R. Rondo,,13,9
29,1,7:05.0,D. Wade makes 3-pt jump shot from 25 ft (assist by R. Rondo),,16,9
30,1,6:44.0,,B. Griffin misses 2-pt hook shot from 8 ft,16,9
31,1,6:42.0,Defensive rebound by R. Rondo,,16,9
32,1,6:34.0,D. Wade makes 3-pt jump shot from 25 ft,,19,9
33,1,6:34.0,,LA Clippers full timeout,19,9
34,1,6:13.0,,Turnover by C. Paul (bad pass),19,9
35,1,5:59.0,D. Wade misses 2-pt layup from 2 ft (block by J. Redick),,19,9
36,1,5:58.0,Offensive rebound by D. Wade,,19,9
37,1,5:55.0,D. Wade misses 2-pt hook shot from 8 ft,,19,9
38,1,5:54.0,,Defensive rebound by J. Redick,19,9
39,1,5:50.0,,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),19,11
40,1,5:23.0,J. Butler misses 2-pt jump shot from 22 ft,,19,11
41,1,5:22.0,,Defensive rebound by J. Redick,19,11
42,1,5:07.0,,B. Griffin makes 2-pt layup from 1 ft,19,13
43,1,4:47.0,R. Lopez makes 2-pt hook shot from 6 ft (assist by R. Rondo),,21,13
44,1,4:38.0,,J. Redick misses 2-pt layup from 1 ft (block by D. Wade),21,13
45,1,4:37.0,,Offensive rebound by C. Paul,21,13
46,1,4:34.0,,Personal foul by R. Rondo (drawn by C. Paul),21,13
47,1,4:34.0,J. Grant enters the game for R. Rondo,,21,13
48,1,4:34.0,I. Canaan enters the game for D. Wade,,21,13
49,1,4:17.0,,B. Griffin makes 2-pt hook shot from 4 ft (assist by C. Paul),21,15
50,1,3:54.0,R. Lopez makes 2-pt jump shot from 20 ft (assist by I. Canaan),,23,15
51,1,3:46.0,,C. Paul makes 2-pt jump shot from 15 ft,23,17
52,1,3:36.0,Turnover by Team (back court),,23,17
53,1,3:36.0,,A. Rivers enters the game for J. Redick,23,17
54,1,3:36.0,,J. Crawford enters the game for C. Paul,23,17
55,1,3:21.0,,B. Griffin misses 2-pt layup from 2 ft,23,17
56,1,3:21.0,Defensive rebound by T. Gibson,,23,17
57,1,3:11.0,T. Gibson makes 2-pt jump shot from 7 ft (assist by J. Grant),,25,17
58,1,2:51.0,,J. Crawford makes 2-pt jump shot from 19 ft,25,19
59,1,2:38.0,J. Grant misses 2-pt jump shot from 17 ft,,25,19
60,1,2:35.0,,Defensive rebound by A. Rivers,25,19
61,1,2:34.0,,Shooting foul by I. Canaan (drawn by A. Rivers),25,19
62,1,2:34.0,Chicago full timeout,,25,19
63,1,2:34.0,,A. Rivers misses free throw 1 of 2,25,19
64,1,2:34.0,,Offensive rebound by Team,25,19
65,1,2:34.0,N. Mirotić enters the game for T. Gibson,,25,19
66,1,2:34.0,,B. Bass enters the game for B. Griffin,25,19
67,1,2:34.0,,A. Rivers makes free throw 2 of 2,25,20
68,1,2:11.0,R. Lopez makes 2-pt hook shot from 5 ft,,27,20
69,1,1:50.0,,Personal foul by J. Grant (drawn by L. Mbah a Moute),27,20
70,1,1:50.0,,M. Speights enters the game for D. Jordan,27,20
71,1,1:50.0,B. Portis enters the game for R. Lopez,,27,20
72,1,1:38.0,,J. Crawford misses 3-pt jump shot from 25 ft,27,20
