,QUARTER,TIME_REMAINING,CHICAGO_ACTION,CLEVELAND_ACTION,CHICAGO_SCORE,CLEVELAND_SCORE
0,1,11:41.0,,J. McRae makes 2-pt layup at rim (assist by L. James),0,2
1,1,11:26.0,Turnover by T. Gibson (lost ball),,0,2
2,1,11:11.0,,D. Liggins misses 3-pt jump shot from 25 ft,0,2
3,1,11:10.0,Defensive rebound by T. Gibson,,0,2
4,1,10:55.0,M. Carter-Williams makes 2-pt jump shot from 8 ft (assist by J. Butler),,2,2
5,1,10:39.0,,T. Thompson misses 2-pt layup from 1 ft (block by R. Lopez),2,2
6,1,10:38.0,Defensive rebound by R. Lopez,,2,2
7,1,10:24.0,J. Butler misses 3-pt jump shot from 25 ft,,2,2
8,1,10:23.0,,Defensive rebound by D. Liggins,2,2
9,1,10:10.0,,J. McRae makes 3-pt jump shot from 25 ft (assist by L. James),2,5
10,1,9:47.0,Turnover by R. Lopez (bad pass; steal by T. Thompson),,2,5
11,1,9:37.0,,L. James misses 2-pt layup from 1 ft,2,5
12,1,9:36.0,,Offensive rebound by T. Thompson,2,5
13,1,9:36.0,,T. Thompson misses 2-pt layup from 2 ft,2,5
14,1,9:35.0,Defensive rebound by T. Gibson,,2,5
15,1,9:24.0,J. Butler misses 2-pt layup from 1 ft (block by J. McRae),,2,5
16,1,9:23.0,Offensive rebound by J. Butler,,2,5
17,1,9:17.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,2,5
18,1,9:17.0,Offensive rebound by R. Lopez,,2,5
19,1,9:16.0,R. Lopez misses 2-pt hook shot from 5 ft,,2,5
20,1,9:15.0,,Defensive rebound by C. Frye,2,5
21,1,9:02.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by L. James),2,8
22,1,8:46.0,R. Lopez misses 2-pt jump shot from 18 ft,,2,8
23,1,8:45.0,,Defensive rebound by L. James,2,8
24,1,8:40.0,,L. James makes 2-pt layup from 1 ft,2,10
25,1,8:40.0,Chicago full timeout,,2,10
26,1,8:23.0,D. Wade misses 2-pt jump shot from 16 ft,,2,10
27,1,8:22.0,,Defensive rebound by T. Thompson,2,10
28,1,8:14.0,,Shooting foul by T. Gibson (drawn by J. McRae),2,10
29,1,8:14.0,,J. McRae makes free throw 1 of 2,2,11
30,1,8:14.0,,J. McRae makes free throw 2 of 2,2,12
31,1,7:51.0,J. Butler misses 3-pt jump shot from 27 ft,,2,12
32,1,7:51.0,,Defensive rebound by Team,2,12
33,1,7:36.0,,D. Liggins misses 3-pt jump shot from 25 ft,2,12
34,1,7:36.0,,Offensive rebound by T. Thompson,2,12
35,1,7:23.0,,L. James makes 3-pt jump shot from 28 ft,2,15
36,1,7:03.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,2,15
37,1,7:00.0,Offensive rebound by D. Wade,,2,15
38,1,6:56.0,Personal foul by J. McRae (drawn by D. Wade),,2,15
39,1,6:51.0,M. Carter-Williams misses 2-pt jump shot from 10 ft,,2,15
40,1,6:49.0,Offensive rebound by R. Lopez,,2,15
41,1,6:49.0,R. Lopez makes 2-pt layup at rim,,4,15
42,1,6:34.0,,J. McRae misses 3-pt jump shot from 26 ft,4,15
43,1,6:34.0,Defensive rebound by D. Wade,,4,15
44,1,6:24.0,Personal foul by D. Liggins (drawn by R. Lopez),,4,15
45,1,6:14.0,T. Gibson makes 2-pt hook shot from 5 ft,,6,15
46,1,6:05.0,,Shooting foul by M. Carter-Williams (drawn by L. James),6,15
