,QUARTER,TIME_REMAINING,ORLANDO_ACTION,SAN ANTONIO_ACTION,ORLANDO_SCORE,SAN ANTONIO_SCORE
0,1,11:39.0,S. Ibaka makes 2-pt jump shot from 16 ft,,2,0
1,1,11:20.0,,K. Leonard makes 2-pt jump shot from 20 ft (assist by P. Gasol),2,2
2,1,10:57.0,D. Augustin misses 2-pt jump shot from 19 ft,,2,2
3,1,10:56.0,,Defensive rebound by T. Parker,2,2
4,1,10:46.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by T. Parker),2,4
5,1,10:31.0,E. Fournier misses 2-pt layup from 4 ft (block by L. Aldridge),,2,4
6,1,10:31.0,Offensive rebound by Team,,2,4
7,1,10:23.0,A. Gordon misses 2-pt jump shot from 22 ft,,2,4
8,1,10:22.0,,Defensive rebound by T. Parker,2,4
9,1,10:07.0,,Shooting foul by S. Ibaka (drawn by L. Aldridge),2,4
10,1,10:07.0,,L. Aldridge misses free throw 1 of 2,2,4
11,1,10:07.0,,Offensive rebound by Team,2,4
12,1,10:07.0,,L. Aldridge makes free throw 2 of 2,2,5
13,1,9:56.0,B. Biyombo misses 2-pt hook shot from 9 ft,,2,5
14,1,9:55.0,,Defensive rebound by P. Gasol,2,5
15,1,9:39.0,,Shooting foul by A. Gordon (drawn by K. Leonard),2,5
16,1,9:39.0,,K. Leonard makes free throw 1 of 2,2,6
17,1,9:39.0,,K. Leonard makes free throw 2 of 2,2,7
18,1,9:28.0,E. Fournier makes 2-pt jump shot from 18 ft,,4,7
19,1,9:02.0,,L. Aldridge misses 2-pt hook shot from 8 ft,4,7
20,1,9:01.0,Defensive rebound by E. Fournier,,4,7
21,1,8:55.0,Shooting foul by D. Green (drawn by E. Fournier),,4,7
22,1,8:55.0,E. Fournier makes free throw 1 of 2,,5,7
23,1,8:55.0,E. Fournier makes free throw 2 of 2,,6,7
24,1,8:37.0,,T. Parker misses 2-pt layup from 1 ft,6,7
25,1,8:37.0,,Offensive rebound by Team,6,7
26,1,8:29.0,,L. Aldridge misses 2-pt jump shot from 18 ft,6,7
27,1,8:29.0,Defensive rebound by S. Ibaka,,6,7
28,1,8:18.0,B. Biyombo misses 2-pt layup from 1 ft,,6,7
29,1,8:17.0,,Defensive rebound by P. Gasol,6,7
30,1,8:10.0,,Turnover by T. Parker (lost ball; steal by D. Augustin),6,7
31,1,8:01.0,A. Gordon misses 2-pt jump shot from 15 ft,,6,7
32,1,8:00.0,,Defensive rebound by D. Green,6,7
33,1,7:40.0,,P. Gasol misses 3-pt jump shot from 30 ft,6,7
34,1,7:39.0,,Offensive rebound by Team,6,7
35,1,7:39.0,,Turnover by Team (shot clock),6,7
