,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,OKLAHOMA CITY_ACTION,WASHINGTON_SCORE,OKLAHOMA CITY_SCORE
61,1,5:19.0,,J. Lauvergne makes 2-pt dunk at rim (assist by A. Morrow),13,12
62,1,5:07.0,Turnover by J. Wall (bad pass; steal by J. Lauvergne),,13,12
63,1,5:02.0,,A. Roberson makes 2-pt dunk at rim,13,14
64,1,4:41.0,B. Beal misses 3-pt jump shot from 23 ft,,13,14
65,1,4:40.0,,Defensive rebound by A. Roberson,13,14
66,1,4:34.0,,A. Morrow misses 2-pt jump shot from 22 ft,13,14
67,1,4:33.0,,Offensive rebound by R. Westbrook,13,14
68,1,4:32.0,,R. Westbrook misses 2-pt layup from 1 ft,13,14
69,1,4:30.0,Defensive rebound by B. Beal,,13,14
70,1,4:26.0,Turnover by J. Wall (bad pass; steal by A. Roberson),,13,14
71,1,4:21.0,,Personal foul by M. Morris (drawn by R. Westbrook),13,14
72,1,4:21.0,J. Smith enters the game for M. Morris,,13,14
73,1,4:12.0,,S. Adams misses 2-pt dunk at rim,13,14
74,1,4:11.0,Defensive rebound by O. Porter,,13,14
75,1,4:03.0,O. Porter misses 2-pt jump shot from 17 ft,,13,14
76,1,4:02.0,,Defensive rebound by A. Roberson,13,14
77,1,3:50.0,,Shooting foul by J. Smith (drawn by S. Adams),13,14
78,1,3:50.0,,S. Adams makes free throw 1 of 2,13,15
79,1,3:50.0,T. Satoranský enters the game for O. Porter,,13,15
80,1,3:50.0,,S. Adams makes free throw 2 of 2,13,16
81,1,3:42.0,Turnover by B. Beal (bad pass; steal by A. Roberson),,13,16
82,1,3:32.0,,J. Lauvergne makes 3-pt jump shot from 24 ft (assist by R. Westbrook),13,19
83,1,3:26.0,Washington full timeout,,13,19
84,1,3:25.0,,E. Freedom enters the game for S. Adams,13,19
85,1,3:25.0,,S. Christon enters the game for R. Westbrook,13,19
86,1,3:04.0,J. Smith misses 2-pt jump shot from 8 ft,,13,19
87,1,3:04.0,,Defensive rebound by E. Freedom,13,19
88,1,3:02.0,,Personal foul by T. Satoranský (drawn by E. Freedom),13,19
89,1,3:02.0,,E. Freedom misses free throw 1 of 2,13,19
90,1,3:02.0,,Offensive rebound by Team,13,19
91,1,3:02.0,M. Thornton enters the game for B. Beal,,13,19
92,1,3:02.0,,E. Freedom makes free throw 2 of 2,13,20
93,1,2:48.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,15,20
94,1,2:34.0,,A. Morrow makes 3-pt jump shot from 23 ft (assist by J. Lauvergne),15,23
95,1,2:19.0,J. Wall misses 2-pt jump shot from 7 ft,,15,23
96,1,2:19.0,Offensive rebound by M. Gortat,,15,23
97,1,2:15.0,M. Gortat misses 2-pt hook shot from 5 ft,,15,23
98,1,2:15.0,,Defensive rebound by A. Roberson,15,23
99,1,2:01.0,,E. Freedom makes 2-pt layup from 1 ft (assist by A. Morrow),15,25
100,1,1:42.0,J. Smith misses 2-pt layup from 2 ft,,15,25
101,1,1:42.0,,Defensive rebound by J. Lauvergne,15,25
102,1,1:36.0,Violation by T. Satoranský (kicked ball),,15,25
103,1,1:36.0,K. Oubre enters the game for J. Wall,,15,25
104,1,1:36.0,,V. Oladipo enters the game for A. Roberson,15,25
