,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:47.0,Turnover by G. Hayward (bad pass),,0,0
1,1,11:43.0,,Personal take foul by G. Hayward (drawn by D. Jordan),0,0
2,1,11:43.0,D. Favors enters the game for R. Gobert,,0,0
3,1,11:29.0,,J. Redick misses 2-pt jump shot from 21 ft (block by J. Ingles),0,0
4,1,11:27.0,Defensive rebound by J. Ingles,,0,0
5,1,11:16.0,B. Diaw misses 2-pt jump shot from 12 ft,,0,0
6,1,11:14.0,,Defensive rebound by C. Paul,0,0
7,1,11:08.0,,Def 3 sec tech foul by D. Favors,0,0
8,1,11:08.0,,C. Paul makes technical free throw,0,1
9,1,11:00.0,,C. Paul makes 2-pt jump shot from 14 ft,0,3
10,1,10:40.0,J. Ingles makes 2-pt layup at rim (assist by B. Diaw),,2,3
11,1,10:19.0,,B. Griffin misses 2-pt layup from 2 ft,2,3
12,1,10:19.0,Defensive rebound by G. Hayward,,2,3
13,1,10:18.0,Offensive foul by D. Favors (drawn by B. Griffin),,2,3
14,1,10:18.0,Turnover by D. Favors (offensive foul),,2,3
15,1,10:11.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),2,5
16,1,9:56.0,G. Hayward misses 2-pt jump shot from 5 ft (block by D. Jordan),,2,5
17,1,9:56.0,Offensive rebound by Team,,2,5
18,1,9:46.0,Turnover by G. Hill (bad pass),,2,5
19,1,9:44.0,,Offensive foul by D. Jordan (drawn by G. Hill),2,5
20,1,9:44.0,,Turnover by D. Jordan (bad pass),2,5
21,1,9:20.0,D. Favors misses 2-pt jump shot from 18 ft,,2,5
22,1,9:19.0,,Defensive rebound by D. Jordan,2,5
23,1,9:04.0,,Turnover by J. Redick (bad pass),2,5
24,1,8:42.0,G. Hayward misses 3-pt jump shot from 27 ft,,2,5
25,1,8:38.0,,Defensive rebound by D. Jordan,2,5
26,1,8:26.0,,D. Jordan misses 2-pt layup from 2 ft,2,5
27,1,8:24.0,,Offensive rebound by L. Mbah a Moute,2,5
28,1,8:16.0,,B. Griffin makes 2-pt jump shot from 17 ft (assist by C. Paul),2,7
29,1,8:15.0,Utah full timeout,,2,7
30,1,7:51.0,G. Hill makes 2-pt jump shot from 20 ft,,4,7
31,1,7:33.0,,Turnover by J. Redick (bad pass; steal by J. Ingles),4,7
32,1,7:31.0,Shooting foul by J. Redick (drawn by J. Ingles),,4,7
33,1,7:31.0,J. Ingles makes free throw 1 of 2,,5,7
34,1,7:31.0,J. Ingles makes free throw 2 of 2,,6,7
35,1,7:09.0,,L. Mbah a Moute misses 2-pt jump shot from 22 ft,6,7
36,1,7:09.0,,Offensive rebound by Team,6,7
37,1,7:08.0,Loose ball foul by D. Favors (drawn by D. Jordan),,6,7
38,1,7:08.0,J. Withey enters the game for D. Favors,,6,7
39,1,6:55.0,,B. Griffin misses 2-pt jump shot from 19 ft,6,7
40,1,6:54.0,Defensive rebound by G. Hayward,,6,7
41,1,6:48.0,Shooting foul by B. Griffin (drawn by J. Withey),,6,7
42,1,6:48.0,J. Withey makes free throw 1 of 2,,7,7
43,1,6:48.0,J. Withey misses free throw 2 of 2,,7,7
44,1,6:48.0,J. Johnson enters the game for B. Diaw,,7,7
45,1,6:47.0,,Defensive rebound by D. Jordan,7,7
46,1,6:35.0,,B. Griffin makes 2-pt jump shot from 6 ft (assist by C. Paul),7,9
47,1,6:25.0,G. Hill makes 2-pt jump shot from 16 ft,,9,9
48,1,6:25.0,Shooting foul by C. Paul (drawn by G. Hill),,9,9
49,1,6:25.0,G. Hill misses free throw 1 of 1,,9,9
50,1,6:22.0,,Defensive rebound by B. Griffin,9,9
51,1,6:21.0,,Turnover by B. Griffin (dbl dribble),9,9
52,1,6:03.0,J. Withey makes 2-pt layup from 1 ft,,11,9
53,1,5:59.0,,Shooting foul by J. Withey (drawn by L. Mbah a Moute),11,9
54,1,5:59.0,,L. Mbah a Moute misses free throw 1 of 2,11,9
55,1,5:59.0,,Offensive rebound by Team,11,9
56,1,5:59.0,,J. Crawford enters the game for J. Redick,11,9
57,1,5:59.0,,L. Mbah a Moute makes free throw 2 of 2,11,10
58,1,5:42.0,Turnover by G. Hayward (lost ball; steal by B. Griffin),,11,10
59,1,5:42.0,,Personal foul by G. Hill (drawn by L. Mbah a Moute),11,10
60,1,5:29.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by C. Paul),11,13
61,1,5:04.0,G. Hill misses 2-pt layup from 2 ft,,11,13
62,1,5:03.0,,Defensive rebound by L. Mbah a Moute,11,13
63,1,4:52.0,,B. Griffin misses 2-pt layup from 2 ft (block by J. Withey),11,13
64,1,4:51.0,,Offensive rebound by L. Mbah a Moute,11,13
65,1,4:43.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),11,15
66,1,4:28.0,J. Ingles misses 3-pt jump shot from 25 ft,,11,15
67,1,4:27.0,,Defensive rebound by D. Jordan,11,15
68,1,4:14.0,,J. Crawford misses 2-pt jump shot from 17 ft,11,15
69,1,4:13.0,,Offensive rebound by D. Jordan,11,15
70,1,4:13.0,,Shooting foul by G. Hill (drawn by D. Jordan),11,15
71,1,4:13.0,,D. Jordan makes free throw 1 of 2,11,16
72,1,4:13.0,S. Mack enters the game for G. Hill,,11,16
73,1,4:13.0,,D. Jordan makes free throw 2 of 2,11,17
74,1,3:57.0,G. Hayward makes 2-pt jump shot from 18 ft,,13,17
75,1,3:46.0,,Turnover by B. Griffin (bad pass; steal by J. Ingles),13,17
76,1,3:44.0,Shooting foul by J. Crawford (drawn by J. Ingles),,13,17
77,1,3:44.0,J. Ingles misses free throw 1 of 2,,13,17
78,1,3:44.0,Offensive rebound by Team,,13,17
79,1,3:44.0,,M. Speights enters the game for D. Jordan,13,17
80,1,3:44.0,J. Ingles makes free throw 2 of 2,,14,17
81,1,3:28.0,,M. Speights misses 3-pt jump shot from 24 ft,14,17
82,1,3:28.0,,Offensive rebound by Team,14,17
83,1,3:28.0,Loose ball foul by J. Johnson (drawn by B. Griffin),,14,17
84,1,3:28.0,,B. Griffin makes free throw 1 of 2,14,18
85,1,3:28.0,R. Hood enters the game for J. Ingles,,14,18
86,1,3:28.0,,B. Griffin makes free throw 2 of 2,14,19
87,1,3:16.0,G. Hayward misses 2-pt jump shot from 19 ft,,14,19
88,1,3:15.0,,Defensive rebound by L. Mbah a Moute,14,19
89,1,3:00.0,,C. Paul misses 2-pt jump shot from 16 ft,14,19
90,1,2:59.0,Defensive rebound by G. Hayward,,14,19
91,1,2:44.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by S. Mack),,17,19
92,1,2:44.0,,LA Clippers full timeout,17,19
93,1,2:44.0,J. Ingles enters the game for R. Hood,,17,19
94,1,2:30.0,,B. Griffin misses 2-pt jump shot from 5 ft,17,19
95,1,2:29.0,Defensive rebound by G. Hayward,,17,19
96,1,2:07.0,J. Johnson misses 3-pt jump shot from 25 ft,,17,19
97,1,2:06.0,,Defensive rebound by C. Paul,17,19
98,1,1:52.0,,M. Speights misses 2-pt jump shot from 12 ft,17,19
99,1,1:52.0,,Offensive rebound by B. Griffin,17,19
100,1,1:52.0,,Shooting foul by J. Withey (drawn by B. Griffin),17,19
101,1,1:52.0,,B. Griffin makes free throw 1 of 2,17,20
102,1,1:52.0,,R. Felton enters the game for C. Paul,17,20
103,1,1:52.0,B. Diaw enters the game for J. Withey,,17,20
104,1,1:52.0,,B. Griffin makes free throw 2 of 2,17,21
105,1,1:32.0,S. Mack misses 3-pt jump shot from 26 ft,,17,21
106,1,1:31.0,,Defensive rebound by R. Felton,17,21
107,1,1:08.0,,R. Felton misses 3-pt jump shot from 25 ft,17,21
108,1,1:07.0,Defensive rebound by J. Johnson,,17,21
109,1,0:49.0,B. Diaw makes 3-pt jump shot from 25 ft (assist by G. Hayward),,20,21
110,1,0:36.0,R. Hood enters the game for J. Ingles,,20,21
111,1,0:28.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by R. Felton),20,24
112,1,0:05.0,B. Diaw makes 2-pt dunk at rim (assist by S. Mack),,22,24
113,1,0:01.0,,J. Crawford misses 3-pt jump shot from 41 ft,22,24
114,1,0:00.0,,Offensive rebound by Team,22,24
