,QUARTER,TIME_REMAINING,ORLANDO_ACTION,BROOKLYN_ACTION,ORLANDO_SCORE,BROOKLYN_SCORE
0,1,11:47.0,,B. Lopez makes 2-pt dunk at rim (assist by J. Lin),0,2
1,1,11:30.0,A. Gordon misses 2-pt jump shot from 15 ft,,0,2
2,1,11:29.0,,Defensive rebound by C. LeVert,0,2
3,1,11:16.0,,R. Foye misses 3-pt jump shot from 24 ft,0,2
4,1,11:15.0,Defensive rebound by E. Payton,,0,2
5,1,11:05.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Payton),,2,2
6,1,10:54.0,,B. Lopez misses 2-pt hook shot from 13 ft,2,2
7,1,10:53.0,Defensive rebound by A. Gordon,,2,2
8,1,10:46.0,Turnover by N. Vučević (bad pass),,2,2
9,1,10:30.0,,C. LeVert misses 2-pt jump shot from 18 ft,2,2
10,1,10:29.0,Defensive rebound by A. Gordon,,2,2
11,1,10:24.0,A. Gordon makes 2-pt layup from 2 ft,,4,2
12,1,10:12.0,,B. Lopez misses 3-pt jump shot from 27 ft,4,2
13,1,10:11.0,Defensive rebound by A. Gordon,,4,2
14,1,10:02.0,E. Payton misses 2-pt layup from 2 ft,,4,2
15,1,10:01.0,,Defensive rebound by B. Lopez,4,2
16,1,9:56.0,,J. Lin misses 3-pt jump shot from 25 ft,4,2
17,1,9:53.0,Defensive rebound by E. Payton,,4,2
18,1,9:42.0,A. Gordon makes 3-pt jump shot from 25 ft (assist by T. Ross),,7,2
19,1,9:32.0,,B. Lopez misses 2-pt hook shot from 8 ft,7,2
20,1,9:31.0,Defensive rebound by E. Fournier,,7,2
21,1,9:25.0,Def 3 sec tech foul by B. Lopez,,7,2
22,1,9:25.0,E. Fournier misses technical free throw,,7,2
23,1,9:25.0,Offensive rebound by Team,,7,2
24,1,9:19.0,T. Ross misses 2-pt jump shot from 5 ft,,7,2
25,1,9:18.0,Offensive rebound by E. Payton,,7,2
26,1,9:09.0,Shooting foul by R. Hollis-Jefferson (drawn by E. Payton),,7,2
27,1,9:09.0,E. Payton makes free throw 1 of 2,,8,2
28,1,9:09.0,E. Payton makes free throw 2 of 2,,9,2
29,1,9:03.0,,Def 3 sec tech foul by A. Gordon,9,2
30,1,9:03.0,,B. Lopez makes technical free throw,9,3
31,1,8:57.0,,B. Lopez misses 2-pt jump shot from 8 ft,9,3
32,1,8:56.0,Defensive rebound by T. Ross,,9,3
33,1,8:46.0,N. Vučević makes 2-pt jump shot from 21 ft,,11,3
34,1,8:35.0,,Shooting foul by N. Vučević (drawn by B. Lopez),11,3
35,1,8:35.0,,B. Lopez makes free throw 1 of 2,11,4
36,1,8:35.0,,B. Lopez makes free throw 2 of 2,11,5
37,1,8:18.0,N. Vučević makes 2-pt jump shot from 15 ft (assist by E. Payton),,13,5
38,1,8:04.0,,Turnover by B. Lopez (bad pass; steal by E. Payton),13,5
39,1,7:59.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,15,5
40,1,7:59.0,,Brooklyn full timeout,15,5
41,1,7:46.0,,C. LeVert makes 3-pt jump shot from 26 ft (assist by B. Lopez),15,8
42,1,7:34.0,Turnover by N. Vučević (bad pass; steal by R. Foye),,15,8
43,1,7:28.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by J. Lin),15,11
44,1,7:17.0,E. Payton makes 2-pt jump shot from 6 ft,,17,11
45,1,7:06.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by J. Lin),17,13
46,1,7:05.0,Orlando full timeout,,17,13
47,1,7:05.0,,I. Whitehead enters the game for C. LeVert,17,13
48,1,6:52.0,E. Fournier misses 2-pt layup from 3 ft (block by B. Lopez),,17,13
49,1,6:51.0,,Defensive rebound by R. Foye,17,13
50,1,6:45.0,,J. Lin misses 2-pt jump shot from 9 ft,17,13
51,1,6:43.0,Defensive rebound by N. Vučević,,17,13
52,1,6:32.0,N. Vučević makes 2-pt jump shot from 8 ft (assist by E. Fournier),,19,13
53,1,6:23.0,,J. Lin misses 2-pt layup from 1 ft,19,13
54,1,6:22.0,Defensive rebound by N. Vučević,,19,13
55,1,6:16.0,A. Gordon misses 3-pt jump shot from 24 ft,,19,13
56,1,6:14.0,,Defensive rebound by Team,19,13
57,1,6:14.0,Loose ball foul by N. Vučević (drawn by I. Whitehead),,19,13
58,1,6:14.0,,S. Kilpatrick enters the game for R. Foye,19,13
59,1,6:14.0,,Violation by Team (delay of game),19,13
60,1,6:05.0,,B. Lopez makes 2-pt jump shot from 7 ft (assist by J. Lin),19,15
61,1,6:05.0,,Shooting foul by E. Fournier (drawn by B. Lopez),19,15
62,1,6:05.0,,B. Lopez misses free throw 1 of 1,19,15
63,1,6:04.0,Defensive rebound by E. Payton,,19,15
64,1,5:48.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by T. Ross),,22,15
65,1,5:24.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),22,18
66,1,5:12.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,24,18
67,1,4:59.0,,B. Lopez makes 2-pt jump shot from 4 ft (assist by J. Lin),24,20
68,1,4:47.0,N. Vučević misses 2-pt jump shot from 14 ft,,24,20
69,1,4:46.0,,Defensive rebound by B. Lopez,24,20
70,1,4:41.0,,J. Lin misses 3-pt jump shot from 25 ft,24,20
71,1,4:39.0,Defensive rebound by A. Gordon,,24,20
72,1,4:30.0,Personal foul by I. Whitehead (drawn by E. Fournier),,24,20
73,1,4:30.0,M. Hezonja enters the game for T. Ross,,24,20
74,1,4:30.0,,T. Booker enters the game for R. Hollis-Jefferson,24,20
75,1,4:15.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by M. Hezonja),,26,20
76,1,4:00.0,,T. Booker makes 2-pt layup from 2 ft,26,22
77,1,3:47.0,E. Payton misses 2-pt jump shot from 11 ft (block by J. Lin),,26,22
78,1,3:46.0,Offensive rebound by E. Payton,,26,22
79,1,3:43.0,M. Hezonja misses 3-pt jump shot from 23 ft,,26,22
80,1,3:42.0,,Defensive rebound by J. Lin,26,22
81,1,3:41.0,,Turnover by J. Lin (bad pass),26,22
82,1,3:41.0,,J. Hamilton enters the game for B. Lopez,26,22
83,1,3:41.0,,S. Dinwiddie enters the game for J. Lin,26,22
84,1,3:41.0,T. Ross enters the game for E. Fournier,,26,22
85,1,3:28.0,T. Ross misses 2-pt jump shot from 19 ft,,26,22
86,1,3:26.0,Offensive rebound by N. Vučević,,26,22
87,1,3:19.0,A. Gordon misses 2-pt jump shot from 20 ft,,26,22
88,1,3:18.0,,Defensive rebound by S. Kilpatrick,26,22
89,1,3:09.0,,J. Hamilton makes 3-pt jump shot from 25 ft (assist by S. Kilpatrick),26,25
90,1,3:02.0,Turnover by M. Hezonja (bad pass),,26,25
91,1,3:02.0,D. Augustin enters the game for E. Payton,,26,25
92,1,3:02.0,B. Biyombo enters the game for N. Vučević,,26,25
93,1,2:48.0,,T. Booker makes 2-pt jump shot from 14 ft,26,27
94,1,2:21.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by B. Biyombo),,29,27
95,1,2:10.0,,T. Booker makes 2-pt jump shot from 4 ft (assist by I. Whitehead),29,29
96,1,1:56.0,A. Gordon misses 2-pt jump shot from 19 ft,,29,29
97,1,1:54.0,,Defensive rebound by J. Hamilton,29,29
98,1,1:47.0,,Turnover by S. Kilpatrick (lost ball; steal by D. Augustin),29,29
99,1,1:32.0,Turnover by D. Augustin (bad pass; steal by S. Dinwiddie),,29,29
100,1,1:19.0,,S. Kilpatrick misses 3-pt jump shot from 27 ft,29,29
101,1,1:18.0,Defensive rebound by A. Gordon,,29,29
102,1,1:08.0,A. Gordon makes 2-pt jump shot from 15 ft,,31,29
103,1,0:48.0,,J. Hamilton misses 2-pt jump shot from 18 ft,31,29
104,1,0:47.0,,Offensive rebound by T. Booker,31,29
105,1,0:40.0,,T. Booker makes 2-pt layup from 1 ft,31,31
106,1,0:29.0,T. Ross makes 2-pt jump shot from 20 ft,,33,31
107,1,0:11.0,,S. Kilpatrick makes 2-pt layup from 2 ft,33,33
108,1,0:04.0,A. Gordon misses 2-pt layup from 2 ft,,33,33
109,1,0:03.0,,Defensive rebound by T. Booker,33,33
110,1,0:00.0,,T. Booker misses 3-pt jump shot from 40 ft,33,33
111,1,0:00.0,,Offensive rebound by Team,33,33
112,2,11:44.0,Personal foul by A. Goodwin (drawn by B. Biyombo),,33,33
113,2,11:36.0,B. Biyombo misses 2-pt hook shot from 5 ft,,33,33
114,2,11:35.0,Offensive rebound by Team,,33,33
115,2,11:26.0,E. Fournier makes 3-pt jump shot from 24 ft (assist by D. Augustin),,36,33
116,2,11:14.0,,J. Hamilton makes 2-pt jump shot from 16 ft (assist by I. Whitehead),36,35
117,2,11:00.0,Turnover by D. Augustin (lost ball; steal by A. Goodwin),,36,35
118,2,10:57.0,,J. Hamilton makes 2-pt dunk at rim (assist by A. Goodwin),36,37
119,2,10:36.0,J. Meeks makes 2-pt jump shot from 21 ft (assist by M. Hezonja),,38,37
120,2,10:18.0,,Turnover by J. Hamilton (lost ball; steal by M. Hezonja),38,37
121,2,9:56.0,E. Fournier makes 3-pt jump shot from 28 ft (assist by M. Hezonja),,41,37
122,2,9:41.0,,J. Hamilton misses 2-pt jump shot from 16 ft,41,37
123,2,9:40.0,,Offensive rebound by S. Dinwiddie,41,37
124,2,9:39.0,,S. Dinwiddie makes 2-pt jump shot from 5 ft,41,39
125,2,9:27.0,Turnover by D. Augustin (bad pass; steal by S. Dinwiddie),,41,39
126,2,9:23.0,,I. Whitehead misses 3-pt jump shot from 25 ft,41,39
127,2,9:21.0,,Offensive rebound by T. Booker,41,39
128,2,9:11.0,,J. Hamilton misses 3-pt jump shot from 24 ft,41,39
129,2,9:09.0,,Offensive rebound by I. Whitehead,41,39
130,2,8:58.0,,T. Booker makes 2-pt layup from 2 ft,41,41
131,2,8:58.0,Orlando full timeout,,41,41
132,2,8:36.0,D. Augustin misses 3-pt jump shot from 25 ft,,41,41
133,2,8:34.0,,Defensive rebound by S. Dinwiddie,41,41
134,2,8:31.0,,J. Hamilton makes 2-pt dunk at rim (assist by I. Whitehead),41,43
135,2,8:14.0,E. Fournier makes 2-pt jump shot from 17 ft,,43,43
136,2,7:45.0,,T. Booker makes 3-pt jump shot from 25 ft,43,46
137,2,7:29.0,E. Fournier misses 3-pt jump shot from 26 ft,,43,46
138,2,7:28.0,,Defensive rebound by T. Booker,43,46
139,2,7:09.0,,A. Goodwin makes 2-pt layup from 2 ft,43,48
140,2,6:54.0,E. Fournier misses 2-pt layup from 3 ft,,43,48
141,2,6:53.0,,Defensive rebound by S. Dinwiddie,43,48
142,2,6:39.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,43,48
143,2,6:37.0,Defensive rebound by D. Augustin,,43,48
144,2,6:23.0,J. Meeks makes 2-pt jump shot from 17 ft (assist by D. Augustin),,45,48
145,2,6:10.0,,J. Hamilton makes 2-pt layup from 3 ft (assist by A. Goodwin),45,50
146,2,5:56.0,Turnover by E. Fournier (lost ball; steal by I. Whitehead),,45,50
147,2,5:56.0,,Personal foul by E. Fournier (drawn by I. Whitehead),45,50
148,2,5:56.0,Official timeout,,45,50
149,2,5:56.0,E. Payton enters the game for D. Augustin,,45,50
150,2,5:56.0,,R. Hollis-Jefferson enters the game for I. Whitehead,45,50
151,2,5:56.0,,J. Lin enters the game for T. Booker,45,50
152,2,5:56.0,,B. Lopez enters the game for J. Hamilton,45,50
153,2,5:56.0,,S. Kilpatrick enters the game for S. Dinwiddie,45,50
154,2,5:46.0,,J. Lin misses 2-pt jump shot from 4 ft,45,50
155,2,5:45.0,Defensive rebound by E. Payton,,45,50
156,2,5:33.0,M. Hezonja misses 2-pt layup from 3 ft,,45,50
157,2,5:32.0,,Defensive rebound by J. Lin,45,50
158,2,5:24.0,,B. Lopez makes 2-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),45,52
159,2,5:08.0,J. Meeks makes 2-pt jump shot from 7 ft (assist by E. Payton),,47,52
160,2,4:59.0,,Personal foul by B. Biyombo (drawn by B. Lopez),47,52
161,2,4:59.0,,C. LeVert enters the game for A. Goodwin,47,52
162,2,4:59.0,A. Gordon enters the game for B. Biyombo,,47,52
163,2,4:59.0,T. Ross enters the game for M. Hezonja,,47,52
164,2,4:59.0,N. Vučević enters the game for E. Fournier,,47,52
165,2,4:52.0,,J. Lin misses 2-pt jump shot from 16 ft,47,52
166,2,4:51.0,Defensive rebound by N. Vučević,,47,52
167,2,4:43.0,J. Meeks misses 3-pt jump shot from 26 ft,,47,52
168,2,4:42.0,,Defensive rebound by J. Lin,47,52
169,2,4:30.0,,J. Lin misses 3-pt jump shot from 24 ft,47,52
170,2,4:29.0,Defensive rebound by A. Gordon,,47,52
171,2,4:17.0,Turnover by E. Payton (bad pass; steal by J. Lin),,47,52
172,2,4:10.0,,C. LeVert misses 3-pt jump shot from 25 ft,47,52
173,2,4:07.0,,Offensive rebound by S. Kilpatrick,47,52
174,2,4:06.0,,S. Kilpatrick makes 2-pt layup from 2 ft,47,54
175,2,3:52.0,T. Ross misses 2-pt jump shot from 16 ft,,47,54
176,2,3:51.0,,Defensive rebound by R. Hollis-Jefferson,47,54
177,2,3:45.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Gordon),47,54
178,2,3:40.0,E. Payton makes 2-pt layup from 3 ft (assist by A. Gordon),,49,54
179,2,3:25.0,,Shooting foul by A. Gordon (drawn by C. LeVert),49,54
180,2,3:25.0,,R. Hollis-Jefferson misses free throw 1 of 2,49,54
181,2,3:25.0,,Offensive rebound by Team,49,54
182,2,3:25.0,,R. Hollis-Jefferson misses free throw 2 of 2,49,54
183,2,3:24.0,Defensive rebound by A. Gordon,,49,54
184,2,3:09.0,Personal foul by S. Kilpatrick (drawn by T. Ross),,49,54
185,2,3:03.0,T. Ross makes 2-pt jump shot from 20 ft (assist by A. Gordon),,51,54
186,2,3:03.0,,Brooklyn full timeout,51,54
187,2,3:03.0,E. Fournier enters the game for J. Meeks,,51,54
188,2,2:55.0,,Turnover by S. Kilpatrick (bad pass; steal by A. Gordon),51,54
189,2,2:45.0,A. Gordon makes 2-pt layup from 3 ft (assist by E. Payton),,53,54
190,2,2:31.0,,B. Lopez makes 2-pt jump shot from 10 ft (assist by S. Kilpatrick),53,56
191,2,2:13.0,E. Payton misses 2-pt jump shot from 7 ft,,53,56
192,2,2:12.0,,Defensive rebound by R. Hollis-Jefferson,53,56
193,2,2:00.0,,Personal foul by T. Ross (drawn by R. Hollis-Jefferson),53,56
194,2,1:46.0,,C. LeVert misses 3-pt jump shot from 24 ft,53,56
195,2,1:45.0,Defensive rebound by Team,,53,56
196,2,1:37.0,Turnover by N. Vučević (traveling),,53,56
197,2,1:24.0,,B. Lopez misses 2-pt hook shot from 12 ft,53,56
198,2,1:23.0,Defensive rebound by N. Vučević,,53,56
199,2,1:19.0,Personal foul by J. Lin (drawn by E. Payton),,53,56
200,2,1:11.0,E. Fournier misses 2-pt jump shot from 11 ft,,53,56
201,2,1:10.0,,Defensive rebound by B. Lopez,53,56
202,2,1:05.0,,C. LeVert makes 2-pt layup from 3 ft (assist by R. Hollis-Jefferson),53,58
203,2,0:45.0,N. Vučević misses 2-pt jump shot from 21 ft,,53,58
204,2,0:44.0,,Defensive rebound by C. LeVert,53,58
205,2,0:30.0,,B. Lopez misses 2-pt layup from 2 ft,53,58
206,2,0:29.0,,Offensive rebound by B. Lopez,53,58
207,2,0:28.0,,B. Lopez makes 2-pt layup from 2 ft,53,60
208,2,0:28.0,,Technical foul by Team,53,60
209,2,0:28.0,T. Ross misses technical free throw,,53,60
210,2,0:28.0,Offensive rebound by Team,,53,60
211,2,0:28.0,Orlando full timeout,,53,60
212,2,0:09.0,T. Ross misses 3-pt jump shot from 27 ft,,53,60
213,2,0:08.0,,Defensive rebound by C. LeVert,53,60
214,2,0:01.0,,S. Kilpatrick misses 2-pt layup from 3 ft,53,60
215,2,0:00.0,,Offensive rebound by Team,53,60
216,3,11:41.0,N. Vučević makes 2-pt jump shot from 21 ft (assist by E. Payton),,55,60
217,3,11:30.0,,B. Lopez misses 2-pt layup from 3 ft,55,60
