,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:42.0,C. Anthony makes 2-pt jump shot from 13 ft,,2,0
1,1,11:18.0,,M. Morris misses 3-pt jump shot from 27 ft,2,0
2,1,11:18.0,Defensive rebound by C. Lee,,2,0
3,1,11:12.0,C. Lee misses 2-pt jump shot from 5 ft,,2,0
4,1,11:11.0,Offensive rebound by C. Lee,,2,0
5,1,11:11.0,W. Hernangómez makes 2-pt layup at rim (assist by C. Lee),,4,0
6,1,10:56.0,,B. Beal misses 3-pt jump shot from 26 ft,4,0
7,1,10:55.0,Defensive rebound by C. Anthony,,4,0
8,1,10:43.0,B. Jennings misses 2-pt jump shot from 14 ft,,4,0
9,1,10:42.0,Offensive rebound by W. Hernangómez,,4,0
10,1,10:41.0,W. Hernangómez misses 2-pt layup at rim,,4,0
11,1,10:39.0,,Defensive rebound by Team,4,0
12,1,10:17.0,,J. Wall misses 2-pt jump shot from 13 ft,4,0
13,1,10:16.0,,Offensive rebound by M. Morris,4,0
14,1,10:15.0,,M. Morris makes 2-pt layup from 1 ft,4,2
15,1,10:01.0,C. Lee misses 3-pt jump shot from 26 ft,,4,2
16,1,10:00.0,,Defensive rebound by M. Morris,4,2
17,1,9:50.0,,B. Beal misses 3-pt jump shot from 26 ft,4,2
18,1,9:49.0,Defensive rebound by C. Lee,,4,2
19,1,9:34.0,C. Lee misses 3-pt jump shot from 26 ft,,4,2
20,1,9:33.0,Offensive rebound by J. Noah,,4,2
21,1,9:29.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by J. Noah),,6,2
22,1,9:09.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),6,4
23,1,8:55.0,B. Jennings makes 3-pt jump shot from 27 ft (assist by W. Hernangómez),,9,4
24,1,8:38.0,,M. Gortat makes 2-pt layup from 2 ft (assist by M. Morris),9,6
25,1,8:27.0,B. Jennings misses 2-pt jump shot from 6 ft,,9,6
26,1,8:27.0,Offensive rebound by J. Noah,,9,6
27,1,8:27.0,Personal foul by M. Gortat (drawn by J. Noah),,9,6
28,1,8:22.0,Turnover by J. Noah (bad pass; steal by O. Porter),,9,6
29,1,8:18.0,,O. Porter misses 2-pt layup from 1 ft,9,6
30,1,8:18.0,Defensive rebound by Team,,9,6
31,1,8:18.0,,Loose ball foul by J. Wall (drawn by C. Lee),9,6
32,1,7:59.0,C. Anthony makes 2-pt jump shot from 10 ft,,11,6
33,1,7:38.0,,M. Morris misses 2-pt layup at rim,11,6
34,1,7:37.0,Defensive rebound by J. Noah,,11,6
35,1,7:27.0,C. Anthony makes 2-pt jump shot from 19 ft (assist by W. Hernangómez),,13,6
36,1,7:25.0,,Washington full timeout,13,6
37,1,7:12.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),13,8
38,1,6:46.0,C. Anthony misses 2-pt jump shot from 18 ft,,13,8
39,1,6:45.0,,Defensive rebound by M. Gortat,13,8
40,1,6:32.0,,O. Porter misses 3-pt jump shot from 26 ft,13,8
41,1,6:31.0,Defensive rebound by J. Noah,,13,8
42,1,6:24.0,B. Jennings makes 3-pt jump shot from 26 ft,,16,8
43,1,6:05.0,,Personal foul by J. Noah (drawn by B. Beal),16,8
44,1,6:00.0,,Turnover by O. Porter (bad pass; steal by B. Jennings),16,8
45,1,5:53.0,W. Hernangómez misses 2-pt dunk at rim,,16,8
46,1,5:50.0,,Defensive rebound by M. Gortat,16,8
47,1,5:46.0,,J. Wall makes 2-pt layup from 1 ft,16,10
48,1,5:33.0,C. Lee misses 3-pt jump shot from 26 ft,,16,10
49,1,5:32.0,,Defensive rebound by Team,16,10
50,1,5:17.0,,M. Morris makes 2-pt dunk at rim (assist by J. Wall),16,12
51,1,4:56.0,C. Anthony misses 2-pt layup from 3 ft,,16,12
52,1,4:55.0,,Defensive rebound by O. Porter,16,12
53,1,4:51.0,,J. Wall makes 2-pt layup from 2 ft (assist by O. Porter),16,14
54,1,4:51.0,New York full timeout,,16,14
55,1,4:51.0,,K. Oubre enters the game for M. Morris,16,14
56,1,4:51.0,K. O'Quinn enters the game for J. Noah,,16,14
57,1,4:32.0,K. O'Quinn misses 2-pt jump shot from 19 ft,,16,14
58,1,4:32.0,,Defensive rebound by J. Wall,16,14
59,1,4:14.0,,Shooting foul by W. Hernangómez (drawn by B. Beal),16,14
60,1,4:14.0,,B. Beal makes free throw 1 of 2,16,15
61,1,4:14.0,M. Kuzminskas enters the game for W. Hernangómez,,16,15
62,1,4:14.0,,B. Beal makes free throw 2 of 2,16,16
63,1,4:01.0,C. Anthony makes 2-pt jump shot from 13 ft,,18,16
64,1,3:50.0,,B. Beal makes 2-pt jump shot from 21 ft (assist by J. Wall),18,18
65,1,3:34.0,Offensive foul by C. Anthony (drawn by K. Oubre),,18,18
66,1,3:34.0,Turnover by C. Anthony (offensive foul),,18,18
67,1,3:20.0,,M. Gortat makes 2-pt layup at rim (assist by O. Porter),18,20
68,1,3:15.0,J. Holiday enters the game for C. Lee,,18,20
69,1,3:05.0,B. Jennings misses 2-pt jump shot from 5 ft,,18,20
70,1,3:04.0,,Defensive rebound by M. Gortat,18,20
71,1,2:59.0,,B. Beal misses 2-pt layup from 1 ft,18,20
72,1,2:57.0,,Offensive rebound by J. Wall,18,20
73,1,2:56.0,,J. Wall misses 2-pt layup at rim,18,20
74,1,2:55.0,Defensive rebound by K. O'Quinn,,18,20
75,1,2:51.0,J. Holiday misses 3-pt jump shot from 28 ft,,18,20
76,1,2:50.0,,Defensive rebound by O. Porter,18,20
77,1,2:39.0,,Turnover by J. Wall (bad pass; steal by B. Jennings),18,20
78,1,2:32.0,K. O'Quinn makes 2-pt dunk at rim (assist by M. Kuzminskas),,20,20
79,1,2:19.0,,J. Wall misses 2-pt jump shot from 19 ft,20,20
80,1,2:18.0,Defensive rebound by C. Anthony,,20,20
81,1,2:06.0,C. Anthony makes 3-pt jump shot from 29 ft,,23,20
82,1,1:50.0,,M. Gortat makes 2-pt dunk at rim (assist by B. Beal),23,22
83,1,1:42.0,B. Jennings misses 2-pt layup from 1 ft,,23,22
84,1,1:41.0,Offensive rebound by K. O'Quinn,,23,22
85,1,1:37.0,J. Holiday misses 3-pt jump shot from 26 ft,,23,22
86,1,1:36.0,Offensive rebound by C. Anthony,,23,22
87,1,1:29.0,K. O'Quinn makes 2-pt layup from 1 ft,,25,22
88,1,1:29.0,Shooting foul by O. Porter (drawn by K. O'Quinn),,25,22
89,1,1:29.0,,J. Smith enters the game for M. Gortat,25,22
90,1,1:29.0,,T. Burke enters the game for B. Beal,25,22
91,1,1:29.0,R. Baker enters the game for B. Jennings,,25,22
92,1,1:29.0,K. O'Quinn makes free throw 1 of 1,,26,22
93,1,1:14.0,,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),26,25
94,1,1:08.0,Personal block foul by T. Burke (drawn by R. Baker),,26,25
95,1,1:08.0,R. Baker misses free throw 1 of 2,,26,25
96,1,1:08.0,Offensive rebound by Team,,26,25
97,1,1:08.0,R. Baker misses free throw 2 of 2,,26,25
98,1,1:06.0,,Defensive rebound by K. Oubre,26,25
99,1,0:58.0,,J. Smith makes 2-pt jump shot from 15 ft (assist by J. Wall),26,27
100,1,0:38.0,K. O'Quinn misses 2-pt layup from 2 ft (block by J. Smith),,26,27
101,1,0:36.0,Offensive rebound by K. O'Quinn,,26,27
102,1,0:32.0,K. O'Quinn misses 2-pt layup from 2 ft,,26,27
103,1,0:31.0,,Defensive rebound by J. Smith,26,27
104,1,0:26.0,,Shooting foul by R. Baker (drawn by J. Wall),26,27
105,1,0:26.0,,J. Wall misses free throw 1 of 2,26,27
106,1,0:26.0,,Offensive rebound by Team,26,27
107,1,0:26.0,B. Jennings enters the game for M. Kuzminskas,,26,27
108,1,0:26.0,,J. Wall makes free throw 2 of 2,26,28
109,1,0:04.0,Shooting foul by K. Oubre (drawn by C. Anthony),,26,28
110,1,0:04.0,C. Anthony makes free throw 1 of 2,,27,28
111,1,0:04.0,C. Anthony makes free throw 2 of 2,,28,28
112,1,0:01.0,,J. Wall misses 2-pt jump shot from 11 ft (block by K. O'Quinn),28,28
113,1,0:01.0,Defensive rebound by K. O'Quinn,,28,28
114,2,11:48.0,,Shooting foul by M. Kuzminskas (drawn by M. Morris),28,28
115,2,11:48.0,,M. Morris makes free throw 1 of 2,28,29
116,2,11:48.0,,M. Morris makes free throw 2 of 2,28,30
117,2,11:27.0,M. Kuzminskas misses 2-pt jump shot from 14 ft,,28,30
118,2,11:26.0,,Defensive rebound by T. Burke,28,30
119,2,11:15.0,,M. Morris misses 3-pt jump shot from 26 ft,28,30
120,2,11:14.0,Defensive rebound by J. Holiday,,28,30
121,2,11:03.0,M. Kuzminskas misses 3-pt jump shot from 27 ft,,28,30
122,2,11:02.0,,Defensive rebound by M. Morris,28,30
123,2,10:58.0,,Turnover by M. Morris (bad pass; steal by B. Jennings),28,30
124,2,10:53.0,W. Hernangómez makes 2-pt layup at rim (assist by R. Baker),,30,30
125,2,10:53.0,Shooting foul by T. Satoranský (drawn by W. Hernangómez),,30,30
126,2,10:53.0,W. Hernangómez makes free throw 1 of 1,,31,30
127,2,10:36.0,,T. Burke misses 2-pt jump shot from 19 ft,31,30
128,2,10:35.0,Defensive rebound by M. Kuzminskas,,31,30
129,2,10:23.0,Turnover by B. Jennings (traveling),,31,30
130,2,10:05.0,,M. Morris misses 2-pt layup from 3 ft,31,30
131,2,10:04.0,Defensive rebound by B. Jennings,,31,30
132,2,9:58.0,R. Baker makes 2-pt layup from 2 ft (assist by B. Jennings),,33,30
133,2,9:58.0,Shooting foul by J. Smith (drawn by R. Baker),,33,30
134,2,9:58.0,R. Baker makes free throw 1 of 1,,34,30
135,2,9:43.0,,T. Satoranský misses 2-pt jump shot from 10 ft,34,30
136,2,9:42.0,Defensive rebound by W. Hernangómez,,34,30
137,2,9:39.0,Turnover by B. Jennings (traveling),,34,30
138,2,9:22.0,,T. Satoranský misses 2-pt jump shot from 4 ft,34,30
139,2,9:21.0,Defensive rebound by W. Hernangómez,,34,30
140,2,9:10.0,M. Kuzminskas misses 2-pt jump shot from 5 ft,,34,30
141,2,9:09.0,,Defensive rebound by K. Oubre,34,30
142,2,9:04.0,,K. Oubre makes 2-pt layup from 2 ft,34,32
143,2,8:49.0,M. Kuzminskas misses 3-pt jump shot from 26 ft,,34,32
144,2,8:48.0,,Defensive rebound by T. Burke,34,32
145,2,8:37.0,,J. Smith misses 3-pt jump shot from 23 ft,34,32
146,2,8:36.0,,Offensive rebound by M. Morris,34,32
147,2,8:30.0,,Shooting foul by W. Hernangómez (drawn by M. Morris),34,32
148,2,8:30.0,Official timeout,,34,32
149,2,8:30.0,,M. Morris makes free throw 1 of 2,34,33
150,2,8:30.0,M. Ndour enters the game for M. Kuzminskas,,34,32
151,2,8:30.0,,B. Beal enters the game for T. Satoranský,34,32
152,2,8:30.0,,M. Morris makes free throw 2 of 2,34,34
153,2,8:07.0,B. Jennings makes 2-pt jump shot from 4 ft,,36,34
154,2,7:52.0,,Offensive foul by T. Burke (drawn by B. Jennings),36,34
155,2,7:52.0,,Turnover by T. Burke (offensive foul),36,34
156,2,7:41.0,Shooting foul by M. Morris (drawn by J. Holiday),,36,34
157,2,7:41.0,J. Holiday misses free throw 1 of 2,,36,34
158,2,7:41.0,Offensive rebound by Team,,36,34
159,2,7:41.0,,J. Wall enters the game for T. Burke,36,34
160,2,7:41.0,,M. Gortat enters the game for J. Smith,36,34
161,2,7:41.0,J. Holiday makes free throw 2 of 2,,37,34
162,2,7:31.0,,Turnover by B. Beal (lost ball; steal by R. Baker),37,34
163,2,7:26.0,R. Baker misses 2-pt layup from 2 ft,,37,34
164,2,7:25.0,Offensive rebound by W. Hernangómez,,37,34
165,2,7:24.0,W. Hernangómez makes 2-pt layup from 2 ft,,39,34
166,2,7:09.0,,J. Wall misses 2-pt layup from 1 ft,39,34
167,2,7:07.0,,Offensive rebound by J. Wall,39,34
168,2,7:04.0,,Turnover by M. Gortat (lost ball; steal by B. Jennings),39,34
169,2,7:00.0,Turnover by J. Holiday (bad pass),,39,34
170,2,6:50.0,,B. Beal makes 2-pt jump shot from 20 ft,39,36
171,2,6:40.0,B. Jennings misses 3-pt jump shot from 27 ft,,39,36
172,2,6:39.0,,Defensive rebound by M. Gortat,39,36
173,2,6:29.0,,B. Beal misses 2-pt jump shot from 21 ft,39,36
174,2,6:27.0,Defensive rebound by J. Holiday,,39,36
175,2,6:16.0,W. Hernangómez misses 2-pt jump shot from 20 ft,,39,36
176,2,6:15.0,Offensive rebound by M. Ndour,,39,36
177,2,6:09.0,M. Ndour misses 3-pt jump shot from 26 ft,,39,36
178,2,6:08.0,,Defensive rebound by M. Gortat,39,36
179,2,5:57.0,,J. Wall makes 3-pt jump shot from 26 ft,39,39
180,2,5:38.0,J. Holiday makes 2-pt jump shot from 20 ft (assist by W. Hernangómez),,41,39
181,2,5:27.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),41,42
182,2,5:14.0,J. Holiday misses 2-pt jump shot from 21 ft,,41,42
183,2,5:13.0,,Defensive rebound by M. Gortat,41,42
184,2,5:04.0,,J. Wall makes 2-pt jump shot from 18 ft,41,44
185,2,5:04.0,New York full timeout,,41,44
186,2,5:04.0,,O. Porter enters the game for K. Oubre,41,44
187,2,5:04.0,C. Lee enters the game for W. Hernangómez,,41,44
188,2,5:04.0,C. Anthony enters the game for J. Holiday,,41,44
189,2,5:04.0,J. Noah enters the game for M. Ndour,,41,44
190,2,4:40.0,C. Anthony misses 3-pt jump shot from 30 ft,,41,44
191,2,4:39.0,,Defensive rebound by O. Porter,41,44
