,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,GOLDEN STATE_ACTION,MEMPHIS_SCORE,GOLDEN STATE_SCORE
0,1,11:44.0,Turnover by J. Green (lost ball),,0,0
1,1,11:29.0,,K. Thompson misses 3-pt jump shot from 26 ft,0,0
2,1,11:29.0,,Offensive rebound by Z. Pachulia,0,0
3,1,11:24.0,,Turnover by S. Curry (bad pass; steal by T. Allen),0,0
4,1,11:22.0,T. Allen makes 2-pt layup from 2 ft,,2,0
5,1,11:08.0,,D. Green makes 3-pt jump shot from 27 ft (assist by S. Curry),2,3
6,1,10:54.0,Turnover by M. Conley (lost ball; steal by P. McCaw),,2,3
7,1,10:45.0,,P. McCaw misses 2-pt layup from 1 ft,2,3
8,1,10:44.0,Defensive rebound by J. Green,,2,3
9,1,10:25.0,Z. Randolph makes 2-pt jump shot from 18 ft (assist by M. Conley),,4,3
10,1,10:16.0,,S. Curry misses 3-pt jump shot from 29 ft,4,3
11,1,10:16.0,Defensive rebound by Z. Randolph,,4,3
12,1,10:07.0,Turnover by T. Allen (bad pass; steal by D. Green),,4,3
13,1,9:55.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by K. Thompson),4,6
14,1,9:27.0,Z. Randolph makes 2-pt hook shot from 7 ft,,6,6
15,1,9:11.0,,Z. Pachulia makes 2-pt jump shot from 5 ft (assist by D. Green),6,8
16,1,8:58.0,M. Conley misses 3-pt jump shot from 26 ft,,6,8
17,1,8:57.0,,Defensive rebound by S. Curry,6,8
18,1,8:48.0,,S. Curry misses 2-pt layup from 2 ft,6,8
19,1,8:48.0,,Offensive rebound by Z. Pachulia,6,8
20,1,8:43.0,,K. Thompson misses 3-pt jump shot from 26 ft,6,8
21,1,8:43.0,Defensive rebound by V. Carter,,6,8
22,1,8:27.0,T. Allen misses 2-pt jump shot from 8 ft,,6,8
23,1,8:26.0,,Defensive rebound by K. Thompson,6,8
24,1,8:20.0,,D. Green misses 3-pt jump shot from 27 ft,6,8
25,1,8:18.0,Defensive rebound by Team,,6,8
26,1,7:56.0,Turnover by M. Conley (lost ball; steal by S. Curry),,6,8
27,1,7:51.0,,D. Green makes 2-pt dunk at rim (assist by S. Curry),6,10
28,1,7:27.0,V. Carter misses 2-pt jump shot from 10 ft,,6,10
29,1,7:27.0,Offensive rebound by Team,,6,10
30,1,7:27.0,,Loose ball foul by D. Green (drawn by Z. Randolph),6,10
31,1,7:19.0,J. Green makes 2-pt dunk at rim (assist by M. Conley),,8,10
32,1,7:19.0,Shooting foul by P. McCaw (drawn by J. Green),,8,10
33,1,7:19.0,J. Green misses free throw 1 of 1,,8,10
34,1,7:18.0,,Defensive rebound by D. Green,8,10
35,1,7:11.0,Offensive charge foul by Z. Pachulia (drawn by V. Carter),,8,10
36,1,7:11.0,,Turnover by Z. Pachulia (offensive foul),8,10
37,1,6:55.0,J. Green misses 3-pt jump shot from 24 ft,,8,10
38,1,6:55.0,,Defensive rebound by Z. Pachulia,8,10
39,1,6:49.0,,S. Curry misses 3-pt jump shot from 27 ft,8,10
40,1,6:48.0,Defensive rebound by T. Allen,,8,10
41,1,6:38.0,T. Allen misses 2-pt layup from 2 ft,,8,10
42,1,6:37.0,Offensive rebound by J. Green,,8,10
43,1,6:37.0,J. Green makes 2-pt dunk at rim,,10,10
44,1,6:28.0,,Golden State full timeout,10,10
45,1,6:15.0,,K. Thompson misses 2-pt jump shot from 15 ft,10,10
46,1,6:15.0,Defensive rebound by J. Green,,10,10
47,1,5:51.0,Turnover by Team (shot clock),,10,10
48,1,5:51.0,,A. Iguodala enters the game for D. Green,10,10
49,1,5:51.0,A. Harrison enters the game for M. Conley,,10,10
50,1,5:35.0,,Turnover by S. Curry (bad pass),10,10
51,1,5:35.0,,S. Livingston enters the game for P. McCaw,10,10
52,1,5:19.0,T. Allen makes 2-pt layup from 1 ft (assist by Z. Randolph),,12,10
53,1,5:05.0,,A. Iguodala makes 3-pt jump shot from 27 ft (assist by S. Curry),12,13
54,1,4:50.0,J. Green makes 2-pt jump shot from 17 ft (assist by T. Allen),,14,13
55,1,4:36.0,,S. Curry misses 3-pt jump shot from 27 ft,14,13
56,1,4:35.0,,Offensive rebound by Z. Pachulia,14,13
57,1,4:32.0,,Personal foul by J. Green (drawn by Z. Pachulia),14,13
58,1,4:32.0,,J. McGee enters the game for Z. Pachulia,14,13
59,1,4:32.0,J. Ennis enters the game for J. Green,,14,13
60,1,4:28.0,,K. Thompson makes 2-pt jump shot from 23 ft (assist by S. Curry),14,15
61,1,4:13.0,V. Carter misses 3-pt jump shot from 25 ft,,14,15
62,1,4:13.0,Offensive rebound by J. Ennis,,14,15
63,1,3:52.0,A. Harrison misses 3-pt jump shot from 26 ft,,14,15
64,1,3:50.0,Offensive rebound by V. Carter,,14,15
65,1,3:50.0,V. Carter makes 2-pt dunk at rim,,16,15
66,1,3:40.0,,K. Thompson misses 3-pt jump shot from 26 ft,16,15
67,1,3:40.0,Defensive rebound by Z. Randolph,,16,15
68,1,3:40.0,Personal foul by J. McGee (drawn by Z. Randolph),,16,15
69,1,3:40.0,,D. Green enters the game for K. Thompson,16,15
70,1,3:22.0,Z. Randolph makes 2-pt jump shot from 19 ft (assist by T. Allen),,18,15
71,1,3:09.0,,J. McGee misses 2-pt jump shot from 7 ft,18,15
72,1,3:08.0,Defensive rebound by A. Harrison,,18,15
73,1,2:58.0,A. Harrison makes 3-pt jump shot from 26 ft (assist by V. Carter),,21,15
74,1,2:45.0,M. Conley enters the game for T. Allen,,21,15
75,1,2:45.0,Memphis full timeout,,21,15
76,1,2:36.0,,S. Livingston makes 2-pt jump shot from 10 ft,21,17
77,1,2:15.0,J. Ennis misses 3-pt jump shot from 26 ft,,21,17
78,1,2:14.0,,Defensive rebound by S. Livingston,21,17
79,1,2:09.0,,J. McGee makes 2-pt layup from 2 ft (assist by A. Iguodala),21,19
80,1,2:09.0,,Shooting foul by J. Ennis (drawn by J. McGee),21,19
81,1,2:09.0,B. Wright enters the game for Z. Randolph,,21,19
82,1,2:09.0,J. Green enters the game for V. Carter,,21,19
83,1,2:09.0,,J. McGee makes free throw 1 of 1,21,20
84,1,1:47.0,J. Green makes 2-pt dunk at rim (assist by A. Harrison),,23,20
85,1,1:36.0,,D. Green misses 2-pt jump shot from 5 ft,23,20
86,1,1:35.0,,Offensive rebound by J. McGee,23,20
87,1,1:23.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by S. Livingston),23,23
88,1,1:00.0,J. Ennis makes 2-pt layup from 2 ft (assist by A. Harrison),,25,23
89,1,0:46.0,,A. Iguodala makes 2-pt dunk at rim (assist by S. Livingston),25,25
90,1,0:27.0,M. Conley makes 3-pt jump shot from 25 ft,,28,25
91,1,0:08.0,,S. Curry misses 3-pt jump shot from 26 ft,28,25
92,1,0:07.0,Defensive rebound by J. Ennis,,28,25
93,2,11:44.0,,Turnover by D. West (lost ball; steal by B. Wright),28,25
94,2,11:38.0,M. Conley misses 2-pt jump shot from 21 ft,,28,25
95,2,11:37.0,,Defensive rebound by Team,28,25
96,2,11:21.0,,Turnover by D. West (bad pass; steal by J. Ennis),28,25
97,2,11:16.0,B. Wright makes 2-pt dunk at rim (assist by J. Ennis),,30,25
98,2,11:05.0,,Personal foul by A. Harrison (drawn by K. Thompson),30,25
99,2,11:01.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by A. Iguodala),30,28
100,2,10:45.0,Shooting foul by K. Thompson (drawn by M. Conley),,30,28
101,2,10:45.0,M. Conley makes free throw 1 of 2,,31,28
102,2,10:45.0,M. Conley makes free throw 2 of 2,,32,28
103,2,10:24.0,Violation by M. Conley (kicked ball),,32,28
104,2,10:21.0,,K. Thompson misses 2-pt jump shot from 19 ft,32,28
105,2,10:21.0,Defensive rebound by J. Ennis,,32,28
106,2,10:12.0,Turnover by M. Conley (bad pass; steal by A. Iguodala),,32,28
107,2,10:06.0,,A. Iguodala makes 2-pt jump shot from 4 ft,32,30
108,2,9:46.0,Personal foul by I. Clark (drawn by M. Conley),,32,30
109,2,9:46.0,M. Conley makes free throw 1 of 3,,33,30
110,2,9:46.0,M. Conley makes free throw 2 of 3,,34,30
111,2,9:46.0,T. Allen enters the game for A. Harrison,,34,30
112,2,9:46.0,M. Conley makes free throw 3 of 3,,35,30
113,2,9:30.0,,Shooting foul by T. Allen (drawn by D. West),35,30
114,2,9:30.0,,D. West makes free throw 1 of 2,35,31
115,2,9:30.0,,D. West misses free throw 2 of 2,35,31
116,2,9:30.0,V. Carter enters the game for J. Ennis,,35,31
117,2,9:28.0,Defensive rebound by J. Green,,35,31
118,2,9:06.0,J. Green makes 2-pt jump shot from 19 ft (assist by T. Allen),,37,31
119,2,8:39.0,,A. Iguodala misses 2-pt jump shot from 14 ft,37,31
120,2,8:38.0,,Offensive rebound by D. West,37,31
121,2,8:38.0,,D. West misses 2-pt layup from 3 ft,37,31
122,2,8:36.0,Defensive rebound by Team,,37,31
123,2,8:36.0,Official timeout,,37,31
124,2,8:13.0,B. Wright misses 2-pt jump shot from 3 ft,,37,31
