,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,CHICAGO_ACTION,MEMPHIS_SCORE,CHICAGO_SCORE
0,1,11:40.0,,R. Rondo makes 2-pt layup from 2 ft (assist by D. Wade),0,2
1,1,11:20.0,V. Carter makes 2-pt jump shot from 18 ft (assist by T. Allen),,2,2
2,1,10:55.0,,R. Rondo misses 2-pt layup from 2 ft,2,2
3,1,10:54.0,Defensive rebound by M. Conley,,2,2
4,1,10:39.0,M. Gasol misses 3-pt jump shot from 24 ft,,2,2
5,1,10:38.0,,Defensive rebound by J. Butler,2,2
6,1,10:27.0,,J. Butler misses 3-pt jump shot from 25 ft,2,2
7,1,10:26.0,Defensive rebound by M. Gasol,,2,2
8,1,10:17.0,T. Allen misses 2-pt layup from 2 ft,,2,2
9,1,10:12.0,Offensive rebound by T. Allen,,2,2
10,1,10:02.0,T. Allen makes 2-pt layup from 2 ft (assist by J. Green),,4,2
11,1,9:53.0,,R. Rondo misses 2-pt jump shot from 7 ft,4,2
12,1,9:52.0,Defensive rebound by M. Gasol,,4,2
13,1,9:50.0,Shooting foul by B. Portis (drawn by T. Allen),,4,2
14,1,9:50.0,T. Allen makes free throw 1 of 2,,5,2
15,1,9:50.0,T. Allen makes free throw 2 of 2,,6,2
16,1,9:37.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by R. Rondo),6,4
17,1,9:24.0,M. Conley makes 2-pt jump shot from 21 ft (assist by T. Allen),,8,4
18,1,9:16.0,,D. Wade makes 2-pt layup from 3 ft,8,6
19,1,9:07.0,T. Allen makes 2-pt layup from 2 ft,,10,6
20,1,8:51.0,,J. Butler misses 2-pt jump shot from 5 ft,10,6
21,1,8:50.0,Defensive rebound by M. Conley,,10,6
22,1,8:38.0,V. Carter misses 2-pt layup from 3 ft (block by J. Butler),,10,6
23,1,8:36.0,,Defensive rebound by D. Wade,10,6
24,1,8:33.0,,Turnover by D. Wade (lost ball; steal by J. Green),10,6
25,1,8:20.0,M. Gasol misses 2-pt jump shot from 10 ft,,10,6
26,1,8:19.0,,Defensive rebound by R. Rondo,10,6
