,QUARTER,TIME_REMAINING,BOSTON_ACTION,PORTLAND_ACTION,BOSTON_SCORE,PORTLAND_SCORE
0,1,11:47.0,,Turnover by M. Plumlee (bad pass; steal by M. Smart),0,0
1,1,11:40.0,J. Brown makes 3-pt jump shot from 25 ft (assist by M. Smart),,3,0
2,1,11:23.0,,D. Lillard misses 3-pt jump shot from 26 ft,3,0
3,1,11:22.0,Defensive rebound by J. Brown,,3,0
4,1,11:07.0,A. Horford misses 2-pt layup from 2 ft,,3,0
5,1,11:07.0,,Defensive rebound by N. Vonleh,3,0
6,1,10:58.0,,D. Lillard makes 2-pt jump shot from 22 ft,3,2
7,1,10:33.0,I. Thomas misses 3-pt jump shot from 25 ft,,3,2
8,1,10:33.0,,Defensive rebound by D. Lillard,3,2
9,1,10:20.0,,C. McCollum makes 2-pt jump shot from 14 ft,3,4
10,1,9:58.0,A. Horford makes 2-pt jump shot from 12 ft,,5,4
11,1,9:43.0,,Shooting foul by A. Horford (drawn by M. Plumlee),5,4
12,1,9:43.0,,M. Plumlee misses free throw 1 of 2,5,4
13,1,9:43.0,,Offensive rebound by Team,5,4
14,1,9:43.0,,M. Plumlee makes free throw 2 of 2,5,5
15,1,9:25.0,Turnover by A. Horford (lost ball; steal by M. Harkless),,5,5
16,1,9:19.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by N. Vonleh),5,7
17,1,9:03.0,I. Thomas misses 3-pt jump shot from 26 ft (block by M. Harkless),,5,7
18,1,8:59.0,Offensive rebound by A. Horford,,5,7
19,1,8:55.0,I. Thomas misses 2-pt layup from 2 ft (block by N. Vonleh),,5,7
20,1,8:53.0,,Defensive rebound by M. Harkless,5,7
21,1,8:52.0,,Personal foul by J. Brown (drawn by M. Plumlee),5,7
22,1,8:52.0,,M. Plumlee makes free throw 1 of 2,5,8
23,1,8:52.0,,M. Plumlee misses free throw 2 of 2,5,8
24,1,8:31.0,Defensive rebound by J. Brown,,5,8
25,1,8:30.0,A. Horford misses 2-pt jump shot from 11 ft,,5,8
26,1,8:28.0,,Defensive rebound by N. Vonleh,5,8
27,1,8:17.0,,M. Plumlee misses 2-pt layup from 1 ft,5,8
28,1,8:13.0,Defensive rebound by A. Johnson,,5,8
