,QUARTER,TIME_REMAINING,UTAH_ACTION,CHARLOTTE_ACTION,UTAH_SCORE,CHARLOTTE_SCORE
0,1,11:35.0,Turnover by S. Mack (bad pass; steal by M. Kidd-Gilchrist),,0,0
1,1,11:30.0,,Shooting foul by D. Favors (drawn by N. Batum),0,0
2,1,11:30.0,,N. Batum makes free throw 1 of 2,0,1
3,1,11:30.0,,N. Batum misses free throw 2 of 2,0,1
4,1,11:28.0,Defensive rebound by R. Gobert,,0,1
5,1,11:21.0,Turnover by G. Hayward (bad pass; steal by K. Walker),,0,1
6,1,11:09.0,,K. Walker makes 2-pt jump shot from 17 ft,0,3
7,1,10:53.0,R. Hood misses 3-pt jump shot from 25 ft,,0,3
8,1,10:52.0,,Defensive rebound by M. Williams,0,3
9,1,10:43.0,,Shooting foul by R. Gobert (drawn by C. Zeller),0,3
10,1,10:43.0,,C. Zeller makes free throw 1 of 2,0,4
11,1,10:43.0,,C. Zeller misses free throw 2 of 2,0,4
12,1,10:41.0,Defensive rebound by R. Gobert,,0,4
13,1,10:17.0,S. Mack misses 3-pt jump shot from 23 ft,,0,4
14,1,10:16.0,,Defensive rebound by M. Kidd-Gilchrist,0,4
15,1,10:08.0,,Turnover by M. Kidd-Gilchrist (bad pass; steal by S. Mack),0,4
16,1,9:59.0,D. Favors misses 2-pt jump shot from 17 ft,,0,4
17,1,9:57.0,Offensive rebound by S. Mack,,0,4
18,1,9:54.0,S. Mack makes 2-pt jump shot from 6 ft,,2,4
19,1,9:34.0,,K. Walker makes 3-pt jump shot from 24 ft,2,7
20,1,9:16.0,G. Hayward makes 3-pt jump shot from 25 ft,,5,7
21,1,9:01.0,,K. Walker misses 3-pt jump shot from 25 ft,5,7
22,1,9:00.0,Defensive rebound by R. Hood,,5,7
23,1,8:44.0,D. Favors makes 2-pt jump shot from 12 ft (assist by R. Hood),,7,7
24,1,8:32.0,,C. Zeller misses 2-pt layup at rim,7,7
25,1,8:31.0,Defensive rebound by S. Mack,,7,7
26,1,8:22.0,D. Favors makes 2-pt jump shot from 12 ft (assist by G. Hayward),,9,7
27,1,8:08.0,,Shooting foul by R. Hood (drawn by N. Batum),9,7
28,1,8:08.0,,N. Batum misses free throw 1 of 3,9,7
29,1,8:08.0,,Offensive rebound by Team,9,7
30,1,8:08.0,,N. Batum makes free throw 2 of 3,9,8
31,1,8:08.0,,N. Batum makes free throw 3 of 3,9,9
32,1,7:53.0,R. Gobert makes 2-pt dunk at rim (assist by S. Mack),,11,9
33,1,7:37.0,,N. Batum makes 2-pt jump shot from 19 ft (assist by C. Zeller),11,11
34,1,7:22.0,Turnover by R. Hood (bad pass; steal by K. Walker),,11,11
35,1,7:21.0,,Personal foul by S. Mack (drawn by K. Walker),11,11
36,1,7:13.0,,N. Batum misses 3-pt jump shot from 25 ft,11,11
37,1,7:11.0,Defensive rebound by R. Hood,,11,11
38,1,7:03.0,Shooting foul by C. Zeller (drawn by R. Gobert),,11,11
39,1,7:03.0,R. Gobert makes free throw 1 of 2,,12,11
40,1,7:03.0,R. Gobert makes free throw 2 of 2,,13,11
41,1,6:48.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Walker),13,14
42,1,6:35.0,G. Hayward misses 3-pt jump shot from 25 ft,,13,14
43,1,6:34.0,,Defensive rebound by C. Zeller,13,14
44,1,6:28.0,,K. Walker misses 2-pt layup from 2 ft (block by D. Favors),13,14
45,1,6:27.0,Defensive rebound by G. Hayward,,13,14
46,1,6:17.0,G. Hayward makes 2-pt layup from 1 ft,,15,14
47,1,6:17.0,Shooting foul by K. Walker (drawn by G. Hayward),,15,14
48,1,6:17.0,G. Hayward makes free throw 1 of 1,,16,14
49,1,6:04.0,,M. Williams misses 3-pt jump shot from 25 ft,16,14
50,1,6:02.0,Defensive rebound by R. Gobert,,16,14
51,1,5:49.0,D. Favors misses 2-pt layup from 1 ft (block by C. Zeller),,16,14
52,1,5:49.0,Offensive rebound by R. Gobert,,16,14
53,1,5:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by R. Gobert),,16,14
54,1,5:49.0,,Charlotte full timeout,16,14
55,1,5:49.0,R. Gobert misses free throw 1 of 2,,16,14
56,1,5:49.0,Offensive rebound by Team,,16,14
57,1,5:49.0,J. Ingles enters the game for R. Hood,,16,14
58,1,5:49.0,R. Gobert makes free throw 2 of 2,,17,14
59,1,5:26.0,,Offensive foul by M. Williams (drawn by J. Ingles),17,14
60,1,5:26.0,,Turnover by M. Williams (offensive foul),17,14
61,1,5:04.0,G. Hayward makes 2-pt jump shot from 7 ft,,19,14
62,1,4:46.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,19,14
63,1,4:45.0,Defensive rebound by D. Favors,,19,14
64,1,4:31.0,S. Mack misses 3-pt jump shot from 23 ft,,19,14
65,1,4:30.0,Offensive rebound by R. Gobert,,19,14
66,1,4:23.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by J. Ingles),,22,14
67,1,4:10.0,,Charlotte full timeout,22,14
68,1,4:10.0,,F. Kaminsky enters the game for M. Kidd-Gilchrist,22,14
69,1,4:10.0,,M. Belinelli enters the game for M. Williams,22,14
70,1,4:03.0,,K. Walker misses 2-pt jump shot from 18 ft,22,14
71,1,4:02.0,Defensive rebound by G. Hayward,,22,14
72,1,3:52.0,D. Favors makes 2-pt jump shot from 17 ft (assist by G. Hayward),,24,14
73,1,3:31.0,D. Exum enters the game for S. Mack,,24,14
74,1,3:31.0,T. Lyles enters the game for D. Favors,,24,14
75,1,3:27.0,,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),24,16
76,1,3:08.0,T. Lyles makes 2-pt layup at rim (assist by G. Hayward),,26,16
77,1,2:50.0,,C. Zeller makes 2-pt dunk at rim,26,18
78,1,2:36.0,T. Lyles makes 2-pt jump shot from 19 ft (assist by D. Exum),,28,18
79,1,2:20.0,,C. Zeller makes 2-pt jump shot from 20 ft,28,20
80,1,1:57.0,T. Lyles misses 3-pt jump shot from 25 ft,,28,20
81,1,1:55.0,,Defensive rebound by K. Walker,28,20
82,1,1:47.0,,N. Batum misses 3-pt jump shot from 24 ft,28,20
83,1,1:46.0,Defensive rebound by T. Lyles,,28,20
84,1,1:35.0,Shooting foul by F. Kaminsky (drawn by J. Ingles),,28,20
85,1,1:35.0,Utah full timeout,,28,20
86,1,1:35.0,J. Ingles makes free throw 1 of 2,,29,20
87,1,1:35.0,,R. Sessions enters the game for C. Zeller,28,20
88,1,1:35.0,,S. Hawes enters the game for K. Walker,28,20
89,1,1:35.0,J. Withey enters the game for R. Gobert,,28,20
90,1,1:35.0,J. Ingles makes free throw 2 of 2,,30,20
91,1,1:18.0,,F. Kaminsky makes 2-pt layup from 1 ft,30,22
92,1,1:05.0,G. Hayward makes 2-pt dunk at rim (assist by J. Ingles),,32,22
93,1,0:47.0,,F. Kaminsky misses 2-pt jump shot from 6 ft,32,22
