,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CLEVELAND_ACTION,LA LAKERS_SCORE,CLEVELAND_SCORE
0,1,11:45.0,,K. Love makes 2-pt hook shot from 7 ft (assist by L. James),0,2
1,1,11:29.0,B. Ingram misses 2-pt jump shot from 11 ft,,0,2
2,1,11:27.0,,Defensive rebound by K. Love,0,2
3,1,11:20.0,,K. Love misses 3-pt jump shot from 25 ft,0,2
4,1,11:19.0,Defensive rebound by T. Mozgov,,0,2
5,1,11:11.0,L. Deng makes 2-pt jump shot from 13 ft (assist by J. Randle),,2,2
6,1,10:52.0,,K. Irving misses 2-pt jump shot from 14 ft,2,2
7,1,10:52.0,,Offensive rebound by T. Thompson,2,2
8,1,10:46.0,,K. Irving misses 3-pt jump shot from 23 ft,2,2
9,1,10:45.0,Defensive rebound by T. Mozgov,,2,2
10,1,10:33.0,N. Young makes 2-pt layup from 1 ft,,4,2
11,1,10:22.0,,K. Love misses 3-pt jump shot from 25 ft,4,2
12,1,10:21.0,Defensive rebound by B. Ingram,,4,2
13,1,10:07.0,T. Mozgov makes 2-pt hook shot at rim (assist by N. Young),,6,2
14,1,9:50.0,,Turnover by K. Love (bad pass),6,2
15,1,9:36.0,N. Young makes 2-pt jump shot from 18 ft (assist by J. Randle),,8,2
16,1,9:13.0,,L. James misses 2-pt jump shot from 13 ft,8,2
17,1,9:12.0,Defensive rebound by N. Young,,8,2
18,1,8:54.0,Turnover by J. Randle (lost ball),,8,2
19,1,8:34.0,,K. Love makes 2-pt jump shot from 16 ft (assist by K. Irving),8,4
20,1,8:18.0,L. Deng misses 3-pt jump shot from 25 ft,,8,4
21,1,8:17.0,,Defensive rebound by K. Love,8,4
22,1,8:11.0,,T. Thompson misses 2-pt jump shot from 7 ft,8,4
23,1,8:10.0,Defensive rebound by Team,,8,4
24,1,7:53.0,N. Young misses 3-pt jump shot from 27 ft,,8,4
25,1,7:52.0,Offensive rebound by J. Randle,,8,4
26,1,7:35.0,Turnover by T. Mozgov (lost ball; steal by L. James),,8,4
27,1,7:28.0,,L. James makes 2-pt dunk at rim (assist by T. Thompson),8,6
28,1,7:17.0,N. Young misses 2-pt jump shot from 14 ft,,8,6
29,1,7:15.0,Offensive rebound by T. Mozgov,,8,6
30,1,7:13.0,B. Ingram misses 2-pt jump shot from 17 ft,,8,6
31,1,7:12.0,,Defensive rebound by K. Love,8,6
32,1,7:01.0,,Turnover by L. James (bad pass; steal by T. Mozgov),8,6
33,1,6:55.0,J. Randle makes 2-pt layup from 1 ft,,10,6
34,1,6:40.0,,K. Irving makes 2-pt jump shot from 20 ft,10,8
35,1,6:19.0,J. Randle misses 2-pt jump shot from 20 ft,,10,8
36,1,6:19.0,,Defensive rebound by K. Love,10,8
37,1,6:10.0,,K. Love misses 3-pt jump shot from 25 ft,10,8
38,1,6:10.0,Defensive rebound by L. Deng,,10,8
39,1,5:59.0,J. Randle makes 2-pt jump shot from 11 ft (assist by L. Deng),,12,8
40,1,5:48.0,,T. Thompson makes 2-pt jump shot from 7 ft (assist by K. Irving),12,10
41,1,5:39.0,J. Randle makes 2-pt jump shot from 8 ft,,14,10
42,1,5:31.0,,Turnover by J. Smith (illegal screen),14,10
43,1,5:31.0,,Cleveland full timeout,14,10
44,1,5:20.0,B. Ingram makes 2-pt dunk at rim (assist by L. Deng),,16,10
45,1,5:04.0,,J. Smith misses 2-pt jump shot from 21 ft,16,10
46,1,5:04.0,Defensive rebound by J. Randle,,16,10
47,1,4:57.0,N. Young misses 3-pt jump shot from 24 ft,,16,10
48,1,4:54.0,,Defensive rebound by K. Irving,16,10
49,1,4:50.0,,J. Smith makes 2-pt dunk at rim (assist by K. Irving),16,12
50,1,4:32.0,T. Mozgov misses 2-pt jump shot from 11 ft,,16,12
51,1,4:30.0,,Defensive rebound by T. Thompson,16,12
52,1,4:26.0,,Personal foul by J. Randle (drawn by K. Love),16,12
53,1,4:26.0,J. Clarkson enters the game for L. Deng,,16,12
54,1,4:26.0,L. Nance enters the game for T. Mozgov,,16,12
55,1,4:13.0,,K. Irving misses 2-pt jump shot from 8 ft,16,12
56,1,4:11.0,Defensive rebound by B. Ingram,,16,12
57,1,4:03.0,J. Clarkson makes 2-pt jump shot from 10 ft (assist by B. Ingram),,18,12
