,QUARTER,TIME_REMAINING,ORLANDO_ACTION,WASHINGTON_ACTION,ORLANDO_SCORE,WASHINGTON_SCORE
0,1,11:32.0,S. Ibaka makes 2-pt jump shot from 20 ft,,2,0
1,1,11:13.0,,O. Porter misses 3-pt jump shot from 26 ft,2,0
2,1,11:12.0,Defensive rebound by S. Ibaka,,2,0
3,1,11:00.0,D. Augustin makes 2-pt jump shot from 6 ft,,4,0
4,1,11:00.0,Shooting foul by J. Wall (drawn by D. Augustin),,4,0
5,1,11:00.0,D. Augustin makes free throw 1 of 1,,5,0
6,1,10:51.0,,M. Gortat misses 2-pt dunk at rim,5,0
7,1,10:49.0,Defensive rebound by B. Biyombo,,5,0
8,1,10:30.0,S. Ibaka misses 2-pt jump shot from 5 ft,,5,0
9,1,10:29.0,,Defensive rebound by M. Gortat,5,0
10,1,10:18.0,,M. Morris misses 2-pt jump shot from 11 ft,5,0
11,1,10:17.0,,Offensive rebound by M. Gortat,5,0
12,1,10:15.0,,M. Gortat misses 2-pt jump shot from 8 ft,5,0
13,1,10:14.0,Defensive rebound by A. Gordon,,5,0
14,1,10:05.0,B. Biyombo makes 2-pt hook shot from 6 ft (assist by A. Gordon),,7,0
15,1,9:50.0,,O. Porter makes 2-pt jump shot from 19 ft (assist by J. Wall),7,2
16,1,9:29.0,E. Fournier misses 2-pt jump shot from 19 ft,,7,2
17,1,9:28.0,,Defensive rebound by M. Morris,7,2
18,1,9:20.0,,J. Wall makes 2-pt jump shot from 19 ft,7,4
19,1,8:56.0,S. Ibaka makes 2-pt jump shot from 16 ft,,9,4
20,1,8:48.0,,Turnover by J. Wall (bad pass),9,4
21,1,8:24.0,S. Ibaka misses 2-pt jump shot from 17 ft,,9,4
22,1,8:24.0,Offensive rebound by Team,,9,4
23,1,8:24.0,Turnover by Team (shot clock),,9,4
24,1,8:12.0,,M. Morris misses 2-pt layup from 2 ft (block by A. Gordon),9,4
25,1,8:11.0,Defensive rebound by D. Augustin,,9,4
26,1,8:06.0,E. Fournier misses 3-pt jump shot from 26 ft,,9,4
27,1,8:03.0,,Defensive rebound by M. Gortat,9,4
