,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MEMPHIS_ACTION,PORTLAND_SCORE,MEMPHIS_SCORE
0,1,11:45.0,,Turnover by T. Williams (bad pass; steal by M. Plumlee),0,0
1,1,11:37.0,Turnover by C. McCollum (lost ball),,0,0
2,1,11:18.0,,A. Harrison misses 3-pt jump shot from 24 ft,0,0
3,1,11:18.0,Defensive rebound by E. Turner,,0,0
4,1,11:02.0,E. Turner misses 2-pt jump shot from 18 ft,,0,0
5,1,10:59.0,,Defensive rebound by J. Green,0,0
6,1,10:52.0,,M. Gasol misses 2-pt jump shot from 20 ft,0,0
7,1,10:49.0,Defensive rebound by E. Turner,,0,0
8,1,10:41.0,M. Plumlee misses 2-pt layup from 4 ft,,0,0
9,1,10:37.0,Offensive rebound by M. Plumlee,,0,0
10,1,10:37.0,M. Plumlee misses 2-pt layup from 2 ft,,0,0
11,1,10:35.0,,Defensive rebound by M. Gasol,0,0
12,1,10:31.0,,A. Harrison misses 3-pt jump shot from 24 ft,0,0
13,1,10:30.0,,Offensive rebound by M. Gasol,0,0
14,1,10:24.0,,Personal foul by D. Lillard (drawn by T. Allen),0,0
15,1,10:15.0,,J. Green makes 2-pt jump shot from 19 ft (assist by A. Harrison),0,2
16,1,9:58.0,Shooting foul by A. Harrison (drawn by D. Lillard),,0,2
17,1,9:58.0,D. Lillard makes free throw 1 of 2,,1,2
18,1,9:58.0,D. Lillard makes free throw 2 of 2,,2,2
19,1,9:37.0,,A. Harrison misses 2-pt layup from 2 ft,2,2
20,1,9:35.0,Defensive rebound by M. Leonard,,2,2
21,1,9:31.0,D. Lillard makes 3-pt jump shot from 24 ft,,5,2
22,1,9:12.0,,M. Gasol makes 2-pt jump shot from 12 ft (assist by J. Green),5,4
23,1,8:46.0,D. Lillard misses 3-pt jump shot from 25 ft,,5,4
24,1,8:45.0,,Defensive rebound by J. Green,5,4
25,1,8:31.0,,Shooting foul by M. Leonard (drawn by M. Gasol),5,4
26,1,8:31.0,,M. Gasol misses free throw 1 of 2,5,4
27,1,8:31.0,,Offensive rebound by Team,5,4
28,1,8:31.0,,M. Gasol makes free throw 2 of 2,5,5
29,1,8:07.0,M. Plumlee misses 2-pt layup from 1 ft,,5,5
30,1,8:05.0,,Defensive rebound by T. Williams,5,5
31,1,8:00.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by A. Harrison),5,8
32,1,7:44.0,Shooting foul by T. Williams (drawn by E. Turner),,5,8
33,1,7:44.0,E. Turner makes free throw 1 of 2,,6,8
34,1,7:44.0,E. Turner makes free throw 2 of 2,,7,8
35,1,7:27.0,,Turnover by J. Green (bad pass; steal by D. Lillard),7,8
36,1,7:20.0,D. Lillard misses 2-pt layup from 2 ft,,7,8
37,1,7:20.0,Offensive rebound by Team,,7,8
38,1,7:16.0,M. Leonard misses 2-pt hook shot from 3 ft,,7,8
39,1,7:15.0,,Defensive rebound by T. Williams,7,8
40,1,7:01.0,,M. Gasol makes 2-pt jump shot from 7 ft,7,10
41,1,6:58.0,,Violation by Team (jump ball),7,10
42,1,6:42.0,D. Lillard misses 2-pt jump shot from 24 ft,,7,10
43,1,6:41.0,,Defensive rebound by M. Gasol,7,10
44,1,6:33.0,,Personal foul by M. Plumlee (drawn by M. Gasol),7,10
45,1,6:26.0,,Shooting foul by C. McCollum (drawn by A. Harrison),7,10
46,1,6:26.0,,A. Harrison misses free throw 1 of 2,7,10
47,1,6:26.0,,Offensive rebound by Team,7,10
48,1,6:26.0,,A. Harrison makes free throw 2 of 2,7,11
49,1,6:19.0,Shooting foul by T. Allen (drawn by C. McCollum),,7,11
50,1,6:19.0,C. McCollum makes free throw 1 of 3,,8,11
51,1,6:19.0,C. McCollum makes free throw 2 of 3,,9,11
52,1,6:19.0,C. McCollum makes free throw 3 of 3,,10,11
53,1,6:03.0,,T. Allen misses 2-pt layup from 4 ft,10,11
54,1,6:02.0,,Offensive rebound by T. Allen,10,11
55,1,6:02.0,,Shooting foul by M. Leonard (drawn by T. Allen),10,11
56,1,6:02.0,,T. Allen makes free throw 1 of 2,10,12
57,1,6:02.0,,T. Allen misses free throw 2 of 2,10,12
58,1,6:01.0,Defensive rebound by M. Leonard,,10,12
59,1,5:49.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by M. Plumlee),,13,12
60,1,5:37.0,,J. Green misses 2-pt jump shot from 20 ft,13,12
61,1,5:36.0,Defensive rebound by D. Lillard,,13,12
62,1,5:29.0,D. Lillard makes 2-pt layup from 2 ft (assist by M. Plumlee),,15,12
63,1,5:12.0,,M. Gasol misses 2-pt jump shot from 14 ft,15,12
64,1,5:12.0,Defensive rebound by M. Leonard,,15,12
65,1,5:04.0,Turnover by D. Lillard (lost ball; steal by A. Harrison),,15,12
66,1,4:57.0,,T. Allen misses 2-pt layup from 2 ft,15,12
67,1,4:53.0,,Offensive rebound by T. Allen,15,12
68,1,4:53.0,,T. Allen makes 2-pt layup from 2 ft,15,14
69,1,4:36.0,D. Lillard misses 2-pt layup from 2 ft,,15,14
70,1,4:35.0,Offensive rebound by D. Lillard,,15,14
71,1,4:34.0,D. Lillard misses 2-pt layup from 2 ft,,15,14
72,1,4:33.0,,Defensive rebound by J. Green,15,14
73,1,4:29.0,,Memphis full timeout,15,14
74,1,4:29.0,,T. Daniels enters the game for T. Allen,15,14
75,1,4:29.0,,Z. Randolph enters the game for J. Green,15,14
76,1,4:29.0,A. Aminu enters the game for M. Leonard,,15,14
77,1,4:29.0,E. Davis enters the game for M. Plumlee,,15,14
78,1,4:29.0,A. Crabbe enters the game for C. McCollum,,15,14
79,1,4:20.0,,M. Gasol misses 2-pt hook shot from 7 ft,15,14
80,1,4:20.0,,Offensive rebound by Team,15,14
81,1,4:20.0,M. Plumlee enters the game for E. Turner,,15,14
82,1,4:07.0,,Z. Randolph misses 2-pt jump shot from 19 ft,15,14
83,1,4:06.0,Defensive rebound by A. Crabbe,,15,14
84,1,3:57.0,A. Crabbe misses 3-pt jump shot from 25 ft,,15,14
85,1,3:56.0,Offensive rebound by E. Davis,,15,14
86,1,3:40.0,A. Crabbe makes 2-pt jump shot from 15 ft (assist by A. Aminu),,17,14
87,1,3:40.0,Shooting foul by T. Daniels (drawn by A. Crabbe),,17,14
88,1,3:40.0,A. Crabbe misses free throw 1 of 1,,17,14
89,1,3:39.0,,Defensive rebound by M. Gasol,17,14
90,1,3:26.0,,A. Harrison misses 3-pt jump shot from 25 ft,17,14
91,1,3:26.0,Defensive rebound by M. Plumlee,,17,14
92,1,3:09.0,A. Aminu makes 2-pt jump shot from 22 ft,,19,14
93,1,2:59.0,,Memphis full timeout,19,14
94,1,2:59.0,J. Layman enters the game for M. Plumlee,,19,14
95,1,2:59.0,,D. Davis enters the game for M. Gasol,19,14
96,1,2:59.0,,W. Baldwin enters the game for T. Williams,19,14
97,1,2:59.0,,J. Martin enters the game for A. Harrison,19,14
98,1,2:51.0,,T. Daniels misses 2-pt jump shot from 21 ft,19,14
99,1,2:51.0,Defensive rebound by Team,,19,14
100,1,2:29.0,E. Davis misses 2-pt jump shot from 5 ft,,19,14
101,1,2:26.0,,Defensive rebound by Z. Randolph,19,14
102,1,2:11.0,,Z. Randolph misses 2-pt hook shot from 4 ft,19,14
103,1,2:10.0,Defensive rebound by A. Crabbe,,19,14
104,1,1:59.0,J. Layman misses 2-pt jump shot from 9 ft,,19,14
105,1,1:57.0,,Defensive rebound by Z. Randolph,19,14
106,1,1:56.0,,Turnover by W. Baldwin (offensive foul),19,14
107,1,1:56.0,Offensive charge foul by W. Baldwin (drawn by J. Layman),,19,14
108,1,1:39.0,J. Layman misses 3-pt jump shot from 24 ft,,19,14
109,1,1:37.0,Offensive rebound by E. Davis,,19,14
110,1,1:37.0,E. Davis misses 2-pt layup from 1 ft,,19,14
111,1,1:34.0,,Defensive rebound by D. Davis,19,14
112,1,1:22.0,,Z. Randolph misses 2-pt layup from 3 ft (block by E. Davis),19,14
113,1,1:17.0,,Offensive rebound by Z. Randolph,19,14
114,1,1:15.0,,T. Daniels misses 3-pt jump shot from 23 ft,19,14
115,1,1:14.0,Defensive rebound by E. Davis,,19,14
116,1,1:12.0,Personal foul by D. Davis (drawn by D. Lillard),,19,14
117,1,1:12.0,D. Lillard makes free throw 1 of 2,,20,14
118,1,1:12.0,D. Lillard misses free throw 2 of 2,,20,14
119,1,1:10.0,,Defensive rebound by Z. Randolph,20,14
120,1,0:52.0,,Turnover by W. Baldwin (bad pass; steal by A. Aminu),20,14
121,1,0:36.0,J. Layman misses 3-pt jump shot from 25 ft,,20,14
122,1,0:35.0,,Defensive rebound by D. Davis,20,14
123,1,0:16.0,,T. Daniels misses 2-pt jump shot from 21 ft,20,14
124,1,0:15.0,Defensive rebound by A. Crabbe,,20,14
125,1,0:01.0,D. Lillard makes 2-pt jump shot from 7 ft,,22,14
126,2,11:45.0,C. McCollum makes 2-pt jump shot from 18 ft (assist by E. Davis),,24,14
127,2,11:23.0,,J. Martin makes 2-pt layup from 2 ft (assist by Z. Randolph),24,16
128,2,11:10.0,C. McCollum makes 2-pt jump shot from 7 ft,,26,16
129,2,10:51.0,,T. Douglas makes 3-pt jump shot from 24 ft,26,19
130,2,10:30.0,A. Aminu misses 3-pt jump shot from 25 ft,,26,19
131,2,10:29.0,Offensive rebound by J. Layman,,26,19
132,2,10:26.0,J. Layman misses 2-pt jump shot from 8 ft,,26,19
133,2,10:26.0,,Defensive rebound by Team,26,19
134,2,10:26.0,Loose ball foul by E. Davis (drawn by D. Davis),,26,19
135,2,10:10.0,,T. Daniels misses 2-pt jump shot from 16 ft,26,19
136,2,10:09.0,Defensive rebound by A. Aminu,,26,19
137,2,9:58.0,E. Davis makes 2-pt layup from 4 ft (assist by C. McCollum),,28,19
138,2,9:41.0,,Z. Randolph makes 2-pt layup from 4 ft,28,21
139,2,9:27.0,Shooting foul by Z. Randolph (drawn by A. Aminu),,28,21
140,2,9:27.0,A. Aminu misses free throw 1 of 2,,28,21
141,2,9:27.0,Offensive rebound by Team,,28,21
142,2,9:27.0,A. Aminu makes free throw 2 of 2,,29,21
143,2,9:07.0,,Z. Randolph misses 2-pt jump shot from 15 ft,29,21
144,2,9:05.0,Defensive rebound by A. Aminu,,29,21
145,2,8:54.0,A. Aminu misses 3-pt jump shot from 25 ft,,29,21
146,2,8:53.0,,Defensive rebound by Z. Randolph,29,21
147,2,8:43.0,,T. Douglas misses 2-pt jump shot from 9 ft,29,21
148,2,8:41.0,Defensive rebound by A. Aminu,,29,21
149,2,8:35.0,A. Aminu misses 2-pt jump shot from 4 ft (block by D. Davis),,29,21
150,2,8:35.0,Offensive rebound by Team,,29,21
151,2,8:35.0,Portland full timeout,,29,21
152,2,8:35.0,,M. Gasol enters the game for D. Davis,29,21
153,2,8:35.0,E. Turner enters the game for A. Aminu,,29,21
154,2,8:35.0,M. Leonard enters the game for J. Layman,,29,21
155,2,8:24.0,E. Turner makes 2-pt jump shot from 7 ft,,31,21
156,2,8:03.0,,M. Gasol misses 2-pt hook shot from 8 ft,31,21
157,2,8:01.0,Defensive rebound by M. Leonard,,31,21
158,2,7:45.0,Shooting foul by J. Martin (drawn by E. Turner),,31,21
159,2,7:45.0,E. Turner makes free throw 1 of 2,,32,21
160,2,7:45.0,E. Turner misses free throw 2 of 2,,32,21
