,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DENVER_ACTION,OKLAHOMA CITY_SCORE,DENVER_SCORE
0,1,11:43.0,S. Adams makes 2-pt jump shot from 7 ft (assist by R. Westbrook),,2,0
1,1,11:26.0,,J. Nurkić misses 2-pt jump shot from 5 ft,2,0
2,1,11:25.0,Defensive rebound by D. Sabonis,,2,0
3,1,11:19.0,A. Roberson makes 2-pt layup from 2 ft (assist by R. Westbrook),,4,0
4,1,10:57.0,,E. Mudiay misses 2-pt jump shot from 5 ft,4,0
5,1,10:56.0,Defensive rebound by R. Westbrook,,4,0
6,1,10:45.0,V. Oladipo makes 2-pt jump shot from 19 ft (assist by R. Westbrook),,6,0
7,1,10:33.0,,J. Nelson makes 2-pt layup from 2 ft (assist by J. Nurkić),6,2
8,1,10:14.0,S. Adams makes 2-pt hook shot from 6 ft (assist by D. Sabonis),,8,2
9,1,9:58.0,,W. Chandler makes 2-pt jump shot from 2 ft (assist by J. Nurkić),8,4
10,1,9:36.0,S. Adams misses 2-pt jump shot from 4 ft (block by W. Chandler),,8,4
11,1,9:34.0,,Defensive rebound by J. Nurkić,8,4
12,1,9:32.0,,J. Nelson makes 2-pt layup from 2 ft,8,6
13,1,9:32.0,Oklahoma City full timeout,,8,6
14,1,9:20.0,V. Oladipo misses 3-pt jump shot from 26 ft,,8,6
15,1,9:19.0,Offensive rebound by V. Oladipo,,8,6
16,1,9:08.0,V. Oladipo makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,11,6
17,1,8:42.0,,W. Chandler misses 2-pt jump shot from 14 ft,11,6
18,1,8:41.0,Defensive rebound by R. Westbrook,,11,6
19,1,8:37.0,Turnover by R. Westbrook (bad pass; steal by K. Faried),,11,6
20,1,8:23.0,,Shooting foul by D. Sabonis (drawn by E. Mudiay),11,6
21,1,8:23.0,,E. Mudiay makes free throw 1 of 2,11,7
22,1,8:23.0,,E. Mudiay makes free throw 2 of 2,11,8
23,1,8:03.0,D. Sabonis makes 3-pt jump shot from 25 ft (assist by V. Oladipo),,14,8
24,1,7:39.0,,W. Chandler makes 2-pt jump shot from 10 ft,14,10
25,1,7:16.0,R. Westbrook misses 2-pt jump shot from 17 ft,,14,10
26,1,7:15.0,,Defensive rebound by E. Mudiay,14,10
27,1,7:11.0,Violation by R. Westbrook (kicked ball),,14,10
28,1,7:05.0,,W. Chandler misses 2-pt layup from 1 ft,14,10
29,1,7:04.0,,Offensive rebound by K. Faried,14,10
30,1,7:03.0,,K. Faried makes 2-pt dunk at rim,14,12
31,1,6:46.0,S. Adams misses 2-pt jump shot from 13 ft,,14,12
32,1,6:45.0,,Defensive rebound by K. Faried,14,12
33,1,6:40.0,,J. Nelson misses 3-pt jump shot from 25 ft,14,12
34,1,6:39.0,Defensive rebound by V. Oladipo,,14,12
35,1,6:30.0,R. Westbrook misses 2-pt jump shot from 15 ft,,14,12
36,1,6:29.0,,Defensive rebound by W. Chandler,14,12
37,1,6:21.0,,J. Nelson makes 2-pt layup from 3 ft,14,14
38,1,6:03.0,A. Roberson misses 3-pt jump shot from 25 ft,,14,14
39,1,6:02.0,,Defensive rebound by J. Nurkić,14,14
40,1,5:53.0,,K. Faried misses 2-pt layup from 2 ft,14,14
41,1,5:52.0,Defensive rebound by D. Sabonis,,14,14
42,1,5:46.0,V. Oladipo makes 2-pt layup from 1 ft (assist by R. Westbrook),,16,14
43,1,5:27.0,,E. Mudiay misses 3-pt jump shot from 26 ft,16,14
44,1,5:26.0,Defensive rebound by Team,,16,14
45,1,5:26.0,,J. Murray enters the game for J. Nurkić,16,14
46,1,5:26.0,,N. Jokić enters the game for E. Mudiay,16,14
47,1,5:23.0,J. Grant enters the game for V. Oladipo,,16,14
48,1,5:23.0,A. Morrow enters the game for A. Roberson,,16,14
49,1,5:04.0,S. Adams misses 2-pt jump shot from 10 ft,,16,14
50,1,5:04.0,,Defensive rebound by Team,16,14
51,1,4:56.0,,Personal foul by S. Adams (drawn by N. Jokić),16,14
52,1,4:56.0,E. Freedom enters the game for S. Adams,,16,14
53,1,4:44.0,,N. Jokić misses 2-pt layup from 3 ft,16,14
54,1,4:43.0,Defensive rebound by J. Grant,,16,14
55,1,4:33.0,E. Freedom misses 2-pt layup from 2 ft,,16,14
56,1,4:32.0,,Defensive rebound by K. Faried,16,14
57,1,4:22.0,,W. Chandler makes 2-pt layup from 1 ft (assist by J. Nelson),16,16
58,1,4:13.0,Turnover by D. Sabonis (bad pass),,16,16
59,1,3:58.0,,K. Faried makes 2-pt dunk at rim (assist by W. Chandler),16,18
60,1,3:40.0,R. Westbrook misses 2-pt layup at rim,,16,18
61,1,3:40.0,,Defensive rebound by N. Jokić,16,18
62,1,3:35.0,,W. Chandler misses 3-pt jump shot from 23 ft,16,18
