,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,OKLAHOMA CITY_ACTION,MILWAUKEE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,,V. Oladipo misses 3-pt jump shot from 25 ft,0,0
1,1,11:44.0,Defensive rebound by G. Antetokounmpo,,0,0
2,1,11:21.0,K. Middleton misses 2-pt jump shot from 15 ft,,0,0
3,1,11:20.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:01.0,Violation by T. Maker (def goaltending),,0,0
5,1,11:01.0,,T. Gibson makes 2-pt hook shot from 5 ft,0,2
6,1,10:51.0,Turnover by T. Maker (bad pass),,0,2
7,1,10:41.0,,Personal foul by T. Maker (drawn by S. Adams),0,2
8,1,10:29.0,,S. Adams misses 2-pt layup from 1 ft,0,2
9,1,10:29.0,Defensive rebound by G. Antetokounmpo,,0,2
10,1,10:25.0,G. Antetokounmpo misses 2-pt layup from 2 ft (block by A. Roberson),,0,2
11,1,10:25.0,,Defensive rebound by Team,0,2
12,1,10:03.0,,R. Westbrook misses 2-pt jump shot from 18 ft,0,2
13,1,10:02.0,Defensive rebound by K. Middleton,,0,2
14,1,9:50.0,T. Maker makes 2-pt layup from 1 ft (assist by T. Snell),,2,2
15,1,9:27.0,,Turnover by V. Oladipo (bad pass; steal by M. Dellavedova),2,2
16,1,9:23.0,Shooting block foul by V. Oladipo (drawn by G. Antetokounmpo),,2,2
17,1,9:23.0,G. Antetokounmpo makes free throw 1 of 2,,3,2
18,1,9:23.0,G. Antetokounmpo misses free throw 2 of 2,,3,2
19,1,9:22.0,,Defensive rebound by R. Westbrook,3,2
20,1,9:04.0,,R. Westbrook makes 3-pt jump shot from 24 ft (assist by S. Adams),3,5
21,1,8:42.0,T. Maker misses 3-pt jump shot from 25 ft,,3,5
22,1,8:41.0,,Defensive rebound by R. Westbrook,3,5
23,1,8:30.0,,A. Roberson misses 3-pt jump shot from 24 ft,3,5
24,1,8:30.0,,Offensive rebound by R. Westbrook,3,5
25,1,8:23.0,,Turnover by S. Adams (bad pass),3,5
26,1,8:10.0,G. Antetokounmpo misses 2-pt hook shot from 6 ft,,3,5
