,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
0,1,11:46.0,Turnover by M. Gortat (lost ball; steal by G. Dieng),,0,0
1,1,11:25.0,,R. Rubio makes 2-pt jump shot from 20 ft,0,2
2,1,11:13.0,Turnover by J. Wall (bad pass; steal by R. Rubio),,0,2
3,1,11:03.0,,K. Towns makes 2-pt jump shot from 12 ft (assist by R. Rubio),0,4
4,1,10:52.0,Offensive foul by M. Morris (drawn by B. Rush),,0,4
5,1,10:52.0,Turnover by M. Morris (offensive foul),,0,4
6,1,10:31.0,,A. Wiggins misses 2-pt jump shot from 17 ft,0,4
7,1,10:29.0,Defensive rebound by M. Morris,,0,4
8,1,10:22.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,3,4
9,1,10:08.0,,K. Towns makes 2-pt hook shot from 5 ft (assist by R. Rubio),3,6
10,1,9:53.0,B. Beal misses 2-pt jump shot from 6 ft,,3,6
11,1,9:52.0,,Defensive rebound by K. Towns,3,6
12,1,9:47.0,,B. Rush makes 3-pt jump shot from 24 ft (assist by R. Rubio),3,9
13,1,9:30.0,Shooting foul by K. Towns (drawn by J. Wall),,3,9
14,1,9:30.0,J. Wall misses free throw 1 of 2,,3,9
15,1,9:30.0,Offensive rebound by Team,,3,9
16,1,9:30.0,J. Wall makes free throw 2 of 2,,4,9
17,1,9:17.0,,K. Towns misses 3-pt jump shot from 23 ft,4,9
18,1,9:16.0,Defensive rebound by B. Beal,,4,9
19,1,9:10.0,O. Porter misses 3-pt jump shot from 24 ft,,4,9
20,1,9:08.0,Offensive rebound by M. Gortat,,4,9
21,1,9:07.0,M. Gortat makes 2-pt layup from 1 ft,,6,9
22,1,8:53.0,,B. Rush makes 3-pt jump shot from 24 ft (assist by A. Wiggins),6,12
23,1,8:34.0,Personal block foul by K. Towns (drawn by M. Morris),,6,12
24,1,8:34.0,,N. Bjelica enters the game for K. Towns,6,12
25,1,8:29.0,M. Gortat makes 2-pt dunk at rim (assist by B. Beal),,8,12
26,1,8:17.0,,Personal foul by O. Porter (drawn by A. Wiggins),8,12
27,1,8:10.0,,R. Rubio misses 2-pt jump shot from 14 ft,8,12
28,1,8:09.0,,Offensive rebound by N. Bjelica,8,12
29,1,8:07.0,,N. Bjelica makes 2-pt layup from 1 ft,8,14
30,1,7:44.0,M. Morris misses 2-pt jump shot from 15 ft (block by B. Rush),,8,14
31,1,7:43.0,,Defensive rebound by N. Bjelica,8,14
32,1,7:39.0,,Turnover by R. Rubio (bad pass; steal by M. Morris),8,14
33,1,7:24.0,O. Porter makes 2-pt jump shot from 11 ft,,10,14
34,1,7:04.0,,B. Rush makes 3-pt jump shot from 23 ft (assist by R. Rubio),10,17
35,1,6:57.0,Shooting foul by B. Rush (drawn by B. Beal),,10,17
36,1,6:57.0,B. Beal makes free throw 1 of 2,,11,17
37,1,6:57.0,B. Beal makes free throw 2 of 2,,12,17
38,1,6:47.0,,A. Wiggins misses 2-pt jump shot from 15 ft,12,17
39,1,6:46.0,,Offensive rebound by N. Bjelica,12,17
40,1,6:40.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by N. Bjelica),12,20
41,1,6:26.0,B. Beal misses 3-pt jump shot from 25 ft,,12,20
42,1,6:24.0,,Defensive rebound by R. Rubio,12,20
43,1,6:09.0,,A. Wiggins makes 2-pt jump shot from 19 ft (assist by R. Rubio),12,22
44,1,6:07.0,Washington full timeout,,12,22
45,1,5:54.0,M. Morris misses 3-pt jump shot from 25 ft,,12,22
46,1,5:53.0,,Defensive rebound by R. Rubio,12,22
47,1,5:49.0,,N. Bjelica makes 2-pt dunk at rim (assist by R. Rubio),12,24
48,1,5:33.0,M. Gortat misses 2-pt layup at rim (block by G. Dieng),,12,24
49,1,5:31.0,,Defensive rebound by N. Bjelica,12,24
50,1,5:26.0,,N. Bjelica makes 2-pt jump shot from 4 ft (assist by R. Rubio),12,26
51,1,5:04.0,O. Porter misses 2-pt jump shot from 11 ft,,12,26
52,1,5:01.0,,Defensive rebound by Team,12,26
53,1,5:01.0,J. Smith enters the game for M. Morris,,12,26
54,1,4:43.0,,A. Wiggins makes 3-pt jump shot from 24 ft,12,29
55,1,4:30.0,J. Wall misses 2-pt jump shot from 6 ft,,12,29
56,1,4:29.0,,Defensive rebound by G. Dieng,12,29
57,1,4:13.0,,B. Rush misses 3-pt jump shot from 25 ft,12,29
58,1,4:12.0,Defensive rebound by J. Smith,,12,29
59,1,4:04.0,J. Smith makes 2-pt jump shot from 19 ft (assist by J. Wall),,14,29
60,1,3:40.0,,G. Dieng makes 2-pt dunk at rim (assist by R. Rubio),14,31
61,1,3:24.0,J. Smith misses 2-pt jump shot from 12 ft,,14,31
62,1,3:23.0,,Defensive rebound by G. Dieng,14,31
63,1,3:11.0,,G. Dieng makes 2-pt hook shot at rim (assist by R. Rubio),14,33
64,1,2:55.0,J. Wall misses 3-pt jump shot from 25 ft,,14,33
65,1,2:53.0,,Defensive rebound by A. Wiggins,14,33
66,1,2:47.0,,N. Bjelica makes 2-pt layup from 2 ft (assist by R. Rubio),14,35
67,1,2:46.0,Washington full timeout,,14,35
68,1,2:46.0,,Minnesota full timeout,14,35
69,1,2:46.0,I. Mahinmi enters the game for M. Gortat,,14,35
70,1,2:46.0,B. Bogdanović enters the game for O. Porter,,14,35
71,1,2:46.0,,S. Muhammad enters the game for B. Rush,14,35
72,1,2:35.0,B. Beal misses 2-pt jump shot from 19 ft,,14,35
73,1,2:35.0,,Defensive rebound by S. Muhammad,14,35
74,1,2:19.0,,R. Rubio misses 3-pt jump shot from 25 ft,14,35
75,1,2:18.0,Defensive rebound by J. Smith,,14,35
76,1,2:14.0,Shooting block foul by G. Dieng (drawn by J. Wall),,14,35
77,1,2:14.0,J. Wall makes free throw 1 of 2,,15,35
78,1,2:14.0,B. Jennings enters the game for B. Beal,,15,35
79,1,2:14.0,J. Wall makes free throw 2 of 2,,16,35
80,1,1:58.0,,Personal foul by J. Smith (drawn by N. Bjelica),16,35
81,1,1:50.0,,Shooting foul by B. Bogdanović (drawn by R. Rubio),16,35
82,1,1:50.0,,R. Rubio makes free throw 1 of 2,16,36
83,1,1:50.0,,R. Rubio makes free throw 2 of 2,16,37
84,1,1:32.0,I. Mahinmi makes 2-pt layup from 1 ft (assist by J. Smith),,18,37
85,1,1:08.0,,R. Rubio makes 2-pt jump shot from 14 ft,18,39
86,1,0:56.0,J. Smith makes 2-pt jump shot from 21 ft (assist by B. Jennings),,20,39
87,1,0:40.0,,A. Wiggins misses 2-pt jump shot from 12 ft,20,39
88,1,0:39.0,Defensive rebound by J. Wall,,20,39
89,1,0:32.0,J. Wall makes 3-pt jump shot from 25 ft,,23,39
90,1,0:09.0,,S. Muhammad misses 3-pt jump shot from 23 ft,23,39
91,1,0:09.0,,Offensive rebound by G. Dieng,23,39
92,1,0:08.0,,G. Dieng makes 2-pt layup from 1 ft,23,41
93,1,0:00.0,J. Wall misses 3-pt jump shot from 25 ft,,23,41
94,1,0:00.0,Offensive rebound by Team,,23,41
95,2,11:46.0,,K. Towns makes 2-pt jump shot from 17 ft (assist by T. Jones),23,43
96,2,11:29.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by B. Jennings),,25,43
97,2,11:11.0,,K. Towns misses 2-pt hook shot from 12 ft,25,43
98,2,11:10.0,Defensive rebound by B. Bogdanović,,25,43
99,2,10:58.0,B. Bogdanović makes 2-pt jump shot from 19 ft,,27,43
100,2,10:38.0,,Personal foul by J. Smith (drawn by N. Bjelica),27,43
101,2,10:34.0,,N. Bjelica makes 2-pt dunk at rim (assist by K. Towns),27,45
102,2,10:22.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Jennings),,30,45
103,2,10:08.0,,S. Muhammad misses 2-pt jump shot from 10 ft,30,45
104,2,10:07.0,Defensive rebound by I. Mahinmi,,30,45
105,2,10:01.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,30,45
106,2,10:00.0,,Defensive rebound by S. Muhammad,30,45
107,2,9:56.0,Offensive charge foul by S. Muhammad (drawn by T. Satoranský),,30,45
108,2,9:56.0,,Turnover by S. Muhammad (offensive foul),30,45
109,2,9:43.0,Turnover by I. Mahinmi (bad pass),,30,45
110,2,9:28.0,,T. Jones misses 2-pt jump shot from 11 ft,30,45
111,2,9:27.0,Defensive rebound by B. Bogdanović,,30,45
112,2,9:23.0,T. Satoranský makes 2-pt layup from 1 ft (assist by B. Jennings),,32,45
113,2,9:23.0,Shooting foul by K. Dunn (drawn by T. Satoranský),,32,45
114,2,9:23.0,T. Satoranský misses free throw 1 of 1,,32,45
115,2,9:23.0,,Defensive rebound by N. Bjelica,32,45
116,2,9:17.0,,Shooting foul by J. Smith (drawn by T. Jones),32,45
117,2,9:17.0,,T. Jones makes free throw 1 of 3,32,46
118,2,9:17.0,,T. Jones makes free throw 2 of 3,32,47
119,2,9:17.0,M. Morris enters the game for J. Smith,,32,47
120,2,9:17.0,,T. Jones makes free throw 3 of 3,32,48
121,2,9:08.0,B. Jennings makes 2-pt jump shot from 15 ft,,34,48
122,2,8:57.0,,Personal foul by I. Mahinmi (drawn by K. Towns),34,48
123,2,8:57.0,,Minnesota full timeout,34,48
124,2,8:46.0,,Turnover by K. Dunn (lost ball; steal by B. Jennings),34,48
125,2,8:45.0,,Violation by K. Dunn (kicked ball),34,48
126,2,8:29.0,Turnover by B. Jennings (lost ball; steal by K. Dunn),,34,48
127,2,8:16.0,,K. Towns makes 2-pt hook shot from 7 ft,34,50
128,2,8:06.0,,Technical foul by K. Towns,34,50
129,2,8:06.0,B. Bogdanović makes technical free throw,,35,50
130,2,8:06.0,B. Beal enters the game for T. Satoranský,,35,50
131,2,8:01.0,B. Bogdanović misses 2-pt jump shot from 16 ft (block by K. Dunn),,35,50
132,2,7:59.0,Offensive rebound by B. Beal,,35,50
133,2,7:56.0,B. Beal misses 2-pt jump shot from 8 ft,,35,50
134,2,7:55.0,,Defensive rebound by N. Bjelica,35,50
135,2,7:50.0,,K. Dunn misses 2-pt dunk at rim,35,50
136,2,7:49.0,Defensive rebound by I. Mahinmi,,35,50
137,2,7:45.0,B. Bogdanović misses 2-pt layup from 2 ft (block by T. Jones),,35,50
138,2,7:45.0,Offensive rebound by Team,,35,50
139,2,7:45.0,,A. Wiggins enters the game for K. Dunn,35,50
140,2,7:45.0,,R. Rubio enters the game for T. Jones,35,50
141,2,7:38.0,M. Morris makes 2-pt jump shot from 18 ft,,37,50
142,2,7:18.0,,K. Towns makes 2-pt jump shot from 10 ft,37,52
143,2,7:08.0,B. Jennings misses 3-pt jump shot from 25 ft,,37,52
144,2,7:07.0,,Defensive rebound by R. Rubio,37,52
145,2,7:02.0,,Turnover by R. Rubio (bad pass; steal by B. Beal),37,52
146,2,6:58.0,Offensive foul by I. Mahinmi (drawn by K. Towns),,37,52
147,2,6:58.0,Turnover by I. Mahinmi (offensive foul),,37,52
148,2,6:58.0,J. Wall enters the game for B. Jennings,,37,52
149,2,6:47.0,,R. Rubio misses 2-pt jump shot from 16 ft,37,52
150,2,6:46.0,Defensive rebound by M. Morris,,37,52
151,2,6:42.0,Shooting foul by A. Wiggins (drawn by J. Wall),,37,52
152,2,6:42.0,J. Wall misses free throw 1 of 2,,37,52
153,2,6:42.0,Offensive rebound by Team,,37,52
154,2,6:42.0,J. Wall makes free throw 2 of 2,,38,52
155,2,6:36.0,,A. Wiggins misses 2-pt jump shot from 6 ft (block by I. Mahinmi),38,52
156,2,6:35.0,Defensive rebound by I. Mahinmi,,38,52
157,2,6:30.0,Shooting block foul by N. Bjelica (drawn by J. Wall),,38,52
158,2,6:30.0,J. Wall makes free throw 1 of 2,,39,52
159,2,6:30.0,J. Wall makes free throw 2 of 2,,40,52
160,2,6:20.0,,Personal foul by J. Wall (drawn by S. Muhammad),40,52
161,2,6:12.0,,N. Bjelica misses 3-pt jump shot from 24 ft,40,52
162,2,6:11.0,Defensive rebound by I. Mahinmi,,40,52
163,2,6:04.0,Turnover by J. Wall (bad pass),,40,52
164,2,5:48.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),40,54
165,2,5:21.0,B. Beal misses 2-pt jump shot from 21 ft,,40,54
166,2,5:20.0,Offensive rebound by M. Morris,,40,54
167,2,5:18.0,M. Morris makes 2-pt layup at rim,,42,54
168,2,5:05.0,,S. Muhammad misses 2-pt jump shot from 11 ft,42,54
169,2,5:04.0,Defensive rebound by B. Beal,,42,54
170,2,5:00.0,Turnover by B. Bogdanović (step out of bounds),,42,54
171,2,5:00.0,,Minnesota full timeout,42,54
172,2,5:00.0,,B. Rush enters the game for S. Muhammad,42,54
173,2,5:00.0,,G. Dieng enters the game for N. Bjelica,42,54
174,2,5:00.0,M. Gortat enters the game for I. Mahinmi,,42,54
175,2,4:45.0,,B. Rush misses 2-pt layup from 1 ft,42,54
176,2,4:44.0,Defensive rebound by B. Beal,,42,54
177,2,4:38.0,B. Beal makes 3-pt jump shot from 52 ft (assist by J. Wall),,45,54
178,2,4:21.0,,A. Wiggins misses 2-pt jump shot from 6 ft,45,54
179,2,4:21.0,Defensive rebound by M. Morris,,45,54
180,2,4:14.0,J. Wall misses 2-pt jump shot from 10 ft,,45,54
181,2,4:13.0,,Defensive rebound by K. Towns,45,54
182,2,3:55.0,,K. Towns makes 2-pt jump shot from 18 ft (assist by R. Rubio),45,56
183,2,3:33.0,M. Morris makes 2-pt jump shot from 5 ft,,47,56
184,2,3:20.0,,Shooting foul by M. Morris (drawn by R. Rubio),47,56
185,2,3:20.0,,R. Rubio makes free throw 1 of 2,47,57
186,2,3:20.0,O. Porter enters the game for B. Bogdanović,,47,57
187,2,3:20.0,,R. Rubio makes free throw 2 of 2,47,58
188,2,3:02.0,M. Morris misses 2-pt jump shot from 10 ft,,47,58
189,2,3:01.0,,Defensive rebound by K. Towns,47,58
190,2,2:49.0,,G. Dieng makes 2-pt jump shot from 12 ft (assist by B. Rush),47,60
191,2,2:44.0,Washington full timeout,,47,60
192,2,2:29.0,B. Beal makes 2-pt jump shot from 20 ft,,49,60
193,2,2:17.0,,Turnover by B. Rush (lost ball),49,60
194,2,2:07.0,B. Beal misses 3-pt jump shot from 25 ft,,49,60
195,2,2:06.0,,Defensive rebound by B. Rush,49,60
196,2,1:45.0,,G. Dieng misses 2-pt jump shot from 18 ft,49,60
197,2,1:44.0,Defensive rebound by B. Beal,,49,60
198,2,1:41.0,J. Wall misses 2-pt layup from 3 ft (block by G. Dieng),,49,60
199,2,1:39.0,Offensive rebound by Team,,49,60
200,2,1:29.0,J. Wall misses 2-pt jump shot from 22 ft,,49,60
201,2,1:28.0,,Defensive rebound by R. Rubio,49,60
202,2,1:22.0,,Turnover by G. Dieng (lost ball),49,60
203,2,1:14.0,,Violation by G. Dieng (kicked ball),49,60
204,2,1:04.0,B. Beal misses 3-pt jump shot from 25 ft,,49,60
205,2,1:03.0,,Defensive rebound by A. Wiggins,49,60
