,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,GOLDEN STATE_ACTION,WASHINGTON_SCORE,GOLDEN STATE_SCORE
0,1,11:37.0,B. Beal misses 2-pt layup from 2 ft,,0,0
1,1,11:37.0,,Defensive rebound by Z. Pachulia,0,0
2,1,11:32.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),0,3
3,1,11:15.0,O. Porter misses 2-pt jump shot from 15 ft,,0,3
4,1,11:15.0,,Defensive rebound by Z. Pachulia,0,3
5,1,11:04.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),0,6
6,1,10:51.0,J. Wall misses 2-pt jump shot from 15 ft,,0,6
7,1,10:51.0,,Defensive rebound by D. Green,0,6
8,1,10:44.0,,D. Green misses 2-pt layup from 2 ft (block by O. Porter),0,6
9,1,10:43.0,,Offensive rebound by D. Green,0,6
10,1,10:42.0,,D. Green misses 2-pt layup from 2 ft,0,6
11,1,10:41.0,Defensive rebound by O. Porter,,0,6
12,1,10:37.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,2,6
13,1,10:13.0,,K. Thompson misses 3-pt jump shot from 24 ft,2,6
14,1,10:13.0,Defensive rebound by J. Wall,,2,6
15,1,10:09.0,J. Wall makes 2-pt layup from 2 ft,,4,6
16,1,10:09.0,Shooting foul by D. Green (drawn by J. Wall),,4,6
17,1,10:09.0,J. Wall makes free throw 1 of 1,,5,6
18,1,9:56.0,,Z. Pachulia misses 2-pt jump shot from 7 ft,5,6
19,1,9:56.0,Defensive rebound by M. Gortat,,5,6
20,1,9:49.0,O. Porter misses 3-pt jump shot from 24 ft,,5,6
21,1,9:49.0,,Defensive rebound by S. Curry,5,6
22,1,9:39.0,,K. Thompson makes 2-pt layup from 2 ft (assist by S. Curry),5,8
23,1,9:30.0,Turnover by M. Gortat (lost ball; steal by Z. Pachulia),,5,8
24,1,9:20.0,,P. McCaw misses 2-pt jump shot from 6 ft,5,8
25,1,9:19.0,,Offensive rebound by P. McCaw,5,8
26,1,9:12.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by D. Green),5,11
27,1,8:53.0,M. Morris makes 2-pt jump shot from 17 ft (assist by J. Wall),,7,11
28,1,8:46.0,,Turnover by K. Thompson (bad pass; steal by B. Beal),7,11
29,1,8:46.0,Personal foul by K. Thompson (drawn by B. Beal),,7,11
30,1,8:46.0,B. Beal misses free throw 1 of 2,,7,11
31,1,8:46.0,Offensive rebound by Team,,7,11
32,1,8:46.0,B. Beal makes free throw 2 of 2,,8,11
33,1,8:27.0,,S. Curry makes 3-pt jump shot from 24 ft (assist by P. McCaw),8,14
34,1,8:13.0,B. Beal makes 2-pt layup from 3 ft,,10,14
35,1,8:07.0,,Turnover by S. Curry (bad pass),10,14
36,1,7:54.0,M. Gortat makes 2-pt jump shot from 18 ft (assist by J. Wall),,12,14
37,1,7:43.0,,K. Thompson misses 2-pt jump shot from 14 ft,12,14
38,1,7:43.0,Defensive rebound by J. Wall,,12,14
39,1,7:39.0,Offensive foul by M. Morris (drawn by S. Curry),,12,14
40,1,7:39.0,Turnover by M. Morris (offensive foul),,12,14
41,1,7:29.0,,Offensive foul by Z. Pachulia (drawn by O. Porter),12,14
42,1,7:29.0,,Turnover by Z. Pachulia (offensive foul),12,14
43,1,7:17.0,M. Gortat makes 2-pt layup from 2 ft (assist by J. Wall),,14,14
44,1,7:11.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by S. Curry),14,16
45,1,6:57.0,Turnover by J. Wall (bad pass),,14,16
46,1,6:47.0,,D. Green makes 2-pt layup from 2 ft (assist by S. Curry),14,18
47,1,6:32.0,M. Morris makes 2-pt jump shot from 9 ft (assist by J. Wall),,16,18
48,1,6:23.0,,Golden State full timeout,16,18
49,1,6:16.0,,S. Curry misses 3-pt jump shot from 27 ft,16,18
50,1,6:15.0,Defensive rebound by J. Wall,,16,18
51,1,6:03.0,O. Porter misses 3-pt jump shot from 24 ft,,16,18
52,1,6:02.0,,Defensive rebound by Z. Pachulia,16,18
53,1,5:53.0,,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by S. Curry),16,20
54,1,5:33.0,M. Morris misses 2-pt jump shot from 12 ft,,16,20
55,1,5:32.0,,Defensive rebound by D. Green,16,20
56,1,5:26.0,,K. Thompson misses 2-pt jump shot from 12 ft,16,20
57,1,5:26.0,Defensive rebound by M. Gortat,,16,20
58,1,5:18.0,M. Morris misses 3-pt jump shot from 26 ft,,16,20
59,1,5:17.0,,Defensive rebound by D. Green,16,20
60,1,5:04.0,,Turnover by P. McCaw (bad pass),16,20
61,1,5:04.0,,S. Livingston enters the game for P. McCaw,16,20
62,1,5:04.0,,A. Iguodala enters the game for D. Green,16,20
63,1,4:56.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,18,20
64,1,4:39.0,,S. Curry makes 3-pt jump shot from 27 ft (assist by Z. Pachulia),18,23
65,1,4:08.0,B. Beal misses 2-pt jump shot from 6 ft,,18,23
66,1,4:08.0,Offensive rebound by M. Gortat,,18,23
67,1,4:08.0,M. Gortat makes 2-pt layup from 1 ft,,20,23
68,1,3:56.0,,A. Iguodala misses 3-pt jump shot from 25 ft,20,23
69,1,3:56.0,Defensive rebound by B. Beal,,20,23
70,1,3:46.0,B. Beal makes 2-pt layup from 3 ft,,22,23
71,1,3:31.0,,Z. Pachulia misses 2-pt layup from 3 ft (block by M. Gortat),22,23
72,1,3:28.0,,Offensive rebound by S. Livingston,22,23
73,1,3:28.0,,S. Livingston makes 2-pt layup from 2 ft,22,25
74,1,3:19.0,J. Wall makes 2-pt jump shot from 10 ft,,24,25
75,1,3:19.0,Shooting foul by S. Curry (drawn by J. Wall),,24,25
76,1,3:19.0,J. Wall misses free throw 1 of 1,,24,25
77,1,3:19.0,,J. McGee enters the game for Z. Pachulia,24,25
78,1,3:19.0,,D. Green enters the game for K. Thompson,24,25
79,1,3:19.0,K. Oubre enters the game for O. Porter,,24,25
80,1,3:19.0,B. Bogdanović enters the game for M. Morris,,24,25
81,1,3:18.0,,Defensive rebound by J. McGee,24,25
82,1,3:04.0,,J. McGee makes 2-pt jump shot from 8 ft,24,27
83,1,2:50.0,M. Gortat misses 2-pt jump shot from 16 ft,,24,27
84,1,2:49.0,,Defensive rebound by S. Livingston,24,27
85,1,2:45.0,,Personal foul by B. Bogdanović (drawn by S. Curry),24,27
86,1,2:45.0,Washington full timeout,,24,27
87,1,2:45.0,B. Jennings enters the game for J. Wall,,24,27
88,1,2:27.0,,A. Iguodala makes 2-pt jump shot from 20 ft,24,29
89,1,2:03.0,B. Beal makes 3-pt jump shot from 26 ft,,27,29
90,1,1:52.0,,S. Livingston makes 2-pt jump shot from 9 ft,27,31
91,1,1:36.0,B. Beal misses 2-pt layup from 1 ft (block by J. McGee),,27,31
92,1,1:35.0,,Defensive rebound by D. Green,27,31
93,1,1:27.0,,J. McGee makes 2-pt layup from 2 ft,27,33
94,1,1:09.0,Turnover by B. Jennings (bad pass; steal by J. McGee),,27,33
95,1,1:04.0,,D. Green makes 2-pt layup from 1 ft (assist by S. Curry),27,35
96,1,0:52.0,K. Oubre misses 3-pt jump shot from 26 ft,,27,35
97,1,0:51.0,,Defensive rebound by S. Livingston,27,35
98,1,0:46.0,,S. Curry misses 2-pt layup from 4 ft (block by K. Oubre),27,35
99,1,0:45.0,Defensive rebound by B. Bogdanović,,27,35
100,1,0:45.0,Personal foul by S. Livingston (drawn by K. Oubre),,27,35
101,1,0:45.0,I. Mahinmi enters the game for M. Gortat,,27,35
102,1,0:34.0,B. Beal makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,30,35
103,1,0:16.0,,Personal foul by K. Oubre (drawn by A. Iguodala),30,35
104,1,0:16.0,,K. Thompson enters the game for A. Iguodala,30,35
105,1,0:16.0,,I. Clark enters the game for J. McGee,30,35
106,1,0:05.0,,Turnover by D. Green (traveling),30,35
107,1,0:05.0,,P. McCaw enters the game for K. Thompson,30,35
108,1,0:05.0,,A. Iguodala enters the game for S. Curry,30,35
109,1,0:01.0,B. Beal misses 2-pt jump shot from 12 ft,,30,35
110,1,0:00.0,Offensive rebound by Team,,30,35
111,2,11:45.0,,A. Iguodala makes 2-pt layup from 1 ft (assist by D. West),30,37
112,2,11:25.0,K. Oubre misses 2-pt jump shot from 5 ft,,30,37
113,2,11:24.0,Offensive rebound by K. Oubre,,30,37
114,2,11:23.0,K. Oubre misses 2-pt layup from 3 ft (block by D. West),,30,37
115,2,11:20.0,,Defensive rebound by I. Clark,30,37
116,2,11:01.0,,K. Thompson misses 2-pt jump shot from 13 ft,30,37
117,2,11:00.0,Defensive rebound by B. Bogdanović,,30,37
118,2,10:47.0,B. Jennings makes 2-pt jump shot from 13 ft (assist by I. Mahinmi),,32,37
119,2,10:34.0,,I. Clark makes 3-pt jump shot from 28 ft (assist by D. West),32,40
120,2,10:31.0,Washington full timeout,,32,40
121,2,10:13.0,Shooting foul by A. Iguodala (drawn by B. Bogdanović),,32,40
122,2,10:13.0,B. Bogdanović makes free throw 1 of 2,,33,40
123,2,10:13.0,B. Bogdanović makes free throw 2 of 2,,34,40
124,2,9:59.0,,Personal foul by B. Jennings (drawn by I. Clark),34,40
125,2,9:48.0,,Turnover by D. West (traveling),34,40
126,2,9:38.0,Personal foul by M. Barnes (drawn by B. Jennings),,34,40
127,2,9:26.0,T. Satoranský misses 2-pt hook shot from 6 ft,,34,40
128,2,9:25.0,,Defensive rebound by D. West,34,40
129,2,9:07.0,,A. Iguodala makes 3-pt jump shot from 23 ft (assist by K. Thompson),34,43
130,2,8:51.0,B. Jennings misses 2-pt jump shot from 7 ft,,34,43
131,2,8:50.0,,Defensive rebound by M. Barnes,34,43
132,2,8:31.0,,K. Thompson misses 3-pt jump shot from 26 ft,34,43
133,2,8:30.0,Defensive rebound by B. Jennings,,34,43
134,2,8:15.0,Turnover by B. Bogdanović (bad pass; steal by A. Iguodala),,34,43
135,2,8:12.0,,Shooting foul by B. Jennings (drawn by A. Iguodala),34,43
136,2,8:12.0,,A. Iguodala makes free throw 1 of 2,34,44
137,2,8:12.0,J. Wall enters the game for T. Satoranský,,34,44
138,2,8:12.0,,A. Iguodala makes free throw 2 of 2,34,45
139,2,8:03.0,Shooting foul by I. Clark (drawn by B. Jennings),,34,45
140,2,8:03.0,B. Jennings makes free throw 1 of 2,,35,45
141,2,8:03.0,,D. Green enters the game for A. Iguodala,35,45
142,2,8:03.0,B. Jennings makes free throw 2 of 2,,36,45
143,2,7:45.0,,Turnover by D. West (lost ball; steal by I. Mahinmi),36,45
144,2,7:38.0,B. Bogdanović makes 2-pt jump shot from 22 ft,,38,45
