,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:43.0,J. Parker makes 2-pt jump shot from 12 ft (assist by G. Antetokounmpo),,2,0
1,1,11:27.0,,N. Vučević misses 2-pt jump shot from 14 ft,2,0
2,1,11:25.0,Defensive rebound by G. Antetokounmpo,,2,0
3,1,11:04.0,G. Antetokounmpo misses 3-pt jump shot from 26 ft,,2,0
4,1,11:03.0,Offensive rebound by J. Parker,,2,0
5,1,11:00.0,J. Parker misses 2-pt jump shot from 16 ft,,2,0
6,1,10:58.0,,Defensive rebound by N. Vučević,2,0
7,1,10:52.0,,A. Gordon misses 2-pt layup at rim (block by J. Henson),2,0
8,1,10:52.0,,Offensive rebound by Team,2,0
9,1,10:41.0,,N. Vučević misses 2-pt jump shot from 18 ft,2,0
10,1,10:40.0,,Offensive rebound by C. Watson,2,0
11,1,10:35.0,,C. Watson misses 2-pt jump shot from 15 ft,2,0
12,1,10:33.0,Defensive rebound by J. Henson,,2,0
13,1,10:08.0,M. Brogdon makes 3-pt jump shot from 25 ft (assist by J. Parker),,5,0
14,1,10:01.0,,Shooting foul by T. Snell (drawn by E. Payton),5,0
15,1,10:01.0,,E. Payton makes free throw 1 of 2,5,1
16,1,10:01.0,,E. Payton makes free throw 2 of 2,5,2
17,1,9:44.0,J. Parker makes 3-pt jump shot from 25 ft (assist by M. Brogdon),,8,2
18,1,9:32.0,,Turnover by S. Ibaka (traveling),8,2
19,1,9:20.0,M. Brogdon misses 3-pt jump shot from 25 ft,,8,2
20,1,9:19.0,,Defensive rebound by A. Gordon,8,2
21,1,9:08.0,,Turnover by S. Ibaka (bad pass; steal by M. Brogdon),8,2
22,1,9:00.0,J. Parker misses 2-pt layup from 2 ft,,8,2
23,1,8:58.0,Offensive rebound by Team,,8,2
24,1,8:50.0,J. Henson makes 2-pt dunk at rim (assist by G. Antetokounmpo),,10,2
25,1,8:38.0,,A. Gordon makes 2-pt layup from 2 ft (assist by E. Payton),10,4
26,1,8:21.0,J. Henson makes 2-pt layup from 2 ft,,12,4
27,1,8:09.0,,E. Payton misses 2-pt layup from 2 ft,12,4
28,1,8:08.0,,Offensive rebound by N. Vučević,12,4
29,1,8:07.0,,N. Vučević misses 2-pt layup from 1 ft,12,4
30,1,8:07.0,,Offensive rebound by N. Vučević,12,4
31,1,8:05.0,,N. Vučević makes 2-pt hook shot from 5 ft,12,6
32,1,7:51.0,Personal foul by C. Watson (drawn by T. Snell),,12,6
