,QUARTER,TIME_REMAINING,UTAH_ACTION,ATLANTA_ACTION,UTAH_SCORE,ATLANTA_SCORE
0,1,11:45.0,,T. Hardaway misses 2-pt hook shot from 5 ft,0,0
1,1,11:43.0,Defensive rebound by G. Hayward,,0,0
2,1,11:28.0,G. Hill makes 3-pt jump shot from 24 ft (assist by G. Hayward),,3,0
3,1,11:09.0,,D. Schröder misses 2-pt layup from 2 ft,3,0
4,1,11:08.0,Defensive rebound by R. Gobert,,3,0
5,1,10:54.0,Personal foul by D. Schröder (drawn by G. Hill),,3,0
6,1,10:43.0,D. Favors makes 2-pt jump shot from 12 ft (assist by G. Hayward),,5,0
7,1,10:26.0,,P. Millsap misses 2-pt jump shot from 9 ft,5,0
8,1,10:25.0,Defensive rebound by D. Favors,,5,0
9,1,10:17.0,G. Hayward misses 3-pt jump shot from 25 ft,,5,0
10,1,10:15.0,,Defensive rebound by D. Schröder,5,0
11,1,10:10.0,,Turnover by T. Hardaway (bad pass; steal by J. Ingles),5,0
12,1,9:59.0,Turnover by R. Gobert (lost ball),,5,0
13,1,9:43.0,,D. Howard misses 2-pt layup from 1 ft (block by G. Hill),5,0
14,1,9:43.0,,Offensive rebound by Team,5,0
15,1,9:38.0,,P. Millsap misses 2-pt layup at rim,5,0
16,1,9:37.0,,Offensive rebound by D. Howard,5,0
17,1,9:30.0,,K. Bazemore makes 2-pt jump shot from 13 ft,5,2
18,1,9:11.0,G. Hayward makes 3-pt jump shot from 24 ft (assist by D. Favors),,8,2
19,1,9:02.0,,Turnover by P. Millsap (bad pass; steal by D. Favors),8,2
20,1,8:57.0,G. Hayward misses 2-pt dunk at rim,,8,2
21,1,8:55.0,Offensive rebound by G. Hayward,,8,2
22,1,8:52.0,G. Hayward makes 2-pt jump shot from 13 ft,,10,2
23,1,8:51.0,,Atlanta full timeout,10,2
24,1,8:36.0,,Shooting foul by D. Favors (drawn by D. Howard),10,2
25,1,8:36.0,,D. Howard makes free throw 1 of 2,10,3
26,1,8:36.0,,D. Howard misses free throw 2 of 2,10,3
27,1,8:35.0,Defensive rebound by D. Favors,,10,3
28,1,8:21.0,D. Favors makes 2-pt jump shot from 12 ft (assist by J. Ingles),,12,3
29,1,7:58.0,,Personal block foul by J. Ingles (drawn by K. Bazemore),12,3
30,1,7:51.0,,P. Millsap misses 3-pt jump shot from 24 ft,12,3
31,1,7:50.0,Defensive rebound by R. Gobert,,12,3
32,1,7:40.0,G. Hill misses 3-pt jump shot from 24 ft,,12,3
33,1,7:38.0,Offensive rebound by D. Favors,,12,3
34,1,7:31.0,R. Gobert makes 2-pt dunk at rim (assist by G. Hayward),,14,3
35,1,7:08.0,,Shooting foul by D. Favors (drawn by P. Millsap),14,3
36,1,7:08.0,,P. Millsap misses free throw 1 of 2,14,3
37,1,7:08.0,,Offensive rebound by Team,14,3
38,1,7:08.0,T. Lyles enters the game for D. Favors,,14,3
39,1,7:08.0,,P. Millsap makes free throw 2 of 2,14,4
40,1,6:54.0,T. Lyles misses 3-pt jump shot from 25 ft,,14,4
41,1,6:53.0,,Defensive rebound by K. Bazemore,14,4
42,1,6:43.0,,Shooting foul by R. Gobert (drawn by D. Howard),14,4
43,1,6:43.0,,D. Howard makes 2-pt layup from 2 ft,14,6
44,1,6:43.0,,D. Howard misses free throw 1 of 1,14,6
45,1,6:41.0,Defensive rebound by T. Lyles,,14,6
46,1,6:19.0,G. Hill makes 2-pt jump shot from 10 ft,,16,6
47,1,6:19.0,Shooting foul by P. Millsap (drawn by G. Hill),,16,6
48,1,6:19.0,G. Hill makes free throw 1 of 1,,17,6
49,1,6:04.0,,D. Schröder makes 2-pt layup from 1 ft,17,8
50,1,5:44.0,T. Lyles misses 2-pt jump shot from 8 ft,,17,8
51,1,5:43.0,Offensive rebound by G. Hayward,,17,8
52,1,5:39.0,G. Hayward makes 2-pt jump shot from 10 ft,,19,8
53,1,5:29.0,,D. Schröder misses 3-pt jump shot from 25 ft,19,8
54,1,5:28.0,Defensive rebound by T. Lyles,,19,8
55,1,5:16.0,Personal foul by D. Schröder (drawn by G. Hill),,19,8
56,1,5:16.0,,M. Muscala enters the game for D. Howard,19,8
57,1,5:16.0,,D. Bembry enters the game for K. Bazemore,19,8
58,1,5:16.0,A. Burks enters the game for J. Ingles,,19,8
59,1,5:16.0,D. Exum enters the game for G. Hill,,19,8
60,1,5:10.0,G. Hayward makes 2-pt layup from 2 ft,,21,8
61,1,5:10.0,Shooting foul by M. Muscala (drawn by G. Hayward),,21,8
62,1,5:10.0,G. Hayward misses free throw 1 of 1,,21,8
63,1,5:09.0,,Defensive rebound by M. Muscala,21,8
64,1,4:57.0,,D. Schröder makes 2-pt layup from 2 ft,21,10
65,1,4:43.0,G. Hayward makes 2-pt layup from 1 ft,,23,10
66,1,4:30.0,,D. Bembry makes 2-pt layup from 2 ft (assist by D. Schröder),23,12
67,1,4:09.0,A. Burks misses 3-pt jump shot from 26 ft,,23,12
68,1,4:08.0,,Defensive rebound by P. Millsap,23,12
69,1,4:01.0,,Personal block foul by D. Exum (drawn by D. Schröder),23,12
70,1,4:01.0,,D. Schröder makes free throw 1 of 2,23,13
71,1,4:01.0,,M. Dunleavy enters the game for T. Hardaway,23,13
72,1,4:01.0,,D. Schröder makes free throw 2 of 2,23,14
73,1,3:51.0,G. Hayward makes 2-pt layup at rim (assist by R. Gobert),,25,14
74,1,3:32.0,,Turnover by D. Schröder (bad pass),25,14
75,1,3:32.0,,M. Delaney enters the game for D. Schröder,25,14
76,1,3:22.0,Shooting block foul by M. Dunleavy (drawn by G. Hayward),,25,14
