,QUARTER,TIME_REMAINING,PHOENIX_ACTION,BROOKLYN_ACTION,PHOENIX_SCORE,BROOKLYN_SCORE
0,1,11:46.0,M. Chriss misses 2-pt layup from 3 ft (block by R. Hollis-Jefferson),,0,0
1,1,11:45.0,Offensive rebound by M. Chriss,,0,0
2,1,11:44.0,Shooting foul by R. Hollis-Jefferson (drawn by M. Chriss),,0,0
3,1,11:44.0,M. Chriss makes free throw 1 of 2,,1,0
4,1,11:44.0,M. Chriss misses free throw 2 of 2,,1,0
5,1,11:43.0,,Defensive rebound by R. Hollis-Jefferson,1,0
6,1,11:20.0,,Turnover by R. Hollis-Jefferson (bad pass; steal by T. Ulis),1,0
7,1,11:12.0,T. Ulis misses 2-pt jump shot from 22 ft,,1,0
8,1,11:10.0,,Defensive rebound by R. Foye,1,0
9,1,11:01.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,1,0
10,1,11:00.0,Defensive rebound by D. Jones,,1,0
11,1,10:41.0,D. Booker misses 2-pt jump shot from 17 ft,,1,0
12,1,10:40.0,,Defensive rebound by R. Hollis-Jefferson,1,0
13,1,10:29.0,,R. Foye misses 3-pt jump shot from 24 ft,1,0
14,1,10:28.0,Defensive rebound by A. Len,,1,0
15,1,10:19.0,T. Ulis misses 2-pt jump shot from 14 ft,,1,0
16,1,10:18.0,,Defensive rebound by C. LeVert,1,0
17,1,10:11.0,,B. Lopez misses 3-pt jump shot from 27 ft,1,0
18,1,10:08.0,Defensive rebound by A. Len,,1,0
19,1,10:03.0,D. Booker misses 3-pt jump shot from 26 ft,,1,0
20,1,10:01.0,Offensive rebound by D. Jones,,1,0
21,1,9:59.0,Shooting foul by B. Lopez (drawn by D. Jones),,1,0
22,1,9:59.0,D. Jones makes free throw 1 of 2,,2,0
23,1,9:59.0,D. Jones misses free throw 2 of 2,,2,0
24,1,9:58.0,,Defensive rebound by R. Hollis-Jefferson,2,0
25,1,9:49.0,,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,2,0
26,1,9:48.0,,Offensive rebound by R. Hollis-Jefferson,2,0
27,1,9:47.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Len),2,0
28,1,9:42.0,M. Chriss makes 3-pt jump shot from 26 ft (assist by T. Ulis),,5,0
29,1,9:29.0,,B. Lopez makes 2-pt layup from 1 ft (assist by J. Lin),5,2
30,1,9:22.0,Shooting foul by C. LeVert (drawn by D. Booker),,5,2
31,1,9:22.0,D. Booker makes free throw 1 of 2,,6,2
32,1,9:22.0,D. Booker makes free throw 2 of 2,,7,2
33,1,9:07.0,,R. Foye misses 3-pt jump shot from 25 ft,7,2
34,1,9:05.0,Defensive rebound by A. Len,,7,2
35,1,9:00.0,D. Jones makes 2-pt layup from 1 ft,,9,2
36,1,8:50.0,,J. Lin misses 3-pt jump shot from 26 ft,9,2
37,1,8:49.0,,Offensive rebound by R. Hollis-Jefferson,9,2
38,1,8:46.0,,J. Lin misses 3-pt jump shot from 25 ft,9,2
39,1,8:44.0,,Offensive rebound by J. Lin,9,2
40,1,8:35.0,,C. LeVert misses 3-pt jump shot from 24 ft,9,2
41,1,8:34.0,Defensive rebound by A. Len,,9,2
42,1,8:26.0,Turnover by D. Booker (bad pass; steal by R. Hollis-Jefferson),,9,2
43,1,8:22.0,,C. LeVert makes 2-pt layup at rim,9,4
44,1,8:04.0,D. Booker makes 3-pt jump shot from 29 ft,,12,4
45,1,8:04.0,,Brooklyn full timeout,12,4
46,1,8:04.0,,Q. Acy enters the game for R. Hollis-Jefferson,12,4
47,1,7:54.0,,Q. Acy misses 2-pt jump shot from 12 ft (block by A. Len),12,4
48,1,7:53.0,Defensive rebound by M. Chriss,,12,4
49,1,7:38.0,A. Len makes 3-pt jump shot from 24 ft (assist by T. Ulis),,15,4
50,1,7:17.0,,Turnover by B. Lopez (bad pass; steal by A. Len),15,4
51,1,7:12.0,M. Chriss makes 2-pt dunk at rim (assist by T. Ulis),,17,4
52,1,6:48.0,,Shooting foul by D. Jones (drawn by Q. Acy),17,4
53,1,6:48.0,,Q. Acy misses free throw 1 of 2,17,4
54,1,6:48.0,,Offensive rebound by Team,17,4
55,1,6:48.0,,I. Whitehead enters the game for R. Foye,17,4
56,1,6:48.0,,Q. Acy makes free throw 2 of 2,17,5
57,1,6:34.0,D. Booker makes 3-pt jump shot from 25 ft (assist by T. Ulis),,20,5
58,1,6:13.0,,B. Lopez makes 3-pt jump shot from 25 ft (assist by J. Lin),20,8
59,1,5:49.0,T. Ulis misses 2-pt jump shot from 18 ft,,20,8
60,1,5:48.0,,Defensive rebound by Q. Acy,20,8
61,1,5:40.0,,C. LeVert makes 3-pt jump shot from 24 ft (assist by I. Whitehead),20,11
62,1,5:28.0,Personal foul by Q. Acy (drawn by D. Booker),,20,11
63,1,5:21.0,D. Booker misses 2-pt jump shot from 10 ft,,20,11
64,1,5:20.0,,Defensive rebound by B. Lopez,20,11
65,1,5:13.0,,Turnover by C. LeVert (bad pass; steal by D. Booker),20,11
66,1,5:11.0,Shooting foul by B. Lopez (drawn by D. Jones),,20,11
67,1,5:11.0,D. Jones makes free throw 1 of 2,,21,11
68,1,5:11.0,D. Jones misses free throw 2 of 2,,21,11
69,1,5:11.0,,S. Dinwiddie enters the game for J. Lin,21,11
70,1,5:10.0,,Defensive rebound by Q. Acy,21,11
71,1,5:00.0,,Turnover by I. Whitehead (bad pass; steal by D. Booker),21,11
72,1,4:51.0,M. Chriss makes 2-pt dunk at rim (assist by A. Len),,23,11
73,1,4:40.0,,Q. Acy makes 2-pt layup from 3 ft (assist by C. LeVert),23,13
74,1,4:17.0,T. Ulis misses 2-pt jump shot from 9 ft,,23,13
75,1,4:15.0,Offensive rebound by D. Jones,,23,13
76,1,4:14.0,D. Jones misses 2-pt layup from 1 ft,,23,13
77,1,4:13.0,Offensive rebound by A. Len,,23,13
78,1,4:00.0,D. Booker makes 2-pt jump shot from 19 ft (assist by T. Ulis),,25,13
79,1,3:36.0,,C. LeVert misses 3-pt jump shot from 25 ft,25,13
80,1,3:36.0,,Offensive rebound by Team,25,13
81,1,3:36.0,,K. McDaniels enters the game for C. LeVert,25,13
82,1,3:36.0,,T. Booker enters the game for B. Lopez,25,13
83,1,3:30.0,,K. McDaniels misses 3-pt jump shot from 25 ft,25,13
84,1,3:29.0,Defensive rebound by D. Jones,,25,13
85,1,3:21.0,T. Ulis makes 2-pt jump shot from 21 ft,,27,13
86,1,3:06.0,,T. Booker misses 2-pt jump shot from 19 ft,27,13
87,1,3:05.0,Defensive rebound by T. Ulis,,27,13
88,1,2:47.0,D. Booker misses 3-pt jump shot from 26 ft,,27,13
89,1,2:46.0,,Defensive rebound by K. McDaniels,27,13
90,1,2:26.0,,S. Dinwiddie makes 2-pt jump shot from 17 ft (assist by Q. Acy),27,15
91,1,2:08.0,M. Chriss makes 3-pt jump shot from 25 ft,,30,15
92,1,1:58.0,,T. Booker misses 2-pt jump shot from 12 ft,30,15
93,1,1:57.0,Defensive rebound by M. Chriss,,30,15
94,1,1:33.0,D. Booker misses 3-pt jump shot from 26 ft,,30,15
95,1,1:32.0,,Defensive rebound by I. Whitehead,30,15
96,1,1:23.0,,T. Booker misses 2-pt jump shot from 11 ft (block by M. Chriss),30,15
97,1,1:21.0,,Offensive rebound by T. Booker,30,15
98,1,1:19.0,,K. McDaniels makes 2-pt dunk at rim (assist by I. Whitehead),30,17
99,1,1:19.0,,Shooting foul by A. Len (drawn by K. McDaniels),30,17
100,1,1:19.0,Phoenix full timeout,,30,17
101,1,1:19.0,L. Barbosa enters the game for A. Len,,30,17
102,1,1:19.0,A. Williams enters the game for T. Ulis,,30,17
103,1,1:19.0,,K. McDaniels makes free throw 1 of 1,30,18
104,1,1:04.0,Turnover by A. Williams (lost ball),,30,18
105,1,0:52.0,,T. Booker misses 2-pt hook shot from 5 ft,30,18
106,1,0:50.0,Defensive rebound by M. Chriss,,30,18
107,1,0:40.0,A. Williams misses 2-pt jump shot from 4 ft (block by S. Dinwiddie),,30,18
108,1,0:38.0,,Defensive rebound by K. McDaniels,30,18
109,1,0:30.0,,K. McDaniels makes 2-pt jump shot from 7 ft (assist by Q. Acy),30,20
110,1,0:08.0,D. Booker makes 2-pt jump shot from 15 ft,,32,20
111,1,0:02.0,,S. Dinwiddie misses 2-pt jump shot from 9 ft,32,20
112,1,0:01.0,,Offensive rebound by K. McDaniels,32,20
113,1,0:01.0,,K. McDaniels makes 2-pt dunk at rim,32,22
114,2,11:48.0,,T. Booker misses 2-pt layup from 2 ft,32,22
115,2,11:47.0,Defensive rebound by A. Williams,,32,22
116,2,11:35.0,L. Barbosa misses 2-pt layup from 2 ft (block by K. McDaniels),,32,22
117,2,11:33.0,,Defensive rebound by K. McDaniels,32,22
118,2,11:29.0,,I. Whitehead makes 2-pt layup from 3 ft,32,24
119,2,11:29.0,,Shooting foul by A. Williams (drawn by I. Whitehead),32,24
120,2,11:29.0,,I. Whitehead makes free throw 1 of 1,32,25
121,2,11:27.0,Turnover by J. Eddie (bad pass),,32,25
122,2,11:16.0,,Q. Acy makes 2-pt jump shot from 18 ft (assist by K. McDaniels),32,27
123,2,11:11.0,Turnover by A. Williams (bad pass; steal by I. Whitehead),,32,27
124,2,11:08.0,,I. Whitehead makes 2-pt layup from 2 ft,32,29
125,2,11:08.0,,Shooting foul by A. Williams (drawn by I. Whitehead),32,29
126,2,11:08.0,,I. Whitehead makes free throw 1 of 1,32,30
127,2,11:08.0,Phoenix full timeout,,32,30
128,2,10:46.0,A. Williams misses 2-pt jump shot from 19 ft,,32,30
129,2,10:45.0,Offensive rebound by Team,,32,30
130,2,10:44.0,Turnover by Team (shot clock),,32,30
131,2,10:28.0,,Q. Acy misses 3-pt jump shot from 25 ft,32,30
132,2,10:27.0,Defensive rebound by L. Barbosa,,32,30
133,2,10:16.0,Shooting foul by I. Whitehead (drawn by A. Williams),,32,30
134,2,10:16.0,A. Williams misses free throw 1 of 2,,32,30
135,2,10:16.0,Offensive rebound by Team,,32,30
136,2,10:16.0,A. Williams misses free throw 2 of 2,,32,30
137,2,10:15.0,,Defensive rebound by T. Booker,32,30
138,2,9:57.0,,I. Whitehead misses 3-pt jump shot from 26 ft,32,30
139,2,9:56.0,Defensive rebound by J. Eddie,,32,30
140,2,9:49.0,Turnover by A. Williams (offensive foul),,32,30
141,2,9:49.0,Offensive foul by A. Williams (drawn by I. Whitehead),,32,30
142,2,9:49.0,A. Len enters the game for A. Williams,,32,30
143,2,9:32.0,,S. Dinwiddie misses 3-pt jump shot from 26 ft,32,30
144,2,9:30.0,Defensive rebound by L. Barbosa,,32,30
145,2,9:24.0,L. Barbosa misses 2-pt hook shot from 8 ft,,32,30
146,2,9:23.0,,Defensive rebound by K. McDaniels,32,30
147,2,9:14.0,,Turnover by K. McDaniels (lost ball; steal by J. Dudley),32,30
148,2,9:03.0,Turnover by T. Ulis (bad pass; steal by K. McDaniels),,32,30
149,2,8:58.0,,T. Booker misses 2-pt dunk at rim,32,30
150,2,8:57.0,,Offensive rebound by I. Whitehead,32,30
151,2,8:55.0,,I. Whitehead makes 2-pt layup from 2 ft,32,32
152,2,8:34.0,A. Len makes 2-pt layup from 1 ft (assist by J. Dudley),,34,32
153,2,8:19.0,,T. Booker makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),34,35
154,2,8:11.0,J. Dudley misses 3-pt jump shot from 27 ft,,34,35
155,2,8:10.0,,Defensive rebound by Q. Acy,34,35
156,2,7:59.0,,T. Booker makes 2-pt layup from 2 ft,34,37
157,2,7:36.0,A. Len makes 2-pt layup from 2 ft,,36,37
158,2,7:36.0,Shooting foul by T. Booker (drawn by A. Len),,36,37
159,2,7:36.0,A. Len misses free throw 1 of 1,,36,37
160,2,7:36.0,,R. Hollis-Jefferson enters the game for Q. Acy,36,37
161,2,7:36.0,D. Booker enters the game for J. Eddie,,36,37
162,2,7:36.0,,B. Lopez enters the game for T. Booker,36,37
163,2,7:35.0,,Defensive rebound by R. Hollis-Jefferson,36,37
164,2,7:26.0,,B. Lopez misses 3-pt jump shot from 25 ft,36,37
165,2,7:25.0,,Offensive rebound by Team,36,37
166,2,7:25.0,Loose ball foul by D. Booker,,36,37
167,2,7:08.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,36,37
168,2,7:07.0,,Offensive rebound by K. McDaniels,36,37
169,2,7:04.0,,K. McDaniels misses 2-pt layup from 3 ft,36,37
170,2,7:03.0,,Offensive rebound by R. Hollis-Jefferson,36,37
171,2,6:51.0,,Turnover by B. Lopez (traveling),36,37
172,2,6:51.0,,J. Lin enters the game for I. Whitehead,36,37
173,2,6:39.0,D. Booker makes 2-pt jump shot from 12 ft,,38,37
174,2,6:28.0,,J. Lin misses 2-pt jump shot from 11 ft,38,37
175,2,6:27.0,Defensive rebound by L. Barbosa,,38,37
176,2,6:19.0,L. Barbosa misses 2-pt jump shot from 22 ft,,38,37
177,2,6:17.0,,Defensive rebound by R. Hollis-Jefferson,38,37
178,2,6:11.0,,R. Hollis-Jefferson misses 2-pt jump shot from 19 ft,38,37
179,2,6:10.0,Defensive rebound by A. Len,,38,37
180,2,5:58.0,A. Len misses 2-pt jump shot from 19 ft,,38,37
181,2,5:57.0,,Defensive rebound by J. Lin,38,37
182,2,5:54.0,,Personal foul by A. Len (drawn by B. Lopez),38,37
183,2,5:54.0,Official timeout,,38,37
184,2,5:54.0,,B. Lopez misses free throw 1 of 2,38,37
185,2,5:54.0,,Offensive rebound by Team,38,37
186,2,5:54.0,,B. Lopez misses free throw 2 of 2,38,37
187,2,5:54.0,M. Chriss enters the game for A. Len,,38,37
188,2,5:54.0,,R. Foye enters the game for S. Dinwiddie,38,37
189,2,5:54.0,,C. LeVert enters the game for K. McDaniels,38,37
190,2,5:52.0,Defensive rebound by M. Chriss,,38,37
191,2,5:40.0,J. Dudley makes 2-pt jump shot from 20 ft (assist by T. Ulis),,40,37
192,2,5:29.0,,Shooting foul by J. Dudley (drawn by B. Lopez),40,37
193,2,5:29.0,,B. Lopez makes free throw 1 of 2,40,38
194,2,5:29.0,,B. Lopez makes free throw 2 of 2,40,39
195,2,5:09.0,L. Barbosa misses 2-pt layup from 4 ft (block by B. Lopez),,40,39
196,2,5:07.0,,Defensive rebound by B. Lopez,40,39
197,2,5:02.0,,Personal foul by L. Barbosa (drawn by J. Lin),40,39
198,2,5:02.0,,J. Lin misses free throw 1 of 2,40,39
199,2,5:02.0,,Offensive rebound by Team,40,39
200,2,5:02.0,,J. Lin makes free throw 2 of 2,40,40
201,2,4:50.0,Personal foul by C. LeVert (drawn by D. Booker),,40,40
202,2,4:37.0,T. Ulis misses 2-pt jump shot from 20 ft,,40,40
203,2,4:36.0,Offensive rebound by J. Dudley,,40,40
204,2,4:33.0,Turnover by J. Dudley (lost ball; steal by R. Hollis-Jefferson),,40,40
205,2,4:26.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,40,40
206,2,4:25.0,Defensive rebound by D. Booker,,40,40
207,2,4:15.0,M. Chriss misses 3-pt jump shot from 26 ft,,40,40
208,2,4:14.0,,Defensive rebound by R. Hollis-Jefferson,40,40
209,2,4:06.0,,Turnover by B. Lopez (lost ball; steal by M. Chriss),40,40
210,2,4:05.0,Personal block foul by R. Foye (drawn by L. Barbosa),,40,40
211,2,4:01.0,D. Booker makes 2-pt jump shot from 9 ft (assist by J. Dudley),,42,40
212,2,4:01.0,Shooting foul by J. Lin (drawn by D. Booker),,42,40
213,2,4:01.0,D. Booker makes free throw 1 of 1,,43,40
214,2,3:54.0,,Shooting foul by T. Ulis (drawn by J. Lin),43,40
215,2,3:54.0,,J. Lin makes free throw 1 of 3,43,41
216,2,3:54.0,,J. Lin makes free throw 2 of 3,43,42
217,2,3:54.0,,J. Lin makes free throw 3 of 3,43,43
218,2,3:42.0,Def 3 sec tech foul by B. Lopez,,43,43
219,2,3:42.0,D. Booker makes technical free throw,,44,43
220,2,3:35.0,L. Barbosa misses 3-pt jump shot from 24 ft,,44,43
221,2,3:33.0,Offensive rebound by J. Dudley,,44,43
222,2,3:28.0,M. Chriss misses 2-pt layup from 2 ft,,44,43
223,2,3:25.0,Offensive rebound by M. Chriss,,44,43
224,2,3:23.0,Shooting foul by J. Lin (drawn by M. Chriss),,44,43
225,2,3:23.0,M. Chriss misses free throw 1 of 2,,44,43
226,2,3:23.0,Offensive rebound by Team,,44,43
227,2,3:23.0,,Q. Acy enters the game for R. Hollis-Jefferson,44,43
228,2,3:23.0,M. Chriss makes free throw 2 of 2,,45,43
229,2,3:13.0,,Turnover by J. Lin (lost ball; steal by T. Ulis),45,43
230,2,2:57.0,M. Chriss misses 3-pt jump shot from 24 ft,,45,43
231,2,2:56.0,,Defensive rebound by R. Foye,45,43
232,2,2:46.0,,R. Foye misses 3-pt jump shot from 24 ft,45,43
233,2,2:45.0,Defensive rebound by T. Ulis,,45,43
234,2,2:37.0,M. Chriss makes 2-pt dunk at rim (assist by L. Barbosa),,47,43
235,2,2:34.0,,Brooklyn full timeout,47,43
236,2,2:34.0,,I. Whitehead enters the game for R. Foye,47,43
237,2,2:17.0,,C. LeVert misses 2-pt layup from 2 ft,47,43
238,2,2:15.0,,Offensive rebound by C. LeVert,47,43
239,2,2:10.0,,J. Lin makes 3-pt jump shot from 25 ft (assist by C. LeVert),47,46
240,2,1:58.0,Shooting foul by Q. Acy (drawn by J. Dudley),,47,46
241,2,1:58.0,J. Dudley misses free throw 1 of 3,,47,46
242,2,1:58.0,Offensive rebound by Team,,47,46
243,2,1:58.0,J. Dudley misses free throw 2 of 3,,47,46
244,2,1:58.0,Offensive rebound by Team,,47,46
245,2,1:58.0,J. Dudley makes free throw 3 of 3,,48,46
246,2,1:43.0,,Turnover by C. LeVert (bad pass; steal by M. Chriss),48,46
247,2,1:30.0,Turnover by D. Booker (lost ball; steal by Q. Acy),,48,46
248,2,1:30.0,,Personal foul by M. Chriss (drawn by Q. Acy),48,46
