,QUARTER,TIME_REMAINING,ATLANTA_ACTION,TORONTO_ACTION,ATLANTA_SCORE,TORONTO_SCORE
0,1,11:43.0,,D. DeRozan makes 2-pt jump shot from 11 ft,0,2
1,1,11:27.0,K. Korver misses 2-pt jump shot from 18 ft,,0,2
2,1,11:27.0,Offensive rebound by Team,,0,2
3,1,11:27.0,,Loose ball foul by J. Valančiūnas (drawn by D. Howard),0,2
4,1,11:23.0,K. Bazemore makes 2-pt layup from 2 ft (assist by K. Korver),,2,2
5,1,11:04.0,Violation by D. Howard (def goaltending),,2,2
6,1,11:04.0,,D. DeRozan makes 2-pt jump shot from 7 ft,2,4
7,1,11:04.0,,Shooting foul by K. Bazemore (drawn by D. DeRozan),2,4
8,1,11:04.0,,D. DeRozan misses free throw 1 of 1,2,4
9,1,11:02.0,Defensive rebound by K. Bazemore,,2,4
10,1,10:43.0,D. Howard misses 2-pt jump shot from 16 ft,,2,4
11,1,10:42.0,,Defensive rebound by K. Lowry,2,4
12,1,10:28.0,,P. Siakam makes 2-pt hook shot from 3 ft,2,6
13,1,10:20.0,M. Muscala makes 2-pt layup from 4 ft (assist by D. Schröder),,4,6
14,1,10:07.0,Offensive charge foul by J. Valančiūnas (drawn by D. Schröder),,4,6
15,1,10:07.0,,Turnover by J. Valančiūnas (offensive foul),4,6
16,1,10:07.0,,L. Nogueira enters the game for J. Valančiūnas,4,6
17,1,10:07.0,M. Delaney enters the game for D. Schröder,,4,6
18,1,9:52.0,D. Howard misses 2-pt hook shot from 7 ft,,4,6
19,1,9:51.0,,Defensive rebound by K. Lowry,4,6
20,1,9:32.0,,Turnover by D. DeRozan (bad pass; steal by M. Muscala),4,6
21,1,9:26.0,K. Bazemore makes 2-pt jump shot from 16 ft,,6,6
22,1,9:01.0,,K. Lowry misses 2-pt layup from 1 ft,6,6
23,1,9:01.0,Defensive rebound by M. Muscala,,6,6
24,1,9:00.0,Turnover by M. Delaney (step out of bounds),,6,6
25,1,9:00.0,D. Schröder enters the game for M. Delaney,,6,6
26,1,8:48.0,,K. Lowry makes 2-pt jump shot from 23 ft,6,8
27,1,8:35.0,D. Schröder makes 2-pt jump shot from 12 ft,,8,8
28,1,8:25.0,,Turnover by K. Lowry (bad pass; steal by M. Muscala),8,8
29,1,8:17.0,D. Schröder makes 2-pt layup from 2 ft,,10,8
30,1,8:17.0,Shooting foul by P. Siakam (drawn by D. Schröder),,10,8
31,1,8:17.0,D. Schröder makes free throw 1 of 1,,11,8
32,1,7:53.0,,Turnover by Team (shot clock),11,8
33,1,7:37.0,D. Schröder makes 2-pt jump shot from 6 ft,,13,8
34,1,7:18.0,,D. Carroll misses 2-pt hook shot from 7 ft,13,8
35,1,7:18.0,Defensive rebound by D. Howard,,13,8
36,1,7:06.0,D. Howard misses 2-pt jump shot from 6 ft,,13,8
37,1,7:05.0,,Defensive rebound by D. Carroll,13,8
38,1,7:00.0,,Shooting foul by D. Howard (drawn by D. DeRozan),13,8
39,1,7:00.0,,D. DeRozan makes free throw 1 of 2,13,9
40,1,7:00.0,M. Scott enters the game for D. Howard,,13,9
41,1,7:00.0,T. Sefolosha enters the game for K. Bazemore,,13,9
42,1,7:00.0,,D. DeRozan makes free throw 2 of 2,13,10
43,1,6:49.0,D. Schröder misses 2-pt jump shot from 16 ft,,13,10
44,1,6:49.0,,Defensive rebound by L. Nogueira,13,10
45,1,6:36.0,,D. DeRozan makes 2-pt jump shot from 3 ft,13,12
46,1,6:25.0,M. Muscala misses 3-pt jump shot from 25 ft,,13,12
47,1,6:25.0,,Defensive rebound by P. Siakam,13,12
48,1,6:14.0,,D. DeRozan misses 2-pt jump shot from 8 ft,13,12
49,1,6:13.0,,Offensive rebound by P. Siakam,13,12
50,1,6:10.0,,P. Siakam makes 2-pt hook shot from 2 ft,13,14
51,1,5:50.0,T. Sefolosha misses 2-pt jump shot from 16 ft,,13,14
52,1,5:50.0,,Defensive rebound by K. Lowry,13,14
53,1,5:37.0,,Shooting foul by M. Muscala (drawn by D. DeRozan),13,14
54,1,5:37.0,,Toronto full timeout,13,14
55,1,5:37.0,,D. DeRozan makes free throw 1 of 2,13,15
56,1,5:37.0,,D. DeRozan makes free throw 2 of 2,13,16
57,1,5:24.0,M. Scott misses 3-pt jump shot from 24 ft,,13,16
58,1,5:22.0,Offensive rebound by T. Sefolosha,,13,16
59,1,5:15.0,D. Schröder misses 2-pt layup from 5 ft (block by L. Nogueira),,13,16
60,1,5:13.0,,Defensive rebound by P. Siakam,13,16
61,1,5:06.0,,D. Carroll misses 3-pt jump shot from 24 ft,13,16
62,1,5:05.0,Defensive rebound by M. Scott,,13,16
63,1,4:59.0,D. Schröder misses 2-pt jump shot from 18 ft,,13,16
64,1,4:59.0,,Defensive rebound by L. Nogueira,13,16
65,1,4:51.0,,K. Lowry makes 2-pt layup from 2 ft,13,18
66,1,4:42.0,M. Scott misses 3-pt jump shot from 25 ft,,13,18
67,1,4:41.0,,Defensive rebound by D. DeRozan,13,18
68,1,4:23.0,,D. DeRozan makes 2-pt jump shot from 7 ft,13,20
69,1,4:08.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by M. Scott),,16,20
70,1,3:50.0,,K. Lowry makes 3-pt jump shot from 25 ft,16,23
71,1,3:49.0,Atlanta full timeout,,16,23
72,1,3:49.0,T. Hardaway enters the game for K. Korver,,16,23
73,1,3:49.0,K. Bazemore enters the game for M. Scott,,16,23
74,1,3:49.0,,C. Joseph enters the game for P. Siakam,16,23
75,1,3:49.0,,P. Patterson enters the game for K. Lowry,16,23
76,1,3:33.0,T. Sefolosha makes 3-pt jump shot from 23 ft (assist by T. Hardaway),,19,23
77,1,3:19.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by C. Joseph),19,26
78,1,2:55.0,Turnover by M. Muscala (bad pass; steal by D. Carroll),,19,26
79,1,2:36.0,,C. Joseph makes 2-pt jump shot from 3 ft,19,28
80,1,2:35.0,Turnover by D. Schröder (traveling),,19,28
81,1,2:35.0,D. Howard enters the game for M. Muscala,,19,28
82,1,2:35.0,M. Delaney enters the game for D. Schröder,,19,28
83,1,2:22.0,,D. Carroll misses 2-pt jump shot from 9 ft,19,28
