,QUARTER,TIME_REMAINING,TORONTO_ACTION,CLEVELAND_ACTION,TORONTO_SCORE,CLEVELAND_SCORE
0,1,11:35.0,N. Powell makes 3-pt jump shot from 27 ft (assist by K. Lowry),,3,0
1,1,11:23.0,,K. Love misses 2-pt layup at rim (block by P. Siakam),3,0
2,1,11:23.0,,Offensive rebound by K. Love,3,0
3,1,11:23.0,,Personal foul by P. Siakam (drawn by K. Love),3,0
4,1,11:18.0,,K. Love misses 2-pt jump shot from 20 ft,3,0
5,1,11:17.0,Defensive rebound by J. Valančiūnas,,3,0
6,1,11:07.0,K. Lowry misses 2-pt layup from 2 ft,,3,0
7,1,11:06.0,,Defensive rebound by K. Irving,3,0
8,1,10:53.0,,Turnover by K. Love (bad pass; steal by D. DeRozan),3,0
9,1,10:42.0,P. Siakam makes 2-pt dunk at rim (assist by J. Valančiūnas),,5,0
10,1,10:30.0,,Shooting foul by N. Powell (drawn by L. James),5,0
11,1,10:30.0,,L. James misses free throw 1 of 2,5,0
12,1,10:30.0,,Offensive rebound by Team,5,0
13,1,10:30.0,,L. James misses free throw 2 of 2,5,0
14,1,10:23.0,,Offensive rebound by K. Love,5,0
15,1,10:23.0,,K. Love makes 2-pt layup from 1 ft,5,2
16,1,10:12.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by P. Siakam),,7,2
17,1,10:05.0,,K. Irving makes 2-pt jump shot from 16 ft,7,4
18,1,9:51.0,D. DeRozan makes 2-pt jump shot from 19 ft,,9,4
19,1,9:39.0,,K. Love misses 3-pt jump shot from 26 ft,9,4
20,1,9:39.0,Defensive rebound by N. Powell,,9,4
21,1,9:30.0,D. DeRozan makes 2-pt jump shot from 14 ft,,11,4
22,1,9:30.0,,Cleveland full timeout,11,4
23,1,9:15.0,,T. Thompson makes 2-pt dunk from 2 ft (assist by K. Irving),11,6
24,1,9:01.0,Turnover by D. DeRozan (bad pass; steal by K. Irving),,11,6
25,1,8:55.0,,Turnover by K. Love (lost ball; steal by K. Lowry),11,6
26,1,8:41.0,Shooting foul by R. Jefferson (drawn by J. Valančiūnas),,11,6
27,1,8:41.0,J. Valančiūnas makes free throw 1 of 2,,12,6
28,1,8:41.0,J. Valančiūnas makes free throw 2 of 2,,13,6
29,1,8:25.0,,R. Jefferson misses 2-pt jump shot from 23 ft,13,6
30,1,8:24.0,Defensive rebound by P. Siakam,,13,6
31,1,8:18.0,P. Siakam misses 2-pt jump shot from 15 ft,,13,6
32,1,8:16.0,,Defensive rebound by T. Thompson,13,6
33,1,8:00.0,,L. James makes 2-pt jump shot from 14 ft,13,8
34,1,7:37.0,K. Lowry makes 2-pt hook shot from 4 ft,,15,8
35,1,7:22.0,,K. Irving misses 2-pt layup at rim,15,8
36,1,7:19.0,,Offensive rebound by K. Irving,15,8
37,1,7:17.0,,K. Irving makes 2-pt layup from 1 ft,15,10
38,1,6:56.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,15,10
39,1,6:53.0,,Defensive rebound by L. James,15,10
40,1,6:45.0,,K. Love misses 3-pt jump shot from 24 ft,15,10
41,1,6:45.0,Defensive rebound by N. Powell,,15,10
42,1,6:39.0,P. Siakam makes 2-pt layup from 1 ft (assist by K. Lowry),,17,10
43,1,6:25.0,,T. Thompson misses 2-pt layup from 1 ft,17,10
44,1,6:25.0,Defensive rebound by Team,,17,10
45,1,6:07.0,K. Lowry misses 2-pt jump shot from 17 ft,,17,10
46,1,6:06.0,,Defensive rebound by T. Thompson,17,10
47,1,5:59.0,,L. James makes 2-pt layup from 3 ft,17,12
48,1,5:59.0,,Shooting foul by P. Siakam (drawn by L. James),17,12
49,1,5:59.0,P. Patterson enters the game for P. Siakam,,17,12
50,1,5:59.0,,L. James makes free throw 1 of 1,17,13
51,1,5:43.0,D. DeRozan misses 2-pt jump shot from 19 ft,,17,13
52,1,5:42.0,,Defensive rebound by L. James,17,13
53,1,5:34.0,,L. James misses 3-pt jump shot from 25 ft,17,13
54,1,5:33.0,,Offensive rebound by K. Love,17,13
55,1,5:27.0,,K. Irving misses 2-pt jump shot from 13 ft,17,13
56,1,5:25.0,,Offensive rebound by K. Irving,17,13
57,1,5:24.0,,K. Irving makes 2-pt layup from 2 ft,17,15
58,1,5:09.0,Turnover by D. DeRozan (bad pass; steal by L. James),,17,15
59,1,5:04.0,,R. Jefferson makes 2-pt dunk at rim (assist by L. James),17,17
60,1,4:57.0,Toronto full timeout,,17,17
61,1,4:51.0,Turnover by J. Valančiūnas (illegal screen),,17,17
62,1,4:31.0,,K. Irving misses 2-pt jump shot from 17 ft,17,17
63,1,4:30.0,Defensive rebound by D. DeRozan,,17,17
64,1,4:19.0,,I. Shumpert enters the game for R. Jefferson,17,17
65,1,4:11.0,D. DeRozan misses 2-pt jump shot from 17 ft,,17,17
66,1,4:10.0,,Defensive rebound by K. Love,17,17
67,1,4:00.0,,L. James makes 2-pt jump shot from 19 ft,17,19
68,1,3:52.0,Personal foul by K. Irving (drawn by K. Lowry),,17,19
69,1,3:36.0,J. Valančiūnas makes 2-pt layup from 1 ft (assist by P. Patterson),,19,19
70,1,3:13.0,,K. Love makes 2-pt jump shot from 19 ft,19,21
71,1,2:56.0,P. Patterson misses 3-pt jump shot from 25 ft,,19,21
72,1,2:56.0,,Defensive rebound by L. James,19,21
73,1,2:52.0,,K. Love misses 2-pt layup at rim (block by N. Powell),19,21
74,1,2:47.0,Defensive rebound by K. Lowry,,19,21
75,1,2:41.0,K. Lowry makes 2-pt jump shot from 9 ft,,21,21
76,1,2:33.0,,Shooting foul by K. Lowry (drawn by K. Irving),21,21
77,1,2:33.0,,K. Irving makes free throw 1 of 2,21,22
78,1,2:33.0,,M. Dunleavy enters the game for L. James,21,22
79,1,2:33.0,C. Joseph enters the game for K. Lowry,,21,22
80,1,2:33.0,T. Ross enters the game for N. Powell,,21,22
81,1,2:33.0,,K. Irving makes free throw 2 of 2,21,23
82,1,2:19.0,T. Ross makes 2-pt jump shot from 14 ft,,23,23
83,1,1:55.0,,K. Love misses 3-pt jump shot from 26 ft,23,23
84,1,1:55.0,Defensive rebound by P. Patterson,,23,23
85,1,1:44.0,T. Ross misses 3-pt jump shot from 25 ft,,23,23
86,1,1:43.0,,Defensive rebound by K. Love,23,23
87,1,1:30.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by K. Irving),23,26
88,1,1:12.0,D. DeRozan misses 2-pt jump shot from 15 ft,,23,26
89,1,1:09.0,,Defensive rebound by T. Thompson,23,26
90,1,1:01.0,,I. Shumpert misses 3-pt jump shot from 25 ft,23,26
91,1,1:01.0,,Offensive rebound by Team,23,26
92,1,1:01.0,Loose ball foul by P. Patterson (drawn by K. Love),,23,26
93,1,1:01.0,,K. Love makes free throw 1 of 2,23,27
94,1,1:01.0,L. Nogueira enters the game for J. Valančiūnas,,23,27
95,1,1:01.0,,K. Love makes free throw 2 of 2,23,28
