,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:43.0,S. Curry misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Green,0,0
2,1,11:28.0,,E. Fournier misses 3-pt jump shot from 25 ft,0,0
3,1,11:28.0,Defensive rebound by A. Bogut,,0,0
4,1,11:11.0,W. Matthews misses 2-pt jump shot from 16 ft,,0,0
5,1,11:09.0,Offensive rebound by A. Bogut,,0,0
6,1,11:09.0,A. Bogut misses 2-pt layup from 2 ft,,0,0
7,1,11:08.0,,Defensive rebound by E. Payton,0,0
8,1,11:02.0,,Turnover by S. Ibaka (3 sec),0,0
9,1,10:38.0,A. Bogut misses 2-pt hook shot from 10 ft,,0,0
10,1,10:36.0,,Defensive rebound by Team,0,0
11,1,10:31.0,,Turnover by E. Payton (back court),0,0
12,1,10:14.0,S. Curry misses 2-pt jump shot from 13 ft,,0,0
13,1,10:12.0,,Defensive rebound by E. Payton,0,0
14,1,9:58.0,,S. Ibaka misses 2-pt jump shot from 16 ft,0,0
15,1,9:57.0,Defensive rebound by D. Finney-Smith,,0,0
16,1,9:45.0,D. Finney-Smith misses 2-pt dunk at rim (block by S. Ibaka),,0,0
17,1,9:44.0,,Defensive rebound by J. Green,0,0
18,1,9:37.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by E. Fournier),0,2
19,1,9:21.0,Shooting foul by J. Green (drawn by H. Barnes),,0,2
20,1,9:21.0,H. Barnes misses free throw 1 of 2,,0,2
21,1,9:21.0,Offensive rebound by Team,,0,2
22,1,9:21.0,H. Barnes makes free throw 2 of 2,,1,2
23,1,9:09.0,,J. Green makes 2-pt jump shot from 7 ft,1,4
24,1,8:57.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,1,4
25,1,8:57.0,,Defensive rebound by E. Fournier,1,4
26,1,8:44.0,,Turnover by E. Fournier (traveling),1,4
27,1,8:32.0,Shooting foul by J. Green (drawn by D. Finney-Smith),,1,4
28,1,8:32.0,D. Finney-Smith makes free throw 1 of 2,,2,4
29,1,8:32.0,,A. Gordon enters the game for J. Green,2,4
30,1,8:32.0,D. Finney-Smith makes free throw 2 of 2,,3,4
31,1,8:31.0,,Turnover by Team (5 sec inbounds),3,4
32,1,8:28.0,H. Barnes misses 2-pt jump shot from 16 ft,,3,4
33,1,8:27.0,,Defensive rebound by N. Vučević,3,4
34,1,8:11.0,,N. Vučević misses 2-pt jump shot from 18 ft,3,4
35,1,8:09.0,,Offensive rebound by E. Fournier,3,4
36,1,8:00.0,,S. Ibaka misses 2-pt jump shot from 15 ft,3,4
37,1,7:59.0,,Offensive rebound by A. Gordon,3,4
38,1,7:59.0,,A. Gordon makes 2-pt layup from 2 ft,3,6
39,1,7:36.0,A. Bogut misses 2-pt hook shot from 6 ft,,3,6
40,1,7:35.0,Offensive rebound by H. Barnes,,3,6
41,1,7:33.0,Turnover by S. Curry (traveling),,3,6
42,1,7:24.0,Violation by A. Bogut (kicked ball),,3,6
43,1,7:24.0,D. Powell enters the game for A. Bogut,,3,6
44,1,7:09.0,,N. Vučević misses 2-pt jump shot from 20 ft,3,6
45,1,7:07.0,Defensive rebound by H. Barnes,,3,6
46,1,6:53.0,S. Curry misses 3-pt jump shot from 26 ft,,3,6
47,1,6:53.0,,Defensive rebound by S. Ibaka,3,6
48,1,6:42.0,,E. Payton makes 2-pt layup from 1 ft,3,8
49,1,6:31.0,Turnover by S. Curry (lost ball),,3,8
50,1,6:16.0,,Turnover by E. Payton (bad pass; steal by S. Curry),3,8
51,1,6:10.0,J. Gibson enters the game for S. Curry,,3,8
52,1,5:54.0,D. Powell misses 2-pt layup from 2 ft (block by S. Ibaka),,3,8
53,1,5:53.0,,Defensive rebound by N. Vučević,3,8
54,1,5:46.0,,S. Ibaka misses 3-pt jump shot from 26 ft,3,8
55,1,5:44.0,Defensive rebound by D. Finney-Smith,,3,8
56,1,5:32.0,Def 3 sec tech foul by N. Vučević,,3,8
57,1,5:32.0,,Orlando full timeout,3,8
58,1,5:32.0,J. Anderson enters the game for D. Finney-Smith,,3,8
59,1,5:32.0,H. Barnes makes technical free throw,,4,8
60,1,5:23.0,J. Gibson makes 2-pt layup from 1 ft (assist by W. Matthews),,6,8
61,1,5:07.0,A. Bogut enters the game for H. Barnes,,6,8
62,1,4:57.0,,E. Payton makes 2-pt layup from 2 ft,6,10
63,1,4:38.0,J. Gibson misses 3-pt jump shot from 25 ft,,6,10
64,1,4:38.0,,Defensive rebound by N. Vučević,6,10
65,1,4:30.0,,E. Payton misses 2-pt layup at rim (block by A. Bogut),6,10
66,1,4:29.0,Defensive rebound by J. Gibson,,6,10
67,1,4:24.0,J. Anderson misses 2-pt layup from 1 ft (block by S. Ibaka),,6,10
68,1,4:23.0,Offensive rebound by D. Powell,,6,10
69,1,4:20.0,J. Gibson makes 3-pt jump shot from 27 ft,,9,10
70,1,4:07.0,Offensive charge foul by A. Gordon (drawn by A. Bogut),,9,10
71,1,4:07.0,,Turnover by A. Gordon (offensive foul),9,10
