,QUARTER,TIME_REMAINING,PORTLAND_ACTION,UTAH_ACTION,PORTLAND_SCORE,UTAH_SCORE
0,1,11:48.0,,Turnover by D. Exum (bad pass; steal by A. Aminu),0,0
1,1,11:33.0,D. Lillard misses 2-pt jump shot from 19 ft,,0,0
2,1,11:33.0,,Defensive rebound by B. Diaw,0,0
3,1,11:09.0,,B. Diaw misses 2-pt jump shot from 6 ft,0,0
4,1,11:09.0,Defensive rebound by A. Aminu,,0,0
5,1,10:57.0,D. Lillard misses 2-pt jump shot from 10 ft,,0,0
6,1,10:56.0,,Defensive rebound by R. Gobert,0,0
7,1,10:42.0,,R. Gobert makes 2-pt hook shot from 5 ft (assist by B. Diaw),0,2
8,1,10:21.0,C. McCollum misses 3-pt jump shot from 24 ft,,0,2
9,1,10:21.0,,Defensive rebound by R. Gobert,0,2
10,1,9:57.0,,G. Hayward misses 3-pt jump shot from 38 ft,0,2
11,1,9:56.0,,Offensive rebound by Team,0,2
12,1,9:56.0,,Turnover by Team (shot clock),0,2
13,1,9:43.0,Turnover by N. Vonleh (offensive foul),,0,2
14,1,9:43.0,Offensive foul by N. Vonleh (drawn by D. Exum),,0,2
15,1,9:32.0,,G. Hayward makes 3-pt jump shot from 26 ft (assist by B. Diaw),0,5
16,1,9:08.0,A. Aminu misses 3-pt jump shot from 24 ft,,0,5
17,1,9:08.0,,Defensive rebound by J. Ingles,0,5
18,1,8:57.0,,Shooting foul by N. Vonleh (drawn by R. Gobert),0,5
19,1,8:57.0,,R. Gobert makes free throw 1 of 2,0,6
20,1,8:57.0,M. Leonard enters the game for N. Vonleh,,0,6
21,1,8:57.0,,R. Gobert makes free throw 2 of 2,0,7
22,1,8:32.0,C. McCollum misses 3-pt jump shot from 23 ft,,0,7
23,1,8:32.0,,Defensive rebound by R. Gobert,0,7
24,1,8:22.0,,J. Ingles makes 2-pt layup from 3 ft,0,9
25,1,8:22.0,Portland full timeout,,0,9
26,1,8:08.0,C. McCollum misses 2-pt jump shot from 17 ft (block by J. Ingles),,0,9
27,1,8:07.0,Offensive rebound by C. McCollum,,0,9
28,1,8:06.0,C. McCollum misses 2-pt jump shot from 5 ft (block by R. Gobert),,0,9
29,1,8:04.0,,Defensive rebound by B. Diaw,0,9
30,1,7:47.0,,R. Gobert makes 2-pt layup from 1 ft (assist by B. Diaw),0,11
31,1,7:24.0,A. Aminu makes 2-pt jump shot from 4 ft,,2,11
32,1,7:02.0,,G. Hayward misses 2-pt jump shot from 14 ft,2,11
33,1,7:02.0,Defensive rebound by D. Lillard,,2,11
34,1,6:52.0,D. Lillard makes 2-pt jump shot from 20 ft,,4,11
35,1,6:34.0,,G. Hayward misses 2-pt jump shot from 2 ft,4,11
36,1,6:34.0,Defensive rebound by M. Leonard,,4,11
37,1,6:25.0,D. Lillard misses 2-pt layup from 3 ft,,4,11
38,1,6:24.0,,Defensive rebound by J. Ingles,4,11
39,1,6:09.0,,R. Gobert makes 2-pt layup from 2 ft (assist by G. Hayward),4,13
40,1,5:53.0,M. Harkless misses 3-pt jump shot from 25 ft,,4,13
41,1,5:52.0,,Defensive rebound by B. Diaw,4,13
42,1,5:41.0,,D. Exum misses 2-pt hook shot from 2 ft,4,13
