,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:48.0,S. Kilpatrick makes 2-pt jump shot from 7 ft,,2,0
1,1,11:48.0,Shooting foul by S. Mac (drawn by S. Kilpatrick),,2,0
2,1,11:48.0,S. Kilpatrick makes free throw 1 of 1,,3,0
3,1,11:33.0,,M. Gortat misses 2-pt layup from 2 ft,3,0
4,1,11:32.0,Defensive rebound by T. Booker,,3,0
5,1,11:15.0,I. Whitehead makes 2-pt layup from 1 ft (assist by T. Booker),,5,0
6,1,10:56.0,,M. Morris makes 2-pt dunk at rim (assist by M. Gortat),5,2
7,1,10:42.0,Turnover by S. Kilpatrick (bad pass; steal by M. Morris),,5,2
8,1,10:34.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),5,5
9,1,10:20.0,I. Whitehead misses 3-pt jump shot from 24 ft,,5,5
10,1,10:19.0,,Defensive rebound by J. Wall,5,5
11,1,10:10.0,,O. Porter misses 2-pt jump shot from 15 ft,5,5
12,1,10:10.0,,Offensive rebound by Team,5,5
13,1,10:10.0,Loose ball foul by B. Lopez (drawn by M. Gortat),,5,5
14,1,10:06.0,,O. Porter makes 2-pt jump shot from 20 ft (assist by S. Mac),5,7
15,1,9:49.0,S. Kilpatrick makes 2-pt jump shot from 16 ft (assist by B. Lopez),,7,7
16,1,9:40.0,,Personal foul by B. Bogdanović (drawn by O. Porter),7,7
17,1,9:40.0,C. LeVert enters the game for B. Bogdanović,,7,7
18,1,9:38.0,,S. Mac misses 2-pt jump shot from 14 ft,7,7
19,1,9:37.0,,Offensive rebound by M. Morris,7,7
20,1,9:34.0,,J. Wall misses 3-pt jump shot from 28 ft,7,7
21,1,9:33.0,Defensive rebound by T. Booker,,7,7
22,1,9:24.0,B. Lopez misses 3-pt jump shot from 27 ft,,7,7
23,1,9:23.0,,Defensive rebound by M. Morris,7,7
24,1,9:15.0,,O. Porter misses 2-pt jump shot from 10 ft,7,7
25,1,9:14.0,,Offensive rebound by M. Gortat,7,7
26,1,9:12.0,,M. Gortat makes 2-pt jump shot from 8 ft,7,9
27,1,9:10.0,Brooklyn full timeout,,7,9
28,1,9:10.0,B. Bogdanović enters the game for C. LeVert,,7,9
29,1,8:53.0,Shooting foul by J. Wall (drawn by T. Booker),,7,9
