,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
0,1,11:32.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,0,0
1,1,11:31.0,,Defensive rebound by M. Dellavedova,0,0
2,1,11:26.0,,J. Parker misses 3-pt jump shot from 23 ft,0,0
3,1,11:24.0,Defensive rebound by B. Lopez,,0,0
4,1,11:11.0,B. Lopez misses 3-pt jump shot from 29 ft,,0,0
5,1,11:10.0,Offensive rebound by A. Bennett,,0,0
6,1,11:03.0,B. Bogdanović makes 2-pt layup at rim,,2,0
7,1,10:47.0,,J. Henson makes 2-pt dunk at rim (assist by J. Parker),2,2
8,1,10:28.0,B. Lopez misses 2-pt hook shot from 9 ft,,2,2
9,1,10:27.0,Offensive rebound by A. Bennett,,2,2
10,1,10:26.0,A. Bennett makes 2-pt layup at rim,,4,2
11,1,10:09.0,,J. Henson misses 2-pt layup at rim,4,2
12,1,10:07.0,Defensive rebound by B. Bogdanović,,4,2
13,1,10:05.0,Shooting foul by M. Dellavedova (drawn by B. Bogdanović),,4,2
14,1,10:05.0,B. Bogdanović misses free throw 1 of 2,,4,2
15,1,10:05.0,Offensive rebound by Team,,4,2
16,1,10:05.0,B. Bogdanović makes free throw 2 of 2,,5,2
17,1,9:56.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),5,5
18,1,9:42.0,B. Lopez misses 3-pt jump shot from 25 ft,,5,5
19,1,9:41.0,,Defensive rebound by J. Parker,5,5
20,1,9:32.0,,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),5,7
21,1,9:17.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by B. Lopez),,7,7
22,1,8:59.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,7,7
23,1,8:58.0,Defensive rebound by A. Bennett,,7,7
24,1,8:44.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by B. Lopez),,9,7
25,1,8:30.0,,M. Dellavedova makes 2-pt jump shot from 5 ft,9,9
26,1,8:13.0,,Violation by G. Antetokounmpo (kicked ball),9,9
27,1,8:01.0,I. Whitehead misses 3-pt jump shot from 26 ft,,9,9
28,1,8:00.0,,Defensive rebound by G. Antetokounmpo,9,9
29,1,7:53.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,9,9
30,1,7:52.0,,Offensive rebound by J. Parker,9,9
31,1,7:50.0,,J. Parker misses 2-pt layup from 2 ft (block by B. Lopez),9,9
32,1,7:48.0,Defensive rebound by A. Bennett,,9,9
33,1,7:30.0,Turnover by B. Bogdanović (bad pass; steal by G. Antetokounmpo),,9,9
34,1,7:19.0,,Shooting foul by B. Bogdanović (drawn by G. Antetokounmpo),9,9
35,1,7:19.0,,G. Antetokounmpo makes free throw 1 of 2,9,10
36,1,7:19.0,J. Harris enters the game for B. Bogdanović,,9,10
37,1,7:19.0,J. Hamilton enters the game for B. Lopez,,9,10
38,1,7:19.0,,G. Antetokounmpo makes free throw 2 of 2,9,11
39,1,7:08.0,A. Bennett makes 2-pt dunk at rim (assist by J. Harris),,11,11
40,1,6:52.0,,J. Parker makes 2-pt jump shot from 19 ft (assist by M. Dellavedova),11,13
41,1,6:36.0,A. Bennett misses 3-pt jump shot from 24 ft,,11,13
42,1,6:35.0,Offensive rebound by J. Hamilton,,11,13
43,1,6:35.0,J. Hamilton misses 2-pt layup from 1 ft,,11,13
44,1,6:34.0,,Defensive rebound by G. Antetokounmpo,11,13
